"","WS_FLT_c1.which.mclass....3...1."
"1","AT1G01130"
"2","AT1G01190"
"3","AT1G01310"
"4","AT1G01453"
"5","AT1G01520"
"6","AT1G01560"
"7","AT1G01695"
"8","AT1G02030"
"9","AT1G02310"
"10","AT1G02350"
"11","AT1G02490"
"12","AT1G02510"
"13","AT1G02580"
"14","AT1G02650"
"15","AT1G02700"
"16","AT1G02710"
"17","AT1G02770"
"18","AT1G02952"
"19","AT1G02980"
"20","AT1G03106"
"21","AT1G03120"
"22","AT1G03390"
"23","AT1G03445"
"24","AT1G03495"
"25","AT1G03620"
"26","AT1G03630"
"27","AT1G03700"
"28","AT1G03710"
"29","AT1G03820"
"30","AT1G04007"
"31","AT1G04013"
"32","AT1G04017"
"33","AT1G04023"
"34","AT1G04073"
"35","AT1G04077"
"36","AT1G04083"
"37","AT1G04090"
"38","AT1G04103"
"39","AT1G04105"
"40","AT1G04123"
"41","AT1G04197"
"42","AT1G04217"
"43","AT1G04237"
"44","AT1G04267"
"45","AT1G04273"
"46","AT1G04277"
"47","AT1G04297"
"48","AT1G04343"
"49","AT1G04347"
"50","AT1G04350"
"51","AT1G04357"
"52","AT1G04380"
"53","AT1G04397"
"54","AT1G04445"
"55","AT1G04473"
"56","AT1G04487"
"57","AT1G04500"
"58","AT1G04507"
"59","AT1G04533"
"60","AT1G04560"
"61","AT1G04563"
"62","AT1G04583"
"63","AT1G04587"
"64","AT1G04657"
"65","AT1G04660"
"66","AT1G04670"
"67","AT1G04703"
"68","AT1G04713"
"69","AT1G04733"
"70","AT1G04743"
"71","AT1G04767"
"72","AT1G04800"
"73","AT1G04827"
"74","AT1G04853"
"75","AT1G04877"
"76","AT1G04913"
"77","AT1G04933"
"78","AT1G05013"
"79","AT1G05020"
"80","AT1G05033"
"81","AT1G05043"
"82","AT1G05057"
"83","AT1G05153"
"84","AT1G05240"
"85","AT1G05283"
"86","AT1G05303"
"87","AT1G05317"
"88","AT1G05327"
"89","AT1G05330"
"90","AT1G05333"
"91","AT1G05447"
"92","AT1G05450"
"93","AT1G05463"
"94","AT1G05493"
"95","AT1G05517"
"96","AT1G05540"
"97","AT1G05610"
"98","AT1G05703"
"99","AT1G05723"
"100","AT1G05894"
"101","AT1G05920"
"102","AT1G05937"
"103","AT1G05973"
"104","AT1G05977"
"105","AT1G05990"
"106","AT1G06003"
"107","AT1G06017"
"108","AT1G06033"
"109","AT1G06045"
"110","AT1G06087"
"111","AT1G06117"
"112","AT1G06153"
"113","AT1G06163"
"114","AT1G06173"
"115","AT1G06177"
"116","AT1G06207"
"117","AT1G06233"
"118","AT1G06250"
"119","AT1G06253"
"120","AT1G06257"
"121","AT1G06260"
"122","AT1G06273"
"123","AT1G06423"
"124","AT1G06453"
"125","AT1G06463"
"126","AT1G06467"
"127","AT1G06483"
"128","AT1G06520"
"129","AT1G06553"
"130","AT1G06587"
"131","AT1G06607"
"132","AT1G06667"
"133","AT1G06680"
"134","AT1G06687"
