"","X","WS_FLT_c1.which.mclass....4...1."
"3704",3704,"AT5G51210"
"680",680,"AT1G52530"
"2907",2907,"AT4G28850"
"564",564,"AT1G34120"
"2504",2504,"AT3G62470"
"2045",2045,"AT3G18070"
"1083",1083,"AT1G76730"
"2252",2252,"AT3G46650"
"261",261,"AT1G11170"
"179",179,"AT1G08173"
"328",328,"AT1G14540"
"284",284,"AT1G12211"
"3631",3631,"AT5G46720"
"2337",2337,"AT3G51300"
"3878",3878,"AT5G63060"
"2287",2287,"AT3G48400"
"743",743,"AT1G57560"
"1312",1312,"AT2G18350"
"697",697,"AT1G53420"
"784",784,"AT1G61450"
"883",883,"AT1G66520"
"1862",1862,"AT3G05550"
"3303",3303,"AT5G15280"
"74",74,"AT1G04580"
"99",99,"AT1G05287"
"2696",2696,"AT4G14190"
"3004",3004,"AT4G36830"
"14",14,"AT1G01860"
"1876",1876,"AT3G06630"
"2946",2946,"AT4G33040"
"3421",3421,"AT5G24180"
"892",892,"AT1G67035"
"82",82,"AT1G04873"
"119",119,"AT1G05837"
"1291",1291,"AT2G16760"
"1733",1733,"AT2G46572"
"3380",3380,"AT5G20450"
"512",512,"AT1G29200"
"1021",1021,"AT1G74120"
"1571",1571,"AT2G36270"
"2306",2306,"AT3G49650"
"598",598,"AT1G45180"
"3836",3836,"AT5G59920"
"3298",3298,"AT5G14890"
"528",528,"AT1G30280"
"2458",2458,"AT3G59530"
"1625",1625,"AT2G39360"
"352",352,"AT1G16390"
"3684",3684,"AT5G50260"
"2569",2569,"AT4G03298"
"2829",2829,"AT4G22960"
"2921",2921,"AT4G29800"
"2652",2652,"AT4G11440"
"3277",3277,"AT5G13720"
"3498",3498,"AT5G38410"
"3745",3745,"AT5G53320"
"552",552,"AT1G33030"
"140",140,"AT1G06580"
"1682",1682,"AT2G42860"
"2179",2179,"AT3G28140"
"2927",2927,"AT4G30700"
"2126",2126,"AT3G24575"
"2932",2932,"AT4G31230"
"2727",2727,"AT4G15630"
"1054",1054,"AT1G75260"
"1748",1748,"AT2G47300"
"759",759,"AT1G59660"
"3141",3141,"AT5G03668"
"3184",3184,"AT5G07000"
"1795",1795,"AT3G02480"
"3938",3938,"AT5G66790"
"2998",2998,"AT4G36530"
"1989",1989,"AT3G13810"
"3462",3462,"AT5G28010"
"3095",3095,"AT5G02065"
"1053",1053,"AT1G75125"
"1747",1747,"AT2G47260"
"2566",2566,"AT4G03230"
"2499",2499,"AT3G61900"
"180",180,"AT1G08270"
"429",429,"AT1G20810"
"3965",3965,"ATCG00840"
"2897",2897,"AT4G28010"
"2758",2758,"AT4G18010"
"2196",2196,"AT3G29290"
"1580",1580,"AT2G37000"
"1860",1860,"AT3G05470"
"3235",3235,"AT5G09855"
"3867",3867,"AT5G62310"
"1033",1033,"AT1G74460"
"754",754,"AT1G58643"
"3779",3779,"AT5G56270"
"286",286,"AT1G12250"
"148",148,"AT1G06980"
"3662",3662,"AT5G48485"
"2261",2261,"AT3G47010"
"1592",1592,"AT2G37440"
"2978",2978,"AT4G35250"
"1559",1559,"AT2G35640"
"3951",3951,"AT5G67570"
"2351",2351,"AT3G51960"
"888",888,"AT1G66800"
"2294",2294,"AT3G48600"
"283",283,"AT1G12210"
"3343",3343,"AT5G17580"
"3167",3167,"AT5G05850"
"30",30,"AT1G02660"
"3866",3866,"AT5G62100"
"3003",3003,"AT4G36770"
"107",107,"AT1G05490"
"2301",2301,"AT3G49370"
"1314",1314,"AT2G18450"
"311",311,"AT1G13550"
"3580",3580,"AT5G43730"
"3657",3657,"AT5G48070"
"1537",1537,"AT2G34510"
"1367",1367,"AT2G22500"
"1361",1361,"AT2G22190"
"44",44,"AT1G03545"
"3783",3783,"AT5G56720"
"983",983,"AT1G72180"
"3671",3671,"AT5G49120"
"2207",2207,"AT3G33528"
"2815",2815,"AT4G22070"
"2801",2801,"AT4G21190"
"1903",1903,"AT3G08500"
"3444",3444,"AT5G26080"
"3086",3086,"AT5G01770"
"1213",1213,"AT2G07599"
"2444",2444,"AT3G58790"
"18",18,"AT1G02010"
"2776",2776,"AT4G19080"
"222",222,"AT1G09610"
"1695",1695,"AT2G43590"
"2852",2852,"AT4G24970"
"865",865,"AT1G65310"
"3087",3087,"AT5G01790"
"2368",2368,"AT3G53450"
"2764",2764,"AT4G18375"
"3732",3732,"AT5G52780"
"1529",1529,"AT2G34224"
"3659",3659,"AT5G48130"
"2955",2955,"AT4G33660"
"2003",2003,"AT3G14770"
"1401",1401,"AT2G24520"
"3663",3663,"AT5G48620"
