"","WS_GC_c1.which.mclass....5...1."
"1","AT1G01020"
"2","AT1G01060"
"3","AT1G01070"
"4","AT1G01110"
"5","AT1G01160"
"6","AT1G01170"
"7","AT1G01210"
"8","AT1G01230"
"9","AT1G01240"
"10","AT1G01290"
"11","AT1G01300"
"12","AT1G01350"
"13","AT1G01360"
"14","AT1G01430"
"15","AT1G01470"
"16","AT1G01490"
"17","AT1G01540"
"18","AT1G01650"
"19","AT1G01730"
"20","AT1G01750"
"21","AT1G01820"
"22","AT1G01910"
"23","AT1G01920"
"24","AT1G01940"
"25","AT1G01960"
"26","AT1G02080"
"27","AT1G02100"
"28","AT1G02110"
"29","AT1G02120"
"30","AT1G02145"
"31","AT1G02150"
"32","AT1G02170"
"33","AT1G02280"
"34","AT1G02330"
"35","AT1G02335"
"36","AT1G02360"
"37","AT1G02410"
"38","AT1G02520"
"39","AT1G02560"
"40","AT1G02680"
"41","AT1G02690"
"42","AT1G02750"
"43","AT1G02816"
"44","AT1G02880"
"45","AT1G02890"
"46","AT1G03030"
"47","AT1G03040"
"48","AT1G03060"
"49","AT1G03080"
"50","AT1G03090"
"51","AT1G03140"
"52","AT1G03150"
"53","AT1G03250"
"54","AT1G03280"
"55","AT1G03290"
"56","AT1G03350"
"57","AT1G03360"
"58","AT1G03380"
"59","AT1G03410"
"60","AT1G03430"
"61","AT1G03530"
"62","AT1G03590"
"63","AT1G03610"
"64","AT1G03687"
"65","AT1G03730"
"66","AT1G03780"
"67","AT1G03840"
"68","AT1G03905"
"69","AT1G03910"
"70","AT1G03970"
"71","AT1G04020"
"72","AT1G04030"
"73","AT1G04070"
"74","AT1G04120"
"75","AT1G04210"
"76","AT1G04260"
"77","AT1G04280"
"78","AT1G04290"
"79","AT1G04300"
"80","AT1G04400"
"81","AT1G04440"
"82","AT1G04520"
"83","AT1G04530"
"84","AT1G04537"
"85","AT1G04590"
"86","AT1G04610"
"87","AT1G04770"
"88","AT1G04780"
"89","AT1G04810"
"90","AT1G04860"
"91","AT1G04900"
"92","AT1G04910"
"93","AT1G04940"
"94","AT1G04950"
"95","AT1G04960"
"96","AT1G04970"
"97","AT1G04980"
"98","AT1G04985"
"99","AT1G05055"
"100","AT1G05070"
"101","AT1G05150"
"102","AT1G05180"
"103","AT1G05190"
"104","AT1G05210"
"105","AT1G05220"
"106","AT1G05270"
"107","AT1G05350"
"108","AT1G05360"
"109","AT1G05380"
"110","AT1G05410"
"111","AT1G05430"
"112","AT1G05500"
"113","AT1G05520"
"114","AT1G05560"
"115","AT1G05562"
"116","AT1G05570"
"117","AT1G05650"
"118","AT1G05660"
"119","AT1G05710"
"120","AT1G05785"
"121","AT1G05805"
"122","AT1G05810"
"123","AT1G05840"
"124","AT1G05870"
"125","AT1G05890"
"126","AT1G05910"
"127","AT1G05940"
"128","AT1G05960"
"129","AT1G05970"
"130","AT1G06000"
"131","AT1G06010"
"132","AT1G06060"
"133","AT1G06090"
"134","AT1G06120"
"135","AT1G06130"
"136","AT1G06180"
"137","AT1G06190"
"138","AT1G06210"
"139","AT1G06230"
"140","AT1G06290"
"141","AT1G06380"
"142","AT1G06410"
"143","AT1G06470"
"144","AT1G06530"
"145","AT1G06540"
"146","AT1G06550"
"147","AT1G06570"
"148","AT1G06620"
"149","AT1G06640"
"150","AT1G06670"
"151","AT1G06790"
"152","AT1G06850"
"153","AT1G06870"
"154","AT1G06890"
"155","AT1G06900"
"156","AT1G06930"
"157","AT1G06950"
"158","AT1G06960"
"159","AT1G07020"
"160","AT1G07030"
"161","AT1G07040"
"162","AT1G07128"
"163","AT1G07130"
"164","AT1G07135"
"165","AT1G07260"
"166","AT1G07310"
"167","AT1G07350"
"168","AT1G07367"
"169","AT1G07373"
"170","AT1G07470"
"171","AT1G07480"
"172","AT1G07510"
"173","AT1G07530"
"174","AT1G07570"
"175","AT1G07640"
"176","AT1G07670"
"177","AT1G07780"
"178","AT1G07810"
"179","AT1G07840"
"180","AT1G07950"
"181","AT1G07960"
"182","AT1G07970"
"183","AT1G07983"
"184","AT1G07985"
"185","AT1G08010"
"186","AT1G08037"
"187","AT1G08125"
"188","AT1G08130"
"189","AT1G08160"
"190","AT1G08190"
"191","AT1G08210"
"192","AT1G08220"
"193","AT1G08260"
"194","AT1G08340"
"195","AT1G08350"
"196","AT1G08370"
"197","AT1G08410"
"198","AT1G08420"
"199","AT1G08430"
"200","AT1G08450"
"201","AT1G08510"
"202","AT1G08560"
"203","AT1G08570"
"204","AT1G08590"
"205","AT1G08600"
"206","AT1G08620"
"207","AT1G08640"
"208","AT1G08650"
"209","AT1G08657"
"210","AT1G08660"
"211","AT1G08680"
"212","AT1G08700"
"213","AT1G08770"
"214","AT1G08800"
"215","AT1G08803"
"216","AT1G08820"
"217","AT1G08845"
"218","AT1G08890"
"219","AT1G08970"
"220","AT1G09020"
"221","AT1G09090"
"222","AT1G09130"
"223","AT1G09160"
"224","AT1G09230"
"225","AT1G09250"
"226","AT1G09280"
"227","AT1G09290"
"228","AT1G09420"
"229","AT1G09520"
"230","AT1G09540"
"231","AT1G09580"
"232","AT1G09645"
"233","AT1G09730"
"234","AT1G09815"
"235","AT1G09830"
"236","AT1G09870"
"237","AT1G09920"
"238","AT1G09927"
"239","AT1G09932"
"240","AT1G09970"
"241","AT1G09980"
"242","AT1G10120"
"243","AT1G10130"
"244","AT1G10140"
"245","AT1G10170"
"246","AT1G10180"
"247","AT1G10210"
"248","AT1G10270"
"249","AT1G10310"
"250","AT1G10380"
"251","AT1G10390"
"252","AT1G10410"
"253","AT1G10430"
"254","AT1G10470"
"255","AT1G10490"
"256","AT1G10500"
"257","AT1G10530"
"258","AT1G10580"
"259","AT1G10600"
"260","AT1G10690"
"261","AT1G10700"
"262","AT1G10720"
"263","AT1G10740"
"264","AT1G10760"
"265","AT1G10780"
"266","AT1G10850"
"267","AT1G10865"
"268","AT1G10890"
"269","AT1G10900"
"270","AT1G10940"
"271","AT1G10990"
"272","AT1G11000"
"273","AT1G11020"
"274","AT1G11175"
"275","AT1G11185"
"276","AT1G11200"
"277","AT1G11240"
"278","AT1G11260"
"279","AT1G11380"
"280","AT1G11390"
"281","AT1G11400"
"282","AT1G11430"
"283","AT1G11450"
"284","AT1G11530"
"285","AT1G11592"
"286","AT1G11740"
"287","AT1G11760"
"288","AT1G11780"
"289","AT1G11790"
"290","AT1G11820"
"291","AT1G11890"
"292","AT1G11905"
"293","AT1G11930"
"294","AT1G12020"
"295","AT1G12050"
"296","AT1G12120"
"297","AT1G12160"
"298","AT1G12200"
"299","AT1G12240"
"300","AT1G12340"
"301","AT1G12360"
"302","AT1G12410"
"303","AT1G12500"
"304","AT1G12520"
"305","AT1G12580"
"306","AT1G12640"
"307","AT1G12650"
"308","AT1G12760"
"309","AT1G12780"
"310","AT1G12810"
"311","AT1G12820"
"312","AT1G12830"
"313","AT1G12845"
"314","AT1G12850"
"315","AT1G12990"
"316","AT1G13030"
"317","AT1G13080"
"318","AT1G13110"
"319","AT1G13120"
"320","AT1G13160"
"321","AT1G13170"
"322","AT1G13210"
"323","AT1G13220"
"324","AT1G13245"
"325","AT1G13300"
"326","AT1G13320"
"327","AT1G13360"
"328","AT1G13390"
"329","AT1G13450"
"330","AT1G13460"
"331","AT1G13530"
"332","AT1G13570"
"333","AT1G13580"
"334","AT1G13620"
"335","AT1G13635"
"336","AT1G13640"
"337","AT1G13670"
"338","AT1G13690"
"339","AT1G13810"
"340","AT1G13880"
"341","AT1G13930"
"342","AT1G13950"
"343","AT1G13980"
"344","AT1G13990"
"345","AT1G14000"
"346","AT1G14060"
"347","AT1G14080"
"348","AT1G14170"
"349","AT1G14220"
"350","AT1G14230"
"351","AT1G14300"
"352","AT1G14360"
"353","AT1G14380"
"354","AT1G14410"
"355","AT1G14453"
"356","AT1G14510"
