"","X","WS_GC_c1.which.mclass....5...1."
"5022",5022,"AT5G51780"
"922",922,"AT1G55310"
"3941",3941,"AT4G33920"
"765",765,"AT1G44760"
"3396",3396,"AT4G04630"
"2773",2773,"AT3G23570"
"1469",1469,"AT2G05710"
"3054",3054,"AT3G52880"
"354",354,"AT1G14410"
"242",242,"AT1G10120"
"445",445,"AT1G18630"
"385",385,"AT1G15740"
"4926",4926,"AT5G47620"
"3170",3170,"AT3G57860"
"5262",5262,"AT5G62550"
"3103",3103,"AT3G54826"
"1009",1009,"AT1G62430"
"1781",1781,"AT2G28070"
"946",946,"AT1G56430"
"1064",1064,"AT1G65700"
"1198",1198,"AT1G72430"
"2528",2528,"AT3G13040"
"4484",4484,"AT5G17650"
"101",101,"AT1G05150"
"134",134,"AT1G06120"
"3660",3660,"AT4G21410"
"4080",4080,"AT4G39120"
"19",19,"AT1G01730"
"2548",2548,"AT3G13670"
"4001",4001,"AT4G36390"
"4647",4647,"AT5G25640"
"1211",1211,"AT1G72850"
"112",112,"AT1G05500"
"162",162,"AT1G07128"
"1754",1754,"AT2G27000"
"2355",2355,"AT3G06770"
"4593",4593,"AT5G23090"
"696",696,"AT1G32310"
"1387",1387,"AT1G80910"
"2135",2135,"AT2G45220"
"3134",3134,"AT3G56400"
"812",812,"AT1G48620"
"5215",5215,"AT5G60520"
"4483",4483,"AT5G17640"
"718",718,"AT1G33680"
"3343",3343,"AT4G01730"
"2210",2210,"AT2G47990"
"479",479,"AT1G20340"
"5009",5009,"AT5G51200"
"3494",3494,"AT4G12560"
"3847",3847,"AT4G30310"
"3972",3972,"AT4G35000"
"3607",3607,"AT4G18060"
"4458",4458,"AT5G16710"
"4759",4759,"AT5G39410"
"5095",5095,"AT5G55310"
"751",751,"AT1G42990"
"190",190,"AT1G08190"
"2288",2288,"AT3G03860"
"2965",2965,"AT3G48360"
"3983",3983,"AT4G35360"
"2894",2894,"AT3G30180"
"3991",3991,"AT4G35860"
"3712",3712,"AT4G24400"
"1435",1435,"AT2G02930"
"2380",2380,"AT3G07510"
"1034",1034,"AT1G63700"
"4276",4276,"AT5G09250"
"4336",4336,"AT5G11760"
"2444",2444,"AT3G10220"
"3715",3715,"AT4G24490"
"4084",4084,"AT4G39240"
"2709",2709,"AT3G20260"
"4716",4716,"AT5G35700"
"4217",4217,"AT5G05990"
"1434",1434,"AT2G02820"
"5359",5359,"AT5G65925"
"3497",3497,"AT4G12780"
"3405",3405,"AT4G04955"
"245",245,"AT1G10170"
"584",584,"AT1G26340"
"4607",4607,"AT5G23980"
"3948",3948,"AT4G34150"
"3760",3760,"AT4G26510"
"2994",2994,"AT3G50260"
"2154",2154,"AT2G45720"
"2536",2536,"AT3G13226"
"4412",4412,"AT5G14580"
"5273",5273,"AT5G62950"
"1409",1409,"AT2G01640"
"1028",1028,"AT1G63420"
"5154",5154,"AT5G57910"
"390",390,"AT1G15910"
"201",201,"AT1G08510"
"4996",4996,"AT5G50430"
"3084",3084,"AT3G54350"
"2172",2172,"AT2G46520"
"4064",4064,"AT4G38500"
"2127",2127,"AT2G44820"
"3861",3861,"AT4G30850"
"3208",3208,"AT3G59695"
"1212",1212,"AT1G72852"
"3131",3131,"AT3G56170"
"386",386,"AT1G15800"
"4564",4564,"AT5G22010"
"4324",4324,"AT5G11150"
"41",41,"AT1G02690"
"5279",5279,"AT5G63135"
"4101",4101,"AT4G39990"
"146",146,"AT1G06550"
"3143",3143,"AT3G56820"
"1795",1795,"AT2G28520"
"425",425,"AT1G17520"
"4891",4891,"AT5G45750"
"5330",5330,"AT5G64813"
"2100",2100,"AT2G43950"
"1867",1867,"AT2G32220"
"1860",1860,"AT2G32020"
"60",60,"AT1G03430"
"5169",5169,"AT5G58370"
"1343",1343,"AT1G79260"
"5018",5018,"AT5G51590"
"3017",3017,"AT3G51270"
"3848",3848,"AT4G30330"
"3829",3829,"AT4G29330"
"2602",2602,"AT3G15410"
"4709",4709,"AT5G35430"
"4220",4220,"AT5G06060"
"1659",1659,"AT2G22475"
"3342",3342,"AT4G01710"
"24",24,"AT1G01940"
"3797",3797,"AT4G27880"
"304",304,"AT1G12520"
