"","col_FLT_c1.which.mclass....5...1."
"1","AT1G01060"
"2","AT1G01080"
"3","AT1G01140"
"4","AT1G01220"
"5","AT1G01225"
"6","AT1G01450"
"7","AT1G01500"
"8","AT1G01570"
"9","AT1G01660"
"10","AT1G01670"
"11","AT1G01715"
"12","AT1G01740"
"13","AT1G01790"
"14","AT1G01840"
"15","AT1G01860"
"16","AT1G01970"
"17","AT1G02010"
"18","AT1G02020"
"19","AT1G02050"
"20","AT1G02060"
"21","AT1G02230"
"22","AT1G02290"
"23","AT1G02300"
"24","AT1G02390"
"25","AT1G02420"
"26","AT1G02440"
"27","AT1G02450"
"28","AT1G02460"
"29","AT1G02575"
"30","AT1G02910"
"31","AT1G02970"
"32","AT1G03010"
"33","AT1G03070"
"34","AT1G03100"
"35","AT1G03130"
"36","AT1G03160"
"37","AT1G03190"
"38","AT1G03200"
"39","AT1G03270"
"40","AT1G03310"
"41","AT1G03340"
"42","AT1G03440"
"43","AT1G03520"
"44","AT1G03560"
"45","AT1G03600"
"46","AT1G03750"
"47","AT1G03820"
"48","AT1G03920"
"49","AT1G03950"
"50","AT1G03980"
"51","AT1G04010"
"52","AT1G04050"
"53","AT1G04053"
"54","AT1G04100"
"55","AT1G04117"
"56","AT1G04160"
"57","AT1G04180"
"58","AT1G04220"
"59","AT1G04233"
"60","AT1G04240"
"61","AT1G04295"
"62","AT1G04310"
"63","AT1G04353"
"64","AT1G04390"
"65","AT1G04420"
"66","AT1G04425"
"67","AT1G04490"
"68","AT1G04513"
"69","AT1G04540"
"70","AT1G04570"
"71","AT1G04620"
"72","AT1G04650"
"73","AT1G04710"
"74","AT1G04730"
"75","AT1G04760"
"76","AT1G04823"
"77","AT1G04840"
"78","AT1G04917"
"79","AT1G05000"
"80","AT1G05030"
"81","AT1G05140"
"82","AT1G05187"
"83","AT1G05230"
"84","AT1G05310"
"85","AT1G05370"
"86","AT1G05397"
"87","AT1G05440"
"88","AT1G05467"
"89","AT1G05530"
"90","AT1G05553"
"91","AT1G05557"
"92","AT1G05600"
"93","AT1G05630"
"94","AT1G05640"
"95","AT1G05650"
"96","AT1G05670"
"97","AT1G05700"
"98","AT1G05753"
"99","AT1G05767"
"100","AT1G05770"
"101","AT1G05835"
"102","AT1G05873"
"103","AT1G05900"
"104","AT1G05950"
"105","AT1G06050"
"106","AT1G06120"
"107","AT1G06140"
"108","AT1G06143"
"109","AT1G06227"
"110","AT1G06270"
"111","AT1G06310"
"112","AT1G06330"
"113","AT1G06420"
"114","AT1G06430"
"115","AT1G06440"
"116","AT1G06490"
"117","AT1G06580"
"118","AT1G06710"
"119","AT1G06740"
"120","AT1G06787"
"121","AT1G06910"
"122","AT1G06980"
"123","AT1G07090"
"124","AT1G07119"
"125","AT1G07270"
"126","AT1G07290"
"127","AT1G07367"
"128","AT1G07373"
"129","AT1G07380"
"130","AT1G07400"
"131","AT1G07485"
"132","AT1G07490"
"133","AT1G07560"
"134","AT1G07603"
"135","AT1G07607"
"136","AT1G07620"
"137","AT1G07700"
"138","AT1G07710"
"139","AT1G07730"
"140","AT1G07737"
"141","AT1G07740"
"142","AT1G07795"
"143","AT1G07803"
"144","AT1G07902"
"145","AT1G07910"
"146","AT1G07933"
"147","AT1G07937"
"148","AT1G08003"
"149","AT1G08043"
"150","AT1G08050"
"151","AT1G08070"
"152","AT1G08087"
"153","AT1G08180"
"154","AT1G08213"
"155","AT1G08300"
"156","AT1G08340"
"157","AT1G08540"
"158","AT1G08543"
"159","AT1G08727"
"160","AT1G08840"
"161","AT1G08857"
"162","AT1G08900"
"163","AT1G08980"
"164","AT1G09000"
"165","AT1G09023"
"166","AT1G09027"
"167","AT1G09040"
"168","AT1G09050"
"169","AT1G09190"
"170","AT1G09195"
"171","AT1G09220"
"172","AT1G09247"
"173","AT1G09297"
"174","AT1G09340"
"175","AT1G09390"
"176","AT1G09440"
"177","AT1G09530"
"178","AT1G09575"
"179","AT1G09600"
"180","AT1G09610"
"181","AT1G09627"
"182","AT1G09650"
"183","AT1G09680"
"184","AT1G09710"
"185","AT1G09750"
"186","AT1G09783"
"187","AT1G09800"
"188","AT1G09820"
"189","AT1G09863"
"190","AT1G09890"
"191","AT1G09900"
"192","AT1G09960"
"193","AT1G09987"
"194","AT1G09993"
"195","AT1G10050"
"196","AT1G10090"
"197","AT1G10230"
"198","AT1G10240"
"199","AT1G10280"
"200","AT1G10320"
"201","AT1G10520"
"202","AT1G10610"
"203","AT1G10657"
"204","AT1G10730"
"205","AT1G11070"
"206","AT1G11100"
"207","AT1G11125"
"208","AT1G11160"
"209","AT1G11180"
"210","AT1G11320"
"211","AT1G11440"
"212","AT1G11450"
"213","AT1G11490"
"214","AT1G11710"
"215","AT1G11800"
"216","AT1G11900"
"217","AT1G11915"
"218","AT1G11940"
"219","AT1G11950"
"220","AT1G11960"
"221","AT1G12210"
"222","AT1G12211"
"223","AT1G12220"
"224","AT1G12244"
"225","AT1G12290"
"226","AT1G12300"
"227","AT1G12330"
"228","AT1G12370"
"229","AT1G12380"
"230","AT1G12430"
"231","AT1G12460"
"232","AT1G12610"
"233","AT1G12620"
"234","AT1G12710"
"235","AT1G12730"
"236","AT1G12860"
"237","AT1G13040"
"238","AT1G13050"
"239","AT1G13100"
"240","AT1G13140"
"241","AT1G13330"
"242","AT1G13340"
"243","AT1G13410"
"244","AT1G13420"
"245","AT1G13430"
"246","AT1G13448"
"247","AT1G13480"
"248","AT1G13520"
"249","AT1G13550"
"250","AT1G13609"
"251","AT1G13740"
"252","AT1G13800"
"253","AT1G13820"
"254","AT1G13910"
"255","AT1G13940"
"256","AT1G13970"
"257","AT1G14185"
"258","AT1G14260"
"259","AT1G14280"
"260","AT1G14455"
"261","AT1G14480"
"262","AT1G14530"
"263","AT1G14540"
"264","AT1G14580"
"265","AT1G14590"
"266","AT1G14660"
"267","AT1G14680"
"268","AT1G14687"
"269","AT1G14780"
"270","AT1G14790"
"271","AT1G15050"
"272","AT1G15180"
"273","AT1G15290"
"274","AT1G15415"
"275","AT1G15490"
"276","AT1G15510"
"277","AT1G15730"
"278","AT1G15820"
"279","AT1G15870"
"280","AT1G15885"
"281","AT1G15890"
"282","AT1G15900"
"283","AT1G16022"
"284","AT1G16030"
"285","AT1G16060"
"286","AT1G16110"
"287","AT1G16150"
"288","AT1G16160"
"289","AT1G16250"
"290","AT1G16260"
"291","AT1G16310"
"292","AT1G16370"
"293","AT1G16390"
"294","AT1G16445"
"295","AT1G16489"
"296","AT1G16590"
"297","AT1G16830"
"298","AT1G16905"
"299","AT1G17040"
"300","AT1G17065"
"301","AT1G17220"
"302","AT1G17230"
"303","AT1G17232"
"304","AT1G17255"
"305","AT1G17345"
"306","AT1G17400"
"307","AT1G17450"
"308","AT1G17460"
"309","AT1G17480"
"310","AT1G17590"
"311","AT1G17640"
"312","AT1G17650"
"313","AT1G17665"
"314","AT1G17744"
"315","AT1G17750"
"316","AT1G17820"
"317","AT1G17840"
"318","AT1G17870"
"319","AT1G17920"
"320","AT1G17950"
"321","AT1G18010"
"322","AT1G18030"
"323","AT1G18060"
"324","AT1G18090"
"325","AT1G18140"
"326","AT1G18170"
"327","AT1G18180"
"328","AT1G18200"
"329","AT1G18265"
"330","AT1G18280"
"331","AT1G18320"
"332","AT1G18382"
"333","AT1G18420"
"334","AT1G18440"
"335","AT1G18550"
"336","AT1G18560"
"337","AT1G18610"
"338","AT1G18670"
"339","AT1G18773"
"340","AT1G19010"
"341","AT1G19025"
"342","AT1G19100"
"343","AT1G19115"
"344","AT1G19190"
"345","AT1G19230"
"346","AT1G19290"
"347","AT1G19340"
"348","AT1G19380"
"349","AT1G19397"
"350","AT1G19490"
"351","AT1G19540"
"352","AT1G19840"
"353","AT1G19950"
"354","AT1G20030"
"355","AT1G20060"
"356","AT1G20065"
"357","AT1G20230"
"358","AT1G20470"
"359","AT1G20480"
"360","AT1G20530"
"361","AT1G20720"
"362","AT1G20810"
"363","AT1G21060"
"364","AT1G21110"
"365","AT1G21120"
"366","AT1G21130"
"367","AT1G21140"
"368","AT1G21150"
"369","AT1G21250"
"370","AT1G21340"
"371","AT1G21390"
"372","AT1G21460"
"373","AT1G21590"
"374","AT1G21650"
"375","AT1G21651"
"376","AT1G21670"
"377","AT1G22030"
"378","AT1G22220"
"379","AT1G22275"
"380","AT1G22370"
"381","AT1G22460"
"382","AT1G22540"
"383","AT1G22550"
"384","AT1G22810"
"385","AT1G22830"
"386","AT1G22980"
"387","AT1G22985"
"388","AT1G23010"
"389","AT1G23140"
"390","AT1G23150"
"391","AT1G23180"
"392","AT1G23360"
"393","AT1G23790"
"394","AT1G23840"
"395","AT1G23880"
"396","AT1G23970"
"397","AT1G23980"
"398","AT1G24030"
"399","AT1G24150"
"400","AT1G24300"
"401","AT1G24330"
"402","AT1G24430"
"403","AT1G24530"
"404","AT1G24620"
"405","AT1G25145"
"406","AT1G25250"
"407","AT1G25360"
"408","AT1G25390"
"409","AT1G25400"
"410","AT1G26130"
"411","AT1G26190"
"412","AT1G26208"
"413","AT1G26218"
"414","AT1G26290"
"415","AT1G26530"
"416","AT1G26680"
"417","AT1G26730"
"418","AT1G26760"
"419","AT1G26810"
"420","AT1G26970"
"421","AT1G27020"
"422","AT1G27060"
"423","AT1G27110"
"424","AT1G27120"
"425","AT1G27170"
"426","AT1G27180"
"427","AT1G27200"
"428","AT1G27360"
"429","AT1G27370"
"430","AT1G27380"
"431","AT1G27410"
"432","AT1G27565"
"433","AT1G27620"
"434","AT1G27640"
"435","AT1G27690"
"436","AT1G27720"
"437","AT1G27740"
"438","AT1G27880"
"439","AT1G27910"
"440","AT1G27920"
"441","AT1G28080"
"442","AT1G28210"
"443","AT1G28380"
"444","AT1G28470"
"445","AT1G28530"
"446","AT1G28550"
"447","AT1G28560"
"448","AT1G28600"
"449","AT1G28670"
"450","AT1G28710"
"451","AT1G28815"
"452","AT1G29000"
"453","AT1G29195"
"454","AT1G29270"
"455","AT1G29380"
"456","AT1G29700"
"457","AT1G29710"
"458","AT1G29730"
"459","AT1G29740"
"460","AT1G29750"
"461","AT1G29860"
"462","AT1G29960"
"463","AT1G30010"
"464","AT1G30040"
"465","AT1G30280"
"466","AT1G30290"
"467","AT1G30473"
"468","AT1G30520"
"469","AT1G30610"
"470","AT1G30757"
"471","AT1G30810"
"472","AT1G30845"
"473","AT1G31040"
"474","AT1G31190"
"475","AT1G31280"
"476","AT1G31350"
"477","AT1G31580"
"478","AT1G31710"
"479","AT1G31720"
"480","AT1G31810"
"481","AT1G31835"
"482","AT1G31880"
"483","AT1G32220"
"484","AT1G32270"
"485","AT1G32340"
"486","AT1G32530"
"487","AT1G32550"
"488","AT1G32740"
"489","AT1G32870"
"490","AT1G32900"
"491","AT1G32940"
"492","AT1G33080"
"493","AT1G33350"
"494","AT1G33390"
"495","AT1G33475"
"496","AT1G33560"
"497","AT1G33840"
"498","AT1G34040"
"499","AT1G34120"
"500","AT1G34160"
"501","AT1G34180"
"502","AT1G34260"
"503","AT1G34340"
"504","AT1G34380"
"505","AT1G34570"
"506","AT1G34844"
"507","AT1G35460"
"508","AT1G35660"
"509","AT1G35710"
"510","AT1G35910"
"511","AT1G36640"
"512","AT1G36940"
"513","AT1G37150"
"514","AT1G38065"
"515","AT1G43040"
"516","AT1G43245"
"517","AT1G43650"
"518","AT1G43770"
"519","AT1G44020"
"520","AT1G44120"
"521","AT1G44125"
"522","AT1G44350"
"523","AT1G44446"
"524","AT1G44830"
"525","AT1G45110"
"526","AT1G45150"
"527","AT1G45163"
"528","AT1G45165"
"529","AT1G45180"
"530","AT1G45231"
"531","AT1G45248"
"532","AT1G47271"
"533","AT1G47580"
"534","AT1G47600"
"535","AT1G47603"
"536","AT1G47620"
"537","AT1G47760"
"538","AT1G47870"
"539","AT1G48120"
"540","AT1G48280"
"541","AT1G48355"
"542","AT1G48390"
"543","AT1G48540"
"544","AT1G48580"
"545","AT1G48640"
"546","AT1G48690"
"547","AT1G48740"
"548","AT1G48745"
"549","AT1G48780"
"550","AT1G48840"
"551","AT1G48880"
"552","AT1G49005"
"553","AT1G49110"
"554","AT1G49160"
"555","AT1G49180"
"556","AT1G49230"
"557","AT1G49320"
"558","AT1G49380"
"559","AT1G49520"
"560","AT1G49560"
"561","AT1G49630"
"562","AT1G49650"
"563","AT1G49730"
"564","AT1G49832"
"565","AT1G49910"
"566","AT1G49980"
"567","AT1G50000"
"568","AT1G50260"
"569","AT1G50290"
"570","AT1G50450"
"571","AT1G50460"
"572","AT1G50700"
"573","AT1G50790"
"574","AT1G50890"
"575","AT1G50930"
"576","AT1G50970"
"577","AT1G51035"
"578","AT1G51080"
"579","AT1G51100"
"580","AT1G51220"
"581","AT1G51260"
"582","AT1G51270"
"583","AT1G51310"
"584","AT1G51402"
"585","AT1G51470"
"586","AT1G51520"
"587","AT1G51640"
"588","AT1G51790"
"589","AT1G51840"
"590","AT1G52080"
"591","AT1G52130"
"592","AT1G52190"
"593","AT1G52240"
"594","AT1G52343"
"595","AT1G52450"
"596","AT1G52520"
"597","AT1G52530"
"598","AT1G52550"
"599","AT1G52565"
"600","AT1G52590"
"601","AT1G52618"
"602","AT1G52620"
"603","AT1G52660"
"604","AT1G53025"
"605","AT1G53330"
"606","AT1G53340"
"607","AT1G53345"
"608","AT1G53350"
"609","AT1G53430"
"610","AT1G53542"
"611","AT1G53660"
"612","AT1G53700"
"613","AT1G53790"
"614","AT1G53887"
"615","AT1G53950"
"616","AT1G53970"
"617","AT1G53980"
"618","AT1G54050"
"619","AT1G54110"
"620","AT1G54200"
"621","AT1G54350"
"622","AT1G54400"
"623","AT1G54450"
"624","AT1G54540"
"625","AT1G54575"
"626","AT1G54790"
"627","AT1G54840"
"628","AT1G54970"
"629","AT1G55020"
"630","AT1G55040"
"631","AT1G55050"
"632","AT1G55110"
"633","AT1G55180"
"634","AT1G55200"
