"","X","col_FLT_c1.which.mclass....5...1."
"3412",3412,"AT5G51310"
"627",627,"AT1G54840"
"2677",2677,"AT4G31140"
"519",519,"AT1G44020"
"2306",2306,"AT4G02810"
"1883",1883,"AT3G20890"
"998",998,"AT1G79310"
"2073",2073,"AT3G49400"
"240",240,"AT1G13140"
"165",165,"AT1G09023"
"302",302,"AT1G17230"
"261",261,"AT1G14480"
"3343",3343,"AT5G46870"
"2152",2152,"AT3G55550"
"3571",3571,"AT5G62100"
"2105",2105,"AT3G51320"
"684",684,"AT1G60110"
"1208",1208,"AT2G21900"
"642",642,"AT1G55475"
"722",722,"AT1G61970"
"813",813,"AT1G67470"
"1714",1714,"AT3G07700"
"3040",3040,"AT5G16810"
"69",69,"AT1G04540"
"91",91,"AT1G05557"
"2482",2482,"AT4G16807"
"2765",2765,"AT4G37240"
"13",13,"AT1G01790"
"1727",1727,"AT3G08785"
"2712",2712,"AT4G33950"
"3149",3149,"AT5G25020"
"821",821,"AT1G67970"
"76",76,"AT1G04823"
"110",110,"AT1G06270"
"1188",1188,"AT2G20520"
"1595",1595,"AT2G47910"
"3111",3111,"AT5G22788"
"472",472,"AT1G30845"
"940",940,"AT1G74710"
"1446",1446,"AT2G38185"
"2122",2122,"AT3G52460"
"550",550,"AT1G48840"
"3530",3530,"AT5G59590"
"3034",3034,"AT5G16235"
"486",486,"AT1G32530"
"2262",2262,"AT4G00520"
"1495",1495,"AT2G41610"
"324",324,"AT1G18090"
"3389",3389,"AT5G50110"
"2364",2364,"AT4G09012"
"2602",2602,"AT4G25220"
"2687",2687,"AT4G31850"
"2440",2440,"AT4G14365"
"3015",3015,"AT5G14890"
"3218",3218,"AT5G38590"
"3445",3445,"AT5G53580"
"508",508,"AT1G35660"
"129",129,"AT1G07380"
"1547",1547,"AT2G44460"
"2004",2004,"AT3G44820"
"2692",2692,"AT4G32320"
"1956",1956,"AT3G27180"
"2697",2697,"AT4G32750"
"2508",2508,"AT4G18501"
"969",969,"AT1G77460"
"1608",1608,"AT3G01710"
"698",698,"AT1G60930"
"2888",2888,"AT5G04960"
"2928",2928,"AT5G07240"
"1651",1651,"AT3G04010"
"3622",3622,"AT5G66460"
"2757",2757,"AT4G36880"
"1829",1829,"AT3G16320"
"3184",3184,"AT5G28646"
"2846",2846,"AT5G02250"
"968",968,"AT1G77400"
"1607",1607,"AT3G01680"
"2360",2360,"AT4G08480"
"2298",2298,"AT4G01995"
"3676",3676,"ATMG00640"
"394",394,"AT1G23840"
"3108",3108,"AT5G22660"
"2663",2663,"AT4G29610"
"2536",2536,"AT4G21070"
"2019",2019,"AT3G45960"
"1453",1453,"AT2G38600"
"1710",1710,"AT3G07530"
"2974",2974,"AT5G10900"
"3555",3555,"AT5G61350"
"950",950,"AT1G75640"
"693",693,"AT1G60690"
