"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
2.36782301297096e-14,114,379,"RNA modification ","AT1G01860 AT1G04840 AT1G06140 AT1G08070 AT1G09190 AT1G09220 AT1G13410 AT1G15510 AT1G20230 AT1G22830 AT1G25360 AT1G29710 AT1G33350 AT1G34160 AT1G45231 AT1G50000 AT1G66520 AT1G68930 AT1G71460 AT1G72530 AT1G74600 AT1G77170 AT1G78010 AT1G78190 AT2G01510 AT2G02750 AT2G13440 AT2G20540 AT2G22410 AT2G29760 AT2G30320 AT2G33680 AT2G35030 AT2G36730 AT2G37310 AT2G42920 AT3G03580 AT3G04750 AT3G05340 AT3G11460 AT3G12770 AT3G14330 AT3G14730 AT3G18970 AT3G20930 AT3G23330 AT3G25970 AT3G26782 AT3G28640 AT3G28660 AT3G29230 AT3G46790 AT3G47530 AT3G47840 AT3G49170 AT3G49710 AT3G51320 AT3G58590 AT3G63110 AT4G01030 AT4G04670 AT4G13650 AT4G13860 AT4G14050 AT4G14170 AT4G14820 AT4G14850 AT4G16470 AT4G18520 AT4G19191 AT4G21300 AT4G22760 AT4G27340 AT4G30700 AT4G32450 AT4G33990 AT4G35130 AT4G37170 AT4G37380 AT4G38010 AT4G39952 AT5G03800 AT5G06540 AT5G08305 AT5G13270 AT5G15300 AT5G16860 AT5G17660 AT5G19020 AT5G19040 AT5G22800 AT5G37530 AT5G42450 AT5G43790 AT5G44230 AT5G46460 AT5G48910 AT5G50990 AT5G52850 AT5G56310 AT5G65570 AT5G66500 AT1G09800 AT1G56345 AT2G31580 AT2G45270 AT3G06950 AT3G27180 AT3G63510 AT4G38020 AT4G40000 AT5G50110 AT1G47580 AT5G17790"
3.00395543953493e-06,62,217,"Chloroplast organization ","AT1G21150 AT1G21650 AT1G30610 AT1G61960 AT1G61970 AT1G62010 AT1G62120 AT1G62150 AT1G64810 AT1G69200 AT1G74120 AT1G75720 AT1G79220 AT2G03050 AT2G17940 AT2G21710 AT2G36000 AT2G40480 AT3G46950 AT3G54090 AT3G60400 AT4G01800 AT4G14605 AT4G28590 AT5G06811 AT5G07900 AT5G23930 AT5G38150 AT5G55580 AT5G64950 AT5G67570 AT1G01790 AT1G58200 AT1G08540 AT1G09340 AT1G15510 AT1G28530 AT1G63680 AT1G67440 AT1G75010 AT1G79600 AT2G04270 AT3G07700 AT3G24560 AT3G25690 AT3G47390 AT3G54990 AT4G23940 AT4G31390 AT4G34020 AT4G34090 AT4G34740 AT5G02250 AT5G13770 AT5G17790 AT5G23730 AT5G35220 AT5G40270 AT5G44190 AT5G48470 AT5G53080 AT5G62430"
1.2565341201156e-05,73,284,"Plastid organization ","AT1G03160 AT1G06430 AT1G21150 AT1G21650 AT1G30610 AT1G61960 AT1G61970 AT1G62010 AT1G62120 AT1G62150 AT1G64810 AT1G69200 AT1G74120 AT1G75720 AT1G79220 AT2G03050 AT2G17940 AT2G21710 AT2G23410 AT2G36000 AT2G40480 AT3G46950 AT3G54090 AT3G60400 AT4G01800 AT4G14605 AT4G28590 AT5G06811 AT5G07900 AT5G23930 AT5G38150 AT5G55580 AT5G58784 AT5G64950 AT5G67570 AT1G01790 AT1G58200 AT1G08540 AT1G09340 AT1G15510 AT1G28530 AT1G63680 AT1G67440 AT1G68590 AT1G71720 AT1G75010 AT1G79600 AT2G04270 AT2G34860 AT2G39290 AT3G07700 AT3G24560 AT3G25690 AT3G47390 AT3G54990 AT3G61320 AT4G23940 AT4G31390 AT4G34020 AT4G34090 AT4G34740 AT5G02250 AT5G13770 AT5G17790 AT5G23120 AT5G23730 AT5G35220 AT5G40270 AT5G44190 AT5G48470 AT5G53080 AT5G60335 AT5G62430"
0.000272312843655727,87,386,"Cellular response to DNA damage stimulus ","AT1G03190 AT1G05900 AT1G10520 AT1G11800 AT1G12370 AT1G19025 AT1G20720 AT1G27880 AT1G49980 AT1G52530 AT1G67500 AT1G77600 AT2G31865 AT2G31870 AT3G02680 AT3G05480 AT3G05740 AT3G13170 AT3G18630 AT3G24320 AT3G24495 AT3G27120 AT3G48425 AT3G52115 AT3G59550 AT4G02390 AT4G17760 AT4G19130 AT4G21070 AT4G25120 AT4G35740 AT4G36050 AT5G01630 AT5G07810 AT5G21140 AT5G40820 AT5G40840 AT5G41360 AT5G50340 AT5G54260 AT5G57160 AT5G57450 AT5G63540 AT5G66130 AT2G21800 AT2G22140 AT5G22750 AT1G03750 AT1G16590 AT1G18090 AT1G19100 AT1G56500 AT1G65070 AT1G66730 AT2G14050 AT2G18760 AT2G30350 AT3G07930 AT3G09660 AT3G15620 AT3G28030 AT3G47830 AT3G48190 AT3G48900 AT4G18470 AT4G24970 AT4G29560 AT5G01840 AT5G07400 AT5G24850 AT5G49110 AT5G50780 AT5G50930 AT5G54090 AT5G60870 AT5G61460 AT5G64520 AT5G64630 AT4G00380 AT3G13782 AT5G08110 AT1G08840 AT1G47870 AT2G06040 AT2G31580 AT5G21900 AT5G45610"
0.000280704903221425,81,354,"DNA repair ","AT1G03190 AT1G05900 AT1G10520 AT1G11800 AT1G12370 AT1G19025 AT1G20720 AT1G27880 AT1G49980 AT1G52530 AT1G67500 AT1G77600 AT2G31865 AT2G31870 AT3G02680 AT3G05740 AT3G13170 AT3G18630 AT3G24320 AT3G24495 AT3G27120 AT3G48425 AT3G52115 AT3G59550 AT4G02390 AT4G19130 AT4G21070 AT4G25120 AT4G35740 AT4G36050 AT5G01630 AT5G07810 AT5G21140 AT5G40840 AT5G41360 AT5G50340 AT5G54260 AT5G57160 AT5G57450 AT5G63540 AT2G21800 AT2G22140 AT5G22750 AT1G03750 AT1G16590 AT1G18090 AT1G19100 AT1G56500 AT1G65070 AT1G66730 AT2G14050 AT2G18760 AT2G30350 AT3G05480 AT3G07930 AT3G09660 AT3G15620 AT3G28030 AT3G47830 AT3G48900 AT4G18470 AT4G24970 AT4G29560 AT5G01840 AT5G07400 AT5G24850 AT5G40820 AT5G49110 AT5G50780 AT5G50930 AT5G54090 AT5G61460 AT5G64520 AT5G64630 AT5G66130 AT4G00380 AT3G13782 AT5G08110 AT1G08840 AT2G06040 AT5G21900"
0.00330221264441645,60,257,"Cell surface receptor signaling pathway ","AT1G16110 AT1G16260 AT1G21250 AT1G65190 AT1G67470 AT3G57720 AT3G57730 AT3G57740 AT3G57760 AT5G02070 AT5G66790 AT1G09440 AT1G21590 AT1G24030 AT1G49730 AT1G55200 AT1G61860 AT1G68690 AT1G70460 AT1G77280 AT1G80640 AT2G16750 AT2G17260 AT2G18890 AT2G25220 AT2G28590 AT2G28830 AT2G32390 AT2G32400 AT2G37710 AT2G39180 AT2G43690 AT2G43850 AT3G04110 AT3G07070 AT3G09780 AT3G15890 AT3G25560 AT3G45420 AT3G45430 AT3G51480 AT3G55550 AT3G58690 AT3G59700 AT4G02410 AT4G04960 AT4G10390 AT5G11020 AT5G11210 AT5G18610 AT5G23170 AT5G27100 AT5G55830 AT5G57670 AT5G59260 AT5G60270 AT5G60310 AT5G63710 AT5G45840 AT1G61380"
0.00383227931600205,553,3532,"Macromolecule modification ","AT1G01860 AT1G03920 AT1G04840 AT1G06140 AT1G08070 AT1G09000 AT1G09190 AT1G09220 AT1G09440 AT1G09600 AT1G11950 AT1G12730 AT1G13410 AT1G15510 AT1G17230 AT1G17750 AT1G18670 AT1G20230 AT1G21590 AT1G22830 AT1G23980 AT1G24030 AT1G25360 AT1G26810 AT1G27120 AT1G29710 AT1G29730 AT1G29740 AT1G29750 AT1G32340 AT1G33350 AT1G34160 AT1G35710 AT1G45231 AT1G49160 AT1G49180 AT1G49730 AT1G50000 AT1G50700 AT1G53430 AT1G53700 AT1G53950 AT1G53980 AT1G54450 AT1G54840 AT1G55200 AT1G55610 AT1G56500 AT1G57700 AT1G61360 AT1G61370 AT1G61380 AT1G61400 AT1G61420 AT1G61430 AT1G61500 AT1G61860 AT1G66520 AT1G68690 AT1G68930 AT1G70460 AT1G71460 AT1G72180 AT1G72530 AT1G73690 AT1G74330 AT1G74600 AT1G75820 AT1G77170 AT1G77280 AT1G77390 AT1G78010 AT1G78190 AT1G79640 AT1G80640 AT2G01510 AT2G01905 AT2G02750 AT2G13440 AT2G16750 AT2G18650 AT2G18890 AT2G19130 AT2G20540 AT2G22410 AT2G24530 AT2G25220 AT2G28590 AT2G29640 AT2G29760 AT2G30320 AT2G32410 AT2G32430 AT2G32510 AT2G33540 AT2G33640 AT2G33680 AT2G35030 AT2G36730 AT2G37310 AT2G39180 AT2G39360 AT2G40810 AT2G42920 AT3G02130 AT3G03580 AT3G03770 AT3G04750 AT3G05340 AT3G06910 AT3G07070 AT3G07670 AT3G07980 AT3G09010 AT3G09780 AT3G10070 AT3G11040 AT3G11460 AT3G12690 AT3G12770 AT3G13380 AT3G14330 AT3G14730 AT3G15890 AT3G18770 AT3G18930 AT3G18970 AT3G20930 AT3G21530 AT3G23330 AT3G25560 AT3G25970 AT3G26782 AT3G28040 AT3G28640 AT3G28660 AT3G29230 AT3G46790 AT3G47530 AT3G47840 AT3G48260 AT3G49170 AT3G49370 AT3G49710 AT3G50310 AT3G51320 AT3G53090 AT3G54930 AT3G55040 AT3G56440 AT3G58590 AT3G58690 AT3G60220 AT3G62690 AT3G63110 AT4G01030 AT4G02390 AT4G03230 AT4G04670 AT4G08480 AT4G09770 AT4G10390 AT4G11530 AT4G13650 AT4G13860 AT4G14050 AT4G14170 AT4G14820 AT4G14850 AT4G16470 AT4G17895 AT4G18470 AT4G18520 AT4G19191 AT4G20140 AT4G21060 AT4G21070 AT4G21230 AT4G21300 AT4G21390 AT4G21430 AT4G22760 AT4G23180 AT4G23190 AT4G25600 AT4G26890 AT4G27340 AT4G30700 AT4G30825 AT4G31050 AT4G31440 AT4G32300 AT4G32450 AT4G33950 AT4G33990 AT4G34020 AT4G35130 AT4G37170 AT4G37380 AT4G38010 AT4G39952 AT5G01630 AT5G01770 AT5G02780 AT5G03800 AT5G06540 AT5G06940 AT5G08305 AT5G10440 AT5G11020 AT5G11300 AT5G11470 AT5G13270 AT5G14660 AT5G15025 AT5G15300 AT5G16860 AT5G17240 AT5G17250 AT5G17660 AT5G18610 AT5G19020 AT5G19040 AT5G20480 AT5G22800 AT5G23170 AT5G23580 AT5G25380 AT5G25930 AT5G35370 AT5G35410 AT5G37530 AT5G41360 AT5G42450 AT5G43790 AT5G44230 AT5G46460 AT5G48570 AT5G48910 AT5G50990 AT5G52850 AT5G53890 AT5G56310 AT5G57670 AT5G59700 AT5G60250 AT5G61350 AT5G61480 AT5G61540 AT5G63710 AT5G65420 AT5G65450 AT5G65570 AT5G66500 AT5G67410 AT1G11440 AT1G27910 AT2G22740 AT2G23430 AT2G31650 AT2G33290 AT2G35160 AT2G40120 AT2G43850 AT3G05640 AT3G19280 AT3G20860 AT3G23610 AT3G59410 AT3G59700 AT3G61160 AT4G28890 AT4G33470 AT5G23320 AT5G38210 AT5G48820 AT5G65200 AT1G01140 AT1G01450 AT1G01660 AT1G01670 AT1G01740 AT1G02575 AT1G02970 AT1G03010 AT1G03190 AT1G04050 AT1G04310 AT1G04390 AT1G05000 AT1G05700 AT1G07560 AT1G08180 AT1G09800 AT1G10230 AT1G12460 AT1G14260 AT1G15820 AT1G16110 AT1G16150 AT1G16160 AT1G16260 AT1G18030 AT1G18170 AT1G19340 AT1G20810 AT1G21250 AT1G22460 AT1G24330 AT1G25390 AT1G26970 AT1G30810 AT1G31350 AT1G31810 AT1G32740 AT1G37150 AT1G38065 AT1G45180 AT1G45248 AT1G48120 AT1G49230 AT1G51790 AT1G51840 AT1G52450 AT1G53025 AT1G55970 AT1G56345 AT1G59560 AT1G60190 AT1G60700 AT1G61280 AT1G62950 AT1G63450 AT1G65190 AT1G65950 AT1G66160 AT1G66660 AT1G66930 AT1G67410 AT1G67470 AT1G67720 AT1G68830 AT1G68940 AT1G69670 AT1G69790 AT1G71810 AT1G74490 AT1G74680 AT1G75060 AT1G75640 AT1G79110 AT1G79600 AT1G80100 AT1G80110 AT1G80630 AT2G01620 AT2G02350 AT2G03280 AT2G04660 AT2G06040 AT2G13290 AT2G15370 AT2G16250 AT2G17820 AT2G18915 AT2G23410 AT2G23770 AT2G24540 AT2G25050 AT2G25090 AT2G26000 AT2G27060 AT2G28830 AT2G28940 AT2G28960 AT2G28970 AT2G28990 AT2G30695 AT2G31580 AT2G31790 AT2G31990 AT2G34180 AT2G34420 AT2G34920 AT2G34940 AT2G34980 AT2G35350 AT2G36370 AT2G36570 AT2G37710 AT2G37980 AT2G38830 AT2G42260 AT2G42290 AT2G42350 AT2G42640 AT2G43560 AT2G43690 AT2G45270 AT2G46160 AT3G01480 AT3G01510 AT3G03650 AT3G05320 AT3G06950 AT3G07550 AT3G07900 AT3G08020 AT3G08505 AT3G09830 AT3G11840 AT3G16320 AT3G16560 AT3G17250 AT3G18773 AT3G24190 AT3G25740 AT3G27180 AT3G27540 AT3G44820 AT3G45420 AT3G45430 AT3G45920 AT3G46920 AT3G46930 AT3G47570 AT3G47820 AT3G48190 AT3G49900 AT3G50230 AT3G51470 AT3G55550 AT3G55950 AT3G57720 AT3G57730 AT3G57740 AT3G57760 AT3G57830 AT3G58720 AT3G59420 AT3G63280 AT3G63510 AT4G00070 AT4G00955 AT4G02410 AT4G03960 AT4G04960 AT4G07400 AT4G09100 AT4G09110 AT4G09560 AT4G10340 AT4G11330 AT4G11370 AT4G11990 AT4G14365 AT4G16250 AT4G17483 AT4G19830 AT4G21350 AT4G24015 AT4G24810 AT4G26555 AT4G26980 AT4G30640 AT4G31250 AT4G31390 AT4G32790 AT4G33500 AT4G36550 AT4G38020 AT4G38940 AT4G40000 AT4G40070 AT5G01100 AT5G01700 AT5G01920 AT5G02070 AT5G02220 AT5G02400 AT5G05510 AT5G07070 AT5G09230 AT5G09630 AT5G09800 AT5G10900 AT5G13410 AT5G15710 AT5G15790 AT5G16810 AT5G16900 AT5G19670 AT5G21140 AT5G21900 AT5G24850 AT5G26040 AT5G37478 AT5G38070 AT5G39020 AT5G40140 AT5G40460 AT5G40820 AT5G41240 AT5G43380 AT5G43420 AT5G44930 AT5G45700 AT5G45840 AT5G46650 AT5G47110 AT5G48130 AT5G48170 AT5G48740 AT5G49610 AT5G50110 AT5G51350 AT5G51370 AT5G51450 AT5G53320 AT5G53920 AT5G55220 AT5G55830 AT5G57610 AT5G58150 AT5G58550 AT5G58784 AT5G59260 AT5G59800 AT5G60050 AT5G60270 AT5G60310 AT5G60510 AT5G61570 AT5G62220 AT5G66790 AT5G67385 ATCG00280 ATCG00680 AT2G18000 AT4G00380 AT4G36050 AT5G56780 AT1G19100 AT1G47580 AT1G62830 AT2G16390 AT2G40030 AT3G09600 AT3G12580 AT3G13682 AT4G24970 AT5G17790 AT5G50780"
0.0196055643845512,32,121,"Double-strand break repair ","AT1G10520 AT1G11800 AT1G19025 AT1G20720 AT1G27880 AT1G52530 AT3G02680 AT3G05740 AT3G13170 AT3G27120 AT3G52115 AT3G59550 AT4G02390 AT4G19130 AT4G21070 AT4G35740 AT5G01630 AT5G21140 AT5G40840 AT5G54260 AT5G57160 AT5G57450 AT5G63540 AT5G22750 AT5G61460 AT5G64520 AT4G00380 AT3G09660 AT3G13782 AT1G66730 AT5G40820 AT5G64630"
0.0196055643845512,10,20,"Phospholipid dephosphorylation ","AT1G05630 AT1G34120 AT2G01900 AT2G31830 AT2G32010 AT2G37440 AT2G43900 AT4G18010 AT5G04980 AT5G65090"
0.0196055643845512,10,20,"Phosphatidylinositol dephosphorylation ","AT1G05630 AT1G34120 AT2G01900 AT2G31830 AT2G32010 AT2G37440 AT2G43900 AT4G18010 AT5G04980 AT5G65090"
