"","X","col_GC_c1.which.mclass....6...1."
"2345",2345,"AT4G10890"
"1429",1429,"AT2G42790"
"2241",2241,"AT4G00150"
"1727",1727,"AT3G13470"
"493",493,"AT1G35220"
"244",244,"AT1G15280"
"468",468,"AT1G32370"
"1422",1422,"AT2G42120"
"10",10,"AT1G01640"
"2243",2243,"AT4G00231"
"2763",2763,"AT5G01620"
"2688",2688,"AT4G36390"
"2985",2985,"AT5G16210"
"1527",1527,"AT3G02240"
"1478",1478,"AT2G46410"
"1948",1948,"AT3G28200"
"3467",3467,"AT5G60520"
"2358",2358,"AT4G12780"
"1972",1972,"AT3G43440"
"960",960,"AT2G01830"
"710",710,"AT1G63640"
"281",281,"AT1G18470"
"2948",2948,"AT5G13890"
"3394",3394,"AT5G56220"
"3184",3184,"AT5G40300"
"597",597,"AT1G53180"
"1278",1278,"AT2G32710"
"2691",2691,"AT4G36650"
"1622",1622,"AT3G07340"
"1999",1999,"AT3G46740"
"3465",3465,"AT5G60410"
"257",257,"AT1G16210"
"3434",3434,"AT5G58370"
"3405",3405,"AT5G57015"
"5",5,"AT1G01240"
"1319",1319,"AT2G36070"
"40",40,"AT1G03350"
"3350",3350,"AT5G53180"
"1877",1877,"AT3G23090"
"796",796,"AT1G70370"
"3531",3531,"AT5G63880"
"808",808,"AT1G71220"
"3095",3095,"AT5G24590"
"3169",3169,"AT5G38200"
"2237",2237,"AT3G63520"
"2046",2046,"AT3G50920"
"1685",1685,"AT3G11397"
"2507",2507,"AT4G25260"
"2854",2854,"AT5G07910"
"593",593,"AT1G52905"
"2069",2069,"AT3G52290"
"1031",1031,"AT2G15860"
"3225",3225,"AT5G43710"
"1862",1862,"AT3G21550"
"3602",3602,"AT5G67100"
"8",8,"AT1G01360"
"1575",1575,"AT3G04910"
"801",801,"AT1G70670"
"1940",1940,"AT3G27420"
"1732",1732,"AT3G13710"
"743",743,"AT1G66670"
"1981",1981,"AT3G44620"
"815",815,"AT1G71740"
"1512",1512,"AT3G01380"
"3074",3074,"AT5G23300"
"2185",2185,"AT3G60130"
"3532",3532,"AT5G63890"
"2052",2052,"AT3G51240"
"2316",2316,"AT4G08170"
"595",595,"AT1G53040"
"2184",2184,"AT3G60080"
"3143",3143,"AT5G33300"
"1377",1377,"AT2G39440"
