"","col_GC_c1.which.mclass....8...1."
"1","AT1G01060"
"2","AT1G01160"
"3","AT1G01230"
"4","AT1G01300"
"5","AT1G01470"
"6","AT1G01490"
"7","AT1G01510"
"8","AT1G01630"
"9","AT1G01730"
"10","AT1G01820"
"11","AT1G01910"
"12","AT1G01940"
"13","AT1G01960"
"14","AT1G02090"
"15","AT1G02100"
"16","AT1G02160"
"17","AT1G02305"
"18","AT1G02330"
"19","AT1G02335"
"20","AT1G02560"
"21","AT1G02816"
"22","AT1G02850"
"23","AT1G02870"
"24","AT1G03140"
"25","AT1G03150"
"26","AT1G03210"
"27","AT1G03230"
"28","AT1G03610"
"29","AT1G03910"
"30","AT1G04080"
"31","AT1G04140"
"32","AT1G04190"
"33","AT1G04260"
"34","AT1G04430"
"35","AT1G04510"
"36","AT1G04590"
"37","AT1G04940"
"38","AT1G04985"
"39","AT1G05210"
"40","AT1G05250"
"41","AT1G05360"
"42","AT1G05620"
"43","AT1G05680"
"44","AT1G05785"
"45","AT1G06220"
"46","AT1G06230"
"47","AT1G06400"
"48","AT1G06410"
"49","AT1G06530"
"50","AT1G06540"
"51","AT1G06550"
"52","AT1G06570"
"53","AT1G06640"
"54","AT1G06670"
"55","AT1G06700"
"56","AT1G06890"
"57","AT1G06900"
"58","AT1G06960"
"59","AT1G07020"
"60","AT1G07030"
"61","AT1G07310"
"62","AT1G07360"
"63","AT1G07370"
"64","AT1G07470"
"65","AT1G07660"
"66","AT1G07670"
"67","AT1G07750"
"68","AT1G08037"
"69","AT1G08160"
"70","AT1G08370"
"71","AT1G08500"
"72","AT1G08510"
"73","AT1G08560"
"74","AT1G08570"
"75","AT1G08660"
"76","AT1G08770"
"77","AT1G08780"
"78","AT1G08820"
"79","AT1G09140"
"80","AT1G09160"
"81","AT1G09250"
"82","AT1G09270"
"83","AT1G09280"
"84","AT1G09430"
"85","AT1G09520"
"86","AT1G09570"
"87","AT1G09580"
"88","AT1G09630"
"89","AT1G09645"
"90","AT1G09660"
"91","AT1G09815"
"92","AT1G09840"
"93","AT1G09920"
"94","AT1G09970"
"95","AT1G10140"
"96","AT1G10290"
"97","AT1G10380"
"98","AT1G10470"
"99","AT1G10500"
"100","AT1G10530"
"101","AT1G10865"
"102","AT1G10890"
"103","AT1G11240"
"104","AT1G11260"
"105","AT1G11310"
"106","AT1G11360"
"107","AT1G11400"
"108","AT1G11480"
"109","AT1G11750"
"110","AT1G11890"
"111","AT1G12010"
"112","AT1G12120"
"113","AT1G12160"
"114","AT1G12270"
"115","AT1G12400"
"116","AT1G12410"
"117","AT1G12580"
"118","AT1G12640"
"119","AT1G12650"
"120","AT1G12780"
"121","AT1G12810"
"122","AT1G12850"
"123","AT1G13260"
"124","AT1G13320"
"125","AT1G13360"
"126","AT1G13450"
"127","AT1G13730"
"128","AT1G13950"
"129","AT1G14060"
"130","AT1G14220"
"131","AT1G14290"
"132","AT1G14300"
"133","AT1G14453"
"134","AT1G14510"
"135","AT1G14570"
"136","AT1G14610"
"137","AT1G14650"
"138","AT1G14685"
"139","AT1G14730"
"140","AT1G14740"
"141","AT1G14810"
"142","AT1G14890"
"143","AT1G15200"
"144","AT1G15230"
"145","AT1G15250"
"146","AT1G15390"
"147","AT1G15420"
"148","AT1G15670"
"149","AT1G15750"
"150","AT1G15860"
"151","AT1G15880"
"152","AT1G15920"
"153","AT1G15960"
"154","AT1G16040"
"155","AT1G16350"
"156","AT1G16460"
"157","AT1G16840"
"158","AT1G16860"
"159","AT1G16870"
"160","AT1G17130"
"161","AT1G17190"
"162","AT1G17210"
"163","AT1G17280"
"164","AT1G17285"
"165","AT1G17290"
"166","AT1G17455"
"167","AT1G17470"
"168","AT1G17510"
"169","AT1G17530"
"170","AT1G17720"
"171","AT1G17745"
"172","AT1G18070"
"173","AT1G18250"
"174","AT1G18720"
"175","AT1G18840"
"176","AT1G19310"
"177","AT1G19580"
"178","AT1G19600"
"179","AT1G19660"
"180","AT1G19680"
"181","AT1G19835"
"182","AT1G19850"
"183","AT1G19920"
"184","AT1G20160"
"185","AT1G20225"
"186","AT1G20460"
"187","AT1G20575"
"188","AT1G20770"
"189","AT1G20840"
"190","AT1G20900"
"191","AT1G20920"
"192","AT1G20950"
"193","AT1G20970"
"194","AT1G21050"
"195","AT1G21065"
"196","AT1G21080"
"197","AT1G21140"
"198","AT1G21630"
"199","AT1G21690"
"200","AT1G21710"
"201","AT1G21900"
"202","AT1G21920"
"203","AT1G21930"
"204","AT1G22065"
"205","AT1G22140"
"206","AT1G22200"
"207","AT1G22360"
"208","AT1G22440"
"209","AT1G22530"
"210","AT1G22620"
"211","AT1G22640"
"212","AT1G22710"
"213","AT1G22885"
"214","AT1G22910"
"215","AT1G22920"
"216","AT1G23020"
"217","AT1G23080"
"218","AT1G23100"
"219","AT1G23190"
"220","AT1G23260"
"221","AT1G23280"
"222","AT1G23960"
"223","AT1G24350"
"224","AT1G24450"
"225","AT1G24793"
"226","AT1G25175"
"227","AT1G25220"
"228","AT1G25280"
"229","AT1G25350"
"230","AT1G25530"
"231","AT1G25550"
"232","AT1G26270"
"233","AT1G26440"
"234","AT1G26580"
"235","AT1G26640"
"236","AT1G26665"
"237","AT1G26690"
"238","AT1G26740"
"239","AT1G26920"
"240","AT1G27000"
"241","AT1G27140"
"242","AT1G27300"
"243","AT1G27340"
"244","AT1G28060"
"245","AT1G28110"
"246","AT1G28200"
"247","AT1G28250"
"248","AT1G28395"
"249","AT1G28580"
"250","AT1G29040"
"251","AT1G29050"
"252","AT1G29070"
"253","AT1G29280"
"254","AT1G29310"
"255","AT1G29330"
"256","AT1G29418"
"257","AT1G29520"
"258","AT1G29785"
"259","AT1G29790"
"260","AT1G29950"
"261","AT1G29965"
"262","AT1G29970"
"263","AT1G30110"
"264","AT1G30130"
"265","AT1G30270"
"266","AT1G30440"
"267","AT1G30550"
"268","AT1G30590"
"269","AT1G30690"
"270","AT1G30750"
"271","AT1G30760"
"272","AT1G30890"
"273","AT1G30970"
"274","AT1G31020"
"275","AT1G31130"
"276","AT1G31160"
"277","AT1G31180"
"278","AT1G31300"
"279","AT1G31340"
"280","AT1G31660"
"281","AT1G31780"
"282","AT1G31817"
"283","AT1G31850"
"284","AT1G31950"
"285","AT1G32100"
"286","AT1G32130"
"287","AT1G32400"
"288","AT1G32630"
"289","AT1G32640"
"290","AT1G32920"
"291","AT1G33040"
"292","AT1G33050"
"293","AT1G33055"
"294","AT1G33110"
"295","AT1G33230"
"296","AT1G33240"
"297","AT1G33265"
"298","AT1G33520"
"299","AT1G33680"
"300","AT1G33800"
"301","AT1G33990"
"302","AT1G34110"
"303","AT1G34350"
"304","AT1G34370"
"305","AT1G34430"
"306","AT1G35190"
"307","AT1G35680"
"308","AT1G35780"
"309","AT1G36050"
"310","AT1G36310"
"311","AT1G37130"
"312","AT1G41830"
"313","AT1G42480"
"314","AT1G43130"
"315","AT1G43580"
"316","AT1G43700"
"317","AT1G44770"
"318","AT1G44810"
"319","AT1G44835"
