"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
7.85012809410928e-08,81,284,"Plastid organization ","AT1G03160 AT1G06430 AT1G21150 AT1G30475 AT1G30610 AT1G61960 AT1G61970 AT1G62010 AT1G62150 AT1G64810 AT1G69200 AT1G74120 AT1G75720 AT1G78930 AT1G79220 AT2G03050 AT2G31840 AT2G36000 AT3G46950 AT3G54090 AT3G60400 AT4G01800 AT4G14605 AT4G20130 AT4G27990 AT4G28590 AT5G06811 AT5G07900 AT5G23930 AT5G38150 AT5G42270 AT5G42480 AT5G54180 AT5G55580 AT5G64950 AT5G67570 AT5G10470 AT1G01790 AT2G23140 AT1G08540 AT1G28530 AT1G31480 AT1G43160 AT1G50840 AT1G63680 AT1G70200 AT1G71720 AT1G75010 AT1G79600 AT2G04270 AT2G30040 AT2G34860 AT2G36810 AT2G39290 AT3G07700 AT3G08010 AT3G23400 AT3G24560 AT3G47450 AT3G61320 AT4G16390 AT4G23940 AT4G31390 AT4G34020 AT4G34090 AT4G34740 AT5G13770 AT5G17790 AT5G23120 AT5G23730 AT5G24120 AT5G35220 AT5G39980 AT5G40270 AT5G44190 AT5G48470 AT5G53080 AT5G59220 AT5G60335 AT5G63420 AT5G64050"
7.85012809410928e-08,67,217,"Chloroplast organization ","AT1G21150 AT1G30475 AT1G30610 AT1G61960 AT1G61970 AT1G62010 AT1G62150 AT1G64810 AT1G69200 AT1G74120 AT1G75720 AT1G78930 AT1G79220 AT2G03050 AT2G31840 AT2G36000 AT3G46950 AT3G54090 AT3G60400 AT4G01800 AT4G14605 AT4G20130 AT4G27990 AT4G28590 AT5G06811 AT5G07900 AT5G23930 AT5G38150 AT5G42480 AT5G54180 AT5G55580 AT5G64950 AT5G67570 AT5G10470 AT1G01790 AT2G23140 AT1G08540 AT1G28530 AT1G43160 AT1G63680 AT1G75010 AT1G79600 AT2G04270 AT2G30040 AT3G07700 AT3G08010 AT3G23400 AT3G24560 AT4G16390 AT4G23940 AT4G31390 AT4G34020 AT4G34090 AT4G34740 AT5G13770 AT5G17790 AT5G23730 AT5G24120 AT5G35220 AT5G39980 AT5G40270 AT5G44190 AT5G48470 AT5G53080 AT5G59220 AT5G63420 AT5G64050"
3.0674373407526e-06,96,386,"Cellular response to DNA damage stimulus ","AT1G03190 AT1G05900 AT1G08400 AT1G10520 AT1G10930 AT1G11800 AT1G12370 AT1G20720 AT1G24290 AT1G27880 AT1G49980 AT1G67500 AT1G77600 AT1G77620 AT2G20960 AT2G22260 AT2G31870 AT3G02680 AT3G05480 AT3G05740 AT3G24495 AT3G27120 AT3G47700 AT3G48425 AT3G52115 AT3G59550 AT4G02390 AT4G12740 AT4G14970 AT4G17760 AT4G21070 AT4G25120 AT4G30870 AT4G35110 AT4G35740 AT5G01630 AT5G07810 AT5G15170 AT5G21140 AT5G22110 AT5G40820 AT5G40840 AT5G41360 AT5G44740 AT5G50340 AT5G51795 AT5G54260 AT5G57160 AT5G57450 AT5G63540 AT5G66130 AT2G21800 AT3G19210 AT5G22750 AT1G03750 AT1G16590 AT1G18090 AT1G19100 AT1G50840 AT1G65070 AT1G66730 AT1G78790 AT2G14050 AT2G18760 AT3G07930 AT3G09660 AT3G15620 AT3G28030 AT3G47830 AT3G48190 AT3G48900 AT4G18470 AT4G21065 AT4G29560 AT5G07400 AT5G50780 AT5G50930 AT5G54090 AT5G60870 AT5G61460 AT5G64520 AT5G64630 AT4G00380 AT3G13782 AT3G27630 AT5G08110 AT1G08840 AT1G47870 AT2G31580 AT3G09370 AT3G16730 AT4G29170 AT5G21900 AT5G45610 AT5G54770 AT1G77320"
9.28378302339859e-06,14,20,"Mitotic DNA integrity checkpoint ","AT1G07270 AT1G08400 AT1G77320 AT1G77620 AT2G29680 AT3G02680 AT3G05480 AT3G24495 AT3G47700 AT4G12620 AT4G30870 AT5G54260 AT5G66130 AT5G52950"
1.7424445999378e-05,12,16,"Negative regulation of G2/M transition of mitotic cell cycle ","AT1G07270 AT1G08400 AT1G77320 AT1G77620 AT2G29680 AT3G02680 AT3G24495 AT3G47700 AT4G12620 AT5G54260 AT5G66130 AT5G52950"
1.7424445999378e-05,12,16,"Mitotic G2/M transition checkpoint ","AT1G07270 AT1G08400 AT1G77320 AT1G77620 AT2G29680 AT3G02680 AT3G24495 AT3G47700 AT4G12620 AT5G54260 AT5G66130 AT5G52950"
1.7424445999378e-05,12,16,"Negative regulation of cell cycle G2/M phase transition ","AT1G07270 AT1G08400 AT1G77320 AT1G77620 AT2G29680 AT3G02680 AT3G24495 AT3G47700 AT4G12620 AT5G54260 AT5G66130 AT5G52950"
5.0168162130142e-05,17,32,"DNA integrity checkpoint ","AT1G07270 AT1G08400 AT1G77320 AT1G77620 AT2G29680 AT3G02680 AT3G05480 AT3G24495 AT3G47700 AT4G12620 AT4G17760 AT4G30870 AT5G40820 AT5G54260 AT5G66130 AT5G52950 AT1G02970"
5.90577438059653e-05,23,54,"Negative regulation of mitotic cell cycle ","AT1G02970 AT1G07270 AT1G08180 AT1G08400 AT1G49910 AT1G51355 AT1G69400 AT1G77320 AT1G77620 AT2G28870 AT2G29680 AT3G02680 AT3G05480 AT3G10525 AT3G24495 AT3G27630 AT3G47700 AT4G12620 AT4G30870 AT5G05510 AT5G54260 AT5G66130 AT5G52950"
7.21118913944989e-05,17,33,"Cell cycle G2/M phase transition ","AT1G07270 AT1G08400 AT1G27880 AT1G77320 AT1G77620 AT2G29680 AT3G02680 AT3G24495 AT3G47700 AT4G12620 AT5G54260 AT5G66130 AT5G52950 AT5G11300 AT2G31580 AT3G18730 AT4G32700"
