"","X","phyD_FLT_c1.which.mclass....6...1."
"2938",2938,"AT4G12690"
"1790",1790,"AT2G42350"
"2808",2808,"AT4G02075"
"2165",2165,"AT3G15510"
"618",618,"AT1G35660"
"306",306,"AT1G15870"
"586",586,"AT1G32610"
"1783",1783,"AT2G42170"
"12",12,"AT1G01500"
"2811",2811,"AT4G02195"
"3464",3464,"AT4G39920"
"3370",3370,"AT4G35540"
"3742",3742,"AT5G15790"
"1915",1915,"AT3G01890"
"1853",1853,"AT2G45590"
"2443",2443,"AT3G46490"
"4348",4348,"AT5G57970"
"2957",2957,"AT4G13870"
"2473",2473,"AT3G47700"
"1204",1204,"AT1G79540"
"890",890,"AT1G62515"
"352",352,"AT1G17744"
"3699",3699,"AT5G12100"
"4258",4258,"AT5G52950"
"3995",3995,"AT5G38590"
"750",750,"AT1G53440"
"1604",1604,"AT2G32430"
"3377",3377,"AT4G35870"
"2036",2036,"AT3G08600"
"2509",2509,"AT3G49410"
"4349",4349,"AT5G57980"
"323",323,"AT1G16590"
"4310",4310,"AT5G55810"
"4274",4274,"AT5G54020"
"6",6,"AT1G01220"
"1655",1655,"AT2G35390"
"50",50,"AT1G03470"
"4207",4207,"AT5G50330"
"2357",2357,"AT3G27110"
"1000",1000,"AT1G68730"
"4435",4435,"AT5G63410"
"1014",1014,"AT1G69370"
"3887",3887,"AT5G23910"
"3980",3980,"AT5G37590"
"2810",2810,"AT4G02130"
"2570",2570,"AT3G53010"
"2117",2117,"AT3G13275"
"3149",3149,"AT4G23550"
"3586",3586,"AT5G06100"
"745",745,"AT1G53200"
"2600",2600,"AT3G54363"
"1295",1295,"AT2G06510"
"4053",4053,"AT5G41800"
"2341",2341,"AT3G25805"
"3705",3705,"AT5G12870"
"10",10,"AT1G01440"
"1980",1980,"AT3G05350"
"1006",1006,"AT1G68980"
"2439",2439,"AT3G46020"
"2178",2178,"AT3G16110"
"934",934,"AT1G65080"
"2491",2491,"AT3G48660"
"1024",1024,"AT1G69830"
"1901",1901,"AT3G01180"
"3866",3866,"AT5G22740"
"2748",2748,"AT3G62780"
"4442",4442,"AT5G63770"
"2581",2581,"AT3G53510"
"2913",2913,"AT4G11300"
"749",749,"AT1G53430"
"2747",2747,"AT3G62620"
"3954",3954,"AT5G28646"
"1733",1733,"AT2G39830"
"2102",2102,"AT3G12510"
"2369",2369,"AT3G27500"
"1319",1319,"AT2G13800"
"1285",1285,"AT2G05320"
"255",255,"AT1G13270"
"3002",3002,"AT4G15300"
"3201",3201,"AT4G26370"
"3650",3650,"AT5G09155"
"437",437,"AT1G22700"
"1368",1368,"AT2G18850"
"1756",1756,"AT2G41040"
"1702",1702,"AT2G37630"
"767",767,"AT1G54217"
"1043",1043,"AT1G70895"
"1614",1614,"AT2G33290"
"530",530,"AT1G29530"
"996",996,"AT1G68500"
"2671",2671,"AT3G58620"
"3432",3432,"AT4G38380"
"1582",1582,"AT2G31300"
"3547",3547,"AT5G04330"
"2263",2263,"AT3G20600"
"816",816,"AT1G57700"
"3314",3314,"AT4G32290"
"698",698,"AT1G50450"
"3055",3055,"AT4G18380"
"1904",1904,"AT3G01350"
"1888",1888,"AT2G47350"
"1182",1182,"AT1G78210"
"3224",3224,"AT4G27590"
"4130",4130,"AT5G45560"
"1111",1111,"AT1G74120"
"724",724,"AT1G51890"
"3030",3030,"AT4G16790"
"3486",3486,"AT5G01645"
"2427",2427,"AT3G45050"
"3732",3732,"AT5G15010"
"2430",2430,"AT3G45260"
"128",128,"AT1G06820"
"4441",4441,"AT5G63700"
"4104",4104,"AT5G44370"
"408",408,"AT1G20780"
"1784",1784,"AT2G42247"
"1263",1263,"AT2G03480"
"2060",2060,"AT3G09910"
"3179",3179,"AT4G25350"
"2293",2293,"AT3G22980"
"4297",4297,"AT5G54960"
"1097",1097,"AT1G73660"
"2647",2647,"AT3G56690"
"3697",3697,"AT5G11870"
"243",243,"AT1G12620"
"3963",3963,"AT5G35410"
"4412",4412,"AT5G61865"
"3019",3019,"AT4G16400"
"3664",3664,"AT5G09790"
"2682",2682,"AT3G59068"
"2840",2840,"AT4G04025"
"2281",2281,"AT3G21600"
"3625",3625,"AT5G07730"
"1626",1626,"AT2G33793"
"1845",1845,"AT2G44993"
"986",986,"AT1G67960"
"2366",2366,"AT3G27473"
"2205",2205,"AT3G17930"
"2496",2496,"AT3G48920"
"127",127,"AT1G06800"
"4531",4531,"ATMG00516"
"2585",2585,"AT3G53800"
"4180",4180,"AT5G48840"
"4117",4117,"AT5G45115"
"190",190,"AT1G09960"
"2770",2770,"AT4G00520"
"1649",1649,"AT2G35100"
"2995",2995,"AT4G15090"
"804",804,"AT1G56050"
"288",288,"AT1G14720"
"1057",1057,"AT1G71850"
"2526",2526,"AT3G50300"
"166",166,"AT1G08840"
"3874",3874,"AT5G23100"
"1032",1032,"AT1G70360"
"899",899,"AT1G62950"
"2274",2274,"AT3G21290"
"3763",3763,"AT5G16940"
"2614",2614,"AT3G55250"
"2985",2985,"AT4G14660"
"3221",3221,"AT4G27390"
"551",551,"AT1G30570"
"2147",2147,"AT3G14750"
"2029",2029,"AT3G07940"
"4332",4332,"AT5G57210"
"3940",3940,"AT5G27210"
"4403",4403,"AT5G61390"
"1931",1931,"AT3G02505"
"669",669,"AT1G48640"
"2653",2653,"AT3G57120"
"4321",4321,"AT5G56590"
"2632",2632,"AT3G56010"
"129",129,"AT1G06910"
"895",895,"AT1G62750"
"3769",3769,"AT5G17270"
"325",325,"AT1G16635"
"4224",4224,"AT5G51160"
"432",432,"AT1G22310"
"3049",3049,"AT4G18020"
"3145",3145,"AT4G23490"
"274",274,"AT1G13970"
"3831",3831,"AT5G20150"
"115",115,"AT1G06240"
"3643",3643,"AT5G08650"
"2993",2993,"AT4G14940"
"2251",2251,"AT3G19990"
"3892",3892,"AT5G24310"
"941",941,"AT1G65920"
"1803",1803,"AT2G43040"
"2792",2792,"AT4G01570"
"948",948,"AT1G66330"
"4106",4106,"AT5G44510"
"2768",2768,"AT4G00460"
"1633",1633,"AT2G34150"
"3271",3271,"AT4G29860"
"755",755,"AT1G53660"
"1293",1293,"AT2G06005"
"72",72,"AT1G04360"
