"","phyD_FLT_c1.which.mclass....7...1."
"1","AT1G01190"
"2","AT1G01310"
"3","AT1G01480"
"4","AT1G01600"
"5","AT1G01880"
"6","AT1G01900"
"7","AT1G02030"
"8","AT1G02205"
"9","AT1G02310"
"10","AT1G02350"
"11","AT1G02530"
"12","AT1G02570"
"13","AT1G02660"
"14","AT1G03070"
"15","AT1G03106"
"16","AT1G03120"
"17","AT1G03240"
"18","AT1G03540"
"19","AT1G03700"
"20","AT1G03743"
"21","AT1G03746"
"22","AT1G03820"
"23","AT1G04013"
"24","AT1G04017"
"25","AT1G04077"
"26","AT1G04090"
"27","AT1G04123"
"28","AT1G04150"
"29","AT1G04163"
"30","AT1G04180"
"31","AT1G04227"
"32","AT1G04267"
"33","AT1G04297"
"34","AT1G04330"
"35","AT1G04347"
"36","AT1G04357"
"37","AT1G04445"
"38","AT1G04487"
"39","AT1G04493"
"40","AT1G04560"
"41","AT1G04567"
"42","AT1G04600"
"43","AT1G04657"
"44","AT1G04670"
"45","AT1G04707"
"46","AT1G04778"
"47","AT1G04823"
"48","AT1G04873"
"49","AT1G04877"
"50","AT1G04880"
"51","AT1G04933"
"52","AT1G05033"
"53","AT1G05047"
"54","AT1G05057"
"55","AT1G05087"
"56","AT1G05100"
"57","AT1G05143"
"58","AT1G05153"
"59","AT1G05200"
"60","AT1G05243"
"61","AT1G05267"
"62","AT1G05283"
"63","AT1G05317"
"64","AT1G05417"
"65","AT1G05420"
"66","AT1G05540"
"67","AT1G05607"
"68","AT1G05610"
"69","AT1G05690"
"70","AT1G05773"
"71","AT1G05843"
"72","AT1G05913"
"73","AT1G05973"
"74","AT1G05993"
"75","AT1G05997"
"76","AT1G06017"
"77","AT1G06045"
"78","AT1G06087"
"79","AT1G06113"
"80","AT1G06117"
"81","AT1G06148"
"82","AT1G06160"
"83","AT1G06173"
"84","AT1G06177"
"85","AT1G06207"
"86","AT1G06217"
"87","AT1G06233"
"88","AT1G06250"
"89","AT1G06253"
"90","AT1G06283"
"91","AT1G06320"
"92","AT1G06453"
"93","AT1G06467"
"94","AT1G06483"
"95","AT1G06520"
"96","AT1G06553"
"97","AT1G06607"
"98","AT1G06680"
"99","AT1G06687"
"100","AT1G06690"
"101","AT1G06923"
"102","AT1G06983"
"103","AT1G07010"
"104","AT1G07017"
"105","AT1G07143"
"106","AT1G07160"
"107","AT1G07390"
"108","AT1G07397"
"109","AT1G07407"
"110","AT1G07517"
"111","AT1G07567"
"112","AT1G07587"
"113","AT1G07647"
"114","AT1G07693"
"115","AT1G07813"
"116","AT1G07901"
"117","AT1G07903"
"118","AT1G07913"
"119","AT1G08035"
"120","AT1G08103"
"121","AT1G08165"
"122","AT1G08290"
"123","AT1G08293"
"124","AT1G08300"
"125","AT1G08380"
"126","AT1G08393"
"127","AT1G08507"
"128","AT1G08513"
"129","AT1G08537"
"130","AT1G08573"
"131","AT1G08723"
"132","AT1G08847"
"133","AT1G08853"
"134","AT1G08903"
"135","AT1G08967"
"136","AT1G09003"
"137","AT1G09083"
"138","AT1G09170"
"139","AT1G09193"
"140","AT1G09310"
"141","AT1G09327"
"142","AT1G09410"
"143","AT1G09415"
"144","AT1G09420"
"145","AT1G09473"
"146","AT1G09493"
"147","AT1G09517"
"148","AT1G09663"
"149","AT1G09673"
"150","AT1G09677"
"151","AT1G09687"
"152","AT1G09713"
"153","AT1G09797"
"154","AT1G09833"
"155","AT1G09860"
"156","AT1G09867"
"157","AT1G09877"
"158","AT1G09913"
"159","AT1G09930"
"160","AT1G09950"
"161","AT1G10095"
"162","AT1G10110"
"163","AT1G10360"
"164","AT1G10370"
"165","AT1G10455"
"166","AT1G10657"
"167","AT1G10710"
"168","AT1G10790"
"169","AT1G11070"
"170","AT1G11080"
"171","AT1G11290"
"172","AT1G11300"
"173","AT1G11303"
"174","AT1G11350"
"175","AT1G11410"
"176","AT1G11500"
"177","AT1G11655"
"178","AT1G11730"
"179","AT1G12013"
"180","AT1G12100"
"181","AT1G12150"
"182","AT1G12805"
"183","AT1G12890"
"184","AT1G13130"
"185","AT1G13250"
"186","AT1G13370"
"187","AT1G13500"
"188","AT1G13510"
"189","AT1G13630"
"190","AT1G14260"
"191","AT1G14270"
"192","AT1G14345"
"193","AT1G14455"
"194","AT1G14470"
"195","AT1G14500"
"196","AT1G14550"
"197","AT1G14600"
"198","AT1G14640"
"199","AT1G14700"
"200","AT1G15160"
"201","AT1G15165"
"202","AT1G15460"
"203","AT1G15510"
"204","AT1G15520"
"205","AT1G15530"
"206","AT1G15772"
"207","AT1G15980"
"208","AT1G16090"
"209","AT1G16120"
"210","AT1G16360"
"211","AT1G16420"
"212","AT1G16440"
"213","AT1G16850"
"214","AT1G17200"
"215","AT1G17240"
"216","AT1G17260"
"217","AT1G17480"
"218","AT1G17600"
"219","AT1G17610"
"220","AT1G18020"
"221","AT1G18075"
"222","AT1G18193"
"223","AT1G18410"
"224","AT1G18835"
"225","AT1G19050"
"226","AT1G19070"
"227","AT1G19200"
"228","AT1G19394"
"229","AT1G19610"
"230","AT1G19630"
"231","AT1G19720"
"232","AT1G19750"
"233","AT1G19900"
"234","AT1G19940"
