"","phyD_GC_c1.which.mclass....2...1."
"1","AT1G01030"
"2","AT1G01040"
"3","AT1G01080"
"4","AT1G01120"
"5","AT1G01220"
"6","AT1G01225"
"7","AT1G01320"
"8","AT1G01440"
"9","AT1G01450"
"10","AT1G01500"
"11","AT1G01610"
"12","AT1G01670"
"13","AT1G01690"
"14","AT1G01710"
"15","AT1G01760"
"16","AT1G01790"
"17","AT1G01830"
"18","AT1G01860"
"19","AT1G01900"
"20","AT1G01930"
"21","AT1G01950"
"22","AT1G01970"
"23","AT1G02020"
"24","AT1G02060"
"25","AT1G02180"
"26","AT1G02230"
"27","AT1G02270"
"28","AT1G02290"
"29","AT1G02300"
"30","AT1G02340"
"31","AT1G02360"
"32","AT1G02370"
"33","AT1G02390"
"34","AT1G02430"
"35","AT1G02440"
"36","AT1G02460"
"37","AT1G02640"
"38","AT1G02730"
"39","AT1G02740"
"40","AT1G02910"
"41","AT1G02970"
"42","AT1G03000"
"43","AT1G03010"
"44","AT1G03100"
"45","AT1G03130"
"46","AT1G03160"
"47","AT1G03180"
"48","AT1G03190"
"49","AT1G03270"
"50","AT1G03310"
"51","AT1G03400"
"52","AT1G03440"
"53","AT1G03470"
"54","AT1G03520"
"55","AT1G03550"
"56","AT1G03560"
"57","AT1G03620"
"58","AT1G03650"
"59","AT1G03660"
"60","AT1G03750"
"61","AT1G03770"
"62","AT1G03780"
"63","AT1G03830"
"64","AT1G03920"
"65","AT1G03930"
"66","AT1G03950"
"67","AT1G03960"
"68","AT1G04010"
"69","AT1G04047"
"70","AT1G04050"
"71","AT1G04053"
"72","AT1G04100"
"73","AT1G04160"
"74","AT1G04180"
"75","AT1G04220"
"76","AT1G04230"
"77","AT1G04233"
"78","AT1G04240"
"79","AT1G04295"
"80","AT1G04310"
"81","AT1G04350"
"82","AT1G04353"
"83","AT1G04360"
"84","AT1G04390"
"85","AT1G04420"
"86","AT1G04463"
"87","AT1G04555"
"88","AT1G04610"
"89","AT1G04635"
"90","AT1G04640"
"91","AT1G04647"
"92","AT1G04707"
"93","AT1G04710"
"94","AT1G04730"
"95","AT1G04760"
"96","AT1G04773"
"97","AT1G04803"
"98","AT1G04833"
"99","AT1G04837"
"100","AT1G04930"
"101","AT1G04977"
"102","AT1G05000"
"103","AT1G05030"
"104","AT1G05090"
"105","AT1G05100"
"106","AT1G05140"
"107","AT1G05160"
"108","AT1G05183"
"109","AT1G05187"
"110","AT1G05230"
"111","AT1G05240"
"112","AT1G05280"
"113","AT1G05300"
"114","AT1G05310"
"115","AT1G05370"
"116","AT1G05385"
"117","AT1G05397"
"118","AT1G05440"
"119","AT1G05460"
"120","AT1G05467"
"121","AT1G05553"
"122","AT1G05590"
"123","AT1G05630"
"124","AT1G05650"
"125","AT1G05670"
"126","AT1G05687"
"127","AT1G05700"
"128","AT1G05770"
"129","AT1G05780"
"130","AT1G05790"
"131","AT1G05835"
"132","AT1G05837"
"133","AT1G05900"
"134","AT1G06050"
"135","AT1G06120"
"136","AT1G06240"
"137","AT1G06270"
"138","AT1G06310"
"139","AT1G06330"
"140","AT1G06420"
