"","X","phyD_GC_c1.which.mclass....2...1."
"3583",3583,"AT4G11780"
"2183",2183,"AT2G42730"
"3425",3425,"AT4G01883"
"2640",2640,"AT3G15500"
"754",754,"AT1G44020"
"373",373,"AT1G15885"
"715",715,"AT1G33480"
"2175",2175,"AT2G42395"
"15",15,"AT1G01760"
"3430",3430,"AT4G01990"
"4226",4226,"AT4G40070"
"4112",4112,"AT4G35510"
"4566",4566,"AT5G16860"
"2336",2336,"AT3G01890"
"2261",2261,"AT2G46060"
"2981",2981,"AT3G46630"
"5306",5306,"AT5G59400"
"3609",3609,"AT4G12680"
"3018",3018,"AT3G47940"
"1469",1469,"AT1G80850"
"1086",1086,"AT1G63230"
"430",430,"AT1G18100"
"4515",4515,"AT5G13830"
"5198",5198,"AT5G54260"
"4876",4876,"AT5G39960"
"915",915,"AT1G53970"
"1958",1958,"AT2G33320"
"4123",4123,"AT4G36010"
"2485",2485,"AT3G08570"
"3063",3063,"AT3G49645"
"5311",5311,"AT5G59610"
"394",394,"AT1G16670"
"5263",5263,"AT5G57480"
"5219",5219,"AT5G55380"
"7",7,"AT1G01320"
"2022",2022,"AT2G36000"
"61",61,"AT1G03770"
"5138",5138,"AT5G51520"
"2878",2878,"AT3G27150"
"1221",1221,"AT1G69400"
"5417",5417,"AT5G64150"
"1239",1239,"AT1G70100"
"4749",4749,"AT5G25370"
"4862",4862,"AT5G39240"
"3433",3433,"AT4G02040"
"3140",3140,"AT3G52180"
"2586",2586,"AT3G13225"
"3848",3848,"AT4G22850"
"4381",4381,"AT5G06730"
"910",910,"AT1G53885"
"3177",3177,"AT3G53950"
"1582",1582,"AT2G13440"
"4953",4953,"AT5G43250"
"2860",2860,"AT3G26500"
"4528",4528,"AT5G14940"
"12",12,"AT1G01670"
"2420",2420,"AT3G05360"
"1230",1230,"AT1G69790"
"5523",5523,"ATMG00480"
"2662",2662,"AT3G16300"
"1141",1141,"AT1G66470"
"3045",3045,"AT3G49060"
"1252",1252,"AT1G70750"
"2324",2324,"AT3G01475"
"4726",4726,"AT5G24380"
"3359",3359,"AT3G62220"
"5432",5432,"AT5G64840"
"3156",3156,"AT3G53220"
"3562",3562,"AT4G10770"
"916",916,"AT1G53980"
"3360",3360,"AT3G62260"
"4836",4836,"AT5G37530"
"2119",2119,"AT2G40160"
"2571",2571,"AT3G12550"
"2898",2898,"AT3G28150"
"1614",1614,"AT2G16400"
"1572",1572,"AT2G07850"
"312",312,"AT1G12800"
"3673",3673,"AT4G15130"
"3916",3916,"AT4G25835"
"4466",4466,"AT5G10605"
"534",534,"AT1G22985"
"1674",1674,"AT2G19660"
"2149",2149,"AT2G41610"
"2082",2082,"AT2G38420"
"939",939,"AT1G54960"
"1276",1276,"AT1G72220"
"1976",1976,"AT2G34060"
"649",649,"AT1G29730"
"1219",1219,"AT1G69325"
"3269",3269,"AT3G58270"
"4201",4201,"AT4G39230"
"1936",1936,"AT2G32230"
"4341",4341,"AT5G05230"
"2771",2771,"AT3G21580"
"999",999,"AT1G59640"
"4057",4057,"AT4G32670"
"854",854,"AT1G51370"
"3741",3741,"AT4G18010"
"2331",2331,"AT3G01710"
"2312",2312,"AT2G48000"
"1447",1447,"AT1G79620"
"3948",3948,"AT4G27390"
"5058",5058,"AT5G48570"
"1360",1360,"AT1G75300"
"887",887,"AT1G53035"
"3710",3710,"AT4G16580"
"4269",4269,"AT5G02095"
"2972",2972,"AT3G45880"
"4571",4571,"AT5G16950"
"2976",2976,"AT3G46100"
"157",157,"AT1G06820"
"2313",2313,"AT2G48110"
