"","WS_c1.which.mclass....1...1."
"1","AT1G01130"
"2","AT1G01310"
"3","AT1G01480"
"4","AT1G01900"
"5","AT1G02030"
"6","AT1G02350"
"7","AT1G02490"
"8","AT1G02570"
"9","AT1G02580"
"10","AT1G02650"
"11","AT1G02660"
"12","AT1G02700"
"13","AT1G02705"
"14","AT1G02710"
"15","AT1G02952"
"16","AT1G03070"
"17","AT1G03106"
"18","AT1G03240"
"19","AT1G03445"
"20","AT1G03495"
"21","AT1G03600"
"22","AT1G03620"
"23","AT1G03700"
"24","AT1G03800"
"25","AT1G03820"
"26","AT1G04007"
"27","AT1G04017"
"28","AT1G04077"
"29","AT1G04090"
"30","AT1G04105"
"31","AT1G04123"
"32","AT1G04163"
"33","AT1G04240"
"34","AT1G04347"
"35","AT1G04350"
"36","AT1G04445"
"37","AT1G04473"
"38","AT1G04487"
"39","AT1G04540"
"40","AT1G04560"
"41","AT1G04600"
"42","AT1G04733"
"43","AT1G04743"
"44","AT1G04873"
"45","AT1G04877"
"46","AT1G04973"
"47","AT1G05033"
"48","AT1G05100"
"49","AT1G05143"
"50","AT1G05153"
"51","AT1G05200"
"52","AT1G05240"
"53","AT1G05273"
"54","AT1G05317"
"55","AT1G05333"
"56","AT1G05400"
"57","AT1G05490"
"58","AT1G05607"
"59","AT1G05610"
"60","AT1G05843"
"61","AT1G05894"
"62","AT1G05943"
"63","AT1G05973"
"64","AT1G06003"
"65","AT1G06033"
"66","AT1G06045"
"67","AT1G06083"
"68","AT1G06113"
"69","AT1G06160"
"70","AT1G06173"
"71","AT1G06177"
"72","AT1G06213"
"73","AT1G06250"
"74","AT1G06283"
"75","AT1G06423"
"76","AT1G06453"
"77","AT1G06463"
"78","AT1G06467"
"79","AT1G06483"
"80","AT1G06553"
"81","AT1G06607"
"82","AT1G06687"
"83","AT1G06690"
"84","AT1G06923"
"85","AT1G06963"
"86","AT1G06977"
"87","AT1G06983"
"88","AT1G06990"
"89","AT1G07010"
"90","AT1G07017"
"91","AT1G07060"
"92","AT1G07120"
"93","AT1G07143"
"94","AT1G07150"
"95","AT1G07187"
"96","AT1G07397"
"97","AT1G07407"
"98","AT1G07477"
"99","AT1G07493"
"100","AT1G07513"
"101","AT1G07550"
"102","AT1G07567"
"103","AT1G07587"
"104","AT1G07607"
"105","AT1G07647"
"106","AT1G07690"
"107","AT1G07813"
"108","AT1G07901"
"109","AT1G07913"
"110","AT1G08035"
"111","AT1G08103"
"112","AT1G08173"
"113","AT1G08287"
"114","AT1G08317"
"115","AT1G08380"
"116","AT1G08393"
"117","AT1G08457"
"118","AT1G08507"
"119","AT1G08513"
"120","AT1G08630"
"121","AT1G08723"
"122","AT1G08903"
"123","AT1G08973"
"124","AT1G08980"
"125","AT1G09027"
"126","AT1G09063"
"127","AT1G09167"
"128","AT1G09170"
"129","AT1G09193"
"130","AT1G09297"
"131","AT1G09310"
"132","AT1G09383"
"133","AT1G09480"
"134","AT1G09487"
"135","AT1G09517"
"136","AT1G09617"
"137","AT1G09663"
"138","AT1G09687"
"139","AT1G09697"
"140","AT1G09713"
"141","AT1G09867"
"142","AT1G09897"
"143","AT1G09913"
"144","AT1G09950"
"145","AT1G10095"
"146","AT1G10220"
"147","AT1G10360"
"148","AT1G10657"
"149","AT1G10710"
"150","AT1G11300"
"151","AT1G11303"
"152","AT1G11460"
"153","AT1G11490"
"154","AT1G11655"
"155","AT1G11730"
"156","AT1G12100"
"157","AT1G12150"
"158","AT1G12280"
"159","AT1G12890"
"160","AT1G12950"
"161","AT1G13143"
"162","AT1G13150"
"163","AT1G13230"
"164","AT1G13370"
"165","AT1G13480"
"166","AT1G13510"
"167","AT1G13520"
"168","AT1G13630"
"169","AT1G13680"
"170","AT1G14345"
"171","AT1G14430"
"172","AT1G14440"
"173","AT1G14470"
"174","AT1G14490"
"175","AT1G14600"
"176","AT1G14686"
"177","AT1G14700"
"178","AT1G14960"
"179","AT1G15160"
"180","AT1G15165"
"181","AT1G15260"
"182","AT1G15520"
"183","AT1G15530"
"184","AT1G15770"
"185","AT1G15830"
"186","AT1G16025"
"187","AT1G16090"
"188","AT1G16130"
"189","AT1G16420"
"190","AT1G16440"
"191","AT1G16510"
"192","AT1G16750"
"193","AT1G16850"
"194","AT1G17020"
"195","AT1G17030"
"196","AT1G17345"
"197","AT1G17830"
"198","AT1G17870"
"199","AT1G17960"
"200","AT1G18075"
"201","AT1G18320"
"202","AT1G18410"
"203","AT1G18835"
"204","AT1G19050"
"205","AT1G19200"
"206","AT1G19250"
"207","AT1G19630"
"208","AT1G19650"
"209","AT1G19750"
"210","AT1G19890"
"211","AT1G19940"
"212","AT1G20130"
"213","AT1G20150"
"214","AT1G20520"
"215","AT1G20860"
"216","AT1G20870"
"217","AT1G21130"
"218","AT1G21210"
"219","AT1G21320"
"220","AT1G21400"
"221","AT1G21695"
"222","AT1G21810"
"223","AT1G21890"
"224","AT1G21990"
"225","AT1G22260"
"226","AT1G22340"
"227","AT1G22370"
"228","AT1G22380"
"229","AT1G22430"
"230","AT1G22650"
"231","AT1G22810"
"232","AT1G22890"
"233","AT1G22900"
"234","AT1G23010"
"235","AT1G23210"
"236","AT1G23350"
"237","AT1G23450"
"238","AT1G23465"
"239","AT1G23550"
"240","AT1G23740"
"241","AT1G23840"
"242","AT1G23995"
"243","AT1G24405"
"244","AT1G24420"
"245","AT1G24430"
"246","AT1G24909"
"247","AT1G25155"
"248","AT1G25240"
"249","AT1G25370"
"250","AT1G25988"
"251","AT1G26230"
"252","AT1G26540"
"253","AT1G26560"
"254","AT1G26570"
"255","AT1G26590"
"256","AT1G26610"
"257","AT1G26790"
"258","AT1G27580"
"259","AT1G27610"
"260","AT1G27890"
"261","AT1G28010"
"262","AT1G28135"
"263","AT1G28230"
"264","AT1G28480"
"265","AT1G28600"
"266","AT1G28660"
"267","AT1G28690"
"268","AT1G29090"
"269","AT1G29100"
"270","AT1G29230"
"271","AT1G29540"
"272","AT1G29590"
"273","AT1G29770"
"274","AT1G29860"
"275","AT1G29920"
"276","AT1G30020"
"277","AT1G30135"
"278","AT1G30370"
"279","AT1G30530"
"280","AT1G30800"
"281","AT1G31173"
"282","AT1G31240"
"283","AT1G31310"
"284","AT1G31430"
"285","AT1G32510"
"286","AT1G32520"
"287","AT1G33615"
"288","AT1G34050"
"289","AT1G34315"
"290","AT1G34420"
"291","AT1G34460"
"292","AT1G34510"
"293","AT1G34670"
"294","AT1G35140"
"295","AT1G35230"
"296","AT1G35320"
"297","AT1G35330"
"298","AT1G35545"
"299","AT1G36992"
"300","AT1G42560"
"301","AT1G42970"
"302","AT1G43000"
"303","AT1G43040"
"304","AT1G44010"
"305","AT1G44318"
"306","AT1G44542"
"307","AT1G45474"
"308","AT1G47655"
"309","AT1G47760"
"310","AT1G47790"
"311","AT1G48000"
"312","AT1G48100"
"313","AT1G48180"
"314","AT1G48267"
"315","AT1G48325"
"316","AT1G48670"
"317","AT1G48690"
"318","AT1G48698"
"319","AT1G49000"
"320","AT1G49010"
"321","AT1G49210"
"322","AT1G49220"
"323","AT1G49405"
"324","AT1G49940"
"325","AT1G49960"
"326","AT1G50040"
"327","AT1G50280"
"328","AT1G50310"
"329","AT1G50390"
"330","AT1G51030"
"331","AT1G51055"
"332","AT1G51480"
"333","AT1G51500"
"334","AT1G51538"
"335","AT1G51770"
"336","AT1G51840"
"337","AT1G52110"
"338","AT1G52220"
"339","AT1G52230"
"340","AT1G52290"
"341","AT1G52400"
"342","AT1G52410"
"343","AT1G52415"
"344","AT1G52430"
"345","AT1G52510"
"346","AT1G52570"
"347","AT1G52640"
"348","AT1G52650"
"349","AT1G52870"
"350","AT1G52880"
"351","AT1G52905"
"352","AT1G52920"
"353","AT1G53060"
"354","AT1G53090"
"355","AT1G53100"
"356","AT1G53230"
"357","AT1G53233"
"358","AT1G53270"
"359","AT1G53625"
"360","AT1G53790"
"361","AT1G53801"
"362","AT1G54020"
"363","AT1G54050"
"364","AT1G54095"
"365","AT1G54160"
"366","AT1G54355"
"367","AT1G54780"
"368","AT1G54940"
"369","AT1G55240"
"370","AT1G55290"
"371","AT1G55440"
"372","AT1G55480"
"373","AT1G55600"
"374","AT1G55670"
"375","AT1G55720"
"376","AT1G55755"
"377","AT1G55775"
"378","AT1G56165"
"379","AT1G56320"
"380","AT1G56540"
"381","AT1G56710"
"382","AT1G57560"
"383","AT1G57570"
"384","AT1G57980"
"385","AT1G58270"
"386","AT1G58300"
"387","AT1G58807"
"388","AT1G59124"
"389","AT1G59620"
"390","AT1G59780"
"391","AT1G59790"
"392","AT1G59850"
"393","AT1G59860"
"394","AT1G60190"
"395","AT1G60460"
"396","AT1G60630"
"397","AT1G60930"
"398","AT1G61180"
"399","AT1G61190"
"400","AT1G61275"
"401","AT1G61300"
"402","AT1G61310"
"403","AT1G61415"
"404","AT1G61550"
"405","AT1G61562"
"406","AT1G61600"
"407","AT1G61680"
"408","AT1G61950"
"409","AT1G62190"
"410","AT1G62260"
"411","AT1G62400"
"412","AT1G62420"
"413","AT1G62530"
"414","AT1G62590"
"415","AT1G62690"
"416","AT1G62935"
"417","AT1G63070"
"418","AT1G63230"
"419","AT1G63330"
"420","AT1G63530"
"421","AT1G63540"
"422","AT1G63600"
"423","AT1G63630"
"424","AT1G63930"
"425","AT1G64020"
"426","AT1G64065"
"427","AT1G64100"
"428","AT1G64170"
"429","AT1G64260"
"430","AT1G64300"
"431","AT1G64310"
"432","AT1G64320"
"433","AT1G64380"
"434","AT1G64563"
"435","AT1G64618"
"436","AT1G64625"
"437","AT1G64670"
"438","AT1G64820"
"439","AT1G64930"
"440","AT1G65140"
"441","AT1G65230"
"442","AT1G65250"
"443","AT1G65370"
"444","AT1G65480"
"445","AT1G65484"
"446","AT1G66130"
"447","AT1G66420"
"448","AT1G66440"
"449","AT1G66465"
"450","AT1G66650"
"451","AT1G66810"
"452","AT1G66930"
"453","AT1G67000"
"454","AT1G67070"
"455","AT1G67270"
"456","AT1G67370"
"457","AT1G67460"
"458","AT1G67520"
"459","AT1G67650"
"460","AT1G67740"
"461","AT1G67980"
"462","AT1G68110"
"463","AT1G68180"
"464","AT1G68200"
"465","AT1G68290"
"466","AT1G68460"
