"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
1.77182991668002e-37,142,379,"RNA modification ","AT1G01860 AT1G03510 AT1G03540 AT1G04840 AT1G06140 AT1G08070 AT1G09220 AT1G10330 AT1G11290 AT1G15510 AT1G16480 AT1G17630 AT1G18485 AT1G19720 AT1G20230 AT1G22830 AT1G25360 AT1G31790 AT1G32415 AT1G33350 AT1G34160 AT1G45231 AT1G50270 AT1G53600 AT1G56690 AT1G66520 AT1G68930 AT1G69350 AT1G71420 AT1G71490 AT1G74400 AT1G74600 AT1G77170 AT2G01510 AT2G02750 AT2G02980 AT2G03380 AT2G03880 AT2G13600 AT2G20540 AT2G22070 AT2G27610 AT2G29760 AT2G34400 AT2G36730 AT2G36980 AT2G37320 AT2G39620 AT2G40720 AT2G44880 AT3G02010 AT3G02330 AT3G03580 AT3G05240 AT3G05340 AT3G08820 AT3G09040 AT3G11460 AT3G12770 AT3G13770 AT3G13880 AT3G14330 AT3G14730 AT3G15130 AT3G20930 AT3G21470 AT3G22690 AT3G26540 AT3G28640 AT3G29230 AT3G47840 AT3G49142 AT3G49170 AT3G49740 AT3G50420 AT3G53360 AT3G56330 AT3G56550 AT3G57430 AT3G58590 AT3G63370 AT4G04370 AT4G08210 AT4G13650 AT4G14050 AT4G14170 AT4G14820 AT4G14850 AT4G15720 AT4G16470 AT4G18520 AT4G18750 AT4G18840 AT4G19191 AT4G21065 AT4G21300 AT4G22760 AT4G25270 AT4G32430 AT4G33170 AT4G35130 AT4G37170 AT4G37380 AT4G38010 AT4G39530 AT4G39952 AT5G03800 AT5G04780 AT5G06540 AT5G08305 AT5G08490 AT5G09950 AT5G13230 AT5G13270 AT5G15300 AT5G16860 AT5G22800 AT5G27110 AT5G39350 AT5G39680 AT5G40405 AT5G42450 AT5G43790 AT5G46460 AT5G47460 AT5G48910 AT5G50990 AT5G52630 AT5G52850 AT5G55740 AT5G56310 AT5G59600 AT5G61800 AT5G65570 AT5G66500 AT3G61113 AT4G38020 AT1G12700 AT1G47580 AT1G74350 AT4G11690 AT5G17790"
4.94654813509328e-06,65,275,"Photosynthesis ","AT1G05385 AT1G06430 AT1G14150 AT1G15820 AT1G29910 AT1G50250 AT1G61520 AT2G15820 AT2G34420 AT2G40100 AT3G08940 AT3G54890 AT4G05180 AT4G10340 AT5G54270 AT1G64860 AT3G22690 AT3G61320 AT4G02260 AT5G66570 AT1G03130 AT1G06680 AT1G30380 AT1G31330 AT1G67090 AT1G78510 AT2G01590 AT2G20260 AT3G55330 AT3G56650 AT3G56940 AT4G12800 AT4G17600 AT4G19100 AT4G23890 AT4G28660 AT4G34190 AT5G02120 AT5G23120 AT5G44660 AT5G45930 AT5G47110 AT5G64040 AT5G66190 ATCG00270 ATCG00360 ATCG00430 ATCG00440 ATCG00580 ATCG00890 ATCG01070 ATCG01090 ATCG01100 ATCG01110 ATCG01250 AT4G04850 AT1G60600 AT1G68830 AT1G75690 AT4G25910 AT4G31390 AT4G35250 AT5G24120 AT5G50950 ATCG01080"
1.91193904105388e-05,40,142,"Photosynthesis, light reaction ","AT1G05385 AT1G06430 AT1G14150 AT1G15820 AT1G29910 AT1G50250 AT1G61520 AT2G15820 AT2G34420 AT2G40100 AT3G08940 AT3G54890 AT4G05180 AT4G10340 AT5G54270 AT3G22690 AT3G61320 AT5G66570 AT2G01590 AT4G23890 AT5G44660 ATCG00270 ATCG00430 ATCG00440 ATCG00580 ATCG00890 ATCG01070 ATCG01090 ATCG01100 ATCG01110 ATCG01250 AT1G60600 AT1G68830 AT1G75690 AT4G25910 AT4G31390 AT4G35250 AT5G24120 AT5G66190 AT1G06680"
3.88161825752598e-05,23,61,"Mitochondrial RNA metabolic process ","AT1G34160 AT1G74350 AT3G20930 AT1G06140 AT1G12300 AT1G12700 AT1G30010 AT1G52620 AT1G74600 AT2G13600 AT2G20540 AT2G28050 AT3G02330 AT3G05240 AT3G12770 AT3G13880 AT4G01400 AT4G11690 AT4G32430 AT5G08490 AT5G64710 AT5G64950 AT5G04050"
6.83751023527004e-05,491,3532,"Macromolecule modification ","AT1G01860 AT1G03510 AT1G03540 AT1G03920 AT1G04840 AT1G06140 AT1G08070 AT1G09220 AT1G09600 AT1G10330 AT1G11280 AT1G11290 AT1G11540 AT1G11880 AT1G14030 AT1G14750 AT1G15510 AT1G16480 AT1G17230 AT1G17630 AT1G17750 AT1G18485 AT1G18670 AT1G19550 AT1G19720 AT1G20230 AT1G20590 AT1G21590 AT1G22830 AT1G24210 AT1G25360 AT1G26150 AT1G29750 AT1G31790 AT1G32415 AT1G33260 AT1G33350 AT1G34160 AT1G35710 AT1G45231 AT1G47578 AT1G49180 AT1G50270 AT1G53420 AT1G53430 AT1G53600 AT1G53700 AT1G54840 AT1G55200 AT1G55610 AT1G56120 AT1G56130 AT1G56500 AT1G56690 AT1G60360 AT1G61390 AT1G61400 AT1G61420 AT1G61440 AT1G61500 AT1G61860 AT1G66040 AT1G66520 AT1G68930 AT1G69350 AT1G71420 AT1G71490 AT1G72180 AT1G72220 AT1G73690 AT1G74360 AT1G74400 AT1G74600 AT1G75820 AT1G77170 AT1G77280 AT1G77390 AT1G79640 AT2G01510 AT2G02750 AT2G02980 AT2G03380 AT2G03880 AT2G13600 AT2G13800 AT2G18650 AT2G18890 AT2G19130 AT2G19400 AT2G20540 AT2G22070 AT2G25220 AT2G26330 AT2G27610 AT2G29760 AT2G32410 AT2G32765 AT2G33640 AT2G34400 AT2G36730 AT2G36980 AT2G37320 AT2G37580 AT2G39180 AT2G39360 AT2G39620 AT2G40720 AT2G40810 AT2G43230 AT2G44880 AT3G02010 AT3G02330 AT3G03580 AT3G03770 AT3G05140 AT3G05240 AT3G05340 AT3G07070 AT3G07980 AT3G08820 AT3G09010 AT3G09040 AT3G09780 AT3G09790 AT3G10070 AT3G11040 AT3G11240 AT3G11460 AT3G12690 AT3G12770 AT3G13770 AT3G13880 AT3G14330 AT3G14730 AT3G15130 AT3G18770 AT3G18930 AT3G20930 AT3G21470 AT3G21530 AT3G22690 AT3G26540 AT3G28640 AT3G29230 AT3G43840 AT3G44490 AT3G44610 AT3G47840 AT3G48260 AT3G49142 AT3G49170 AT3G49370 AT3G49740 AT3G50310 AT3G50420 AT3G53090 AT3G53360 AT3G54930 AT3G56330 AT3G56440 AT3G56550 AT3G57430 AT3G58590 AT3G60220 AT3G62690 AT3G63370 AT4G03230 AT4G04370 AT4G08210 AT4G08470 AT4G08480 AT4G13650 AT4G14050 AT4G14170 AT4G14820 AT4G14850 AT4G15720 AT4G16470 AT4G17905 AT4G18520 AT4G18750 AT4G18840 AT4G19191 AT4G21065 AT4G21070 AT4G21230 AT4G21300 AT4G21390 AT4G22760 AT4G23190 AT4G25270 AT4G30825 AT4G31440 AT4G32300 AT4G32430 AT4G33170 AT4G33950 AT4G35130 AT4G37170 AT4G37380 AT4G38010 AT4G38830 AT4G39530 AT4G39952 AT4G40010 AT5G01770 AT5G03800 AT5G04780 AT5G06540 AT5G08305 AT5G08490 AT5G09950 AT5G11020 AT5G11300 AT5G11470 AT5G13230 AT5G13270 AT5G15025 AT5G15300 AT5G16860 AT5G17240 AT5G22800 AT5G23170 AT5G24010 AT5G25930 AT5G27110 AT5G35370 AT5G35960 AT5G39350 AT5G39680 AT5G40405 AT5G42440 AT5G42450 AT5G43790 AT5G46460 AT5G47460 AT5G48570 AT5G48910 AT5G50990 AT5G52630 AT5G52850 AT5G55560 AT5G55740 AT5G56310 AT5G57670 AT5G58580 AT5G59600 AT5G59700 AT5G61350 AT5G61480 AT5G61540 AT5G61800 AT5G62310 AT5G63710 AT5G63760 AT5G65570 AT5G66500 AT1G10560 AT1G11440 AT1G21410 AT1G27910 AT1G49620 AT2G22740 AT2G23430 AT3G04380 AT3G20200 AT3G45410 AT3G61160 AT4G33470 AT5G23320 AT5G65200 AT1G01450 AT1G01660 AT1G01740 AT1G02575 AT1G04050 AT1G04310 AT1G04390 AT1G04700 AT1G05690 AT1G07160 AT1G14260 AT1G15820 AT1G16110 AT1G16160 AT1G18170 AT1G19330 AT1G20810 AT1G22460 AT1G24330 AT1G25390 AT1G26970 AT1G29200 AT1G29910 AT1G32740 AT1G37150 AT1G38065 AT1G45180 AT1G48120 AT1G49200 AT1G51355 AT1G51620 AT1G51890 AT1G52450 AT1G55970 AT1G60700 AT1G61460 AT1G61520 AT1G62950 AT1G63450 AT1G65110 AT1G65950 AT1G66910 AT1G67470 AT1G68830 AT1G68940 AT1G70250 AT1G70430 AT1G71810 AT1G74070 AT1G74490 AT1G75060 AT1G79110 AT1G80110 AT2G02350 AT2G15370 AT2G16250 AT2G17220 AT2G23410 AT2G23770 AT2G25090 AT2G26290 AT2G27060 AT2G28930 AT2G31790 AT2G31990 AT2G32960 AT2G33580 AT2G34180 AT2G34420 AT2G34920 AT2G34940 AT2G34980 AT2G35350 AT2G36370 AT2G37980 AT2G38830 AT2G40020 AT2G40100 AT2G42290 AT2G42640 AT2G43560 AT2G43690 AT2G45080 AT2G46160 AT3G01510 AT3G03650 AT3G05320 AT3G06630 AT3G07900 AT3G08940 AT3G10060 AT3G11840 AT3G15354 AT3G15520 AT3G16320 AT3G16560 AT3G21340 AT3G24190 AT3G24515 AT3G25740 AT3G26490 AT3G27540 AT3G27630 AT3G42180 AT3G44820 AT3G45390 AT3G45920 AT3G46330 AT3G46920 AT3G47570 AT3G47820 AT3G49900 AT3G52180 AT3G52530 AT3G54890 AT3G55550 AT3G55950 AT3G57720 AT3G57730 AT3G57760 AT3G59000 AT3G59420 AT3G59750 AT3G61113 AT3G61390 AT3G61740 AT4G04960 AT4G07400 AT4G10340 AT4G11990 AT4G13990 AT4G14365 AT4G14780 AT4G16250 AT4G17483 AT4G17600 AT4G19830 AT4G22410 AT4G24810 AT4G25160 AT4G29180 AT4G29990 AT4G31230 AT4G31390 AT4G32000 AT4G35070 AT4G36550 AT4G38020 AT5G01100 AT5G02070 AT5G02120 AT5G02220 AT5G02400 AT5G03795 AT5G05810 AT5G06490 AT5G07150 AT5G07450 AT5G09630 AT5G11620 AT5G16900 AT5G17580 AT5G20260 AT5G21222 AT5G21900 AT5G24870 AT5G26010 AT5G26040 AT5G37890 AT5G38070 AT5G40460 AT5G40470 AT5G43420 AT5G44930 AT5G45840 AT5G47070 AT5G47110 AT5G47260 AT5G48130 AT5G48170 AT5G48740 AT5G49610 AT5G51370 AT5G51380 AT5G51450 AT5G52120 AT5G53320 AT5G54270 AT5G58550 AT5G59260 AT5G59360 AT5G59650 AT5G59680 AT5G60050 AT5G60510 AT5G61550 AT5G61560 AT5G61570 AT5G61940 AT5G61950 AT5G66790 AT5G67340 AT5G67385 ATCG00270 AT2G18000 AT5G56780 AT1G12700 AT1G19100 AT1G47580 AT1G74350 AT2G32940 AT2G42940 AT3G12580 AT3G13682 AT3G19040 AT4G11690 AT4G24970 AT5G17790 AT5G50780 AT5G66570"
0.00401448201968881,17,49,"MRNA modification ","AT1G34160 AT3G20930 AT1G01860 AT1G06140 AT1G11290 AT1G12700 AT1G47580 AT1G74600 AT2G13600 AT2G20540 AT3G02330 AT3G05240 AT3G12770 AT4G11690 AT5G08490 AT5G17790 AT5G55740"
0.00401448201968881,14,35,"Mitochondrial RNA modification ","AT1G34160 AT3G20930 AT1G06140 AT1G12700 AT1G74350 AT1G74600 AT2G13600 AT2G20540 AT3G02330 AT3G05240 AT3G12770 AT3G13880 AT4G11690 AT5G08490"
0.0139597684422365,9,18,"Triterpenoid metabolic process ","AT1G66960 AT1G78480 AT1G78950 AT1G78955 AT1G78960 AT4G15370 AT5G42590 AT5G47990 AT5G48000"
0.0222685321288947,7,12,"Phosphorylated carbohydrate dephosphorylation ","AT1G05630 AT1G31190 AT1G47510 AT2G31830 AT2G43900 AT3G52180 AT4G18010"
0.0222685321288947,12,32,"Mitochondrial mRNA modification ","AT1G34160 AT3G20930 AT1G06140 AT1G12700 AT1G74600 AT2G13600 AT2G20540 AT3G02330 AT3G05240 AT3G12770 AT4G11690 AT5G08490"
