"","col_c1.which.mclass....9...1."
"1","AT1G01080"
"2","AT1G01120"
"3","AT1G01140"
"4","AT1G01570"
"5","AT1G01610"
"6","AT1G01660"
"7","AT1G01670"
"8","AT1G01715"
"9","AT1G01740"
"10","AT1G01840"
"11","AT1G01860"
"12","AT1G01970"
"13","AT1G02010"
"14","AT1G02050"
"15","AT1G02060"
"16","AT1G02230"
"17","AT1G02290"
"18","AT1G02300"
"19","AT1G02390"
"20","AT1G02420"
"21","AT1G02440"
"22","AT1G02450"
"23","AT1G02460"
"24","AT1G02575"
"25","AT1G02970"
"26","AT1G03010"
"27","AT1G03100"
"28","AT1G03130"
"29","AT1G03270"
"30","AT1G03310"
"31","AT1G03340"
"32","AT1G03400"
"33","AT1G03470"
"34","AT1G03560"
"35","AT1G03750"
"36","AT1G03820"
"37","AT1G03920"
"38","AT1G04050"
"39","AT1G04100"
"40","AT1G04117"
"41","AT1G04160"
"42","AT1G04180"
"43","AT1G04220"
"44","AT1G04233"
"45","AT1G04295"
"46","AT1G04310"
"47","AT1G04360"
"48","AT1G04390"
"49","AT1G04425"
"50","AT1G04433"
"51","AT1G04490"
"52","AT1G04513"
"53","AT1G04540"
"54","AT1G04570"
"55","AT1G04650"
"56","AT1G04707"
"57","AT1G04840"
"58","AT1G05030"
"59","AT1G05140"
"60","AT1G05163"
"61","AT1G05230"
"62","AT1G05310"
"63","AT1G05370"
"64","AT1G05385"
"65","AT1G05397"
"66","AT1G05467"
"67","AT1G05530"
"68","AT1G05557"
"69","AT1G05600"
"70","AT1G05630"
"71","AT1G05640"
"72","AT1G05670"
"73","AT1G05700"
"74","AT1G05770"
"75","AT1G05873"
"76","AT1G05900"
"77","AT1G05950"
"78","AT1G06050"
"79","AT1G06120"
"80","AT1G06140"
"81","AT1G06143"
"82","AT1G06270"
"83","AT1G06287"
"84","AT1G06310"
"85","AT1G06330"
"86","AT1G06420"
"87","AT1G06430"
"88","AT1G06440"
"89","AT1G06490"
"90","AT1G06580"
"91","AT1G06710"
"92","AT1G06740"
"93","AT1G06787"
"94","AT1G06910"
"95","AT1G06923"
"96","AT1G06980"
"97","AT1G07119"
"98","AT1G07270"
"99","AT1G07290"
"100","AT1G07373"
"101","AT1G07400"
"102","AT1G07485"
"103","AT1G07490"
"104","AT1G07560"
"105","AT1G07603"
"106","AT1G07607"
"107","AT1G07710"
"108","AT1G07730"
"109","AT1G07733"
"110","AT1G07740"
"111","AT1G07743"
"112","AT1G07795"
"113","AT1G07803"
"114","AT1G07902"
"115","AT1G07933"
"116","AT1G07937"
"117","AT1G08003"
"118","AT1G08050"
"119","AT1G08087"
"120","AT1G08180"
"121","AT1G08270"
"122","AT1G08380"
"123","AT1G08387"
"124","AT1G08540"
"125","AT1G08543"
"126","AT1G08643"
"127","AT1G08727"
"128","AT1G08840"
"129","AT1G08857"
"130","AT1G08900"
"131","AT1G09023"
"132","AT1G09027"
"133","AT1G09040"
"134","AT1G09050"
"135","AT1G09190"
"136","AT1G09195"
"137","AT1G09247"
"138","AT1G09297"
"139","AT1G09340"
"140","AT1G09390"
"141","AT1G09440"
"142","AT1G09530"
"143","AT1G09575"
"144","AT1G09600"
"145","AT1G09610"
"146","AT1G09627"
"147","AT1G09680"
"148","AT1G09710"
"149","AT1G09750"
"150","AT1G09783"
"151","AT1G09800"
"152","AT1G09820"
"153","AT1G09863"
"154","AT1G09890"
"155","AT1G09900"
"156","AT1G09987"
"157","AT1G10050"
"158","AT1G10090"
"159","AT1G10280"
"160","AT1G10320"
"161","AT1G10460"
"162","AT1G10520"
"163","AT1G10610"
"164","AT1G10960"
"165","AT1G11100"
"166","AT1G11125"
"167","AT1G11160"
"168","AT1G11170"
"169","AT1G11320"
"170","AT1G11591"
"171","AT1G11710"
"172","AT1G11800"
"173","AT1G11900"
"174","AT1G11915"
"175","AT1G11950"
"176","AT1G11960"
"177","AT1G12210"
"178","AT1G12211"
"179","AT1G12244"
"180","AT1G12250"
"181","AT1G12290"
"182","AT1G12300"
"183","AT1G12330"
"184","AT1G12370"
"185","AT1G12380"
"186","AT1G12460"
"187","AT1G12600"
"188","AT1G12620"
"189","AT1G12710"
"190","AT1G12730"
"191","AT1G12775"
"192","AT1G12860"
"193","AT1G13040"
"194","AT1G13050"
"195","AT1G13100"
"196","AT1G13330"
"197","AT1G13410"
"198","AT1G13420"
"199","AT1G13430"
"200","AT1G13448"
"201","AT1G13480"
"202","AT1G13550"
"203","AT1G13600"
"204","AT1G13609"
"205","AT1G13740"
"206","AT1G13780"
"207","AT1G13800"
"208","AT1G13820"
"209","AT1G13910"
"210","AT1G13970"
"211","AT1G14190"
"212","AT1G14260"
"213","AT1G14280"
"214","AT1G14480"
"215","AT1G14540"
"216","AT1G14580"
"217","AT1G14590"
"218","AT1G14660"
"219","AT1G14687"
"220","AT1G14780"
"221","AT1G14790"
"222","AT1G15050"
"223","AT1G15180"
"224","AT1G15415"
"225","AT1G15490"
"226","AT1G15730"
"227","AT1G15820"
"228","AT1G15870"
"229","AT1G15885"
"230","AT1G15890"
"231","AT1G15900"
"232","AT1G16030"
"233","AT1G16110"
"234","AT1G16150"
"235","AT1G16160"
"236","AT1G16310"
"237","AT1G16370"
"238","AT1G16390"
"239","AT1G16400"
"240","AT1G16445"
"241","AT1G16480"
"242","AT1G16489"
"243","AT1G16490"
"244","AT1G16500"
"245","AT1G16590"
"246","AT1G16635"
"247","AT1G16820"
"248","AT1G16830"
"249","AT1G17040"
"250","AT1G17065"
"251","AT1G17220"
"252","AT1G17230"
"253","AT1G17232"
"254","AT1G17255"
"255","AT1G17345"
"256","AT1G17400"
"257","AT1G17460"
"258","AT1G17480"
"259","AT1G17640"
"260","AT1G17650"
"261","AT1G17665"
"262","AT1G17744"
"263","AT1G17750"
"264","AT1G17820"
"265","AT1G17840"
"266","AT1G17870"
"267","AT1G17920"
"268","AT1G18010"
"269","AT1G18030"
"270","AT1G18060"
"271","AT1G18090"
"272","AT1G18140"
"273","AT1G18170"
"274","AT1G18200"
"275","AT1G18265"
"276","AT1G18320"
"277","AT1G18382"
"278","AT1G18420"
"279","AT1G18440"
"280","AT1G18560"
"281","AT1G18610"
"282","AT1G18670"
"283","AT1G18773"
"284","AT1G18940"
"285","AT1G19010"
"286","AT1G19025"
"287","AT1G19050"
"288","AT1G19100"
"289","AT1G19115"
"290","AT1G19190"
"291","AT1G19230"
"292","AT1G19340"
"293","AT1G19397"
"294","AT1G19540"
"295","AT1G19840"
"296","AT1G20030"
"297","AT1G20060"
"298","AT1G20065"
"299","AT1G20470"
"300","AT1G20530"
"301","AT1G20720"
"302","AT1G20810"
"303","AT1G21060"
"304","AT1G21110"
"305","AT1G21120"
"306","AT1G21130"
"307","AT1G21150"
"308","AT1G21250"
"309","AT1G21340"
"310","AT1G21390"
"311","AT1G21460"
"312","AT1G21590"
"313","AT1G21651"
"314","AT1G22030"
"315","AT1G22220"
