"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
1.91244935006621e-09,90,379,"RNA modification ","AT1G01860 AT1G04840 AT1G06140 AT1G09190 AT1G13410 AT1G16480 AT1G22830 AT1G25360 AT1G33350 AT1G34160 AT1G45231 AT1G50000 AT1G66520 AT1G71460 AT1G72530 AT1G74600 AT1G77170 AT2G01510 AT2G02750 AT2G13440 AT2G13600 AT2G20540 AT2G22410 AT2G29760 AT2G33680 AT2G35030 AT2G36730 AT2G37310 AT2G42920 AT3G12770 AT3G14330 AT3G18970 AT3G20930 AT3G23330 AT3G25970 AT3G26540 AT3G26782 AT3G28640 AT3G28660 AT3G29230 AT3G46790 AT3G47530 AT3G49170 AT3G49710 AT3G51320 AT3G56330 AT3G63110 AT4G01030 AT4G02750 AT4G04670 AT4G14050 AT4G14850 AT4G16470 AT4G18520 AT4G21065 AT4G21300 AT4G22760 AT4G27340 AT4G30700 AT4G32450 AT4G33170 AT4G33990 AT4G37170 AT4G37380 AT5G03800 AT5G13270 AT5G15300 AT5G16860 AT5G19020 AT5G22800 AT5G37530 AT5G39350 AT5G42450 AT5G43790 AT5G44230 AT5G46460 AT5G48910 AT5G50990 AT5G52850 AT5G56310 AT5G65570 AT5G66500 AT1G09800 AT1G56345 AT2G45270 AT3G06950 AT3G63510 AT4G38020 AT1G47580 AT5G17790"
0.000169981776397822,34,121,"Double-strand break repair ","AT1G10520 AT1G11800 AT1G19025 AT1G20720 AT1G27880 AT1G52530 AT3G02680 AT3G05740 AT3G13170 AT3G27120 AT3G52115 AT3G59550 AT4G02390 AT4G19130 AT4G21070 AT4G30870 AT4G35740 AT5G01630 AT5G21140 AT5G57160 AT5G57450 AT5G63540 AT1G35530 AT5G22750 AT5G07660 AT5G61460 AT5G64520 AT4G00380 AT3G09660 AT3G13782 AT1G66730 AT4G14970 AT5G40820 AT5G64630"
0.000201445550715652,71,354,"DNA repair ","AT1G05900 AT1G10520 AT1G11800 AT1G12370 AT1G19025 AT1G20720 AT1G27880 AT1G49980 AT1G52530 AT1G77600 AT2G31865 AT2G31870 AT3G02680 AT3G05740 AT3G13170 AT3G24495 AT3G27120 AT3G48425 AT3G52115 AT3G59550 AT4G02390 AT4G12740 AT4G14970 AT4G19130 AT4G21070 AT4G30870 AT4G35740 AT5G01630 AT5G21140 AT5G41360 AT5G44740 AT5G57160 AT5G57450 AT5G63540 AT1G35530 AT2G21800 AT2G22140 AT5G22750 AT1G03750 AT1G16590 AT1G18090 AT1G19100 AT1G56500 AT1G65070 AT1G66730 AT2G14050 AT2G18760 AT3G07930 AT3G09660 AT3G15620 AT3G47830 AT3G48900 AT4G18470 AT4G21065 AT4G29560 AT5G07400 AT5G07660 AT5G40820 AT5G49110 AT5G50780 AT5G50930 AT5G54090 AT5G61460 AT5G64520 AT5G64630 AT5G66130 AT4G00380 AT3G13782 AT5G08110 AT1G08840 AT5G21900"
0.000201445550715652,37,142,"Photosynthesis, light reaction ","AT1G05385 AT1G06430 AT1G15820 AT1G29930 AT1G61520 AT2G05620 AT2G15820 AT2G34420 AT4G05180 AT4G10340 AT5G48790 AT5G54270 AT1G08380 AT2G45870 AT2G46820 AT3G61320 AT5G66570 AT2G34910 AT4G11960 AT4G23890 AT5G59400 ATCG00020 ATCG00220 ATCG00280 ATCG00440 ATCG00680 ATCG01090 ATCG01100 AT1G55370 AT1G68830 AT1G71500 AT4G15510 AT4G25910 AT4G31390 AT4G35250 AT5G35220 ATCG00520"
0.000255055177642451,75,386,"Cellular response to DNA damage stimulus ","AT1G05900 AT1G10520 AT1G11800 AT1G12370 AT1G19025 AT1G20720 AT1G27880 AT1G49980 AT1G52530 AT1G77600 AT2G31865 AT2G31870 AT3G02680 AT3G05740 AT3G13170 AT3G24495 AT3G27120 AT3G48425 AT3G52115 AT3G59550 AT4G02390 AT4G12740 AT4G14970 AT4G17760 AT4G19130 AT4G21070 AT4G30870 AT4G35740 AT5G01630 AT5G21140 AT5G40820 AT5G41360 AT5G44740 AT5G57160 AT5G57450 AT5G63540 AT5G66130 AT1G35530 AT2G21800 AT2G22140 AT5G22750 AT1G03750 AT1G16590 AT1G18090 AT1G19100 AT1G56500 AT1G65070 AT1G66730 AT2G14050 AT2G18760 AT3G07930 AT3G09660 AT3G15620 AT3G47830 AT3G48900 AT4G18470 AT4G21065 AT4G29560 AT5G07400 AT5G07660 AT5G49110 AT5G50780 AT5G50930 AT5G54090 AT5G61460 AT5G64520 AT5G64630 AT4G00380 AT3G13782 AT3G27630 AT5G08110 AT1G08840 AT1G47870 AT5G21900 AT5G45610"
0.00034739045168866,44,189,"DNA recombination ","AT1G20720 AT1G22275 AT1G27880 AT1G52530 AT3G02680 AT3G02930 AT3G05740 AT3G13170 AT3G24495 AT3G27120 AT3G52115 AT4G19130 AT4G21070 AT4G30870 AT4G32190 AT4G35740 AT5G01630 AT5G21140 AT5G41360 AT5G50930 AT5G57450 AT5G63540 AT1G35530 AT2G21800 AT2G22140 AT5G22750 AT1G13330 AT1G30010 AT1G65070 AT1G66730 AT4G18470 AT5G04050 AT5G07660 AT5G54090 AT5G57160 AT5G61460 AT5G64520 AT5G64630 AT4G00380 AT1G04650 AT3G09660 AT3G13782 AT4G14970 AT4G32700"
0.000409240857953043,24,77,"Double-strand break repair via homologous recombination ","AT1G27880 AT1G52530 AT3G02680 AT3G05740 AT3G27120 AT3G52115 AT4G19130 AT4G21070 AT4G30870 AT4G35740 AT5G01630 AT5G21140 AT5G57450 AT5G63540 AT1G35530 AT5G22750 AT3G13170 AT5G07660 AT5G61460 AT5G64520 AT4G00380 AT3G09660 AT3G13782 AT5G64630"
0.000415006397626953,48,217,"Chloroplast organization ","AT1G21150 AT1G30610 AT1G61960 AT1G61970 AT1G62010 AT1G64810 AT1G69200 AT1G74120 AT1G75720 AT1G78930 AT1G79220 AT2G17940 AT2G21710 AT2G36000 AT3G46950 AT3G54090 AT3G60400 AT4G01800 AT4G28590 AT5G06811 AT5G07900 AT5G23930 AT5G54180 AT5G55580 AT5G64950 AT1G08540 AT1G09340 AT1G28530 AT1G63680 AT1G67440 AT1G75010 AT3G02380 AT3G07700 AT3G24560 AT3G25690 AT3G54990 AT4G31390 AT4G34090 AT4G34740 AT5G13770 AT5G17790 AT5G23730 AT5G35220 AT5G40270 AT5G44190 AT5G48470 AT5G53080 AT5G62430"
0.0010982673812582,24,82,"Recombinational repair ","AT1G27880 AT1G52530 AT3G02680 AT3G05740 AT3G27120 AT3G52115 AT4G19130 AT4G21070 AT4G30870 AT4G35740 AT5G01630 AT5G21140 AT5G57450 AT5G63540 AT1G35530 AT5G22750 AT3G13170 AT5G07660 AT5G61460 AT5G64520 AT4G00380 AT3G09660 AT3G13782 AT5G64630"
0.00158507840622572,55,275,"Photosynthesis ","AT1G05385 AT1G06430 AT1G15820 AT1G29930 AT1G61520 AT2G05620 AT2G15820 AT2G34420 AT2G40300 AT4G01800 AT4G05180 AT4G10340 AT5G48790 AT5G54270 AT1G08380 AT1G64860 AT2G45870 AT2G46820 AT3G61320 AT4G02260 AT5G66570 AT1G03130 AT1G30380 AT1G67090 AT1G74470 AT1G78510 AT2G20260 AT2G34910 AT3G05410 AT3G55330 AT4G11960 AT4G15510 AT4G15530 AT4G23890 AT5G23120 AT5G59400 ATCG00020 ATCG00220 ATCG00280 ATCG00360 ATCG00440 ATCG00520 ATCG00680 ATCG01090 ATCG01100 AT1G55370 AT1G64810 AT1G68830 AT1G71500 AT4G01037 AT4G25910 AT4G31390 AT4G35250 AT5G35220 AT5G50950"
