Regulator	Symbol	CO	PD	PWM_num	PWM_source	PWM_name	rank	p-value	q-value	#hits	hits	PDtargets
AT2G22300	CAMTA3	10	na	PWM2569	JASPAR	MA0970.1	1	6.10144602278059e-8	0.00010939892718845599	29	AT1G09070,AT1G20450,AT1G27730,AT1G66200,AT1G73540,AT1G76410,AT1G76930,AT1G78000,AT2G16720,AT2G30500,AT2G40000,AT2G40140,AT2G41010,AT2G45170,AT3G14362,AT3G25780,AT3G28340,AT3G61190,AT4G11600,AT4G16520,AT4G18510,AT4G24570,AT5G06320,AT5G07460,AT5G24530,AT5G37770,AT5G49450,AT5G57560,AT5G59820	na
AT2G22300	CAMTA3	10	na	PWM1171	CisBP	M0516_1.01	2	2.40712521864008e-7	0.00021579877585108318	28	AT1G09070,AT1G20450,AT1G27730,AT1G66200,AT1G73540,AT1G76410,AT1G76930,AT1G78000,AT2G16720,AT2G30500,AT2G40000,AT2G40140,AT2G41010,AT2G45170,AT3G14362,AT3G25780,AT3G61190,AT4G11600,AT4G16520,AT4G18510,AT4G24570,AT5G06320,AT5G07460,AT5G24530,AT5G37770,AT5G49450,AT5G57560,AT5G59820	na
AT5G10030	OBF4	2	0	PWM1040	CisBP	M0267_1.01	3	0.000003191151078749876	0.0019072446280661759	26	AT1G03850,AT1G09070,AT1G13260,AT1G15040,AT1G77450,AT2G23320,AT2G38470,AT2G45170,AT3G15210,AT3G25780,AT3G28340,AT3G56400,AT3G61190,AT4G11600,AT4G14010,AT4G16520,AT4G17490,AT4G17500,AT4G21980,AT4G38060,AT4G38470,AT5G03455,AT5G06320,AT5G13180,AT5G24530,AT5G37770	
AT5G64220	CAMTA2	0	0	PWM1479	CisBP	M0517_1.01	4	0.000003191151078749876	0.0019072446280661759	26	AT1G09070,AT1G20450,AT1G27730,AT1G32640,AT1G66200,AT1G73540,AT1G76410,AT1G76930,AT1G78000,AT2G30500,AT2G40000,AT2G40140,AT2G41010,AT2G43350,AT3G14362,AT3G25780,AT3G28340,AT3G61190,AT4G18510,AT4G24570,AT5G06320,AT5G24530,AT5G37770,AT5G49450,AT5G57560,AT5G59820	
AT5G64220	CAMTA2	0	0	PWM2568	JASPAR	MA0969.1	5	0.000010707398284198937	0.003839673024713739	25	AT1G09070,AT1G20450,AT1G27730,AT1G32640,AT1G66200,AT1G73540,AT1G76410,AT1G76930,AT1G78000,AT2G30500,AT2G40000,AT2G40140,AT2G41010,AT3G14362,AT3G25780,AT3G28340,AT3G61190,AT4G18510,AT4G24570,AT5G06320,AT5G24530,AT5G37770,AT5G49450,AT5G57560,AT5G59820	
AT4G00050	UNE10	0	0	PWM2669	JASPAR	MA1074.1	6	0.00003398420082358201	0.010155612012780426	24	AT1G13260,AT1G20450,AT1G32640,AT1G76860,AT1G77450,AT1G78000,AT2G16720,AT2G24570,AT2G38470,AT2G45170,AT3G16470,AT3G25780,AT3G61190,AT3G63080,AT4G16370,AT4G16520,AT4G17500,AT4G18510,AT5G04470,AT5G06320,AT5G13180,AT5G24530,AT5G57560,AT5G64260	
AT4G00050	UNE10	0	0	PWM1001	CisBP	M0157_1.01	10	0.00010193450504192559	0.018276856754017256	23	AT1G13260,AT1G20450,AT1G32640,AT1G76860,AT1G77450,AT1G78000,AT2G16720,AT2G24570,AT2G45170,AT3G16470,AT3G25780,AT3G61190,AT3G63080,AT4G16370,AT4G16520,AT4G17500,AT4G18510,AT4G38060,AT5G04470,AT5G13180,AT5G24530,AT5G57560,AT5G64260	
AT1G22070	TGA3	3	0	PWM2943	DAP-seq	TGA3_col	7	0.00003398420082358201	0.010155612012780426	24	AT1G02920,AT1G03850,AT1G13260,AT1G15040,AT1G27730,AT1G32640,AT1G66200,AT1G77450,AT2G23320,AT3G15210,AT3G27890,AT3G28340,AT3G56400,AT3G61190,AT4G11600,AT4G14010,AT4G17500,AT4G21980,AT5G06320,AT5G13180,AT5G24530,AT5G37770,AT5G42890,AT5G49450	
AT5G06960	OBF5	3	2	PWM2947	DAP-seq	TGA5_col	8	0.00003398420082358201	0.010155612012780426	24	AT1G02920,AT1G03850,AT1G13260,AT1G15040,AT1G27730,AT1G32640,AT1G77450,AT2G23320,AT3G15210,AT3G15353,AT3G27890,AT3G28340,AT3G56400,AT3G61190,AT4G11600,AT4G14010,AT4G17500,AT4G21980,AT5G06320,AT5G13180,AT5G24530,AT5G37770,AT5G42890,AT5G49450	AT5G13180,AT5G59820
AT3G12250	BZIP45	1	0	PWM2948	DAP-seq	TGA6_col	9	0.00003398420082358201	0.010155612012780426	24	AT1G02920,AT1G03850,AT1G13260,AT1G15040,AT1G27730,AT1G32640,AT1G66200,AT1G77450,AT2G23320,AT3G15210,AT3G27890,AT3G28340,AT3G56400,AT3G61190,AT4G11600,AT4G14010,AT4G17500,AT4G21980,AT5G06320,AT5G13180,AT5G24530,AT5G37770,AT5G42890,AT5G49450	
