Regulator	Symbol	CO	PD	PWM_num	PWM_source	PWM_name	rank	p-value	q-value	#hits	hits	PDtargets
AT2G45050	GATA2	9	na	PWM1069	CisBP	M0687_1.01	1	1.3819603195963216e-15	2.4778548530362044e-12	88	AT1G01550,AT1G02840,AT1G03900,AT1G06040,AT1G06390,AT1G07420,AT1G08650,AT1G11840,AT1G12910,AT1G13560,AT1G20260,AT1G21190,AT1G26110,AT1G26670,AT1G27130,AT1G35580,AT1G43890,AT1G53850,AT1G54000,AT1G63000,AT1G74690,AT1G79340,AT1G80920,AT2G04780,AT2G17380,AT2G18960,AT2G20990,AT2G21600,AT2G25490,AT2G27860,AT2G30410,AT2G33120,AT2G34520,AT2G36060,AT2G38810,AT3G02180,AT3G09300,AT3G10985,AT3G11130,AT3G12630,AT3G17100,AT3G20770,AT3G24160,AT3G25040,AT3G26780,AT3G44310,AT3G46900,AT3G47520,AT3G47833,AT3G50500,AT3G54110,AT3G59970,AT4G03520,AT4G04830,AT4G12420,AT4G13430,AT4G17530,AT4G20890,AT4G21150,AT4G21980,AT4G22670,AT4G23710,AT4G23850,AT4G26570,AT4G27320,AT4G34490,AT4G35830,AT5G07470,AT5G19690,AT5G23860,AT5G24400,AT5G25460,AT5G28540,AT5G38470,AT5G39320,AT5G42020,AT5G42080,AT5G43970,AT5G45010,AT5G45130,AT5G45550,AT5G49720,AT5G50375,AT5G58290,AT5G59890,AT5G60360,AT5G60920,AT5G67360	na
AT3G60530	GATA4	0	1	PWM1070	CisBP	M0687_1.01	2	1.3819603195963216e-15	2.4778548530362044e-12	88	AT1G01550,AT1G02840,AT1G03900,AT1G06040,AT1G06390,AT1G07420,AT1G08650,AT1G11840,AT1G12910,AT1G13560,AT1G20260,AT1G21190,AT1G26110,AT1G26670,AT1G27130,AT1G35580,AT1G43890,AT1G53850,AT1G54000,AT1G63000,AT1G74690,AT1G79340,AT1G80920,AT2G04780,AT2G17380,AT2G18960,AT2G20990,AT2G21600,AT2G25490,AT2G27860,AT2G30410,AT2G33120,AT2G34520,AT2G36060,AT2G38810,AT3G02180,AT3G09300,AT3G10985,AT3G11130,AT3G12630,AT3G17100,AT3G20770,AT3G24160,AT3G25040,AT3G26780,AT3G44310,AT3G46900,AT3G47520,AT3G47833,AT3G50500,AT3G54110,AT3G59970,AT4G03520,AT4G04830,AT4G12420,AT4G13430,AT4G17530,AT4G20890,AT4G21150,AT4G21980,AT4G22670,AT4G23710,AT4G23850,AT4G26570,AT4G27320,AT4G34490,AT4G35830,AT5G07470,AT5G19690,AT5G23860,AT5G24400,AT5G25460,AT5G28540,AT5G38470,AT5G39320,AT5G42020,AT5G42080,AT5G43970,AT5G45010,AT5G45130,AT5G45550,AT5G49720,AT5G50375,AT5G58290,AT5G59890,AT5G60360,AT5G60920,AT5G67360	AT1G69600
AT3G60530	GATA4	0	1	PWM3015	DAP-seq	GATA4_col	17	4.584816818911279e-9	5.137860347692453e-7	73	AT1G01550,AT1G01720,AT1G07420,AT1G08650,AT1G11840,AT1G20260,AT1G26670,AT1G27130,AT1G35580,AT1G49480,AT1G53850,AT1G63000,AT1G65960,AT1G70410,AT1G74690,AT1G80920,AT2G04780,AT2G25490,AT2G27860,AT2G30410,AT2G35635,AT2G39780,AT2G44100,AT2G46800,AT3G02180,AT3G11130,AT3G12630,AT3G17100,AT3G18820,AT3G24160,AT3G25040,AT3G28860,AT3G44310,AT3G46900,AT3G56190,AT3G56980,AT3G59970,AT4G02570,AT4G12420,AT4G17170,AT4G17530,AT4G20890,AT4G21790,AT4G21830,AT4G26570,AT4G33580,AT4G34490,AT4G37910,AT5G02770,AT5G04430,AT5G08040,AT5G11670,AT5G13420,AT5G18520,AT5G19690,AT5G19990,AT5G23860,AT5G25460,AT5G28540,AT5G37510,AT5G38470,AT5G39320,AT5G42020,AT5G43970,AT5G45550,AT5G48870,AT5G49720,AT5G54160,AT5G54810,AT5G59890,AT5G63660,AT5G67260,AT5G67420	AT1G69600
AT3G45170	GATA14	1	na	PWM989	CisBP	M0685_1.01	3	1.100876201796109e-13	6.579570099401412e-11	84	AT1G01550,AT1G02840,AT1G03900,AT1G06390,AT1G07420,AT1G08650,AT1G11840,AT1G20260,AT1G26110,AT1G26670,AT1G27130,AT1G29150,AT1G35580,AT1G43890,AT1G49480,AT1G53850,AT1G74690,AT1G74920,AT1G80920,AT2G04780,AT2G17380,AT2G17440,AT2G18960,AT2G20990,AT2G21060,AT2G21600,AT2G25490,AT2G27860,AT2G30410,AT2G32720,AT2G33120,AT2G34520,AT2G39780,AT3G02180,AT3G09300,AT3G10985,AT3G11130,AT3G12630,AT3G17100,AT3G20060,AT3G20770,AT3G24160,AT3G25040,AT3G26780,AT3G28860,AT3G44310,AT3G46900,AT3G47520,AT3G48530,AT3G54110,AT3G59970,AT4G03520,AT4G12420,AT4G17530,AT4G20890,AT4G21980,AT4G22670,AT4G23710,AT4G23850,AT4G26570,AT4G34490,AT4G35830,AT4G38510,AT5G19690,AT5G23860,AT5G24400,AT5G25460,AT5G28540,AT5G28640,AT5G38470,AT5G39320,AT5G42020,AT5G42080,AT5G42890,AT5G43970,AT5G45130,AT5G45550,AT5G49720,AT5G50375,AT5G56170,AT5G60360,AT5G60920,AT5G67420,ATMG00580	na
AT3G45170	GATA14	1	na	PWM3006	DAP-seq	GATA14_col	12	1.7964663109990564e-11	2.9282400869284617e-9	79	AT1G01550,AT1G01720,AT1G02840,AT1G06390,AT1G07420,AT1G07790,AT1G08650,AT1G11840,AT1G13280,AT1G13560,AT1G21190,AT1G26670,AT1G27130,AT1G29150,AT1G35580,AT1G47200,AT1G50430,AT1G53850,AT1G65960,AT1G74690,AT1G74920,AT1G79340,AT1G80920,AT2G04780,AT2G18160,AT2G18960,AT2G21600,AT2G25490,AT2G27860,AT2G30410,AT2G30980,AT2G34690,AT2G44100,AT3G01470,AT3G02180,AT3G09300,AT3G10985,AT3G11130,AT3G16240,AT3G17100,AT3G18820,AT3G20770,AT3G23820,AT3G24160,AT3G25040,AT3G26780,AT3G28860,AT3G44310,AT3G47520,AT3G56190,AT4G02570,AT4G12420,AT4G17530,AT4G21790,AT4G21830,AT4G23710,AT4G26570,AT4G27000,AT4G34490,AT4G35830,AT5G02770,AT5G08530,AT5G19690,AT5G24400,AT5G25460,AT5G26880,AT5G27670,AT5G28540,AT5G38470,AT5G39320,AT5G42020,AT5G42080,AT5G43970,AT5G48870,AT5G49720,AT5G50375,AT5G59890,AT5G63660,AT5G67420	na
AT3G51080	GATA6	0	na	PWM990	CisBP	M0685_1.01	4	1.100876201796109e-13	6.579570099401412e-11	84	AT1G01550,AT1G02840,AT1G03900,AT1G06390,AT1G07420,AT1G08650,AT1G11840,AT1G20260,AT1G26110,AT1G26670,AT1G27130,AT1G29150,AT1G35580,AT1G43890,AT1G49480,AT1G53850,AT1G74690,AT1G74920,AT1G80920,AT2G04780,AT2G17380,AT2G17440,AT2G18960,AT2G20990,AT2G21060,AT2G21600,AT2G25490,AT2G27860,AT2G30410,AT2G32720,AT2G33120,AT2G34520,AT2G39780,AT3G02180,AT3G09300,AT3G10985,AT3G11130,AT3G12630,AT3G17100,AT3G20060,AT3G20770,AT3G24160,AT3G25040,AT3G26780,AT3G28860,AT3G44310,AT3G46900,AT3G47520,AT3G48530,AT3G54110,AT3G59970,AT4G03520,AT4G12420,AT4G17530,AT4G20890,AT4G21980,AT4G22670,AT4G23710,AT4G23850,AT4G26570,AT4G34490,AT4G35830,AT4G38510,AT5G19690,AT5G23860,AT5G24400,AT5G25460,AT5G28540,AT5G28640,AT5G38470,AT5G39320,AT5G42020,AT5G42080,AT5G42890,AT5G43970,AT5G45130,AT5G45550,AT5G49720,AT5G50375,AT5G56170,AT5G60360,AT5G60920,AT5G67420,ATMG00580	na
AT3G51080	GATA6	0	na	PWM3016	DAP-seq	GATA6_col	25	2.8321807186157265e-7	0.000021158750118658323	68	AT1G01550,AT1G06390,AT1G07420,AT1G08650,AT1G13560,AT1G27130,AT1G30510,AT1G35580,AT1G49480,AT1G50430,AT1G63000,AT1G65960,AT1G74690,AT2G04630,AT2G04780,AT2G18160,AT2G18960,AT2G21600,AT2G25490,AT2G27860,AT2G30980,AT2G33120,AT2G34690,AT2G35635,AT2G44100,AT3G09300,AT3G10985,AT3G17100,AT3G23000,AT3G25040,AT3G26780,AT3G44310,AT3G56190,AT3G56980,AT3G59970,AT4G02570,AT4G03190,AT4G12420,AT4G17530,AT4G20890,AT4G21790,AT4G21830,AT4G27000,AT4G34490,AT4G35090,AT4G38510,AT5G05950,AT5G08040,AT5G11670,AT5G13420,AT5G18520,AT5G19690,AT5G19990,AT5G24400,AT5G25460,AT5G26880,AT5G28540,AT5G35620,AT5G38470,AT5G39320,AT5G42020,AT5G42890,AT5G43970,AT5G48870,AT5G49720,AT5G59890,AT5G60920,AT5G67360	na
AT5G66320	GATA5	0	0	PWM991	CisBP	M0685_1.01	5	1.100876201796109e-13	6.579570099401412e-11	84	AT1G01550,AT1G02840,AT1G03900,AT1G06390,AT1G07420,AT1G08650,AT1G11840,AT1G20260,AT1G26110,AT1G26670,AT1G27130,AT1G29150,AT1G35580,AT1G43890,AT1G49480,AT1G53850,AT1G74690,AT1G74920,AT1G80920,AT2G04780,AT2G17380,AT2G17440,AT2G18960,AT2G20990,AT2G21060,AT2G21600,AT2G25490,AT2G27860,AT2G30410,AT2G32720,AT2G33120,AT2G34520,AT2G39780,AT3G02180,AT3G09300,AT3G10985,AT3G11130,AT3G12630,AT3G17100,AT3G20060,AT3G20770,AT3G24160,AT3G25040,AT3G26780,AT3G28860,AT3G44310,AT3G46900,AT3G47520,AT3G48530,AT3G54110,AT3G59970,AT4G03520,AT4G12420,AT4G17530,AT4G20890,AT4G21980,AT4G22670,AT4G23710,AT4G23850,AT4G26570,AT4G34490,AT4G35830,AT4G38510,AT5G19690,AT5G23860,AT5G24400,AT5G25460,AT5G28540,AT5G28640,AT5G38470,AT5G39320,AT5G42020,AT5G42080,AT5G42890,AT5G43970,AT5G45130,AT5G45550,AT5G49720,AT5G50375,AT5G56170,AT5G60360,AT5G60920,AT5G67420,ATMG00580	
AT5G25830	GATA12	2	0	PWM2612	JASPAR	MA1015.1	6	3.154944474103618e-13	9.428025736779645e-11	83	AT1G01550,AT1G02840,AT1G03900,AT1G06040,AT1G06390,AT1G07420,AT1G08650,AT1G11840,AT1G20260,AT1G21190,AT1G26110,AT1G26670,AT1G27130,AT1G35580,AT1G43890,AT1G53850,AT1G74690,AT1G74920,AT1G80920,AT2G04780,AT2G17380,AT2G18960,AT2G20990,AT2G21600,AT2G25490,AT2G27860,AT2G30410,AT2G30980,AT2G33120,AT2G34520,AT2G38810,AT3G02180,AT3G09300,AT3G10985,AT3G11130,AT3G12630,AT3G15000,AT3G17100,AT3G20770,AT3G24160,AT3G25040,AT3G26780,AT3G44310,AT3G46900,AT3G47520,AT3G59970,AT4G04830,AT4G12420,AT4G13430,AT4G17530,AT4G20870,AT4G21150,AT4G21980,AT4G22670,AT4G23710,AT4G23850,AT4G26570,AT4G34490,AT4G35830,AT4G37870,AT4G38510,AT5G19690,AT5G20650,AT5G23860,AT5G24400,AT5G27670,AT5G28540,AT5G34850,AT5G35620,AT5G38470,AT5G39320,AT5G42020,AT5G42080,AT5G42190,AT5G43970,AT5G45550,AT5G48870,AT5G49720,AT5G50375,AT5G58290,AT5G59890,AT5G60340,AT5G60920	
AT5G25830	GATA12	2	0	PWM3004	DAP-seq	GATA12_col	8	8.89064746471954e-13	1.992616363030267e-10	82	AT1G01550,AT1G01720,AT1G06390,AT1G07420,AT1G08650,AT1G11840,AT1G27130,AT1G29150,AT1G35580,AT1G49480,AT1G50430,AT1G53850,AT1G63000,AT1G65960,AT1G70410,AT1G74690,AT1G74920,AT1G79340,AT1G80920,AT2G04780,AT2G18960,AT2G20990,AT2G21600,AT2G25490,AT2G27860,AT2G30410,AT2G30980,AT2G34690,AT2G35635,AT2G38810,AT2G43810,AT2G44100,AT3G02180,AT3G09300,AT3G10985,AT3G11130,AT3G17100,AT3G18820,AT3G24160,AT3G25040,AT3G26780,AT3G28860,AT3G44310,AT3G56190,AT3G59970,AT4G02570,AT4G03520,AT4G12420,AT4G17530,AT4G20890,AT4G21830,AT4G23710,AT4G26570,AT4G34490,AT4G37910,AT5G02770,AT5G08040,AT5G11670,AT5G13420,AT5G18520,AT5G19690,AT5G19990,AT5G23860,AT5G24400,AT5G27670,AT5G28540,AT5G35620,AT5G38470,AT5G39320,AT5G42020,AT5G43970,AT5G45550,AT5G48870,AT5G49720,AT5G50375,AT5G54810,AT5G58290,AT5G59890,AT5G60920,AT5G63660,AT5G67260,AT5G67360	
