Regulator	Symbol	CO	PD	PWM_num	PWM_source	PWM_name	rank	p-value	q-value	#hits	hits	PDtargets
AT5G42520	ATBPC6	0	0	PWM2874	DAP-seq	BPC6_col	1	2.488280406245408e-8	0.000044614867683980164	75	AT1G08930,AT1G09970,AT1G10200,AT1G11545,AT1G15750,AT1G16470,AT1G19360,AT1G19850,AT1G23080,AT1G30120,AT1G30510,AT1G32170,AT1G35720,AT1G37130,AT1G60940,AT1G71010,AT1G74690,AT2G01470,AT2G19830,AT2G23030,AT2G25810,AT2G29390,AT2G30970,AT2G41900,AT2G47650,AT3G06420,AT3G15000,AT3G15950,AT3G20060,AT3G23990,AT3G24300,AT3G24503,AT3G26690,AT3G28860,AT3G48750,AT3G48890,AT3G49940,AT3G50070,AT3G54620,AT3G58120,AT3G62600,AT4G11260,AT4G11360,AT4G13660,AT4G15780,AT4G17640,AT4G18040,AT4G21680,AT4G21830,AT4G27230,AT4G28040,AT4G30530,AT4G34350,AT4G34490,AT4G36410,AT4G36690,AT4G37540,AT4G40060,AT5G05080,AT5G07220,AT5G10510,AT5G18650,AT5G20960,AT5G22000,AT5G43700,AT5G47120,AT5G50920,AT5G53160,AT5G53450,AT5G55300,AT5G56870,AT5G57870,AT5G65050,AT5G65700,AT5G66170	
AT4G38170	FRS9	0	na	PWM3437	DAP-seq	FRS9_col	2	5.535997537218768e-8	0.00004963021792116626	74	AT1G08930,AT1G09970,AT1G10200,AT1G11545,AT1G15750,AT1G16470,AT1G19850,AT1G23080,AT1G30510,AT1G32170,AT1G34370,AT1G35720,AT1G37130,AT1G60940,AT1G63180,AT1G67730,AT1G68560,AT1G71010,AT1G74690,AT2G01470,AT2G20120,AT2G23030,AT2G25810,AT2G29390,AT2G30970,AT2G33770,AT2G41900,AT2G47650,AT3G06420,AT3G15000,AT3G15950,AT3G18830,AT3G20060,AT3G23990,AT3G24300,AT3G24503,AT3G26690,AT3G28860,AT3G48750,AT3G48890,AT3G49940,AT3G50070,AT3G54620,AT3G58120,AT3G62600,AT4G03210,AT4G11260,AT4G13660,AT4G15780,AT4G17640,AT4G21680,AT4G21830,AT4G27230,AT4G28040,AT4G34350,AT4G34490,AT4G36690,AT4G37540,AT4G40060,AT5G05080,AT5G10510,AT5G18650,AT5G20960,AT5G22000,AT5G43700,AT5G47120,AT5G50920,AT5G53160,AT5G53450,AT5G56870,AT5G57870,AT5G65050,AT5G65700,AT5G66170	na
AT1G51600	GATA28	0	0	PWM1412	CisBP	M0681_1.01	3	1.2104543987486763e-7	0.00007234482456521255	73	AT1G09970,AT1G10470,AT1G17890,AT1G27130,AT1G30510,AT1G32170,AT1G35720,AT1G43790,AT1G43890,AT1G51070,AT1G53580,AT1G71010,AT1G79340,AT2G04630,AT2G05710,AT2G17380,AT2G20990,AT2G25110,AT2G30500,AT2G41900,AT2G44050,AT2G47650,AT3G02260,AT3G03250,AT3G06300,AT3G06420,AT3G09300,AT3G13300,AT3G19930,AT3G20060,AT3G22380,AT3G23990,AT3G26780,AT3G29360,AT3G46640,AT3G47833,AT3G51160,AT3G51920,AT3G52880,AT3G54620,AT3G55830,AT3G61060,AT3G61070,AT3G62600,AT4G01480,AT4G11220,AT4G11600,AT4G14710,AT4G17510,AT4G34490,AT4G36690,AT4G37010,AT4G37590,AT5G04470,AT5G05950,AT5G07220,AT5G07350,AT5G10840,AT5G15490,AT5G18650,AT5G20960,AT5G25540,AT5G43060,AT5G47120,AT5G48160,AT5G50375,AT5G56760,AT5G60920,AT5G63030,AT5G65480,AT5G65700,AT5G66040,ATCG00170	
AT3G45170	GATA14	3	na	PWM3006	DAP-seq	GATA14_col	4	1.2104543987486763e-7	0.00007234482456521255	73	AT1G08930,AT1G13280,AT1G15670,AT1G19350,AT1G21190,AT1G27130,AT1G34370,AT1G35720,AT1G37130,AT1G59610,AT1G59870,AT1G60940,AT1G67730,AT1G74690,AT1G77450,AT1G79340,AT1G79930,AT2G01470,AT2G14170,AT2G16720,AT2G16850,AT2G18160,AT2G25110,AT2G33770,AT2G38700,AT2G44050,AT3G03250,AT3G06300,AT3G06420,AT3G09300,AT3G13772,AT3G19930,AT3G22380,AT3G23990,AT3G24503,AT3G26780,AT3G28860,AT3G29360,AT3G47520,AT3G51920,AT3G61060,AT3G61070,AT3G62600,AT4G11220,AT4G11600,AT4G12420,AT4G18040,AT4G21830,AT4G23710,AT4G28910,AT4G33360,AT4G34490,AT4G36410,AT4G37010,AT5G04470,AT5G07350,AT5G10840,AT5G15490,AT5G18480,AT5G18650,AT5G20900,AT5G38470,AT5G43350,AT5G43700,AT5G48870,AT5G49450,AT5G50375,AT5G53160,AT5G57870,AT5G59890,AT5G60620,AT5G63660,AT5G66170	na
AT3G45170	GATA14	3	na	PWM989	CisBP	M0685_1.01	5	1.2104543987486763e-7	0.00007234482456521255	73	AT1G09430,AT1G10200,AT1G15750,AT1G17890,AT1G27130,AT1G34370,AT1G35720,AT1G43890,AT1G49300,AT1G51070,AT1G53580,AT1G59610,AT1G68560,AT1G71010,AT1G73030,AT1G74690,AT1G79930,AT2G01470,AT2G05710,AT2G06850,AT2G16720,AT2G17380,AT2G20120,AT2G20990,AT2G30970,AT2G32720,AT2G41900,AT2G44050,AT3G03250,AT3G06300,AT3G06420,AT3G09300,AT3G13772,AT3G19930,AT3G20060,AT3G22380,AT3G23990,AT3G25530,AT3G26780,AT3G28860,AT3G29360,AT3G46640,AT3G47520,AT3G48750,AT3G51160,AT3G57050,AT3G61060,AT4G01480,AT4G01750,AT4G11220,AT4G12420,AT4G16500,AT4G23710,AT4G28910,AT4G33150,AT4G34490,AT4G36410,AT5G04470,AT5G07350,AT5G10840,AT5G15490,AT5G18480,AT5G18650,AT5G20900,AT5G38470,AT5G43700,AT5G50375,AT5G53160,AT5G57870,AT5G60920,AT5G65700,AT5G66170,ATCG00170	na
AT3G51080	GATA6	0	na	PWM990	CisBP	M0685_1.01	6	1.2104543987486763e-7	0.00007234482456521255	73	AT1G09430,AT1G10200,AT1G15750,AT1G17890,AT1G27130,AT1G34370,AT1G35720,AT1G43890,AT1G49300,AT1G51070,AT1G53580,AT1G59610,AT1G68560,AT1G71010,AT1G73030,AT1G74690,AT1G79930,AT2G01470,AT2G05710,AT2G06850,AT2G16720,AT2G17380,AT2G20120,AT2G20990,AT2G30970,AT2G32720,AT2G41900,AT2G44050,AT3G03250,AT3G06300,AT3G06420,AT3G09300,AT3G13772,AT3G19930,AT3G20060,AT3G22380,AT3G23990,AT3G25530,AT3G26780,AT3G28860,AT3G29360,AT3G46640,AT3G47520,AT3G48750,AT3G51160,AT3G57050,AT3G61060,AT4G01480,AT4G01750,AT4G11220,AT4G12420,AT4G16500,AT4G23710,AT4G28910,AT4G33150,AT4G34490,AT4G36410,AT5G04470,AT5G07350,AT5G10840,AT5G15490,AT5G18480,AT5G18650,AT5G20900,AT5G38470,AT5G43700,AT5G50375,AT5G53160,AT5G57870,AT5G60920,AT5G65700,AT5G66170,ATCG00170	na
AT3G51080	GATA6	0	na	PWM3016	DAP-seq	GATA6_col	53	0.00006187710030439026	0.0026415628772802793	64	AT1G08930,AT1G10470,AT1G15670,AT1G20840,AT1G27130,AT1G30510,AT1G35720,AT1G53580,AT1G60940,AT1G67730,AT1G74690,AT1G75380,AT1G79930,AT2G01470,AT2G04630,AT2G05710,AT2G16720,AT2G18160,AT2G19830,AT2G25110,AT2G29390,AT2G33770,AT2G38700,AT2G41900,AT2G44050,AT3G03250,AT3G06420,AT3G09300,AT3G19930,AT3G22380,AT3G26780,AT3G29360,AT3G51160,AT3G54590,AT3G59990,AT3G61060,AT3G61070,AT4G00430,AT4G11600,AT4G12080,AT4G12420,AT4G18040,AT4G21830,AT4G28910,AT4G34490,AT5G04470,AT5G05950,AT5G07350,AT5G07460,AT5G10840,AT5G15490,AT5G18650,AT5G20900,AT5G38470,AT5G43350,AT5G43700,AT5G44790,AT5G48870,AT5G49450,AT5G57870,AT5G59890,AT5G60620,AT5G60920,AT5G63030	na
AT5G66320	GATA5	0	0	PWM991	CisBP	M0685_1.01	7	1.2104543987486763e-7	0.00007234482456521255	73	AT1G09430,AT1G10200,AT1G15750,AT1G17890,AT1G27130,AT1G34370,AT1G35720,AT1G43890,AT1G49300,AT1G51070,AT1G53580,AT1G59610,AT1G68560,AT1G71010,AT1G73030,AT1G74690,AT1G79930,AT2G01470,AT2G05710,AT2G06850,AT2G16720,AT2G17380,AT2G20120,AT2G20990,AT2G30970,AT2G32720,AT2G41900,AT2G44050,AT3G03250,AT3G06300,AT3G06420,AT3G09300,AT3G13772,AT3G19930,AT3G20060,AT3G22380,AT3G23990,AT3G25530,AT3G26780,AT3G28860,AT3G29360,AT3G46640,AT3G47520,AT3G48750,AT3G51160,AT3G57050,AT3G61060,AT4G01480,AT4G01750,AT4G11220,AT4G12420,AT4G16500,AT4G23710,AT4G28910,AT4G33150,AT4G34490,AT4G36410,AT5G04470,AT5G07350,AT5G10840,AT5G15490,AT5G18480,AT5G18650,AT5G20900,AT5G38470,AT5G43700,AT5G50375,AT5G53160,AT5G57870,AT5G60920,AT5G65700,AT5G66170,ATCG00170	
AT5G25830	GATA12	2	0	PWM1092	CisBP	M0689_1.01	8	5.490259258376756e-7	0.00012305043562836905	71	AT1G15750,AT1G17890,AT1G21190,AT1G27130,AT1G29900,AT1G34370,AT1G35720,AT1G49300,AT1G59610,AT1G71010,AT1G74690,AT1G79930,AT2G01470,AT2G05710,AT2G16720,AT2G16850,AT2G17380,AT2G20120,AT2G20990,AT2G30970,AT2G41900,AT2G44050,AT3G03250,AT3G06300,AT3G06420,AT3G09300,AT3G13300,AT3G13772,AT3G15000,AT3G19930,AT3G22380,AT3G23990,AT3G26780,AT3G29360,AT3G46640,AT3G47520,AT3G48750,AT3G50070,AT3G51160,AT3G55830,AT3G59990,AT3G62600,AT4G01480,AT4G01750,AT4G11220,AT4G12420,AT4G21990,AT4G23710,AT4G33150,AT4G33360,AT4G34490,AT4G37590,AT5G02260,AT5G04470,AT5G07350,AT5G10840,AT5G15490,AT5G18480,AT5G18650,AT5G20900,AT5G23220,AT5G38470,AT5G43350,AT5G43700,AT5G50375,AT5G53160,AT5G57870,AT5G59890,AT5G60920,AT5G65050,AT5G66170	
AT5G25830	GATA12	2	0	PWM1589	PBM		10	5.490259258376756e-7	0.00012305043562836905	71	AT1G15750,AT1G17890,AT1G21190,AT1G27130,AT1G29900,AT1G34370,AT1G35720,AT1G49300,AT1G59610,AT1G71010,AT1G74690,AT1G79930,AT2G01470,AT2G05710,AT2G16720,AT2G16850,AT2G17380,AT2G20120,AT2G20990,AT2G30970,AT2G41900,AT2G44050,AT3G03250,AT3G06300,AT3G06420,AT3G09300,AT3G13300,AT3G13772,AT3G15000,AT3G19930,AT3G22380,AT3G23990,AT3G26780,AT3G29360,AT3G46640,AT3G47520,AT3G48750,AT3G50070,AT3G51160,AT3G55830,AT3G59990,AT3G62600,AT4G01480,AT4G01750,AT4G11220,AT4G12420,AT4G21990,AT4G23710,AT4G33150,AT4G33360,AT4G34490,AT4G37590,AT5G02260,AT5G04470,AT5G07350,AT5G10840,AT5G15490,AT5G18480,AT5G18650,AT5G20900,AT5G23220,AT5G38470,AT5G43350,AT5G43700,AT5G50375,AT5G53160,AT5G57870,AT5G59890,AT5G60920,AT5G65050,AT5G66170	
