"","WS_FLT_c1.which.mclass....5...1."
"1","AT1G01120"
"2","AT1G01130"
"3","AT1G01200"
"4","AT1G01310"
"5","AT1G01480"
"6","AT1G01520"
"7","AT1G01560"
"8","AT1G01700"
"9","AT1G01810"
"10","AT1G01880"
"11","AT1G01900"
"12","AT1G02030"
"13","AT1G02260"
"14","AT1G02310"
"15","AT1G02340"
"16","AT1G02350"
"17","AT1G02510"
"18","AT1G02530"
"19","AT1G02570"
"20","AT1G02580"
"21","AT1G02660"
"22","AT1G02670"
"23","AT1G02700"
"24","AT1G02952"
"25","AT1G03070"
"26","AT1G03106"
"27","AT1G03130"
"28","AT1G03200"
"29","AT1G03240"
"30","AT1G03300"
"31","AT1G03445"
"32","AT1G03495"
"33","AT1G03510"
"34","AT1G03540"
"35","AT1G03545"
"36","AT1G03600"
"37","AT1G03620"
"38","AT1G03700"
"39","AT1G03800"
"40","AT1G03940"
"41","AT1G03980"
"42","AT1G03990"
"43","AT1G04017"
"44","AT1G04067"
"45","AT1G04077"
"46","AT1G04090"
"47","AT1G04103"
"48","AT1G04105"
"49","AT1G04123"
"50","AT1G04150"
"51","AT1G04163"
"52","AT1G04180"
"53","AT1G04220"
"54","AT1G04237"
"55","AT1G04240"
"56","AT1G04247"
"57","AT1G04297"
"58","AT1G04330"
"59","AT1G04347"
"60","AT1G04350"
"61","AT1G04390"
"62","AT1G04445"
"63","AT1G04473"
"64","AT1G04540"
"65","AT1G04580"
"66","AT1G04583"
"67","AT1G04600"
"68","AT1G04660"
"69","AT1G04700"
"70","AT1G04733"
"71","AT1G04743"
"72","AT1G04778"
"73","AT1G04823"
"74","AT1G04840"
"75","AT1G04873"
"76","AT1G04917"
"77","AT1G04973"
"78","AT1G05030"
"79","AT1G05033"
"80","AT1G05065"
"81","AT1G05087"
"82","AT1G05100"
"83","AT1G05143"
"84","AT1G05153"
"85","AT1G05200"
"86","AT1G05230"
"87","AT1G05240"
"88","AT1G05267"
"89","AT1G05273"
"90","AT1G05287"
"91","AT1G05317"
"92","AT1G05330"
"93","AT1G05333"
"94","AT1G05400"
"95","AT1G05420"
"96","AT1G05453"
"97","AT1G05490"
"98","AT1G05540"
"99","AT1G05577"
"100","AT1G05607"
"101","AT1G05610"
"102","AT1G05690"
"103","AT1G05767"
"104","AT1G05773"
"105","AT1G05820"
"106","AT1G05837"
"107","AT1G05843"
"108","AT1G05894"
"109","AT1G05943"
"110","AT1G05973"
"111","AT1G06033"
"112","AT1G06045"
"113","AT1G06080"
"114","AT1G06083"
"115","AT1G06113"
"116","AT1G06117"
"117","AT1G06143"
"118","AT1G06160"
"119","AT1G06173"
"120","AT1G06177"
"121","AT1G06213"
"122","AT1G06250"
"123","AT1G06265"
"124","AT1G06273"
"125","AT1G06283"
"126","AT1G06320"
"127","AT1G06357"
"128","AT1G06423"
"129","AT1G06453"
"130","AT1G06463"
"131","AT1G06467"
"132","AT1G06483"
"133","AT1G06520"
"134","AT1G06553"
"135","AT1G06580"
"136","AT1G06607"
"137","AT1G06643"
"138","AT1G06647"
"139","AT1G06680"
"140","AT1G06690"
"141","AT1G06923"
"142","AT1G06977"
"143","AT1G06983"
"144","AT1G06990"
"145","AT1G07010"
"146","AT1G07017"
"147","AT1G07060"
"148","AT1G07119"
"149","AT1G07120"
"150","AT1G07143"
"151","AT1G07150"
"152","AT1G07160"
"153","AT1G07187"
"154","AT1G07390"
"155","AT1G07397"
"156","AT1G07407"
"157","AT1G07473"
"158","AT1G07477"
"159","AT1G07493"
"160","AT1G07513"
"161","AT1G07550"
"162","AT1G07567"
"163","AT1G07587"
"164","AT1G07607"
"165","AT1G07647"
"166","AT1G07667"
"167","AT1G07690"
"168","AT1G07737"
"169","AT1G07753"
"170","AT1G07813"
"171","AT1G07901"
"172","AT1G07902"
"173","AT1G07903"
"174","AT1G07913"
"175","AT1G07937"
"176","AT1G08035"
"177","AT1G08070"
"178","AT1G08103"
"179","AT1G08173"
"180","AT1G08270"
"181","AT1G08287"
"182","AT1G08300"
"183","AT1G08310"
"184","AT1G08317"
"185","AT1G08380"
"186","AT1G08393"
"187","AT1G08457"
"188","AT1G08463"
"189","AT1G08507"
"190","AT1G08630"
"191","AT1G08723"
"192","AT1G08730"
"193","AT1G08903"
"194","AT1G08973"
"195","AT1G08980"
"196","AT1G09027"
"197","AT1G09063"
"198","AT1G09155"
"199","AT1G09167"
"200","AT1G09170"
"201","AT1G09193"
"202","AT1G09220"
"203","AT1G09297"
"204","AT1G09310"
"205","AT1G09383"
"206","AT1G09421"
"207","AT1G09443"
"208","AT1G09480"
"209","AT1G09487"
"210","AT1G09493"
"211","AT1G09497"
"212","AT1G09517"
"213","AT1G09523"
"214","AT1G09530"
"215","AT1G09533"
"216","AT1G09650"
"217","AT1G09673"
"218","AT1G09680"
"219","AT1G09697"
"220","AT1G09713"
"221","AT1G09812"
"222","AT1G09867"
"223","AT1G09880"
"224","AT1G09913"
"225","AT1G09963"
"226","AT1G09987"
"227","AT1G10095"
"228","AT1G10220"
"229","AT1G10330"
"230","AT1G10360"
"231","AT1G10588"
"232","AT1G10657"
"233","AT1G10710"
"234","AT1G10800"
"235","AT1G10875"
"236","AT1G10920"
"237","AT1G10960"
"238","AT1G11070"
"239","AT1G11170"
"240","AT1G11290"
"241","AT1G11300"
"242","AT1G11303"
"243","AT1G11320"
"244","AT1G11410"
"245","AT1G11460"
"246","AT1G11490"
"247","AT1G11500"
"248","AT1G11591"
"249","AT1G11655"
"250","AT1G11700"
"251","AT1G11710"
"252","AT1G11730"
"253","AT1G12100"
"254","AT1G12150"
"255","AT1G12211"
"256","AT1G12220"
"257","AT1G12250"
"258","AT1G12280"
"259","AT1G12300"
"260","AT1G12330"
"261","AT1G12370"
"262","AT1G12480"
"263","AT1G12620"
"264","AT1G12672"
"265","AT1G12775"
"266","AT1G12805"
"267","AT1G12860"
"268","AT1G12890"
"269","AT1G12950"
"270","AT1G13040"
"271","AT1G13090"
"272","AT1G13130"
"273","AT1G13140"
"274","AT1G13150"
"275","AT1G13200"
"276","AT1G13250"
"277","AT1G13340"
"278","AT1G13370"
"279","AT1G13420"
"280","AT1G13480"
"281","AT1G13510"
"282","AT1G13520"
"283","AT1G13630"
"284","AT1G13680"
"285","AT1G13780"
"286","AT1G13800"
"287","AT1G14205"
"288","AT1G14270"
"289","AT1G14280"
"290","AT1G14345"
"291","AT1G14430"
"292","AT1G14440"
"293","AT1G14455"
"294","AT1G14470"
"295","AT1G14490"
"296","AT1G14520"
"297","AT1G14600"
"298","AT1G14680"
"299","AT1G14686"
"300","AT1G14700"
"301","AT1G14790"
"302","AT1G15050"
"303","AT1G15160"
"304","AT1G15165"
"305","AT1G15190"
"306","AT1G15260"
"307","AT1G15510"
"308","AT1G15520"
"309","AT1G15530"
"310","AT1G15770"
"311","AT1G16025"
"312","AT1G16090"
"313","AT1G16110"
"314","AT1G16130"
"315","AT1G16225"
"316","AT1G16360"
"317","AT1G16370"
"318","AT1G16390"
"319","AT1G16400"
"320","AT1G16420"
"321","AT1G16440"
"322","AT1G16445"
"323","AT1G16480"
"324","AT1G16510"
"325","AT1G16515"
"326","AT1G16720"
"327","AT1G16850"
"328","AT1G17020"
"329","AT1G17030"
"330","AT1G17100"
"331","AT1G17200"
"332","AT1G17230"
"333","AT1G17232"
"334","AT1G17345"
"335","AT1G17480"
"336","AT1G17630"
"337","AT1G17820"
"338","AT1G17830"
"339","AT1G17870"
"340","AT1G17920"
"341","AT1G17950"
"342","AT1G18000"
"343","AT1G18075"
"344","AT1G18140"
"345","AT1G18200"
"346","AT1G18280"
"347","AT1G18320"
"348","AT1G18350"
"349","AT1G18400"
"350","AT1G18410"
"351","AT1G18485"
"352","AT1G18750"
"353","AT1G18835"
"354","AT1G18940"
"355","AT1G19025"
"356","AT1G19050"
"357","AT1G19200"
"358","AT1G19210"
"359","AT1G19250"
"360","AT1G19396"
"361","AT1G19397"
"362","AT1G19630"
"363","AT1G19650"
"364","AT1G19720"
"365","AT1G19750"
"366","AT1G19890"
"367","AT1G19900"
"368","AT1G19940"
"369","AT1G20030"
"370","AT1G20150"
"371","AT1G20230"
"372","AT1G20490"
"373","AT1G20515"
"374","AT1G20520"
"375","AT1G20590"
"376","AT1G20810"
"377","AT1G20860"
"378","AT1G21110"
"379","AT1G21130"
"380","AT1G21210"
"381","AT1G21250"
"382","AT1G21320"
"383","AT1G21326"
"384","AT1G21400"
"385","AT1G21460"
"386","AT1G21528"
"387","AT1G21530"
"388","AT1G21590"
"389","AT1G21695"
"390","AT1G21810"
"391","AT1G21990"
"392","AT1G22160"
"393","AT1G22340"
"394","AT1G22370"
"395","AT1G22430"
"396","AT1G22490"
"397","AT1G22550"
"398","AT1G22650"
"399","AT1G22670"
"400","AT1G22810"
"401","AT1G22890"
"402","AT1G22990"
"403","AT1G23010"
"404","AT1G23110"
"405","AT1G23210"
"406","AT1G23350"
"407","AT1G23465"
"408","AT1G23540"
"409","AT1G23550"
"410","AT1G23830"
"411","AT1G23840"
"412","AT1G23985"
"413","AT1G23995"
"414","AT1G24068"
"415","AT1G24270"
"416","AT1G24420"
"417","AT1G24430"
"418","AT1G24530"
"419","AT1G24735"
"420","AT1G24909"
"421","AT1G25155"
"422","AT1G25240"
"423","AT1G25360"
"424","AT1G25370"
"425","AT1G25425"
"426","AT1G25988"
"427","AT1G26150"
"428","AT1G26200"
"429","AT1G26220"
"430","AT1G26230"
"431","AT1G26290"
"432","AT1G26360"
"433","AT1G26420"
"434","AT1G26500"
"435","AT1G26570"
"436","AT1G26590"
"437","AT1G26610"
"438","AT1G26680"
"439","AT1G26770"
"440","AT1G26890"
"441","AT1G27110"
"442","AT1G27580"
"443","AT1G27610"
"444","AT1G27720"
"445","AT1G27890"
"446","AT1G28135"
"447","AT1G28230"
"448","AT1G28270"
"449","AT1G28360"
"450","AT1G28480"
"451","AT1G28660"
"452","AT1G28765"
"453","AT1G29090"
"454","AT1G29100"
"455","AT1G29179"
"456","AT1G29180"
"457","AT1G29230"
"458","AT1G29240"
"459","AT1G29540"
"460","AT1G29560"
"461","AT1G29770"
"462","AT1G29830"
"463","AT1G29860"
"464","AT1G29910"
"465","AT1G29920"
"466","AT1G30020"
"467","AT1G30050"
"468","AT1G30210"
"469","AT1G30282"
"470","AT1G30380"
"471","AT1G30800"
"472","AT1G30850"
"473","AT1G31173"
"474","AT1G31200"
"475","AT1G31243"
"476","AT1G31310"
"477","AT1G31750"
"478","AT1G31790"
"479","AT1G31800"
"480","AT1G31840"
"481","AT1G31920"
"482","AT1G32060"
"483","AT1G32172"
"484","AT1G32415"
"485","AT1G32520"
"486","AT1G32540"
"487","AT1G32900"
"488","AT1G33030"
"489","AT1G33102"
"490","AT1G33340"
"491","AT1G33440"
"492","AT1G33500"
"493","AT1G33615"
"494","AT1G34040"
"495","AT1G34050"
"496","AT1G34160"
"497","AT1G34315"
"498","AT1G34317"
"499","AT1G34420"
"500","AT1G34460"
"501","AT1G34510"
"502","AT1G34640"
"503","AT1G34670"
"504","AT1G35140"
"505","AT1G35210"
"506","AT1G35255"
"507","AT1G35320"
"508","AT1G35330"
"509","AT1G35530"
"510","AT1G35545"
"511","AT1G35625"
"512","AT1G35710"
"513","AT1G36180"
"514","AT1G36622"
"515","AT1G36992"
"516","AT1G42560"
"517","AT1G43000"
"518","AT1G43800"
"519","AT1G43980"
"520","AT1G44010"
"521","AT1G44020"
"522","AT1G44542"
"523","AT1G44830"
"524","AT1G45229"
"525","AT1G45474"
"526","AT1G47560"
"527","AT1G47620"
"528","AT1G47655"
"529","AT1G47760"
"530","AT1G47790"
"531","AT1G48100"
"532","AT1G48325"
"533","AT1G48405"
"534","AT1G48500"
"535","AT1G48540"
"536","AT1G48580"
"537","AT1G48670"
"538","AT1G48690"
"539","AT1G48780"
"540","AT1G48800"
"541","AT1G48820"
"542","AT1G49000"
"543","AT1G49205"
"544","AT1G49210"
"545","AT1G49220"
"546","AT1G49405"
"547","AT1G49490"
"548","AT1G49650"
"549","AT1G49940"
"550","AT1G49960"
"551","AT1G50040"
"552","AT1G50250"
"553","AT1G50260"
"554","AT1G50270"
"555","AT1G50280"
"556","AT1G50310"
"557","AT1G50390"
"558","AT1G50400"
"559","AT1G50450"
"560","AT1G50590"
"561","AT1G50720"
"562","AT1G50970"
"563","AT1G51020"
"564","AT1G51030"
"565","AT1G51055"
"566","AT1G51260"
"567","AT1G51370"
"568","AT1G51402"
"569","AT1G51405"
"570","AT1G51480"
"571","AT1G51520"
"572","AT1G51620"
"573","AT1G51770"
"574","AT1G51840"
"575","AT1G51890"
"576","AT1G51990"
"577","AT1G52110"
"578","AT1G52220"
"579","AT1G52240"
"580","AT1G52290"
"581","AT1G52315"
"582","AT1G52400"
"583","AT1G52410"
"584","AT1G52415"
"585","AT1G52430"
"586","AT1G52450"
"587","AT1G52510"
"588","AT1G52620"
"589","AT1G52640"
"590","AT1G52650"
"591","AT1G52660"
"592","AT1G52870"
"593","AT1G52880"
"594","AT1G53100"
"595","AT1G53270"
"596","AT1G53330"
"597","AT1G53350"
"598","AT1G53420"
"599","AT1G53600"
"600","AT1G53625"
"601","AT1G53633"
"602","AT1G53635"
"603","AT1G53790"
"604","AT1G53801"
"605","AT1G53885"
"606","AT1G53903"
"607","AT1G53990"
"608","AT1G54050"
"609","AT1G54095"
"610","AT1G54160"
"611","AT1G54215"
"612","AT1G54280"
"613","AT1G54355"
"614","AT1G54540"
"615","AT1G54760"
"616","AT1G54940"
"617","AT1G55020"
"618","AT1G55040"
"619","AT1G55050"
"620","AT1G55200"
"621","AT1G55290"
"622","AT1G55440"
"623","AT1G55480"
"624","AT1G55580"
"625","AT1G55600"
"626","AT1G55610"
"627","AT1G55640"
"628","AT1G55670"
"629","AT1G55673"
"630","AT1G55720"
"631","AT1G55755"
"632","AT1G55775"
"633","AT1G55865"
"634","AT1G55970"
"635","AT1G55980"
"636","AT1G56120"
"637","AT1G56165"
"638","AT1G56320"
"639","AT1G56500"
