"","WS_GC_c1.which.mclass....3...1."
"1","AT1G01010"
"2","AT1G01020"
"3","AT1G01040"
"4","AT1G01110"
"5","AT1G01140"
"6","AT1G01220"
"7","AT1G01225"
"8","AT1G01240"
"9","AT1G01260"
"10","AT1G01290"
"11","AT1G01320"
"12","AT1G01350"
"13","AT1G01370"
"14","AT1G01430"
"15","AT1G01440"
"16","AT1G01448"
"17","AT1G01450"
"18","AT1G01470"
"19","AT1G01540"
"20","AT1G01580"
"21","AT1G01630"
"22","AT1G01640"
"23","AT1G01650"
"24","AT1G01670"
"25","AT1G01690"
"26","AT1G01710"
"27","AT1G01725"
"28","AT1G01750"
"29","AT1G01760"
"30","AT1G01770"
"31","AT1G01780"
"32","AT1G01790"
"33","AT1G01830"
"34","AT1G01930"
"35","AT1G01950"
"36","AT1G01990"
"37","AT1G02000"
"38","AT1G02050"
"39","AT1G02060"
"40","AT1G02110"
"41","AT1G02120"
"42","AT1G02145"
"43","AT1G02150"
"44","AT1G02170"
"45","AT1G02270"
"46","AT1G02290"
"47","AT1G02330"
"48","AT1G02360"
"49","AT1G02370"
"50","AT1G02430"
"51","AT1G02460"
"52","AT1G02475"
"53","AT1G02520"
"54","AT1G02610"
"55","AT1G02640"
"56","AT1G02680"
"57","AT1G02720"
"58","AT1G02730"
"59","AT1G02740"
"60","AT1G02750"
"61","AT1G02810"
"62","AT1G02860"
"63","AT1G02890"
"64","AT1G02910"
"65","AT1G02920"
"66","AT1G02950"
"67","AT1G02960"
"68","AT1G02970"
"69","AT1G02990"
"70","AT1G03000"
"71","AT1G03030"
"72","AT1G03040"
"73","AT1G03060"
"74","AT1G03080"
"75","AT1G03090"
"76","AT1G03160"
"77","AT1G03180"
"78","AT1G03190"
"79","AT1G03250"
"80","AT1G03260"
"81","AT1G03270"
"82","AT1G03280"
"83","AT1G03290"
"84","AT1G03350"
"85","AT1G03365"
"86","AT1G03370"
"87","AT1G03430"
"88","AT1G03440"
"89","AT1G03457"
"90","AT1G03470"
"91","AT1G03475"
"92","AT1G03520"
"93","AT1G03550"
"94","AT1G03560"
"95","AT1G03650"
"96","AT1G03680"
"97","AT1G03687"
"98","AT1G03730"
"99","AT1G03740"
"100","AT1G03760"
"101","AT1G03770"
"102","AT1G03780"
"103","AT1G03830"
"104","AT1G03840"
"105","AT1G03905"
"106","AT1G03930"
"107","AT1G03960"
