"","WS_FLT_c1.which.mclass....3...1."
"1","AT1G01010"
"2","AT1G01030"
"3","AT1G01140"
"4","AT1G01180"
"5","AT1G01220"
"6","AT1G01225"
"7","AT1G01260"
"8","AT1G01320"
"9","AT1G01370"
"10","AT1G01380"
"11","AT1G01440"
"12","AT1G01448"
"13","AT1G01500"
"14","AT1G01580"
"15","AT1G01670"
"16","AT1G01690"
"17","AT1G01710"
"18","AT1G01725"
"19","AT1G01760"
"20","AT1G01770"
"21","AT1G01790"
"22","AT1G01830"
"23","AT1G01930"
"24","AT1G01950"
"25","AT1G02000"
"26","AT1G02150"
"27","AT1G02270"
"28","AT1G02360"
"29","AT1G02370"
"30","AT1G02430"
"31","AT1G02440"
"32","AT1G02450"
"33","AT1G02460"
"34","AT1G02475"
"35","AT1G02610"
"36","AT1G02640"
"37","AT1G02720"
"38","AT1G02730"
"39","AT1G02740"
"40","AT1G02750"
"41","AT1G02860"
"42","AT1G02910"
"43","AT1G02930"
"44","AT1G02960"
"45","AT1G02990"
"46","AT1G03000"
"47","AT1G03010"
"48","AT1G03030"
"49","AT1G03090"
"50","AT1G03180"
"51","AT1G03190"
"52","AT1G03260"
"53","AT1G03365"
"54","AT1G03370"
"55","AT1G03457"
"56","AT1G03470"
"57","AT1G03520"
"58","AT1G03550"
"59","AT1G03560"
"60","AT1G03650"
"61","AT1G03740"
"62","AT1G03760"
"63","AT1G03770"
"64","AT1G03905"
"65","AT1G03920"
"66","AT1G03930"
"67","AT1G03950"
"68","AT1G03960"
"69","AT1G03970"
"70","AT1G04000"
"71","AT1G04010"
"72","AT1G04020"
"73","AT1G04053"
"74","AT1G04130"
"75","AT1G04200"
"76","AT1G04230"
"77","AT1G04295"
"78","AT1G04353"
"79","AT1G04360"
"80","AT1G04420"
"81","AT1G04463"
"82","AT1G04555"
"83","AT1G04635"
"84","AT1G04640"
"85","AT1G04647"
"86","AT1G04710"
"87","AT1G04730"
"88","AT1G04760"
"89","AT1G04773"
"90","AT1G04790"
"91","AT1G04803"
"92","AT1G04833"
"93","AT1G04837"
"94","AT1G04945"
"95","AT1G04977"
"96","AT1G04990"
"97","AT1G05010"
"98","AT1G05060"
"99","AT1G05090"
"100","AT1G05120"
"101","AT1G05147"
"102","AT1G05160"
"103","AT1G05183"
"104","AT1G05280"
"105","AT1G05320"
"106","AT1G05340"
"107","AT1G05370"
"108","AT1G05385"
"109","AT1G05440"
"110","AT1G05470"
"111","AT1G05523"
"112","AT1G05553"
"113","AT1G05590"
"114","AT1G05687"
"115","AT1G05700"
"116","AT1G05730"
"117","AT1G05750"
"118","AT1G05760"
"119","AT1G05770"
"120","AT1G05780"
"121","AT1G05790"
"122","AT1G05900"
"123","AT1G06000"
"124","AT1G06002"
"125","AT1G06050"
"126","AT1G06150"
"127","AT1G06225"
"128","AT1G06227"
"129","AT1G06240"
"130","AT1G06330"
"131","AT1G06380"
"132","AT1G06420"
"133","AT1G06450"
"134","AT1G06460"
"135","AT1G06490"
"136","AT1G06500"
"137","AT1G06510"
"138","AT1G06560"
"139","AT1G06590"
"140","AT1G06650"
"141","AT1G06660"
"142","AT1G06730"
"143","AT1G06770"
"144","AT1G06780"
"145","AT1G06800"
"146","AT1G06820"
"147","AT1G06840"
"148","AT1G07090"
"149","AT1G07110"
"150","AT1G07128"
"151","AT1G07130"
"152","AT1G07135"
"153","AT1G07200"
"154","AT1G07230"
"155","AT1G07240"
"156","AT1G07280"
"157","AT1G07290"
"158","AT1G07300"
"159","AT1G07320"
"160","AT1G07380"
"161","AT1G07520"
"162","AT1G07570"
"163","AT1G07603"
"164","AT1G07615"
"165","AT1G07630"
"166","AT1G07650"
"167","AT1G07705"
"168","AT1G07725"
"169","AT1G07728"
"170","AT1G07730"
"171","AT1G07745"
"172","AT1G07795"
"173","AT1G07803"
"174","AT1G07847"
"175","AT1G07870"
"176","AT1G07893"
"177","AT1G07910"
"178","AT1G07933"
"179","AT1G07970"
"180","AT1G07980"
"181","AT1G08000"
"182","AT1G08030"
"183","AT1G08040"
