"","WS_GC_c1.which.mclass....2...1."
"1","AT1G01150"
"2","AT1G01183"
"3","AT1G01190"
"4","AT1G01420"
"5","AT1G01453"
"6","AT1G01480"
"7","AT1G01520"
"8","AT1G01560"
"9","AT1G01600"
"10","AT1G01680"
"11","AT1G01695"
"12","AT1G02205"
"13","AT1G02310"
"14","AT1G02470"
"15","AT1G02510"
"16","AT1G02570"
"17","AT1G02580"
"18","AT1G02700"
"19","AT1G02770"
"20","AT1G02813"
"21","AT1G02820"
"22","AT1G02952"
"23","AT1G02980"
"24","AT1G03120"
"25","AT1G03170"
"26","AT1G03390"
"27","AT1G03445"
"28","AT1G03502"
"29","AT1G03506"
"30","AT1G03700"
"31","AT1G03710"
"32","AT1G03743"
"33","AT1G03746"
"34","AT1G03790"
"35","AT1G04013"
"36","AT1G04023"
"37","AT1G04037"
"38","AT1G04073"
"39","AT1G04083"
"40","AT1G04103"
"41","AT1G04105"
"42","AT1G04147"
"43","AT1G04187"
"44","AT1G04193"
"45","AT1G04197"
"46","AT1G04217"
"47","AT1G04223"
"48","AT1G04227"
"49","AT1G04237"
"50","AT1G04267"
"51","AT1G04273"
"52","AT1G04277"
"53","AT1G04303"
"54","AT1G04343"
"55","AT1G04357"
"56","AT1G04363"
"57","AT1G04397"
"58","AT1G04403"
"59","AT1G04427"
"60","AT1G04445"
"61","AT1G04467"
"62","AT1G04487"
"63","AT1G04493"
"64","AT1G04497"
"65","AT1G04500"
"66","AT1G04507"
"67","AT1G04523"
"68","AT1G04533"
"69","AT1G04563"
"70","AT1G04567"
"71","AT1G04577"
"72","AT1G04583"
"73","AT1G04587"
"74","AT1G04625"
"75","AT1G04643"
"76","AT1G04657"
"77","AT1G04660"
"78","AT1G04670"
"79","AT1G04703"
"80","AT1G04743"
"81","AT1G04767"
"82","AT1G04797"
"83","AT1G04800"
"84","AT1G04817"
"85","AT1G04827"
"86","AT1G04853"
"87","AT1G04877"
"88","AT1G04913"
"89","AT1G04933"
"90","AT1G05013"
"91","AT1G05020"
"92","AT1G05023"
"93","AT1G05043"
"94","AT1G05047"
"95","AT1G05057"
"96","AT1G05083"
"97","AT1G05103"
"98","AT1G05143"
"99","AT1G05203"
"100","AT1G05207"
"101","AT1G05243"
"102","AT1G05247"
"103","AT1G05253"
"104","AT1G05283"
"105","AT1G05297"
"106","AT1G05303"
"107","AT1G05317"
"108","AT1G05327"
"109","AT1G05330"
"110","AT1G05353"
"111","AT1G05357"
"112","AT1G05383"
"113","AT1G05417"
"114","AT1G05423"
"115","AT1G05447"
"116","AT1G05450"
"117","AT1G05463"
"118","AT1G05493"
"119","AT1G05510"
"120","AT1G05517"
"121","AT1G05540"
"122","AT1G05550"
"123","AT1G05607"
"124","AT1G05675"
