"","X","WS_GC_c1.which.mclass....2...1."
"2561",2561,"AT4G05155"
"1560",1560,"AT2G36710"
"2447",2447,"AT3G61870"
"1887",1887,"AT3G08685"
"539",539,"AT1G29230"
"267",267,"AT1G08853"
"511",511,"AT1G25440"
"1554",1554,"AT2G36295"
"11",11,"AT1G01695"
"2450",2450,"AT3G61920"
"3018",3018,"AT4G36795"
"2936",2936,"AT4G29640"
"3261",3261,"AT5G08765"
"1668",1668,"AT2G46670"
"1615",1615,"AT2G42220"
"2129",2129,"AT3G25950"
"3788",3788,"AT5G55570"
"2576",2576,"AT4G05950"
"2155",2155,"AT3G27620"
"1049",1049,"AT1G79160"
"775",775,"AT1G56270"
"307",307,"AT1G09553"
"3222",3222,"AT5G07145"
"3709",3709,"AT5G49770"
"3479",3479,"AT5G26920"
"653",653,"AT1G48020"
"1397",1397,"AT2G23270"
"2941",2941,"AT4G29980"
"1773",1773,"AT3G03620"
"2185",2185,"AT3G29580"
"3787",3787,"AT5G55460"
"281",281,"AT1G09155"
"3753",3753,"AT5G53810"
"3721",3721,"AT5G50640"
"5",5,"AT1G01453"
"1441",1441,"AT2G26975"
"44",44,"AT1G04193"
"3662",3662,"AT5G46085"
"2052",2052,"AT3G20220"
"870",870,"AT1G64210"
"3860",3860,"AT5G62470"
"883",883,"AT1G65060"
"3384",3384,"AT5G18030"
"3464",3464,"AT5G25190"
"2446",2446,"AT3G61700"
"2237",2237,"AT3G46170"
"1842",1842,"AT3G06962"
"2741",2741,"AT4G15025"
"3120",3120,"AT5G02760"
"648",648,"AT1G47760"
"2262",2262,"AT3G47295"
"1127",1127,"AT2G04840"
"3527",3527,"AT5G37620"
"2037",2037,"AT3G18870"
"3223",3223,"AT5G07165"
"9",9,"AT1G01600"
"1723",1723,"AT3G01935"
"876",876,"AT1G64540"
"2122",2122,"AT3G25577"
"1895",1895,"AT3G08855"
"812",812,"AT1G60720"
"2167",2167,"AT3G28335"
"891",891,"AT1G65484"
"1654",1654,"AT2G45600"
"3362",3362,"AT5G16340"
"2390",2390,"AT3G57770"
"3864",3864,"AT5G63070"
"2245",2245,"AT3G46614"
"2533",2533,"AT4G03955"
"651",651,"AT1G47920"
"2389",2389,"AT3G57765"
"3438",3438,"AT5G23410"
"1507",1507,"AT2G32315"
"1828",1828,"AT3G05860"
"2060",2060,"AT3G20978"
"1147",1147,"AT2G05825"
"1117",1117,"AT2G04435"
"222",222,"AT1G07823"
"2610",2610,"AT4G07405"
"2783",2783,"AT4G18195"
"3173",3173,"AT5G04905"
"380",380,"AT1G14686"
"1189",1189,"AT2G07738"
"1527",1527,"AT2G34238"
"1479",1479,"AT2G30630"
"667",667,"AT1G49130"
"906",906,"AT1G66700"
"1403",1403,"AT2G23830"
"461",461,"AT1G22250"
"866",866,"AT1G64130"
"2321",2321,"AT3G51570"
"2983",2983,"AT4G34060"
"1375",1375,"AT2G21480"
"3082",3082,"AT5G01017"
"1967",1967,"AT3G13010"
"709",709,"AT1G52120"
"2879",2879,"AT4G25190"
"606",606,"AT1G34670"
"2654",2654,"AT4G09375"
"3895",3895,"AT5G66110"
"1641",1641,"AT2G44230"
"1027",1027,"AT1G77730"
"2801",2801,"AT4G19095"
"3588",3588,"AT5G41570"
"965",965,"AT1G71280"
"629",629,"AT1G44740"
"2631",2631,"AT4G08515"
"3027",3027,"AT4G37150"
"2107",2107,"AT3G24614"
"3241",3241,"AT5G07955"
"2110",2110,"AT3G24790"
"111",111,"AT1G05357"
"1640",1640,"AT2G44195"
"3564",3564,"AT5G39635"
"354",354,"AT1G11920"
"1549",1549,"AT2G35980"
"1097",1097,"AT2G03370"
"1789",1789,"AT3G04110"
"2760",2760,"AT4G16750"
"1990",1990,"AT3G14420"
"3731",3731,"AT5G51620"
"953",953,"AT1G70185"
"2298",2298,"AT3G49960"
"3209",3209,"AT5G06645"
"211",211,"AT1G07563"
"3440",3440,"AT5G23480"
"3830",3830,"AT5G59370"
"2620",2620,"AT4G08150"
"3180",3180,"AT5G05295"
"2328",2328,"AT3G52310"
"2465",2465,"AT3G62950"
"1979",1979,"AT3G13660"
"3145",3145,"AT5G03790"
"1411",1411,"AT2G24450"
"1601",1601,"AT2G40955"
"855",855,"AT1G63522"
"2053",2053,"AT3G20395"
