"","WS_FLT_c1.which.mclass....4...1."
"1","AT1G01150"
"2","AT1G01183"
"3","AT1G01190"
"4","AT1G01420"
"5","AT1G01453"
"6","AT1G01680"
"7","AT1G02205"
"8","AT1G02470"
"9","AT1G02710"
"10","AT1G02770"
"11","AT1G02813"
"12","AT1G02820"
"13","AT1G02980"
"14","AT1G03120"
"15","AT1G03170"
"16","AT1G03390"
"17","AT1G03502"
"18","AT1G03506"
"19","AT1G03630"
"20","AT1G03710"
"21","AT1G03743"
"22","AT1G03746"
"23","AT1G03790"
"24","AT1G04013"
"25","AT1G04023"
"26","AT1G04037"
"27","AT1G04073"
"28","AT1G04083"
"29","AT1G04147"
"30","AT1G04187"
"31","AT1G04193"
"32","AT1G04197"
"33","AT1G04217"
"34","AT1G04223"
"35","AT1G04227"
"36","AT1G04267"
"37","AT1G04273"
"38","AT1G04277"
"39","AT1G04303"
"40","AT1G04343"
"41","AT1G04357"
"42","AT1G04363"
"43","AT1G04380"
"44","AT1G04397"
"45","AT1G04403"
"46","AT1G04427"
"47","AT1G04467"
"48","AT1G04493"
"49","AT1G04497"
"50","AT1G04500"
"51","AT1G04507"
"52","AT1G04523"
"53","AT1G04533"
"54","AT1G04563"
"55","AT1G04567"
"56","AT1G04577"
"57","AT1G04583"
"58","AT1G04625"
"59","AT1G04643"
"60","AT1G04657"
"61","AT1G04670"
"62","AT1G04703"
"63","AT1G04713"
"64","AT1G04767"
"65","AT1G04797"
"66","AT1G04800"
"67","AT1G04817"
"68","AT1G04827"
"69","AT1G04853"
"70","AT1G04877"
"71","AT1G04913"
"72","AT1G04933"
"73","AT1G05013"
"74","AT1G05020"
"75","AT1G05023"
"76","AT1G05047"
"77","AT1G05057"
"78","AT1G05083"
"79","AT1G05103"
"80","AT1G05203"
"81","AT1G05207"
"82","AT1G05243"
"83","AT1G05247"
"84","AT1G05253"
"85","AT1G05283"
"86","AT1G05297"
"87","AT1G05303"
"88","AT1G05327"
"89","AT1G05353"
"90","AT1G05357"
"91","AT1G05383"
"92","AT1G05417"
"93","AT1G05423"
"94","AT1G05447"
"95","AT1G05450"
"96","AT1G05463"
"97","AT1G05493"
"98","AT1G05510"
"99","AT1G05517"
"100","AT1G05550"
"101","AT1G05675"
"102","AT1G05693"
"103","AT1G05703"
"104","AT1G05707"
"105","AT1G05723"
"106","AT1G05727"
"107","AT1G05747"
"108","AT1G05757"
"109","AT1G05783"
"110","AT1G05813"
"111","AT1G05913"
"112","AT1G05917"
"113","AT1G05920"
"114","AT1G05927"
"115","AT1G05933"
"116","AT1G05937"
"117","AT1G05977"
"118","AT1G05990"
"119","AT1G05993"
"120","AT1G05997"
"121","AT1G06017"
"122","AT1G06020"
"123","AT1G06030"
"124","AT1G06087"
