"","X","WS_FLT_c1.which.mclass....4...1."
"2170",2170,"AT4G05631"
"1322",1322,"AT2G38150"
"2073",2073,"AT3G61970"
"1598",1598,"AT3G08745"
"456",456,"AT1G29395"
"226",226,"AT1G08867"
"433",433,"AT1G25330"
"1316",1316,"AT2G36815"
"9",9,"AT1G02710"
"2074",2074,"AT3G62230"
"2556",2556,"AT4G36870"
"2486",2486,"AT4G29030"
"2761",2761,"AT5G08870"
"1412",1412,"AT2G47115"
"1367",1367,"AT2G42955"
"1802",1802,"AT3G25577"
"3206",3206,"AT5G55893"
"2181",2181,"AT4G06015"
"1824",1824,"AT3G26960"
"888",888,"AT2G01360"
"656",656,"AT1G58320"
"260",260,"AT1G09537"
"2727",2727,"AT5G07280"
"3139",3139,"AT5G50190"
"2944",2944,"AT5G28000"
"553",553,"AT1G48400"
"1182",1182,"AT2G22590"
"2489",2489,"AT4G29580"
"1500",1500,"AT3G03745"
"1848",1848,"AT3G28590"
"3204",3204,"AT5G55590"
"238",238,"AT1G09180"
"3175",3175,"AT5G53870"
"3148",3148,"AT5G51465"
"4",4,"AT1G01420"
"1219",1219,"AT2G26750"
"37",37,"AT1G04273"
"3097",3097,"AT5G46295"
"1735",1735,"AT3G18915"
"736",736,"AT1G64680"
"3264",3264,"AT5G63390"
"747",747,"AT1G65490"
"2861",2861,"AT5G17880"
"2929",2929,"AT5G25910"
"2068",2068,"AT3G61450"
"1891",1891,"AT3G44765"
"1558",1558,"AT3G07125"
"2317",2317,"AT4G13885"
"2638",2638,"AT5G02715"
"548",548,"AT1G48060"
"1912",1912,"AT3G46260"
"952",952,"AT2G05350"
"2981",2981,"AT5G37750"
"1721",1721,"AT3G17220"
"2724",2724,"AT5G07180"
"8",8,"AT1G02470"
"1456",1456,"AT3G02035"
"740",740,"AT1G65150"
"1793",1793,"AT3G24929"
"1601",1601,"AT3G08765"
"686",686,"AT1G61226"
"1830",1830,"AT3G27620"
"753",753,"AT1G66090"
"1397",1397,"AT2G45780"
"2840",2840,"AT5G15800"
"2018",2018,"AT3G55935"
"3263",3263,"AT5G63375"
"1896",1896,"AT3G45060"
"2139",2139,"AT4G03955"
"550",550,"AT1G48195"
"2017",2017,"AT3G55930"
"2903",2903,"AT5G23410"
"1272",1272,"AT2G32860"
"1543",1543,"AT3G05945"
"1739",1739,"AT3G19550"
"968",968,"AT2G06365"
"943",943,"AT2G04860"
"187",187,"AT1G07963"
"2203",2203,"AT4G07120"
"2349",2349,"AT4G17710"
"2678",2678,"AT5G04630"
"320",320,"AT1G14071"
"1004",1004,"AT2G07738"
"1288",1288,"AT2G34925"
"1248",1248,"AT2G30750"
