"","WS_GC_c1.which.mclass....7...1."
"1","AT1G01030"
"2","AT1G01080"
"3","AT1G01140"
"4","AT1G01180"
"5","AT1G01200"
"6","AT1G01380"
"7","AT1G01450"
"8","AT1G01570"
"9","AT1G01610"
"10","AT1G01715"
"11","AT1G01740"
"12","AT1G01810"
"13","AT1G01840"
"14","AT1G01860"
"15","AT1G01880"
"16","AT1G02010"
"17","AT1G02180"
"18","AT1G02260"
"19","AT1G02300"
"20","AT1G02390"
"21","AT1G02420"
"22","AT1G02440"
"23","AT1G02475"
"24","AT1G02530"
"25","AT1G02670"
"26","AT1G02930"
"27","AT1G03010"
"28","AT1G03100"
"29","AT1G03130"
"30","AT1G03300"
"31","AT1G03310"
"32","AT1G03510"
"33","AT1G03540"
"34","AT1G03620"
"35","AT1G03660"
"36","AT1G03750"
"37","AT1G03820"
"38","AT1G03920"
"39","AT1G03950"
"40","AT1G03980"
"41","AT1G03993"
"42","AT1G04053"
"43","AT1G04067"
"44","AT1G04100"
"45","AT1G04150"
"46","AT1G04160"
"47","AT1G04180"
"48","AT1G04310"
"49","AT1G04330"
"50","AT1G04353"
"51","AT1G04425"
"52","AT1G04433"
"53","AT1G04477"
"54","AT1G04490"
"55","AT1G04513"
"56","AT1G04540"
"57","AT1G04555"
"58","AT1G04570"
"59","AT1G04580"
"60","AT1G04620"
"61","AT1G04647"
"62","AT1G04650"
"63","AT1G04700"
"64","AT1G04778"
"65","AT1G04840"
"66","AT1G04917"
"67","AT1G04930"
"68","AT1G05000"
"69","AT1G05030"
"70","AT1G05065"
"71","AT1G05087"
"72","AT1G05140"
"73","AT1G05163"
"74","AT1G05187"
"75","AT1G05230"
"76","AT1G05267"
"77","AT1G05287"
"78","AT1G05370"
"79","AT1G05385"
"80","AT1G05467"
"81","AT1G05530"
"82","AT1G05553"
"83","AT1G05557"
"84","AT1G05577"
"85","AT1G05600"
"86","AT1G05630"
"87","AT1G05640"
"88","AT1G05670"
"89","AT1G05700"
"90","AT1G05767"
"91","AT1G05773"
"92","AT1G05820"
"93","AT1G05837"
"94","AT1G05873"
"95","AT1G05950"
"96","AT1G06045"
"97","AT1G06050"
"98","AT1G06080"
"99","AT1G06120"
"100","AT1G06140"
"101","AT1G06143"
"102","AT1G06265"
"103","AT1G06287"
"104","AT1G06330"
"105","AT1G06357"
"106","AT1G06430"
"107","AT1G06440"
"108","AT1G06460"
"109","AT1G06473"
"110","AT1G06580"
"111","AT1G06650"
"112","AT1G06680"
"113","AT1G06710"
"114","AT1G06740"
"115","AT1G06787"
"116","AT1G06980"
"117","AT1G07000"
"118","AT1G07090"
"119","AT1G07119"
"120","AT1G07280"
"121","AT1G07290"
"122","AT1G07390"
"123","AT1G07400"
"124","AT1G07485"
"125","AT1G07667"
"126","AT1G07730"
"127","AT1G07733"
"128","AT1G07737"
"129","AT1G07753"
"130","AT1G07795"
"131","AT1G07847"
"132","AT1G07897"
"133","AT1G07903"
"134","AT1G07933"
"135","AT1G07937"
"136","AT1G08003"
"137","AT1G08050"
"138","AT1G08180"
"139","AT1G08283"
"140","AT1G08293"
"141","AT1G08300"
"142","AT1G08320"
"143","AT1G08387"
"144","AT1G08463"
"145","AT1G08540"
"146","AT1G08645"
"147","AT1G08727"
"148","AT1G08730"
"149","AT1G08753"
"150","AT1G08900"
"151","AT1G08990"
"152","AT1G09023"
"153","AT1G09040"
"154","AT1G09050"
"155","AT1G09195"
"156","AT1G09220"
"157","AT1G09247"
"158","AT1G09340"
"159","AT1G09440"
"160","AT1G09443"
"161","AT1G09487"
"162","AT1G09523"
"163","AT1G09530"
"164","AT1G09533"
"165","AT1G09543"
"166","AT1G09600"
"167","AT1G09610"
"168","AT1G09627"
"169","AT1G09650"
"170","AT1G09673"
"171","AT1G09680"
"172","AT1G09710"
"173","AT1G09783"
"174","AT1G09794"
"175","AT1G09863"
"176","AT1G09880"
"177","AT1G09910"
"178","AT1G09940"
"179","AT1G09963"
"180","AT1G09987"
"181","AT1G09993"
"182","AT1G10050"
"183","AT1G10090"
"184","AT1G10330"
"185","AT1G10417"
"186","AT1G10460"
"187","AT1G10480"
"188","AT1G10560"
"189","AT1G10610"
"190","AT1G10810"
"191","AT1G10875"
"192","AT1G10960"
"193","AT1G11080"
"194","AT1G11125"
"195","AT1G11160"
"196","AT1G11180"
"197","AT1G11270"
"198","AT1G11280"
"199","AT1G11290"
"200","AT1G11320"
"201","AT1G11500"
"202","AT1G11540"
"203","AT1G11591"
"204","AT1G11700"
"205","AT1G11710"
"206","AT1G11880"
"207","AT1G11900"
"208","AT1G11915"
"209","AT1G11960"
"210","AT1G12040"
"211","AT1G12211"
"212","AT1G12220"
"213","AT1G12250"
"214","AT1G12290"
"215","AT1G12300"
"216","AT1G12370"
"217","AT1G12480"
"218","AT1G12550"
"219","AT1G12560"
"220","AT1G12620"
"221","AT1G12700"
"222","AT1G12710"
"223","AT1G12775"
"224","AT1G12790"
"225","AT1G12805"
"226","AT1G12860"
"227","AT1G13040"
"228","AT1G13050"
"229","AT1G13090"
"230","AT1G13140"
"231","AT1G13250"
"232","AT1G13420"
"233","AT1G13430"
"234","AT1G13448"
"235","AT1G13540"
"236","AT1G13609"
"237","AT1G13630"
"238","AT1G13780"
"239","AT1G13800"
"240","AT1G13820"
"241","AT1G13830"
"242","AT1G14030"
"243","AT1G14160"
"244","AT1G14190"
"245","AT1G14205"
"246","AT1G14260"
"247","AT1G14270"
"248","AT1G14280"
"249","AT1G14480"
"250","AT1G14540"
"251","AT1G14580"
"252","AT1G14687"
"253","AT1G14750"
"254","AT1G14780"
"255","AT1G14790"
"256","AT1G15175"
"257","AT1G15180"
"258","AT1G15415"
"259","AT1G15510"
"260","AT1G15720"
"261","AT1G15900"
"262","AT1G16022"
"263","AT1G16150"
"264","AT1G16160"
"265","AT1G16225"
"266","AT1G16360"
"267","AT1G16370"
"268","AT1G16390"
"269","AT1G16480"
"270","AT1G16489"
"271","AT1G16490"
"272","AT1G16500"
"273","AT1G16640"
"274","AT1G16670"
"275","AT1G16720"
"276","AT1G16780"
"277","AT1G16825"
"278","AT1G16905"
"279","AT1G17090"
"280","AT1G17100"
"281","AT1G17147"
"282","AT1G17230"
"283","AT1G17232"
"284","AT1G17250"
"285","AT1G17255"
"286","AT1G17590"
"287","AT1G17630"
"288","AT1G17744"
"289","AT1G17750"
"290","AT1G17820"
"291","AT1G17840"
"292","AT1G17920"
"293","AT1G17940"
"294","AT1G18000"
"295","AT1G18100"
"296","AT1G18140"
"297","AT1G18170"
"298","AT1G18265"
"299","AT1G18290"
"300","AT1G18382"
"301","AT1G18420"
"302","AT1G18560"
"303","AT1G18570"
"304","AT1G18670"
"305","AT1G18773"
"306","AT1G18860"
"307","AT1G18970"
"308","AT1G19025"
"309","AT1G19080"
"310","AT1G19115"
"311","AT1G19210"
"312","AT1G19330"
"313","AT1G19397"
"314","AT1G19540"
"315","AT1G19550"
"316","AT1G19700"
"317","AT1G19715"
"318","AT1G19720"
"319","AT1G19780"
"320","AT1G19840"
"321","AT1G20065"
"322","AT1G20070"
"323","AT1G20230"
"324","AT1G20470"
"325","AT1G20490"
"326","AT1G20530"
"327","AT1G20570"
"328","AT1G20590"
"329","AT1G20650"
"330","AT1G20690"
"331","AT1G20691"
"332","AT1G20720"
"333","AT1G21060"
"334","AT1G21100"
"335","AT1G21150"
"336","AT1G21340"
"337","AT1G21350"
"338","AT1G21360"
"339","AT1G21390"
"340","AT1G21520"
"341","AT1G21590"
"342","AT1G21651"
"343","AT1G21670"
"344","AT1G21890"
"345","AT1G21910"
"346","AT1G22030"
"347","AT1G22180"
"348","AT1G22220"
"349","AT1G22275"
"350","AT1G22460"
"351","AT1G22490"
"352","AT1G22540"
"353","AT1G22550"
"354","AT1G22570"
"355","AT1G22830"
"356","AT1G22985"
"357","AT1G22990"
"358","AT1G23010"
"359","AT1G23050"
"360","AT1G23052"
"361","AT1G23060"
"362","AT1G23140"
"363","AT1G23360"
"364","AT1G23390"
"365","AT1G23460"
"366","AT1G23560"
"367","AT1G23790"
"368","AT1G23840"
"369","AT1G23880"
"370","AT1G23890"
"371","AT1G24068"
"372","AT1G24150"
"373","AT1G24210"
"374","AT1G24330"
"375","AT1G24620"
"376","AT1G25390"
"377","AT1G25460"
"378","AT1G26130"
"379","AT1G26150"
"380","AT1G26210"
"381","AT1G26218"
"382","AT1G26220"
"383","AT1G26250"
"384","AT1G26255"
"385","AT1G26500"
"386","AT1G26570"
"387","AT1G26680"
"388","AT1G26770"
"389","AT1G26890"
"390","AT1G26970"
"391","AT1G27140"
"392","AT1G27170"
"393","AT1G27410"
"394","AT1G27420"
"395","AT1G27570"
"396","AT1G27620"
"397","AT1G27640"
"398","AT1G27720"
"399","AT1G27740"
"400","AT1G27910"
"401","AT1G28470"
"402","AT1G28550"
"403","AT1G28670"
"404","AT1G28710"
"405","AT1G28765"
"406","AT1G29200"
"407","AT1G29240"
"408","AT1G29355"
"409","AT1G29560"
"410","AT1G29660"
"411","AT1G29700"
"412","AT1G29750"
"413","AT1G29830"
"414","AT1G29910"
"415","AT1G30010"
"416","AT1G30210"
"417","AT1G30260"
"418","AT1G30280"
"419","AT1G30282"
"420","AT1G30290"
"421","AT1G30380"
"422","AT1G30473"
"423","AT1G30520"
"424","AT1G30610"
"425","AT1G30700"
"426","AT1G30720"
"427","AT1G30730"
"428","AT1G30757"
"429","AT1G30870"
"430","AT1G30990"
"431","AT1G31040"
"432","AT1G31190"
"433","AT1G31280"
"434","AT1G31350"
"435","AT1G31490"
"436","AT1G31650"
"437","AT1G31670"
"438","AT1G31720"
"439","AT1G31790"
"440","AT1G31800"
"441","AT1G31840"
"442","AT1G31880"
"443","AT1G31885"
"444","AT1G32415"
"445","AT1G32510"
"446","AT1G32550"
"447","AT1G32740"
"448","AT1G32900"
"449","AT1G32940"
"450","AT1G33260"
"451","AT1G33340"
"452","AT1G33440"
"453","AT1G33500"
"454","AT1G33612"
"455","AT1G33970"
"456","AT1G34120"
"457","AT1G34160"
"458","AT1G34380"
"459","AT1G34760"
"460","AT1G35210"
"461","AT1G35530"
"462","AT1G35660"
"463","AT1G35710"
"464","AT1G35910"
"465","AT1G36180"
"466","AT1G36640"
"467","AT1G37150"
"468","AT1G38065"
"469","AT1G43160"
"470","AT1G43245"
"471","AT1G43765"
"472","AT1G43770"
"473","AT1G43980"
"474","AT1G44350"
"475","AT1G44830"
"476","AT1G45150"
"477","AT1G45180"
"478","AT1G45191"
"479","AT1G45229"
"480","AT1G45230"
"481","AT1G45231"
"482","AT1G45249"
"483","AT1G47510"
"484","AT1G47560"
"485","AT1G47578"
"486","AT1G47580"
"487","AT1G47600"
"488","AT1G47603"
"489","AT1G48120"
"490","AT1G48390"
"491","AT1G48500"
"492","AT1G48540"
"493","AT1G48640"
"494","AT1G48740"
"495","AT1G48745"
"496","AT1G48780"
"497","AT1G48800"
"498","AT1G48820"
"499","AT1G48840"
"500","AT1G49005"
"501","AT1G49110"
"502","AT1G49180"
"503","AT1G49200"
"504","AT1G49205"
"505","AT1G49320"
"506","AT1G49360"
"507","AT1G49380"
"508","AT1G49520"
"509","AT1G49560"
"510","AT1G49620"
"511","AT1G49630"
"512","AT1G49650"
"513","AT1G49832"
"514","AT1G50090"
"515","AT1G50250"
"516","AT1G50260"
"517","AT1G50270"
"518","AT1G50450"
"519","AT1G50700"
"520","AT1G50720"
"521","AT1G50745"
"522","AT1G50790"
"523","AT1G50890"
"524","AT1G51080"
"525","AT1G51100"
"526","AT1G51140"
"527","AT1G51220"
"528","AT1G51340"
"529","AT1G51355"
"530","AT1G51360"
"531","AT1G51370"
"532","AT1G51402"
"533","AT1G51405"
"534","AT1G51470"
"535","AT1G51520"
"536","AT1G51640"
"537","AT1G51645"
"538","AT1G51790"
"539","AT1G51800"
"540","AT1G51830"
"541","AT1G51860"
"542","AT1G51965"
"543","AT1G52230"
"544","AT1G52315"
"545","AT1G52330"
"546","AT1G52343"
"547","AT1G52400"
"548","AT1G52410"
"549","AT1G52430"
"550","AT1G52520"
"551","AT1G52530"
"552","AT1G52550"
"553","AT1G52590"
"554","AT1G52620"
"555","AT1G52825"
"556","AT1G52870"
"557","AT1G52905"
"558","AT1G53035"
"559","AT1G53090"
"560","AT1G53110"
"561","AT1G53130"
"562","AT1G53250"
"563","AT1G53340"
"564","AT1G53350"
"565","AT1G53420"
"566","AT1G53430"
"567","AT1G53542"
"568","AT1G53600"
"569","AT1G53700"
"570","AT1G53887"
"571","AT1G53940"
"572","AT1G54200"
"573","AT1G54330"
"574","AT1G54450"
"575","AT1G54530"
"576","AT1G54790"
"577","AT1G54840"
"578","AT1G55050"
"579","AT1G55110"
"580","AT1G55200"
"581","AT1G55260"
"582","AT1G55265"
"583","AT1G55280"
"584","AT1G55320"
"585","AT1G55365"
"586","AT1G55390"
"587","AT1G55450"
"588","AT1G55480"
"589","AT1G55580"
"590","AT1G55610"
"591","AT1G55865"
"592","AT1G55915"
"593","AT1G55980"
"594","AT1G56120"
"595","AT1G56130"
"596","AT1G56500"
"597","AT1G56550"
"598","AT1G56560"
"599","AT1G56630"
"600","AT1G56670"
"601","AT1G56690"
"602","AT1G58007"
"603","AT1G58160"
"604","AT1G58223"
"605","AT1G58520"
"606","AT1G58643"
"607","AT1G58936"
"608","AT1G59312"
"609","AT1G59510"
"610","AT1G59590"
"611","AT1G59660"
"612","AT1G59840"
"613","AT1G59940"
"614","AT1G59970"
"615","AT1G60030"
"616","AT1G60130"
"617","AT1G60160"
"618","AT1G60360"
"619","AT1G60460"
"620","AT1G60550"
"621","AT1G60690"
"622","AT1G60700"
"623","AT1G60740"
"624","AT1G60870"
"625","AT1G60890"
"626","AT1G60990"
"627","AT1G61170"
"628","AT1G61215"
"629","AT1G61260"
"630","AT1G61340"
"631","AT1G61360"
"632","AT1G61390"
"633","AT1G61410"
"634","AT1G61420"
"635","AT1G61440"
"636","AT1G61450"
"637","AT1G61460"
"638","AT1G61500"
"639","AT1G61520"
"640","AT1G61750"
"641","AT1G61930"
"642","AT1G61970"
"643","AT1G62050"
"644","AT1G62130"
"645","AT1G62150"
"646","AT1G62350"
"647","AT1G62370"
"648","AT1G62510"
"649","AT1G62620"
"650","AT1G62670"
"651","AT1G62680"
"652","AT1G62700"
"653","AT1G62710"
"654","AT1G62780"
"655","AT1G62840"
"656","AT1G62870"
"657","AT1G62910"
"658","AT1G62914"
"659","AT1G62930"
"660","AT1G62950"
"661","AT1G62975"
"662","AT1G62980"
"663","AT1G62981"
"664","AT1G62990"
"665","AT1G63020"
"666","AT1G63080"
"667","AT1G63150"
"668","AT1G63240"
"669","AT1G63380"
"670","AT1G63400"
"671","AT1G63520"
"672","AT1G63670"
"673","AT1G63730"
"674","AT1G63740"
"675","AT1G64110"
"676","AT1G64180"
"677","AT1G64310"
"678","AT1G64355"
"679","AT1G64400"
"680","AT1G64430"
"681","AT1G64455"
"682","AT1G64570"
"683","AT1G64583"
"684","AT1G64610"
"685","AT1G64700"
"686","AT1G64860"
"687","AT1G64890"
"688","AT1G64940"
"689","AT1G65080"
"690","AT1G65110"
"691","AT1G65120"
"692","AT1G65481"
"693","AT1G65500"
"694","AT1G65610"
"695","AT1G65620"
"696","AT1G65690"
"697","AT1G65900"
"698","AT1G65910"
"699","AT1G65920"
"700","AT1G65950"
"701","AT1G66020"
"702","AT1G66040"
"703","AT1G66160"
"704","AT1G66330"
"705","AT1G66345"
"706","AT1G66350"
"707","AT1G66400"
"708","AT1G66450"
"709","AT1G66480"
"710","AT1G66520"
"711","AT1G66590"
"712","AT1G66730"
"713","AT1G66800"
"714","AT1G66910"
"715","AT1G67035"
"716","AT1G67040"
"717","AT1G67050"
"718","AT1G67070"
"719","AT1G67180"
"720","AT1G67400"
"721","AT1G67410"
"722","AT1G67440"
"723","AT1G67710"
"724","AT1G67760"
"725","AT1G67790"
"726","AT1G67792"
"727","AT1G67870"
"728","AT1G67910"
"729","AT1G67970"
"730","AT1G68030"
"731","AT1G68050"
"732","AT1G68120"
"733","AT1G68238"
"734","AT1G68330"
"735","AT1G68350"
"736","AT1G68450"
"737","AT1G68500"
"738","AT1G68620"
"739","AT1G68640"
"740","AT1G68725"
"741","AT1G68740"
"742","AT1G68795"
"743","AT1G68830"
"744","AT1G68930"
"745","AT1G68940"
"746","AT1G68945"
"747","AT1G69020"
"748","AT1G69050"
"749","AT1G69280"
"750","AT1G69350"
"751","AT1G69400"
"752","AT1G69440"
"753","AT1G69480"
"754","AT1G69550"
"755","AT1G69570"
"756","AT1G69572"
"757","AT1G69610"
"758","AT1G69710"
"759","AT1G69790"
"760","AT1G69800"
"761","AT1G69810"
"762","AT1G69830"
"763","AT1G69900"
"764","AT1G69935"
"765","AT1G70000"
"766","AT1G70070"
"767","AT1G70100"
"768","AT1G70360"
"769","AT1G70420"
"770","AT1G70430"
"771","AT1G70505"
"772","AT1G70510"
"773","AT1G70518"
"774","AT1G70520"
"775","AT1G70581"
"776","AT1G70630"
"777","AT1G70650"
"778","AT1G70700"
"779","AT1G70800"
"780","AT1G70810"
"781","AT1G71015"
"782","AT1G71030"
"783","AT1G71050"
"784","AT1G71240"
"785","AT1G71330"
"786","AT1G71360"
"787","AT1G71380"
"788","AT1G71420"
"789","AT1G71460"
"790","AT1G71490"
"791","AT1G71720"
"792","AT1G71760"
"793","AT1G71810"
"794","AT1G71930"
"795","AT1G71970"
"796","AT1G72070"
"797","AT1G72120"
"798","AT1G72125"
"799","AT1G72180"
"800","AT1G72220"
"801","AT1G72240"
"802","AT1G72275"
"803","AT1G72280"
"804","AT1G72450"
"805","AT1G72500"
"806","AT1G72520"
"807","AT1G72530"
"808","AT1G72600"
"809","AT1G72610"
"810","AT1G72640"
"811","AT1G72720"
"812","AT1G72860"
"813","AT1G72890"
