"","col_FLT_c1.which.mclass....9...1."
"1","AT1G01020"
"2","AT1G01070"
"3","AT1G01110"
"4","AT1G01170"
"5","AT1G01210"
"6","AT1G01350"
"7","AT1G01360"
"8","AT1G01580"
"9","AT1G01630"
"10","AT1G01650"
"11","AT1G01750"
"12","AT1G01920"
"13","AT1G01940"
"14","AT1G01960"
"15","AT1G01990"
"16","AT1G02080"
"17","AT1G02120"
"18","AT1G02145"
"19","AT1G02150"
"20","AT1G02170"
"21","AT1G02220"
"22","AT1G02330"
"23","AT1G02335"
"24","AT1G02360"
"25","AT1G02410"
"26","AT1G02560"
"27","AT1G02610"
"28","AT1G02680"
"29","AT1G02690"
"30","AT1G02810"
"31","AT1G02880"
"32","AT1G03040"
"33","AT1G03090"
"34","AT1G03110"
"35","AT1G03150"
"36","AT1G03280"
"37","AT1G03290"
"38","AT1G03350"
"39","AT1G03360"
"40","AT1G03380"
"41","AT1G03430"
"42","AT1G03475"
"43","AT1G03530"
"44","AT1G03590"
"45","AT1G03730"
"46","AT1G03910"
"47","AT1G03970"
"48","AT1G04030"
"49","AT1G04047"
"50","AT1G04070"
"51","AT1G04120"
"52","AT1G04210"
"53","AT1G04260"
"54","AT1G04300"
"55","AT1G04400"
"56","AT1G04440"
"57","AT1G04520"
"58","AT1G04537"
"59","AT1G04590"
"60","AT1G04770"
"61","AT1G04780"
"62","AT1G04810"
"63","AT1G04860"
"64","AT1G04900"
"65","AT1G04910"
"66","AT1G04950"
"67","AT1G04960"
"68","AT1G04980"
"69","AT1G04985"
"70","AT1G05010"
"71","AT1G05070"
"72","AT1G05147"
"73","AT1G05150"
"74","AT1G05170"
"75","AT1G05180"
"76","AT1G05210"
"77","AT1G05270"
"78","AT1G05350"
"79","AT1G05360"
"80","AT1G05380"
"81","AT1G05500"
"82","AT1G05520"
"83","AT1G05560"
"84","AT1G05562"
"85","AT1G05710"
"86","AT1G05780"
"87","AT1G05785"
"88","AT1G05805"
"89","AT1G05840"
"90","AT1G05870"
"91","AT1G05890"
"92","AT1G05940"
"93","AT1G05960"
"94","AT1G06060"
"95","AT1G06130"
"96","AT1G06190"
"97","AT1G06210"
"98","AT1G06290"
"99","AT1G06410"
"100","AT1G06470"
"101","AT1G06530"
"102","AT1G06540"
"103","AT1G06550"
"104","AT1G06630"
"105","AT1G06670"
"106","AT1G06720"
"107","AT1G06850"
"108","AT1G06900"
"109","AT1G06930"
"110","AT1G06950"
"111","AT1G06960"
"112","AT1G07040"
"113","AT1G07230"
"114","AT1G07260"
"115","AT1G07350"
"116","AT1G07480"
"117","AT1G07510"
"118","AT1G07530"
"119","AT1G07670"
"120","AT1G07810"
"121","AT1G07840"
"122","AT1G07950"
"123","AT1G07990"
"124","AT1G08010"
"125","AT1G08037"
"126","AT1G08125"
"127","AT1G08130"
"128","AT1G08160"
"129","AT1G08190"
"130","AT1G08210"
"131","AT1G08230"
"132","AT1G08350"
"133","AT1G08410"
"134","AT1G08450"
"135","AT1G08477"
"136","AT1G08500"
"137","AT1G08560"
"138","AT1G08620"
"139","AT1G08640"
"140","AT1G08657"
"141","AT1G08680"
"142","AT1G08700"
"143","AT1G08770"
"144","AT1G08845"
"145","AT1G08970"
"146","AT1G09010"
"147","AT1G09020"
"148","AT1G09100"
"149","AT1G09130"
"150","AT1G09160"
"151","AT1G09280"
"152","AT1G09290"
"153","AT1G09520"
"154","AT1G09580"
"155","AT1G09645"
"156","AT1G09730"
"157","AT1G09795"
"158","AT1G09815"
"159","AT1G09870"
"160","AT1G09920"
"161","AT1G09927"
"162","AT1G09932"
"163","AT1G10070"
"164","AT1G10130"
"165","AT1G10180"
"166","AT1G10380"
"167","AT1G10390"
"168","AT1G10410"
"169","AT1G10430"
"170","AT1G10470"
"171","AT1G10490"
"172","AT1G10580"
"173","AT1G10600"
"174","AT1G10700"
"175","AT1G10720"
"176","AT1G10940"
"177","AT1G11000"
"178","AT1G11020"
"179","AT1G11200"
"180","AT1G11430"
"181","AT1G11530"
"182","AT1G11592"
"183","AT1G11760"
"184","AT1G11905"
"185","AT1G11930"
"186","AT1G12050"
"187","AT1G12120"
"188","AT1G12160"
"189","AT1G12240"
"190","AT1G12360"
"191","AT1G12400"
"192","AT1G12500"
"193","AT1G12520"
"194","AT1G12530"
"195","AT1G12580"
"196","AT1G12640"
"197","AT1G12760"
"198","AT1G12780"
"199","AT1G12810"
"200","AT1G12820"
"201","AT1G12830"
"202","AT1G13000"
"203","AT1G13110"
"204","AT1G13160"
"205","AT1G13195"
"206","AT1G13220"
"207","AT1G13245"
"208","AT1G13300"
"209","AT1G13320"
"210","AT1G13390"
"211","AT1G13450"
"212","AT1G13530"
"213","AT1G13570"
"214","AT1G13640"
"215","AT1G13690"
"216","AT1G13750"
"217","AT1G13960"
"218","AT1G13980"
"219","AT1G13990"
"220","AT1G14000"
"221","AT1G14060"
"222","AT1G14080"
"223","AT1G14200"
"224","AT1G14230"
"225","AT1G14300"
"226","AT1G14330"
"227","AT1G14360"
"228","AT1G14380"
"229","AT1G14410"
"230","AT1G14453"
"231","AT1G14650"
"232","AT1G14690"
"233","AT1G14710"
"234","AT1G14730"
"235","AT1G14740"
"236","AT1G14920"
"237","AT1G14990"
"238","AT1G15020"
"239","AT1G15110"
"240","AT1G15130"
"241","AT1G15140"
"242","AT1G15280"
"243","AT1G15330"
"244","AT1G15390"
"245","AT1G15430"
"246","AT1G15440"
"247","AT1G15570"
"248","AT1G15630"
"249","AT1G15640"
"250","AT1G15660"
"251","AT1G15740"
"252","AT1G15800"
"253","AT1G15810"
"254","AT1G15860"
"255","AT1G15910"
"256","AT1G15960"
