"","col_GC_c1.which.mclass....9...1."
"1","AT1G01010"
"2","AT1G01040"
"3","AT1G01220"
"4","AT1G01260"
"5","AT1G01320"
"6","AT1G01430"
"7","AT1G01440"
"8","AT1G01450"
"9","AT1G01580"
"10","AT1G01690"
"11","AT1G01710"
"12","AT1G01760"
"13","AT1G01790"
"14","AT1G01830"
"15","AT1G01930"
"16","AT1G01950"
"17","AT1G02000"
"18","AT1G02020"
"19","AT1G02060"
"20","AT1G02180"
"21","AT1G02220"
"22","AT1G02260"
"23","AT1G02270"
"24","AT1G02290"
"25","AT1G02370"
"26","AT1G02430"
"27","AT1G02460"
"28","AT1G02640"
"29","AT1G02740"
"30","AT1G02810"
"31","AT1G02860"
"32","AT1G02910"
"33","AT1G02930"
"34","AT1G03000"
"35","AT1G03010"
"36","AT1G03180"
"37","AT1G03190"
"38","AT1G03260"
"39","AT1G03370"
"40","AT1G03440"
"41","AT1G03457"
"42","AT1G03470"
"43","AT1G03520"
"44","AT1G03560"
"45","AT1G03650"
"46","AT1G03760"
"47","AT1G03770"
"48","AT1G03830"
"49","AT1G03905"
"50","AT1G03930"
"51","AT1G04010"
"52","AT1G04200"
"53","AT1G04353"
"54","AT1G04360"
"55","AT1G04420"
"56","AT1G04463"
"57","AT1G04555"
"58","AT1G04635"
"59","AT1G04640"
"60","AT1G04647"
"61","AT1G04710"
"62","AT1G04730"
"63","AT1G04760"
"64","AT1G04773"
"65","AT1G04803"
"66","AT1G04833"
"67","AT1G04837"
"68","AT1G04930"
"69","AT1G04945"
"70","AT1G04977"
"71","AT1G04990"
"72","AT1G05010"
"73","AT1G05090"
"74","AT1G05160"
"75","AT1G05183"
"76","AT1G05187"
"77","AT1G05440"
"78","AT1G05460"
"79","AT1G05590"
"80","AT1G05687"
"81","AT1G05767"
"82","AT1G05770"
"83","AT1G05780"
"84","AT1G05790"
"85","AT1G06000"
"86","AT1G06002"
"87","AT1G06150"
"88","AT1G06227"
"89","AT1G06240"
"90","AT1G06380"
"91","AT1G06420"
"92","AT1G06473"
"93","AT1G06475"
"94","AT1G06490"
"95","AT1G06510"
"96","AT1G06660"
"97","AT1G06730"
"98","AT1G06770"
"99","AT1G06800"
"100","AT1G06820"
"101","AT1G06840"
"102","AT1G06910"
"103","AT1G07110"
"104","AT1G07128"
"105","AT1G07130"
"106","AT1G07135"
"107","AT1G07175"
"108","AT1G07220"
"109","AT1G07240"
"110","AT1G07300"
"111","AT1G07320"
"112","AT1G07367"
"113","AT1G07373"
"114","AT1G07380"
"115","AT1G07520"
"116","AT1G07630"
"117","AT1G07650"
"118","AT1G07705"
"119","AT1G07725"
"120","AT1G07728"
"121","AT1G07745"
"122","AT1G07847"
"123","AT1G07870"
"124","AT1G07893"
"125","AT1G07910"
"126","AT1G07980"
"127","AT1G07983"
"128","AT1G08000"
"129","AT1G08060"
"130","AT1G08250"
"131","AT1G08280"
"132","AT1G08315"
"133","AT1G08390"
"134","AT1G08400"
"135","AT1G08430"
"136","AT1G08470"
"137","AT1G08520"
"138","AT1G08592"
"139","AT1G08610"
"140","AT1G08720"
"141","AT1G08800"
"142","AT1G08840"
"143","AT1G08845"
"144","AT1G08890"
"145","AT1G08910"
"146","AT1G08940"
"147","AT1G08960"
"148","AT1G09000"
"149","AT1G09027"
"150","AT1G09053"
"151","AT1G09060"
"152","AT1G09090"
"153","AT1G09230"
"154","AT1G09300"
"155","AT1G09320"
"156","AT1G09363"
"157","AT1G09450"
"158","AT1G09470"
"159","AT1G09575"
"160","AT1G09794"
"161","AT1G09800"
"162","AT1G09810"
"163","AT1G09910"
"164","AT1G09940"
"165","AT1G09960"
"166","AT1G10040"
"167","AT1G10150"
"168","AT1G10210"
"169","AT1G10230"
"170","AT1G10240"
"171","AT1G10270"
"172","AT1G10280"
"173","AT1G10320"
"174","AT1G10350"
"175","AT1G10400"
"176","AT1G10450"
"177","AT1G10510"
"178","AT1G10520"
"179","AT1G10522"
"180","AT1G10560"
"181","AT1G10570"
"182","AT1G10730"
"183","AT1G10830"
"184","AT1G10870"
"185","AT1G10930"
"186","AT1G10970"
"187","AT1G11060"
"188","AT1G11090"
"189","AT1G11120"
"190","AT1G11190"
"191","AT1G11220"
"192","AT1G11270"
"193","AT1G11280"
"194","AT1G11420"
"195","AT1G11570"
"196","AT1G11630"
"197","AT1G11755"
"198","AT1G11870"
"199","AT1G11880"
"200","AT1G12140"
"201","AT1G12200"
"202","AT1G12260"
"203","AT1G12420"
"204","AT1G12470"
"205","AT1G12620"
"206","AT1G12740"
"207","AT1G12750"
"208","AT1G12770"
"209","AT1G12800"
"210","AT1G12860"
"211","AT1G12880"
"212","AT1G12970"
"213","AT1G13020"
"214","AT1G13110"
"215","AT1G13180"
"216","AT1G13190"
"217","AT1G13270"
"218","AT1G13350"
"219","AT1G13600"
