TAIR,SYMBOL,Log2fc_.Ws_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Ws_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Ws_GC_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0_FLT_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0_FLT_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Ws_FLT_dark.v.Col.0_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Ws_FLT_dark.v.Col.0_GC_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_GC_dark.
AT1G01090,PDH-E1,-0.043545534,0.145834997,-0.417523975,0.189380531,-0.373978441,-0.04110271,0.002442824,-0.275385239,-0.231839704,-0.160507005,-0.116961471,-0.270701016,-0.227155482,0.077760697,0.121306232,0.024983213,0.068528747,0.085517952,0.129063487,-0.300637557,-0.257092022
AT1G01510,AN,-0.620068635,-0.476076593,-0.374520782,0.143992042,0.245547853,-0.343457569,0.276611066,-0.260810173,0.359258462,-0.130973556,0.489095079,-0.590045404,0.030023231,-0.131486997,0.488581638,-0.567380795,0.05268784,-0.141104483,0.478964152,-0.152301665,0.46776697
AT1G01550,BPS1,0.392867087,-0.011737921,0.70651057,-0.404605008,0.313643483,0.162218097,-0.23064899,0.302272884,-0.090594203,0.000694094,-0.392172992,0.424607088,0.031740002,-0.079189346,-0.472056433,0.286587534,-0.106279552,-0.082693719,-0.475560805,0.047509617,-0.345357469
AT1G01720,ANAC002,0.289596715,-0.106650688,0.58011606,-0.396247403,0.290519345,-0.640556944,-0.930153658,-0.550326304,-0.839923019,-0.162812016,-0.45240873,0.208190855,-0.08140586,-0.643972578,-0.933569292,-0.304343388,-0.593940103,-0.339304723,-0.628901438,0.246238205,-0.04335851
AT1G01750,ADF11,1.124076639,1.902128758,5.260246325,0.778052119,4.136169687,1.303086441,0.179009802,1.487020729,0.36294409,1.282017326,0.157940687,4.096453116,2.972376477,1.735848706,0.611772068,2.200791435,1.076714796,1.705795726,0.581719088,2.368721142,1.244644503
AT1G02090,ATCSN7,-0.118268042,0.164610924,-0.30911476,0.282878966,-0.190846718,0.467741798,0.586009839,0.254072055,0.372340097,0.364047511,0.482315553,0.513717256,0.631985297,0.437336058,0.555604099,0.418978786,0.537246828,0.471664028,0.58993207,0.147171114,0.265439156
AT1G02130,ARA-5,0.330448263,0.186413055,0.311378464,-0.144035208,-0.019069798,0.387320522,0.056872259,0.199679859,-0.130768404,-0.041339891,-0.371788154,0.309333603,-0.02111466,0.231369081,-0.099079181,0.304901829,-0.025546433,0.152230507,-0.178217756,0.164028286,-0.166419977
AT1G02840,At-SR34,-0.028162369,-0.117954971,-0.05624644,-0.089792602,-0.02808407,-0.176930472,-0.148768102,-0.147492685,-0.119330316,0.12278609,0.15094846,-0.365447741,-0.337285372,-0.013021699,0.01514067,-0.535733168,-0.507570798,-0.251809131,-0.223646762,0.032336552,0.060498922
AT1G02850,BGLU11,0.877121544,0.167675124,0.698448564,-0.70944642,-0.17867298,-0.509346415,-1.386467959,-0.306679387,-1.183800931,0.341298286,-0.535823258,0.570389785,-0.306731759,-0.454701025,-1.331822569,-0.575376734,-1.452498278,0.483774312,-0.393347232,0.18523758,-0.691883964
AT1G02900,ATRALF1,0.101097617,0.69886962,2.862480447,0.597772003,2.76138283,1.317539692,1.216442075,0.819163006,0.718065389,0.395856223,0.294758606,2.142907314,2.041809697,0.346564713,0.245467096,1.283392661,1.182295044,0.223709574,0.122611957,0.213847612,0.112749995
AT1G03330,LSM2,0.315807609,0.238172632,-0.153394125,-0.077634978,-0.469201735,0.846344239,0.53053663,0.44704555,0.131237941,0.148760495,-0.167047114,0.334082206,0.018274596,0.412761324,0.096953715,0.289212652,-0.026594957,0.49950169,0.183694081,0.325304074,0.009496465
AT1G03850,ATGRXS13,0.941408118,0.591650694,3.01173841,-0.349757425,2.070330292,0.628553091,-0.312855027,0.421076959,-0.520331159,-0.112033053,-1.053441171,1.806692826,0.865284708,-1.09789106,-2.039299178,0.104872419,-0.836535699,-0.671610385,-1.613018503,0.579791234,-0.361616885
AT1G04170,EIF2,-0.315820635,0.005945267,-0.554968123,0.321765902,-0.239147488,-0.012333611,0.303487024,-0.215047661,0.100772973,0.123736394,0.439557029,-0.157253365,0.15856727,0.138878814,0.454699449,0.031477521,0.347298155,0.279908947,0.595729582,-0.301487441,0.014333194
AT1G04190,TPR3,-0.090647916,0.015843191,-0.48943255,0.106491107,-0.398784634,0.359648803,0.450296719,0.091229248,0.181877164,-0.060601406,0.03004651,0.190628133,0.281276049,0.442354035,0.533001951,0.33765206,0.428299976,0.455751731,0.546399647,-0.170772395,-0.080124479
AT1G04250,AXR3,-0.108319742,-0.500491568,0.645503655,-0.392171827,0.753823397,0.141368801,0.249688543,0.234529899,0.342849641,-0.328123393,-0.219803651,0.697113411,0.805433153,0.43024945,0.538569192,0.037755017,0.146074759,0.076147495,0.184467237,-0.124218548,-0.015898806
