TAIR,SYMBOL,Log2fc_.Ws_GC_Alight.v.Ws_GC_dark.,Log2fc_.Ws_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Ws_GC_dark.v.Col.0_FLT_dark.,Log2fc_.Ws_GC_Alight.v.Col.0_GC_Alight.,Log2fc_.Ws_GC_dark.v.Col.0_GC_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Ws_GC_dark.v.Col.0_GC_dark.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Ws_GC_dark.v.Ws_FLT_dark.
AT1G01090,PDH-E1,-0.563358972,-0.186937707,0.376421265,-0.421220236,0.142138737,-0.306342002,0.25701697,-0.416536013,0.146822959,-0.068074299,0.495284673,-0.120851784,0.442507188,-0.060317045,0.503041928,-0.446472553,0.116886419,-0.145834997,0.417523975,-0.189380531,0.373978441
AT1G01160,GIF2,0.081808538,0.262542011,0.180733473,0.152734418,0.070925879,-0.197072267,-0.278880805,0.089663171,0.007854633,0.25963187,0.177823332,-0.131489353,-0.213297891,0.231266025,0.149457487,0.310061174,0.228252636,0.096314026,0.014505488,0.115038384,0.033229845
AT1G01510,AN,0.101555811,0.132619024,0.031063212,0.21526642,0.113710609,0.345103037,0.243547226,-0.113968811,-0.215524622,0.344589596,0.243033785,-0.091304202,-0.192860014,0.33497211,0.233416299,0.323774928,0.222219117,0.476076593,0.374520782,-0.143992042,-0.245547853
AT1G01550,BPS1,0.718248491,0.173956018,-0.544292473,0.314010805,-0.404237687,0.012432015,-0.705816476,0.43634501,-0.281903482,-0.067451425,-0.785699916,0.298325456,-0.419923036,-0.070955798,-0.789204289,0.059247539,-0.659000953,0.011737921,-0.70651057,0.404605008,-0.313643483
AT1G01720,ANAC002,0.686766748,-0.533906256,-1.220673004,-0.443675617,-1.130442365,-0.056161328,-0.742928076,0.314841542,-0.371925206,-0.53732189,-1.224088638,-0.197692701,-0.884459449,-0.232654035,-0.919420783,0.352888893,-0.333877855,0.106650688,-0.58011606,0.396247403,-0.290519345
AT1G02090,ATCSN7,-0.473725684,0.303130873,0.776856557,0.089461131,0.563186815,0.199436587,0.673162271,0.349106331,0.822832015,0.272725133,0.746450817,0.254367861,0.728093545,0.307053104,0.780778788,-0.01743981,0.456285874,-0.164610924,0.30911476,-0.282878966,0.190846718
AT1G02100,SBI1,0.163168192,-0.052110637,-0.215278828,0.119659331,-0.043508861,0.202414306,0.039246114,0.143150334,-0.020017858,-0.014391146,-0.177559338,0.109526039,-0.053642153,-0.200052751,-0.363220943,0.044342345,-0.118825847,0.093267181,-0.069901011,0.208271289,0.045103097
AT1G02130,ARA-5,0.124965409,0.200907467,0.075942057,0.013266804,-0.111698605,-0.227752946,-0.352718356,0.122920548,-0.002044862,0.044956027,-0.080009383,0.118488775,-0.006476635,-0.034182548,-0.159147958,-0.022384769,-0.147350179,-0.186413055,-0.311378464,0.144035208,0.019069798
AT1G02280,ATTOC33,0.363824619,1.369803928,1.005979309,1.4787284,1.114903781,1.01362802,0.649803401,0.725644581,0.361819962,1.126764621,0.762940003,1.535611339,1.17178672,1.18266552,0.818840901,1.224282516,0.860457897,0.144281376,-0.219543243,0.001902361,-0.361922258
AT1G02560,CLPP5,-0.225955385,0.326448935,0.55240432,0.160160279,0.386115664,-0.075642811,0.150312574,0.155307536,0.381262921,0.168119955,0.39407534,0.065822777,0.291778162,0.146091176,0.372046561,0.011498545,0.23745393,-0.103633624,0.122321761,-0.09664751,0.129307874
