TAIR,SYMBOL,Log2fc_.Col.0_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_Alight.v.Ws_GC_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Ws_GC_Alight.,Log2fc_.Col.0_GC_dark.v.Ws_GC_dark.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0_GC_dark.v.Col.0_FLT_dark.
AT1G01550,BPS1,0.423912994,-0.07988344,0.28589344,-0.083387813,0.046815523,-0.000694094,0.392172992,-0.012432015,0.705816476,-0.503796434,-0.138019554,-0.507300807,-0.377097471,-0.424607088,-0.031740002,-0.43634501,0.281903482,0.161524003,-0.262388991,0.301578789,-0.122334205
AT1G01720,ANAC002,0.37100287,-0.481160562,-0.141531373,-0.176492707,0.409050221,0.162812016,0.45240873,0.056161328,0.742928076,-0.852163432,-0.512534243,-0.547495578,0.03804735,-0.208190855,0.08140586,-0.314841542,0.371925206,-0.477744928,-0.848747798,-0.387514289,-0.758517159
AT1G02130,ARA-5,0.350673494,0.272708973,0.346241721,0.193570398,0.205368177,0.041339891,0.371788154,0.227752946,0.352718356,-0.077964521,-0.004431773,-0.157103096,-0.145305317,-0.309333603,0.02111466,-0.122920548,0.002044862,0.428660413,0.077986919,0.24101975,-0.109653744
AT1G02840,At-SR34,-0.488233832,-0.13580779,-0.658519258,-0.374595222,-0.090449538,-0.12278609,-0.15094846,-0.240741062,-0.17903253,0.352426042,-0.170285427,0.11363861,0.397784293,0.365447741,0.337285372,0.24749277,0.309201301,-0.299716562,0.18851727,-0.270278775,0.217955056
AT1G03860,ATPHB2,0.267445604,0.148655679,0.208555165,0.478465125,-0.103276132,0.005539724,-0.077591156,0.078156298,-0.47916509,-0.118789925,-0.058890439,0.211019522,-0.370721736,-0.26190588,-0.34503676,-0.189289305,-0.746610694,0.270975621,0.003530017,-0.054168604,-0.321614207
AT1G03900,ABCI18,0.203863418,0.055867904,-0.11224898,-0.015684362,0.237877788,-0.10466971,0.182189567,0.169129894,0.463405531,-0.147995514,-0.316112398,-0.21954778,0.034014369,-0.308533128,-0.021673851,-0.034733524,0.259542113,-0.060532166,-0.264395585,0.039685029,-0.164178389
AT1G04250,AXR3,1.025236805,0.758372844,0.36587841,0.404270889,0.203904846,0.328123393,0.219803651,-0.172368175,0.973627048,-0.266863961,-0.659358394,-0.620965916,-0.821331959,-0.697113411,-0.805433153,-1.19760498,-0.051609756,0.469492195,-0.55574461,0.562653292,-0.462583512
AT1G04870,ATPRMT10,-0.120303286,0.036713457,0.136793205,0.205660571,-0.138920169,0.087904368,-0.195265721,0.081139938,-0.441584435,0.157016743,0.257096491,0.325963857,-0.018616883,0.208207653,-0.074962435,0.201443223,-0.32128115,-0.042577139,0.077726146,-0.264903975,-0.14460069
AT1G06040,BBX24,3.837255637,2.4589407,2.81679696,0.682828663,4.690210594,1.466199561,4.218588571,-0.023045168,3.917983559,-1.378314937,-1.020458677,-3.154426974,0.852954958,-2.371056075,0.381332935,-3.860300805,0.080727922,2.586184187,-1.251071449,3.33771213,-0.499543507
AT1G06390,ATGSK1,-0.002281524,0.000333368,-0.03571707,0.011400672,0.325597329,-0.082943136,-0.044436177,-0.093855676,0.185413946,0.002614892,-0.033435546,0.013682196,0.327878853,-0.080661612,-0.042154653,-0.091574152,0.18769547,-0.077483388,-0.075201864,-0.124139859,-0.121858335
