TAIR,SYMBOL,Log2fc_.Col.0_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Col.0_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_FLT_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Col.0_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Col.0_FLT_dark.v.Col.0_GC_dark.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_FLT_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0_FLT_dark.v.Ws_FLT_dark.,Log2fc_.Col.0_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Col.0_FLT_dark.v.Ws_GC_dark.
AT1G02920,ATGST11,-1.276522888,2.011166126,2.696137069,-1.096147531,0.047893727,0.659502854,1.383936402,-0.144975624,3.277264934,1.762141153,4.051677762,3.287689014,3.972659957,0.180375357,1.324416616,1.936025743,2.66045929,1.131547264,4.553787822,3.038664041,5.32820065
AT1G03850,ATGRXS13,-0.207476132,-0.740586144,1.178139735,-1.72644415,-0.523680671,-1.300163476,-0.048761857,-0.628553091,0.312855027,-0.036902397,2.383185319,-0.533110012,1.385615867,-1.518968019,-0.31620454,-1.092687344,0.158714275,-0.421076959,0.520331159,0.170573735,2.590661451
AT1G09070,(AT)SRC2,0.759542169,0.606534991,1.489841185,0.464554464,1.088275662,-0.353316202,1.885285369,0.330638189,1.51603611,0.331233568,1.641643397,-0.153007179,0.730299016,-0.294987705,0.328733493,-1.112858371,1.125743199,-0.42890398,0.75649394,-0.428308601,0.882101227
AT1G11475,NRPB10,-0.571929262,-0.695815788,-0.668657146,-0.462136722,-0.803388159,-0.529605177,-0.599157044,-0.911426115,-0.821306768,-0.665251869,-1.307464578,-0.123886526,-0.096727884,0.10979254,-0.231458897,0.042324085,-0.027227781,-0.339496853,-0.249377506,-0.093322607,-0.735535316
AT1G13260,EDF4,0.486948047,1.116676024,1.647755551,-0.222567354,1.494294244,-0.203092771,2.113440416,0.787081574,1.779567919,0.99035847,2.358088528,0.629727977,1.160807504,-0.709515401,1.007346197,-0.690040818,1.626492369,0.300133527,1.292619872,0.503410423,1.871140481
AT1G15040,GAT,0.710483738,-0.161513565,3.159519098,-1.643616558,1.796535922,-1.146282498,3.592588253,-0.631231753,2.827303981,0.542775553,4.467734637,-0.871997303,2.44903536,-2.354100296,1.086052185,-1.856766236,2.882104515,-1.341715491,2.116820243,-0.167708184,3.757250899
AT1G19770,ATPUP14,-0.200222834,0.730186725,1.633313157,0.123804802,0.907054204,-0.509629439,1.49935382,0.321599522,1.08624471,0.107575992,2.157411308,0.930409559,1.833535991,0.324027636,1.107277038,-0.309406605,1.699576654,0.521822356,1.286467544,0.307798826,2.357634142
AT1G20450,ERD10,0.333779377,-0.081917322,0.641910622,0.559931976,0.664488417,0.105743615,0.493949526,0.575412615,1.650642725,0.549659539,1.071293139,-0.415696699,0.308131245,0.226152599,0.33070904,-0.228035762,0.160170149,0.241633238,1.316863348,0.215880162,0.737513762
AT1G22880,ATCEL5,-0.076469262,0.204377066,0.653658577,1.196215866,1.318234389,0.213320244,0.32739943,0.470753336,1.845410541,0.483603708,1.178516697,0.280846328,0.730127839,1.272685128,1.394703652,0.289789506,0.403868692,0.547222598,1.921879803,0.56007297,1.254985959
AT1G24880,AtLpxC2,-0.286524904,-1.012023313,-0.936910211,-1.047551141,-1.327429075,-1.473409654,-0.451843529,11.16093387,11.157377,9.922395893,11.1416847,-0.725498409,-0.650385307,-0.761026237,-1.040904171,-1.18688475,-0.165318625,11.44745877,11.44390191,10.2089208,11.4282096
