TAIR,SYMBOL,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0.PhyD_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_GC_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_GC_Alight.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_dark.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_GC_dark.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_GC_dark.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0_GC_dark.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0.PhyD_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0.PhyD_GC_dark.v.Col.0.PhyD_FLT_dark.
AT1G01070,UMAMIT28,0.026637144,0.26679718,0.821429156,0.781692915,1.715630007,0.240160036,0.794792011,0.75505577,1.688992862,0.31718662,0.290549476,1.210997302,1.184360158,0.681740423,0.655103279,0.622523987,0.595886843,-0.006187665,-0.032824809,1.19737812,1.170740976
AT1G01510,AN,-0.011197182,0.141104483,-0.478964152,-0.33497211,-0.233416299,0.152301665,-0.46776697,-0.323774928,-0.222219117,-0.202353086,-0.191155904,-0.11970569,-0.108508508,0.010130927,0.021328109,-0.448940921,-0.437743739,0.009617486,0.020814668,-0.426276312,-0.41507913
AT1G01820,PEX11C,0.852765941,0.115600339,0.714573596,0.515868859,1.047357333,-0.737165602,-0.138192345,-0.336897082,0.194591392,0.110424942,-0.742340999,0.316358255,-0.536407686,0.290804657,-0.561961284,0.737119001,-0.11564694,-0.144908508,-0.997674449,0.259423645,-0.593342296
AT1G02090,ATCSN7,-0.324492914,-0.471664028,-0.58993207,-0.307053104,-0.780778788,-0.147171114,-0.265439156,0.01743981,-0.456285874,-0.003922231,0.320570683,-0.217591973,0.106900941,-0.107616517,0.216876397,0.042053227,0.366546141,-0.034327971,0.290164943,-0.052685243,0.271807671
AT1G02100,SBI1,0.244395096,0.293319932,0.408324039,0.200052751,0.363220943,0.048924836,0.163928943,-0.044342345,0.118825847,0.147942114,-0.096452982,0.319712082,0.075316986,0.402467057,0.158071961,0.343203085,0.098807989,0.185661604,-0.058733491,0.309578789,0.065183693
AT1G02850,BGLU11,-0.298536731,-0.483774312,0.393347232,-0.316099188,0.214674252,-0.18523758,0.691883964,-0.017562456,0.513210984,-0.993120727,-0.694583996,-0.790453699,-0.491916968,-0.142476026,0.156060705,0.086615473,0.385152205,-0.938475337,-0.639938605,-1.059151046,-0.760614315
AT1G02930,ATGST1,-1.07492509,0.790980976,1.945631941,2.532741304,3.144473135,1.865906066,3.020557031,3.607666394,4.219398225,0.658493653,1.733418743,-0.993781724,0.081143367,3.332864747,4.407789837,-0.06682926,1.00809583,-0.272170925,0.802754165,0.8495821,1.92450719
AT1G03080,NET1D,0.345518023,0.568308142,0.182938281,0.504632886,0.283342284,0.222790119,-0.162579742,0.159114863,-0.06217574,-0.05751504,-0.403033063,0.443620402,0.098102379,0.472526878,0.127008855,0.537335852,0.191817828,0.088214009,-0.257304014,0.442239429,0.096721405
AT1G03090,MCCA,2.251115723,1.483955923,1.715276658,1.423837195,2.650653413,-0.7671598,-0.535839065,-0.827278528,0.39953769,0.594292126,-1.656823597,1.463387212,-0.787728511,1.274888123,-0.9762276,1.653723133,-0.59739259,0.217316078,-2.033799645,1.000625169,-1.250490554
AT1G03110,AtTRM82,-0.662201571,-0.435642475,-0.702628857,-0.343577011,-1.139655428,0.226559096,-0.040427286,0.31862456,-0.477453857,-0.094994637,0.567206934,-0.399780806,0.262420765,-0.190249593,0.471951978,-0.533060702,0.129140869,-0.109122839,0.553078732,-0.065007614,0.597193957
AT1G03330,LSM2,-0.174197616,-0.49950169,-0.183694081,-0.261329058,-0.652895815,-0.325304074,-0.009496465,-0.087131443,-0.4786982,0.34684255,0.521040165,-0.05245614,0.121741476,-0.350741195,-0.17654358,-0.165419484,0.008778131,-0.086740365,0.08745725,-0.210289038,-0.036091422
AT1G03410,2A6,-0.021563899,1.50342783,1.987683783,0.928112801,1.608090554,1.524991729,2.009247682,0.9496767,1.629654453,0.124434273,0.145998172,0.206226425,0.227790324,-0.039129884,-0.017565985,-0.283797122,-0.262233223,0.434912177,0.456476076,-0.104355178,-0.08279128
AT1G03850,ATGRXS13,1.251401619,0.671610385,1.613018503,1.263261079,3.683348796,-0.579791234,0.361616885,0.01185946,2.431947177,1.300163476,0.048761857,1.092687344,-0.158714275,0.559577332,-0.691824286,2.478303212,1.226901593,-0.426280674,-1.677682293,0.776482805,-0.474918814
