TAIR,SYMBOL,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_GC_dark.
AT1G01820,PEX11C,0.404332154,0.144908508,0.997674449,0.260508847,0.859482105,0.660777367,1.192265842,-0.259423645,0.593342296,-0.143823307,0.455149951,0.256445214,0.787933688,0.255333451,-0.148998703,0.461266763,0.056934609,0.435713165,0.031381011,0.88202751,0.477695356
AT1G02900,ATRALF1,0.936827947,-0.122855139,-0.132717101,-0.346564713,-0.245467096,0.352304907,2.515915733,-1.059683086,-1.069545049,-1.283392661,-1.182295044,-0.58452304,1.579087786,0.970974979,0.034147031,0.472598293,-0.464229655,0.049291509,-0.887536438,1.796342601,0.859514653
AT1G03410,2A6,-0.539267356,-0.434912177,-0.456476076,1.068515653,1.552771606,0.493200624,1.173178377,0.104355178,0.08279128,1.607783009,2.092038961,1.032467979,1.712445733,-0.310477904,0.228789452,-0.228685752,0.310581604,-0.474042061,0.065225295,-0.718709299,-0.179441944
AT1G04250,AXR3,-0.392494433,-0.354101955,-0.554467998,-0.43024945,-0.538569192,-0.930741019,0.215254205,0.038392478,-0.161973565,-0.037755017,-0.146074759,-0.538246585,0.607748638,-0.288880649,0.103613784,-0.195719551,0.196774882,-0.758372844,-0.36587841,0.266863961,0.659358394
AT1G05570,ATGSL06,0.914119938,-0.101746018,0.713010213,0.660913309,0.792740554,1.086893144,1.615685205,-1.015865956,-0.201109725,-0.253206629,-0.121379384,0.172773206,0.701565267,0.856589352,-0.057530586,1.255749689,0.341629752,1.359699245,0.445579307,0.847274301,-0.066845637
AT1G06110,SKIP16,0.0684622,-0.059225873,0.292210964,0.136269785,0.372277399,-0.0018673,0.423260062,-0.127688074,0.223748764,0.067807585,0.303815198,-0.0703295,0.354797862,0.201761828,0.133299628,0.32466637,0.25620417,0.019724753,-0.048737447,0.064233546,-0.004228655
AT1G06570,HPD,1.821339243,0.91574069,2.878204737,1.60746697,2.675741119,1.538087045,3.293466619,-0.905598553,1.056865494,-0.213872273,0.854401876,-0.283252197,1.472127376,0.923422502,-0.897916741,1.78374877,-0.037590473,1.510800265,-0.310538978,2.792141715,0.970802472
AT1G08930,ERD6,0.81580062,0.552720198,0.614771888,0.922068459,0.93809668,0.781490066,1.492301062,-0.263080421,-0.201028732,0.106267839,0.12229606,-0.034310554,0.676500443,0.426324414,-0.389476205,0.370875668,-0.444924952,1.208092202,0.392291582,1.329509948,0.513709329
AT1G09430,ACLA-3,0.390382121,0.199569523,0.518997003,0.506933567,1.266107539,0.606916075,1.249135002,-0.190812598,0.128614882,0.116551446,0.875725418,0.216533953,0.858752881,0.298758995,-0.091623126,0.370481889,-0.019900232,0.416720019,0.026337898,0.916211999,0.525829877
AT1G09970,LRR,0.791397584,0.236504054,0.36167044,1.041441869,0.785322449,0.889646183,1.072390587,-0.55489353,-0.429727144,0.250044285,-0.006075135,0.098248599,0.280993003,0.2099649,-0.581432684,0.528666259,-0.262731325,1.108389357,0.316991773,0.693070511,-0.098327073
