"","phyD_FLT_c1.which.mclass....3...1."
"1","AT1G01010"
"2","AT1G01110"
"3","AT1G01170"
"4","AT1G01210"
"5","AT1G01240"
"6","AT1G01290"
"7","AT1G01350"
"8","AT1G01448"
"9","AT1G01540"
"10","AT1G01580"
"11","AT1G01630"
"12","AT1G01640"
"13","AT1G01650"
"14","AT1G01725"
"15","AT1G01750"
"16","AT1G01770"
"17","AT1G01920"
"18","AT1G01940"
"19","AT1G01990"
"20","AT1G02145"
"21","AT1G02150"
"22","AT1G02280"
"23","AT1G02330"
"24","AT1G02335"
"25","AT1G02360"
"26","AT1G02520"
"27","AT1G02610"
"28","AT1G02680"
"29","AT1G02690"
"30","AT1G02750"
"31","AT1G02860"
"32","AT1G02880"
"33","AT1G02890"
"34","AT1G02960"
"35","AT1G02990"
"36","AT1G03030"
"37","AT1G03060"
"38","AT1G03110"
"39","AT1G03250"
"40","AT1G03280"
"41","AT1G03350"
"42","AT1G03360"
"43","AT1G03380"
"44","AT1G03430"
"45","AT1G03475"
"46","AT1G03530"
"47","AT1G03680"
"48","AT1G03687"
"49","AT1G03730"
"50","AT1G03740"
"51","AT1G03970"
"52","AT1G04030"
"53","AT1G04070"
"54","AT1G04120"
"55","AT1G04210"
"56","AT1G04260"
"57","AT1G04280"
"58","AT1G04300"
"59","AT1G04400"
"60","AT1G04530"
"61","AT1G04537"
"62","AT1G04780"
"63","AT1G04790"
"64","AT1G04810"
"65","AT1G04830"
"66","AT1G04860"
"67","AT1G04900"
"68","AT1G04910"
"69","AT1G04950"
"70","AT1G04970"
"71","AT1G04980"
"72","AT1G05010"
"73","AT1G05055"
"74","AT1G05070"
"75","AT1G05150"
"76","AT1G05170"
"77","AT1G05180"
"78","AT1G05210"
"79","AT1G05213"
"80","AT1G05220"
"81","AT1G05250"
"82","AT1G05270"
"83","AT1G05360"
"84","AT1G05410"
"85","AT1G05430"
"86","AT1G05500"
"87","AT1G05520"
"88","AT1G05560"
"89","AT1G05562"
"90","AT1G05710"
"91","AT1G05805"
"92","AT1G05810"
"93","AT1G05830"
"94","AT1G05860"
"95","AT1G05870"
"96","AT1G05910"
"97","AT1G05960"
"98","AT1G05970"
"99","AT1G06040"
"100","AT1G06060"
"101","AT1G06070"
"102","AT1G06090"
"103","AT1G06190"
"104","AT1G06210"
"105","AT1G06227"
"106","AT1G06290"
"107","AT1G06460"
"108","AT1G06470"
"109","AT1G06550"
"110","AT1G06560"
"111","AT1G06630"
"112","AT1G06720"
"113","AT1G06780"
"114","AT1G06790"
"115","AT1G06850"
"116","AT1G06930"
"117","AT1G06950"
"118","AT1G07135"
"119","AT1G07175"
"120","AT1G07200"
"121","AT1G07220"
"122","AT1G07230"
"123","AT1G07240"
"124","AT1G07250"
"125","AT1G07260"
"126","AT1G07480"
"127","AT1G07510"
"128","AT1G07520"
"129","AT1G07530"
"130","AT1G07630"
"131","AT1G07640"
"132","AT1G07700"
"133","AT1G07705"
"134","AT1G07810"
"135","AT1G07840"
"136","AT1G07870"
"137","AT1G07950"
"138","AT1G07970"
"139","AT1G07990"
"140","AT1G08010"
"141","AT1G08030"
"142","AT1G08125"
"143","AT1G08190"
"144","AT1G08210"
"145","AT1G08220"
"146","AT1G08230"
"147","AT1G08260"
"148","AT1G08320"
"149","AT1G08350"
"150","AT1G08410"
"151","AT1G08420"
"152","AT1G08460"
"153","AT1G08490"
"154","AT1G08500"
"155","AT1G08560"
"156","AT1G08590"
"157","AT1G08600"
"158","AT1G08620"
"159","AT1G08640"
"160","AT1G08657"
"161","AT1G08670"
"162","AT1G08680"
"163","AT1G08700"
"164","AT1G08710"
"165","AT1G08800"
"166","AT1G08845"
"167","AT1G08890"
"168","AT1G08920"
"169","AT1G09010"
"170","AT1G09020"
"171","AT1G09090"
"172","AT1G09100"
"173","AT1G09130"
"174","AT1G09290"
"175","AT1G09700"
"176","AT1G09730"
"177","AT1G09795"
"178","AT1G09830"
"179","AT1G09870"
"180","AT1G09927"
"181","AT1G09980"
"182","AT1G10130"
"183","AT1G10150"
"184","AT1G10155"
"185","AT1G10170"
"186","AT1G10180"
"187","AT1G10210"
"188","AT1G10310"
"189","AT1G10380"
"190","AT1G10390"
"191","AT1G10490"
"192","AT1G10580"
"193","AT1G10600"
"194","AT1G10660"
"195","AT1G10720"
"196","AT1G10740"
"197","AT1G10820"
"198","AT1G10850"
"199","AT1G10900"
"200","AT1G10910"
"201","AT1G11000"
"202","AT1G11020"
"203","AT1G11175"
"204","AT1G11185"
"205","AT1G11200"
"206","AT1G11210"
"207","AT1G11380"
"208","AT1G11390"
"209","AT1G11592"
"210","AT1G11760"
"211","AT1G11780"
"212","AT1G11820"
"213","AT1G11905"
"214","AT1G11930"
"215","AT1G12040"
"216","AT1G12140"
"217","AT1G12350"
"218","AT1G12400"
"219","AT1G12450"
"220","AT1G12500"
"221","AT1G12530"
"222","AT1G12560"
"223","AT1G12580"
"224","AT1G12680"
"225","AT1G12830"
"226","AT1G12845"
"227","AT1G12990"
"228","AT1G13000"
"229","AT1G13080"
"230","AT1G13110"
"231","AT1G13120"
"232","AT1G13160"
"233","AT1G13195"
"234","AT1G13210"
"235","AT1G13220"
"236","AT1G13300"
"237","AT1G13350"
"238","AT1G13390"
"239","AT1G13460"
"240","AT1G13530"
"241","AT1G13570"
"242","AT1G13580"
"243","AT1G13640"
"244","AT1G13690"
"245","AT1G13750"
"246","AT1G13880"
"247","AT1G13960"
"248","AT1G14020"
"249","AT1G14140"
"250","AT1G14160"
"251","AT1G14170"
"252","AT1G14200"
"253","AT1G14230"
"254","AT1G14330"
"255","AT1G14340"
"256","AT1G14350"
"257","AT1G14360"
"258","AT1G14410"
"259","AT1G14453"
"260","AT1G14710"
"261","AT1G14730"
"262","AT1G14850"
"263","AT1G14920"
"264","AT1G14990"
"265","AT1G15000"
"266","AT1G15002"
"267","AT1G15020"
"268","AT1G15030"
"269","AT1G15110"
"270","AT1G15130"
"271","AT1G15140"
"272","AT1G15240"
"273","AT1G15430"
"274","AT1G15440"
"275","AT1G15470"
"276","AT1G15550"
"277","AT1G15570"
"278","AT1G15610"
"279","AT1G15620"
"280","AT1G15630"
"281","AT1G15660"
"282","AT1G15800"
"283","AT1G15810"
"284","AT1G15910"
"285","AT1G15940"
