"","phyD_GC_c1.which.mclass....7...1."
"1","AT1G01020"
"2","AT1G01060"
"3","AT1G01110"
"4","AT1G01160"
"5","AT1G01170"
"6","AT1G01210"
"7","AT1G01230"
"8","AT1G01290"
"9","AT1G01350"
"10","AT1G01360"
"11","AT1G01448"
"12","AT1G01470"
"13","AT1G01490"
"14","AT1G01540"
"15","AT1G01580"
"16","AT1G01630"
"17","AT1G01640"
"18","AT1G01650"
"19","AT1G01725"
"20","AT1G01750"
"21","AT1G01770"
"22","AT1G01910"
"23","AT1G01920"
"24","AT1G01940"
"25","AT1G01960"
"26","AT1G01990"
"27","AT1G02080"
"28","AT1G02120"
"29","AT1G02145"
"30","AT1G02150"
"31","AT1G02170"
"32","AT1G02220"
"33","AT1G02280"
"34","AT1G02330"
"35","AT1G02335"
"36","AT1G02410"
"37","AT1G02520"
"38","AT1G02560"
"39","AT1G02610"
"40","AT1G02680"
"41","AT1G02690"
"42","AT1G02720"
"43","AT1G02870"
"44","AT1G02880"
"45","AT1G02890"
"46","AT1G02950"
"47","AT1G03030"
"48","AT1G03040"
"49","AT1G03060"
"50","AT1G03150"
"51","AT1G03280"
"52","AT1G03290"
"53","AT1G03350"
"54","AT1G03360"
"55","AT1G03380"
"56","AT1G03430"
"57","AT1G03530"
"58","AT1G03590"
"59","AT1G03687"
"60","AT1G03730"
"61","AT1G03840"
"62","AT1G03910"
"63","AT1G04030"
"64","AT1G04070"
"65","AT1G04120"
"66","AT1G04210"
"67","AT1G04260"
"68","AT1G04280"
"69","AT1G04300"
"70","AT1G04400"
"71","AT1G04520"
"72","AT1G04537"
"73","AT1G04550"
"74","AT1G04590"
"75","AT1G04770"
"76","AT1G04780"
"77","AT1G04810"
"78","AT1G04910"
"79","AT1G04940"
"80","AT1G04950"
"81","AT1G04960"
"82","AT1G04970"
"83","AT1G04980"
"84","AT1G04985"
"85","AT1G05055"
"86","AT1G05070"
"87","AT1G05147"
"88","AT1G05150"
"89","AT1G05170"
"90","AT1G05180"
"91","AT1G05210"
"92","AT1G05213"
"93","AT1G05220"
"94","AT1G05250"
"95","AT1G05270"
"96","AT1G05340"
"97","AT1G05350"
"98","AT1G05360"
"99","AT1G05380"
"100","AT1G05430"
"101","AT1G05500"
"102","AT1G05520"
"103","AT1G05560"
"104","AT1G05562"
"105","AT1G05710"
"106","AT1G05760"
"107","AT1G05785"
"108","AT1G05805"
"109","AT1G05810"
"110","AT1G05840"
"111","AT1G05870"
"112","AT1G05890"
"113","AT1G05910"
"114","AT1G05940"
"115","AT1G05960"
"116","AT1G06060"
"117","AT1G06070"
"118","AT1G06090"
"119","AT1G06130"
"120","AT1G06190"
"121","AT1G06210"
"122","AT1G06290"
"123","AT1G06470"
"124","AT1G06530"
"125","AT1G06540"
"126","AT1G06620"
"127","AT1G06630"
"128","AT1G06670"
"129","AT1G06720"
"130","AT1G06790"
"131","AT1G06850"
"132","AT1G06870"
"133","AT1G06900"
"134","AT1G06930"
"135","AT1G06950"
"136","AT1G06960"
"137","AT1G07030"
"138","AT1G07040"
"139","AT1G07135"
"140","AT1G07230"
"141","AT1G07250"
"142","AT1G07260"
"143","AT1G07350"
"144","AT1G07480"
"145","AT1G07510"
"146","AT1G07530"
"147","AT1G07640"
"148","AT1G07660"
"149","AT1G07670"
"150","AT1G07810"
"151","AT1G07840"
"152","AT1G07950"
"153","AT1G07985"
"154","AT1G07990"
"155","AT1G08010"
"156","AT1G08037"
"157","AT1G08125"
"158","AT1G08130"
"159","AT1G08160"
"160","AT1G08190"
"161","AT1G08210"
"162","AT1G08220"
"163","AT1G08230"
"164","AT1G08260"
"165","AT1G08283"
"166","AT1G08350"
"167","AT1G08410"
"168","AT1G08430"
"169","AT1G08450"
"170","AT1G08460"
"171","AT1G08477"
"172","AT1G08490"
"173","AT1G08500"
"174","AT1G08510"
"175","AT1G08560"
"176","AT1G08590"
"177","AT1G08592"
"178","AT1G08600"
"179","AT1G08620"
"180","AT1G08640"
"181","AT1G08657"
"182","AT1G08660"
"183","AT1G08680"
"184","AT1G08700"
"185","AT1G08770"
"186","AT1G08820"
"187","AT1G08970"
"188","AT1G09020"
"189","AT1G09090"
"190","AT1G09100"
"191","AT1G09130"
"192","AT1G09160"
"193","AT1G09250"
"194","AT1G09280"
"195","AT1G09290"
"196","AT1G09520"
"197","AT1G09580"
"198","AT1G09645"
"199","AT1G09815"
"200","AT1G09830"
"201","AT1G09870"
"202","AT1G09920"
"203","AT1G09927"
"204","AT1G09980"
"205","AT1G10070"
"206","AT1G10130"
"207","AT1G10170"
"208","AT1G10180"
"209","AT1G10310"
"210","AT1G10380"
"211","AT1G10390"
"212","AT1G10410"
"213","AT1G10430"
"214","AT1G10470"
"215","AT1G10490"
"216","AT1G10500"
"217","AT1G10530"
"218","AT1G10580"
"219","AT1G10600"
"220","AT1G10660"
"221","AT1G10690"
"222","AT1G10700"
"223","AT1G10720"
"224","AT1G10740"
"225","AT1G10760"
"226","AT1G10820"
"227","AT1G10850"
"228","AT1G10890"
"229","AT1G10900"
"230","AT1G10940"
"231","AT1G10990"
"232","AT1G11000"
"233","AT1G11020"
"234","AT1G11175"
"235","AT1G11185"
"236","AT1G11200"
"237","AT1G11240"
"238","AT1G11380"
"239","AT1G11430"
"240","AT1G11450"
"241","AT1G11530"
"242","AT1G11592"
"243","AT1G11740"
"244","AT1G11760"
"245","AT1G11890"
"246","AT1G11905"
"247","AT1G11930"
"248","AT1G12050"
"249","AT1G12120"
"250","AT1G12160"
"251","AT1G12350"
"252","AT1G12360"
"253","AT1G12400"
"254","AT1G12410"
"255","AT1G12500"
"256","AT1G12520"
"257","AT1G12530"
"258","AT1G12580"
"259","AT1G12640"
"260","AT1G12650"
"261","AT1G12760"
"262","AT1G12820"
"263","AT1G12830"
"264","AT1G13080"
"265","AT1G13110"
"266","AT1G13120"
"267","AT1G13160"
"268","AT1G13170"
"269","AT1G13195"
"270","AT1G13220"
"271","AT1G13300"
"272","AT1G13320"
"273","AT1G13390"
"274","AT1G13460"
"275","AT1G13570"
"276","AT1G13580"
"277","AT1G13640"
"278","AT1G13670"
"279","AT1G13690"
"280","AT1G13960"
"281","AT1G13980"
"282","AT1G13990"
"283","AT1G14000"
"284","AT1G14080"
"285","AT1G14160"
"286","AT1G14220"
"287","AT1G14230"
"288","AT1G14300"
"289","AT1G14330"
"290","AT1G14360"
"291","AT1G14380"
"292","AT1G14410"
"293","AT1G14453"
"294","AT1G14650"
"295","AT1G14685"
"296","AT1G14690"
"297","AT1G14710"
"298","AT1G14730"
"299","AT1G14990"
"300","AT1G15020"
"301","AT1G15030"
"302","AT1G15110"
"303","AT1G15130"
"304","AT1G15140"
"305","AT1G15230"
"306","AT1G15280"
"307","AT1G15390"
"308","AT1G15405"
"309","AT1G15440"
"310","AT1G15570"
"311","AT1G15810"
"312","AT1G15860"
"313","AT1G15910"
"314","AT1G15940"
"315","AT1G16010"
"316","AT1G16040"
"317","AT1G16190"
"318","AT1G16210"
"319","AT1G16270"
"320","AT1G16280"
"321","AT1G16300"
"322","AT1G16340"
"323","AT1G16520"
"324","AT1G16710"
"325","AT1G16860"
"326","AT1G16900"
"327","AT1G16916"
"328","AT1G16970"
"329","AT1G17060"
"330","AT1G17110"
"331","AT1G17120"
"332","AT1G17130"
"333","AT1G17147"
"334","AT1G17210"
"335","AT1G17280"
"336","AT1G17285"
"337","AT1G17300"
"338","AT1G17350"
"339","AT1G17410"
"340","AT1G17430"
"341","AT1G17455"
"342","AT1G17500"
"343","AT1G17510"
"344","AT1G17520"
"345","AT1G17620"
"346","AT1G17730"
"347","AT1G17745"
"348","AT1G17970"
"349","AT1G18040"
"350","AT1G18150"
"351","AT1G18250"
"352","AT1G18260"
"353","AT1G18270"
"354","AT1G18470"
"355","AT1G18480"
"356","AT1G18500"
