Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0046907,intracellular transport,19_GO:0051179 localization,-13,1.8,8.2,18982,679,2362,154,6.5,0.51,815211|815960|816165|816198|816310|816386|816425|816623|817429|817439|817557|817722|818086|818152|818180|818264|818760|818881|819108|819128|819256|819687|819857|819881|819896|819982|820088|820233|820326|820345|820600|820841|821174|821248|821573|821641|821868|822311|822326|822329|824017|824109|824161|824451|824477|824597|824649|824860|825071|825376|825488|825654|827091|827302|827472|827494|828241|828491|828557|828875|829037|829139|829412|829427|829694|830005|830382|830702|830853|831021|831041|831043|831565|831583|831638|831810|832052|832171|832341|832404|832645|832786|833459|833947|834108|834184|834483|834614|834706|834730|835165|835217|835297|835435|835439|835973|836309|836325|836402|836484|836603|836725|836748|837205|837378|837404|837428|837448|837568|837737|837791|837874|838158|838327|838349|838737|838765|839210|839248|839305|839317|839374|839401|839517|839629|839749|839800|839805|839807|839973|840060|840134|840957|841312|841472|841668|841704|841841|842040|842301|842497|843032|843093|843468|843564|844268|844297|844334|844339|844406|844407|2745966|3770411|5008085,VPS2.1|VSR4|TOC132|TRN1|ATSLY1|SCY1|AT2G19080|PSB29|ALB3|OEP16-1|AT2G30060|SAD2|NPSN11|AT2G35795|TIM44-2|MEMB11|AT2G41620|PP5.2|EMB2766|GOS12|OXA1L|AT3G05230|IMPA-1|PDE320|ERMO2|AT3G07910|AT3G09320|VPS60.1|AT3G11530|ATFP8|RHD3|AT3G15970|THO7|PEX19-1|EHD1|AT3G20920|ARFC1|AT3G26935|TOM20-3|AT3G27100|AT3G48570|NACA2|AT3G49990|VSR1|LOS4|VAMP727|ARA6|AT3G56930|AT3G59020|ROC4|RANGAP1|RMA1|ATBET12|IMPA-2|MOS6|SYP23|VPS28-1|AT4G23910|AT4G24550|AT4G27640|SNF7.1|VLN4|AT4G32760|AT4G32910|AT4G35410|AT4G38490|TOC34|SYP132|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|AT5G17190|EMB1241|RABC2A|RANGAP2|XIK|AT5G22780|MIA40|PEX4|AT5G27280|OS9|SGR4|AT5G41060|CIP1|VPS2.2|RABA1c|AT5G46630|VAM3|CLPC1|EYE|GB1|VPS26A|AT5G53570|RANBP1|AT5G61880|OXA1|PEX14|AT5G63640|LIP1|AT5G65950|RMR1|TIC110|SYP111|VAP27-2|SRC2|IMPA-4|ADL6|SEC22|KEU|AT1G13160|GOS11|TIM23-1|VPS46.1|AT1G21380|AT1G21630|AT1G26690|TOC33|AT1G01910|TOM22-I|Tic20-I|AN|IMPA-6|TOM20-2|SYP61|PEX7|AT1G29310|ERD2|AT1G30890|AT1G31730|AT1G32410|VIP1|AT1G48900|HIT1|AT1G52380|AT1G52710|MVP1|TIM50|AT1G60070|AT1G62020|AT1G67120|AT1G67680|POK|PUM23|NUA|SYP52|ATERDJ2A|AT1G79990|RAE1|SAR3|ZR3|SD3|AT3G54085,-9.7,hits
GO Biological Processes,19,GO:0051649,establishment of localization in cell,19_GO:0051179 localization,-13,1.8,8,18982,723,2362,160,6.8,0.52,815211|815960|816165|816198|816310|816386|816425|816623|817429|817439|817557|817722|818086|818152|818180|818264|818760|818881|819108|819128|819256|819687|819857|819881|819896|819982|820088|820233|820326|820345|820600|820841|821174|821248|821573|821641|821868|822311|822326|822329|824017|824109|824161|824335|824451|824477|824597|824649|824860|825071|825376|825488|825654|827091|827302|827472|827494|827512|828241|828491|828557|828875|829037|829139|829412|829427|829694|830005|830382|830702|830853|831021|831041|831043|831565|831583|831638|831810|832052|832171|832341|832404|832645|832786|833459|833947|834108|834184|834483|834614|834706|834718|834730|835165|835217|835297|835435|835439|835621|835973|836309|836325|836402|836484|836603|836725|836748|837205|837378|837404|837428|837448|837568|837583|837737|837791|837874|838158|838327|838349|838737|838765|839210|839248|839305|839317|839374|839401|839517|839629|839749|839800|839805|839807|839973|840060|840134|840957|841312|841472|841668|841704|841841|842040|842174|842301|842497|843032|843093|843468|843564|844268|844297|844334|844339|844406|844407|2745966|3770411|5008085,VPS2.1|VSR4|TOC132|TRN1|ATSLY1|SCY1|AT2G19080|PSB29|ALB3|OEP16-1|AT2G30060|SAD2|NPSN11|AT2G35795|TIM44-2|MEMB11|AT2G41620|PP5.2|EMB2766|GOS12|OXA1L|AT3G05230|IMPA-1|PDE320|ERMO2|AT3G07910|AT3G09320|VPS60.1|AT3G11530|ATFP8|RHD3|AT3G15970|THO7|PEX19-1|EHD1|AT3G20920|ARFC1|AT3G26935|TOM20-3|AT3G27100|AT3G48570|NACA2|AT3G49990|AT3G51720|VSR1|LOS4|VAMP727|ARA6|AT3G56930|AT3G59020|ROC4|RANGAP1|RMA1|ATBET12|IMPA-2|MOS6|SYP23|AGD8|VPS28-1|AT4G23910|AT4G24550|AT4G27640|SNF7.1|VLN4|AT4G32760|AT4G32910|AT4G35410|AT4G38490|TOC34|SYP132|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|AT5G17190|EMB1241|RABC2A|RANGAP2|XIK|AT5G22780|MIA40|PEX4|AT5G27280|OS9|SGR4|AT5G41060|CIP1|VPS2.2|RABA1c|AT5G46630|AGD9|VAM3|CLPC1|EYE|GB1|VPS26A|AT5G53570|FTSZ1-1|RANBP1|AT5G61880|OXA1|PEX14|AT5G63640|LIP1|AT5G65950|RMR1|TIC110|SYP111|VAP27-2|SRC2|IMPA-4|ADL6|PP2A-2|SEC22|KEU|AT1G13160|GOS11|TIM23-1|VPS46.1|AT1G21380|AT1G21630|AT1G26690|TOC33|AT1G01910|TOM22-I|Tic20-I|AN|IMPA-6|TOM20-2|SYP61|PEX7|AT1G29310|ERD2|AT1G30890|AT1G31730|AT1G32410|VIP1|AT1G48900|HIT1|AT1G52380|AT1G52710|MVP1|TIM50|AT1G58070|AT1G60070|AT1G62020|AT1G67120|AT1G67680|POK|PUM23|NUA|SYP52|ATERDJ2A|AT1G79990|RAE1|SAR3|ZR3|SD3|AT3G54085,-9.5,hits
GO Biological Processes,19,GO:0006520,cellular amino acid metabolic process,19_GO:0008152 metabolic process,-11,1.9,7.4,18982,431,2362,104,4.4,0.42,815134|816149|816232|816281|816513|816619|816758|817290|817952|818326|818566|818588|818910|819009|819138|819152|819608|819617|819654|819954|820166|820660|821676|822186|822573|823668|824727|824825|824923|825159|825376|827012|827715|827786|828213|828226|828459|828736|828794|828797|828798|829033|829387|829428|829452|829535|829549|829675|830084|830154|830159|830888|830959|831093|831126|831169|831255|831490|831522|831738|831935|832008|832326|832800|832872|833535|833613|833841|833874|834363|834407|835263|835466|835598|835778|836210|836373|836550|836558|836625|836707|836744|837166|837168|838216|838352|838431|838523|838940|839103|839120|840006|841263|841307|841308|841405|841665|842175|843236|843587|843855|844282|844376|844395,AT2G05830|ADC1|HSK|P4H5|AT2G19940|LIP1|AAT|NLP1|AT2G33840|AT2G37500|P5CS1|HSPRO2|AT-P4H-1|AT2G44040|AT2G45300|DHDPS2|THA2|AT3G04600|CYSD1|ADT2|OMR1|AT3G14390|MKK5|HMT-1|CM1|IVD|P5CS2|AT3G56580|NAGK|AT3G59890|ROC4|AT4G13780|AK-HSDH II|LSD1|GLB1|AT4G02610|AT4G23590|emb1027|AT4G26870|AT-HF|AT4G26910|AT4G29120|SHM3|AT4G32915|AT4G33150|AT4G33910|MCCB|AT4G35220|AT4G39280|CYP79B2|DHS1|ASN3|AT5G10920|PYD2|DiT1|AK-LYS1|CARAB-AK-LYS|VAT1|MYB43|RSR4|GDH1|AT5G18900|ADT5|AT5G27410|CYSD2|GS2|AT5G36160|TSBtype2|AT5G38830|ETFBETA|ARD4|AT5G51880|AT5G53850|AT5G55070|SERAT1;1|MYB34|ALDH12A1|DIT2.1|BETA-UP|ASN2|ATBCAT-5|AT5G66120|AT1G06550|PDS1|RDH2|PGDH|MAML-4|AT1G19400|GGT1|ASB1|OVA9|IMD3|D-CDES|EMB1144|AT1G48860|MTK|ABA2|ATP-PRT1|ACR4|AT1G72550|AT1G75180|ALDH5F1|AT1G80360|IMD2,-7.6,hits
GO Biological Processes,19,GO:0016192,vesicle-mediated transport,19_GO:0051179 localization,-11,1.9,7.3,18982,475,2362,111,4.7,0.44,814689|815211|815960|816310|817081|817306|818086|818264|818416|818567|818631|818918|819128|819207|819551|819896|820148|820233|820326|820345|820395|820572|820580|820581|820600|821573|821868|823405|824451|824597|824649|824777|824863|825029|825257|825830|827091|827153|827328|827494|827512|828241|828557|828587|828761|828972|829007|829037|829362|829694|829740|830702|830984|831021|831043|831071|831112|831583|831915|832297|832341|832484|832808|833947|834200|834350|834483|834706|834718|834730|835046|835217|835297|835435|835519|835851|836105|836242|836725|836733|837035|837087|837378|837399|837568|837737|837788|837791|838158|838349|838600|838765|839210|839301|839520|839565|839749|839807|839973|840060|840065|840134|841472|841962|842301|842497|843468|843603|844297|844339|5008085,AT2G01600|VPS2.1|VSR4|ATSLY1|AT2G25430|SKD1|NPSN11|MEMB11|PRA1.B4|AT2G39805|PRA1.B2|AT2G43160|GOS12|AT2G45990|AT3G03940|ERMO2|RABE1e|VPS60.1|AT3G11530|ATFP8|AT3G12180|AT3G13670|PRA1.F4|PRA8|RHD3|EHD1|ARFC1|ATMIN7|VSR1|VAMP727|ARA6|PRA1.B1|PIP5K4|AT3G58600|AT3G60860|NSF|ATBET12|KMS1|SPK1|SYP23|AGD8|VPS28-1|AT4G24550|AT4G24840|AT4G26550|CKL6|ckl4|SNF7.1|AT4G32285|AT4G35410|GB2|SYP132|VAMP713|AT5G11490|AT5G11710|AT5G11980|SEC10|AT5G17190|AT5G01430|VAMP714|AT5G22780|AT5G24170|AT5G27490|SGR4|AT5G41950|ckl8|VPS2.2|AT5G46630|AGD9|VAM3|EXO84B|EYE|GB1|VPS26A|AGD5|AT5G57460|AT5G59840|SNAP33|AT5G65950|ATGRIP|KMS2|AT1G05785|SYP111|PRA1.E|ADL6|SEC22|AT1G12340|KEU|GOS11|VPS46.1|AT1G20110|AT1G21630|AT1G26690|EDA10|CKL13|MPI7|SYP61|ERD2|AT1G30890|AT1G31730|AT1G31780|AT1G32410|HIT1|PRA7|AT1G60070|AT1G62020|POK|CKL2|SYP52|AT1G79990|AT3G54085,-7.6,hits
GO Biological Processes,19,GO:0006886,intracellular protein transport,19_GO:0051179 localization,-11,1.8,7.3,18982,522,2362,119,5,0.45,815960|816165|816198|816310|816386|816425|816623|817429|817439|817722|818086|818152|818180|818264|818760|819108|819256|819687|819857|819896|819982|820088|820345|821174|821248|821641|821868|822311|822326|822329|824017|824109|824161|824451|824477|824597|824649|824860|825071|825376|825488|825654|827302|827472|827494|828241|828491|828557|828875|829412|829427|829694|830005|830382|830702|830853|831021|831041|831043|831565|831638|831810|832341|832404|832645|832786|833459|833947|834108|834184|834614|834706|834730|835165|835217|835297|835435|835439|835973|836309|836325|836402|836484|836603|836748|837205|837378|837428|837448|837791|837874|838327|838737|839210|839248|839305|839317|839374|839517|839629|839749|839800|839805|840060|841312|841841|842040|842301|842497|843032|843093|843564|844268|844297|844334|844339|844407|2745966|3770411,VSR4|TOC132|TRN1|ATSLY1|SCY1|AT2G19080|PSB29|ALB3|OEP16-1|SAD2|NPSN11|AT2G35795|TIM44-2|MEMB11|AT2G41620|EMB2766|OXA1L|AT3G05230|IMPA-1|ERMO2|AT3G07910|AT3G09320|ATFP8|THO7|PEX19-1|AT3G20920|ARFC1|AT3G26935|TOM20-3|AT3G27100|AT3G48570|NACA2|AT3G49990|VSR1|LOS4|VAMP727|ARA6|AT3G56930|AT3G59020|ROC4|RANGAP1|RMA1|IMPA-2|MOS6|SYP23|VPS28-1|AT4G23910|AT4G24550|AT4G27640|AT4G32760|AT4G32910|AT4G35410|AT4G38490|TOC34|SYP132|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|EMB1241|RABC2A|AT5G22780|MIA40|PEX4|AT5G27280|OS9|SGR4|AT5G41060|CIP1|RABA1c|AT5G46630|VAM3|CLPC1|EYE|GB1|VPS26A|AT5G53570|RANBP1|AT5G61880|OXA1|PEX14|AT5G63640|LIP1|RMR1|TIC110|SYP111|SRC2|IMPA-4|KEU|AT1G13160|TIM23-1|AT1G21380|AT1G26690|TOC33|AT1G01910|TOM22-I|Tic20-I|IMPA-6|TOM20-2|SYP61|PEX7|AT1G29310|AT1G31730|AT1G48900|MVP1|TIM50|AT1G60070|AT1G62020|AT1G67120|AT1G67680|PUM23|NUA|SYP52|ATERDJ2A|AT1G79990|SAR3|ZR3|SD3,-7.6,hits
GO Biological Processes,19,GO:0015031,protein transport,19_GO:0051179 localization,-10,1.8,7.2,18982,579,2362,128,5.4,0.47,815211|815960|816165|816198|816310|816386|816425|816623|817429|817439|817722|818086|818152|818180|818264|818760|819108|819256|819687|819857|819896|819982|820088|820148|820345|821174|821248|821641|821868|822311|822326|822329|824017|824109|824161|824451|824477|824597|824649|824860|825071|825257|825376|825488|825654|825830|827302|827472|827494|828241|828491|828557|828875|829412|829427|829694|830005|830382|830702|830707|830853|831021|831041|831043|831565|831638|831810|832341|832404|832645|832786|833459|833947|834108|834184|834483|834614|834706|834730|835165|835217|835297|835435|835439|835973|836105|836300|836309|836325|836402|836484|836603|836748|837205|837378|837428|837448|837791|837874|838327|838349|838737|839210|839248|839305|839317|839374|839517|839629|839749|839800|839805|840060|841312|841841|842040|842301|842497|843032|843093|843564|844268|844297|844334|844339|844407|2745966|3770411,VPS2.1|VSR4|TOC132|TRN1|ATSLY1|SCY1|AT2G19080|PSB29|ALB3|OEP16-1|SAD2|NPSN11|AT2G35795|TIM44-2|MEMB11|AT2G41620|EMB2766|OXA1L|AT3G05230|IMPA-1|ERMO2|AT3G07910|AT3G09320|RABE1e|ATFP8|THO7|PEX19-1|AT3G20920|ARFC1|AT3G26935|TOM20-3|AT3G27100|AT3G48570|NACA2|AT3G49990|VSR1|LOS4|VAMP727|ARA6|AT3G56930|AT3G59020|AT3G60860|ROC4|RANGAP1|RMA1|NSF|IMPA-2|MOS6|SYP23|VPS28-1|AT4G23910|AT4G24550|AT4G27640|AT4G32760|AT4G32910|AT4G35410|AT4G38490|TOC34|SYP132|MPB2C|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|EMB1241|RABC2A|AT5G22780|MIA40|PEX4|AT5G27280|OS9|SGR4|AT5G41060|CIP1|VPS2.2|RABA1c|AT5G46630|VAM3|CLPC1|EYE|GB1|VPS26A|AT5G53570|RANBP1|AT5G59840|Tudor2|AT5G61880|OXA1|PEX14|AT5G63640|LIP1|RMR1|TIC110|SYP111|SRC2|IMPA-4|KEU|AT1G13160|TIM23-1|VPS46.1|AT1G21380|AT1G26690|TOC33|AT1G01910|TOM22-I|Tic20-I|IMPA-6|TOM20-2|SYP61|PEX7|AT1G29310|AT1G31730|AT1G48900|MVP1|TIM50|AT1G60070|AT1G62020|AT1G67120|AT1G67680|PUM23|NUA|SYP52|ATERDJ2A|AT1G79990|SAR3|ZR3|SD3,-7.5,hits
GO Biological Processes,19,GO:1901605,alpha-amino acid metabolic process,19_GO:0008152 metabolic process,-10,2.1,7.3,18982,302,2362,79,3.3,0.37,815134|816149|816232|816281|816513|816619|816758|817290|818326|818566|818588|818910|819009|819152|819608|819654|819954|820166|820660|822186|823668|824727|824825|824923|825159|825376|827715|827786|828213|828226|828797|828798|829033|829387|829452|829535|829549|829675|830154|830888|830959|831126|831169|831255|831490|831522|831935|832008|832326|832872|833535|833613|833841|834363|834407|835263|835466|835598|835778|836210|836373|836550|836625|836707|837166|837168|838216|838352|838431|838940|839103|840006|841263|841405|841665|842175|844282|844376|844395,AT2G05830|ADC1|HSK|P4H5|AT2G19940|LIP1|AAT|NLP1|AT2G37500|P5CS1|HSPRO2|AT-P4H-1|AT2G44040|DHDPS2|THA2|CYSD1|ADT2|OMR1|AT3G14390|HMT-1|IVD|P5CS2|AT3G56580|NAGK|AT3G59890|ROC4|AK-HSDH II|LSD1|GLB1|AT4G02610|AT-HF|AT4G26910|AT4G29120|SHM3|AT4G33150|AT4G33910|MCCB|AT4G35220|CYP79B2|ASN3|AT5G10920|DiT1|AK-LYS1|CARAB-AK-LYS|VAT1|MYB43|GDH1|AT5G18900|ADT5|CYSD2|GS2|AT5G36160|TSBtype2|ETFBETA|ARD4|AT5G51880|AT5G53850|AT5G55070|SERAT1;1|MYB34|ALDH12A1|DIT2.1|ASN2|ATBCAT-5|AT1G06550|PDS1|RDH2|PGDH|MAML-4|GGT1|ASB1|IMD3|D-CDES|MTK|ABA2|ATP-PRT1|ALDH5F1|AT1G80360|IMD2,-7.3,hits
GO Biological Processes,19,GO:0045184,establishment of protein localization,19_GO:0051179 localization,-9.9,1.7,6.9,18982,591,2362,128,5.4,0.47,815211|815960|816165|816198|816310|816386|816425|816623|817429|817439|817722|818086|818152|818180|818264|818760|819108|819256|819687|819857|819896|819982|820088|820148|820345|821174|821248|821641|821868|822311|822326|822329|824017|824109|824161|824451|824477|824597|824649|824860|825071|825257|825376|825488|825654|825830|827302|827472|827494|828241|828491|828557|828875|829412|829427|829694|830005|830382|830702|830707|830853|831021|831041|831043|831565|831638|831810|832341|832404|832645|832786|833459|833947|834108|834184|834483|834614|834706|834730|835165|835217|835297|835435|835439|835973|836105|836300|836309|836325|836402|836484|836603|836748|837205|837378|837428|837448|837791|837874|838327|838349|838737|839210|839248|839305|839317|839374|839517|839629|839749|839800|839805|840060|841312|841841|842040|842301|842497|843032|843093|843564|844268|844297|844334|844339|844407|2745966|3770411,VPS2.1|VSR4|TOC132|TRN1|ATSLY1|SCY1|AT2G19080|PSB29|ALB3|OEP16-1|SAD2|NPSN11|AT2G35795|TIM44-2|MEMB11|AT2G41620|EMB2766|OXA1L|AT3G05230|IMPA-1|ERMO2|AT3G07910|AT3G09320|RABE1e|ATFP8|THO7|PEX19-1|AT3G20920|ARFC1|AT3G26935|TOM20-3|AT3G27100|AT3G48570|NACA2|AT3G49990|VSR1|LOS4|VAMP727|ARA6|AT3G56930|AT3G59020|AT3G60860|ROC4|RANGAP1|RMA1|NSF|IMPA-2|MOS6|SYP23|VPS28-1|AT4G23910|AT4G24550|AT4G27640|AT4G32760|AT4G32910|AT4G35410|AT4G38490|TOC34|SYP132|MPB2C|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|EMB1241|RABC2A|AT5G22780|MIA40|PEX4|AT5G27280|OS9|SGR4|AT5G41060|CIP1|VPS2.2|RABA1c|AT5G46630|VAM3|CLPC1|EYE|GB1|VPS26A|AT5G53570|RANBP1|AT5G59840|Tudor2|AT5G61880|OXA1|PEX14|AT5G63640|LIP1|RMR1|TIC110|SYP111|SRC2|IMPA-4|KEU|AT1G13160|TIM23-1|VPS46.1|AT1G21380|AT1G26690|TOC33|AT1G01910|TOM22-I|Tic20-I|IMPA-6|TOM20-2|SYP61|PEX7|AT1G29310|AT1G31730|AT1G48900|MVP1|TIM50|AT1G60070|AT1G62020|AT1G67120|AT1G67680|PUM23|NUA|SYP52|ATERDJ2A|AT1G79990|SAR3|ZR3|SD3,-7,hits
GO Biological Processes,19,GO:0034613,cellular protein localization,19_GO:0051179 localization,-9.4,1.7,6.7,18982,655,2362,137,5.8,0.48,815960|816165|816198|816310|816386|816425|816623|816747|817429|817439|817722|818086|818152|818180|818264|818760|819108|819256|819687|819857|819896|819982|820088|820326|820345|821174|821248|821641|821868|822311|822326|822329|824017|824109|824161|824451|824477|824589|824597|824649|824860|825071|825257|825376|825488|825654|825830|826539|827302|827472|827494|828241|828491|828557|828587|828875|829412|829427|829694|830005|830034|830382|830702|830853|831021|831041|831043|831565|831583|831638|831809|831810|831919|832341|832404|832645|832786|833459|833470|833947|834108|834184|834614|834706|834730|835165|835217|835297|835435|835439|835973|836309|836325|836402|836484|836603|836748|837205|837378|837428|837448|837583|837791|837874|838327|838737|839210|839248|839305|839317|839374|839517|839629|839749|839800|839805|839807|840060|840134|841312|841841|842040|842301|842497|842615|843032|843093|843564|843909|844268|844297|844334|844339|844407|2745966|3770411|5007942,VSR4|TOC132|TRN1|ATSLY1|SCY1|AT2G19080|PSB29|CSI1|ALB3|OEP16-1|SAD2|NPSN11|AT2G35795|TIM44-2|MEMB11|AT2G41620|EMB2766|OXA1L|AT3G05230|IMPA-1|ERMO2|AT3G07910|AT3G09320|AT3G11530|ATFP8|THO7|PEX19-1|AT3G20920|ARFC1|AT3G26935|TOM20-3|AT3G27100|AT3G48570|NACA2|AT3G49990|VSR1|LOS4|SCR|VAMP727|ARA6|AT3G56930|AT3G59020|AT3G60860|ROC4|RANGAP1|RMA1|NSF|GIP1|IMPA-2|MOS6|SYP23|VPS28-1|AT4G23910|AT4G24550|AT4G24840|AT4G27640|AT4G32760|AT4G32910|AT4G35410|AT4G38490|AT4G38790|TOC34|SYP132|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|AT5G17190|EMB1241|EXO70A1|RABC2A|JKD|AT5G22780|MIA40|PEX4|AT5G27280|OS9|AT5G35160|SGR4|AT5G41060|CIP1|RABA1c|AT5G46630|VAM3|CLPC1|EYE|GB1|VPS26A|AT5G53570|RANBP1|AT5G61880|OXA1|PEX14|AT5G63640|LIP1|RMR1|TIC110|SYP111|SRC2|IMPA-4|PP2A-2|KEU|AT1G13160|TIM23-1|AT1G21380|AT1G26690|TOC33|AT1G01910|TOM22-I|Tic20-I|IMPA-6|TOM20-2|SYP61|PEX7|AT1G29310|ERD2|AT1G31730|AT1G32410|AT1G48900|MVP1|TIM50|AT1G60070|AT1G62020|AT1G63110|AT1G67120|AT1G67680|PUM23|AT1G75760|NUA|SYP52|ATERDJ2A|AT1G79990|SAR3|ZR3|SD3|FHY1,-6.6,hits
GO Biological Processes,19,GO:0033365,protein localization to organelle,19_GO:0051179 localization,-9.2,2,6.8,18982,305,2362,77,3.3,0.37,815960|816165|816198|816386|816425|816623|816747|817429|817439|817722|818086|818152|818180|818264|818760|819108|819256|819687|819857|819982|821248|821641|821868|822326|824017|824451|824589|824597|825071|825376|825488|827302|827472|828241|828875|829427|830034|830382|831041|831043|831583|831638|831919|832404|832645|832786|833947|834184|835165|835217|835297|835973|836309|836325|836402|837205|837428|837448|838327|839248|839305|839317|839374|839517|839629|839800|839805|839807|841312|842040|843093|843909|844268|844334|2745966|3770411|5007942,VSR4|TOC132|TRN1|SCY1|AT2G19080|PSB29|CSI1|ALB3|OEP16-1|SAD2|NPSN11|AT2G35795|TIM44-2|MEMB11|AT2G41620|EMB2766|OXA1L|AT3G05230|IMPA-1|AT3G07910|PEX19-1|AT3G20920|ARFC1|TOM20-3|AT3G48570|VSR1|SCR|VAMP727|AT3G59020|ROC4|RANGAP1|IMPA-2|MOS6|VPS28-1|AT4G27640|AT4G32910|AT4G38790|TOC34|TIM17-3|AT5G11710|AT5G17190|EMB1241|JKD|MIA40|PEX4|AT5G27280|SGR4|CIP1|CLPC1|EYE|GB1|RANBP1|AT5G61880|OXA1|PEX14|TIC110|SRC2|IMPA-4|TIM23-1|TOC33|AT1G01910|TOM22-I|Tic20-I|IMPA-6|TOM20-2|PEX7|AT1G29310|ERD2|AT1G48900|TIM50|AT1G67680|AT1G75760|NUA|ATERDJ2A|ZR3|SD3|FHY1,-6.4,hits
