_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,CHILD_GO_hits
1,-13.485819295666671,GO:0051179,localization,M1,1,GO:0046907 intracellular transport
1,-10.93778659942894,GO:0008152,metabolic process,M1,1,GO:0006520 cellular amino acid metabolic process
1,-6.885498753509939,GO:0050789,regulation of biological process,M1,1,GO:0048583 regulation of response to stimulus
1,-6.65411075901291,GO:0032501,multicellular organismal process,M1,1,GO:0010015 root morphogenesis
1,-5.277293646267832,GO:0040007,growth,M1,1,GO:0048767 root hair elongation
1,-5.065374508001934,GO:0071840,cellular component organization or biogenesis,M1,1,GO:0030490 maturation of SSU-rRNA
1,-4.75932924700406,GO:0023052,signaling,M1,1,GO:0010315 auxin efflux
1,-4.189704170708277,GO:0048519,negative regulation of biological process,M1,1,GO:0048585 negative regulation of response to stimulus
1,-4.132318682985827,GO:0032502,developmental process,M1,1,GO:0048469 cell maturation
1,-3.8769195365334785,GO:0051704,multi-organism process,M1,1,GO:0016032 viral process
1,-3.7069130546787523,GO:0050896,response to stimulus,M1,1,GO:0034976 response to endoplasmic reticulum stress
1,-3.1173564526874173,GO:0009987,cellular process,M1,1,GO:0000281 mitotic cytokinesis
1,-3.011193068766132,GO:0019740,nitrogen utilization,M1,1,GO:0019740 nitrogen utilization
1,-2.8423766501592898,GO:0022414,reproductive process,M1,1,GO:0009909 regulation of flower development
1,-2.8176154769784283,GO:0065007,biological regulation,M1,1,GO:0031647 regulation of protein stability
1,-2.21288997298598,GO:0002376,immune system process,M1,1,GO:0034051 negative regulation of plant-type hypersensitive response
1,-2.1538507795794883,GO:0048518,positive regulation of biological process,M1,1,GO:0048584 positive regulation of response to stimulus
