Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,GO Biological Processes,19,GO:0048583,regulation of response to stimulus,19_GO:0050789 regulation of biological process,-18,2.8,11,18982,762,793,89,11,1.1,814670|814683|814812|816133|817375|817830|818265|818540|818982|819108|819210|819551|819715|819784|819878|819969|820159|820752|820940|821259|821445|821676|821705|822098|822593|823426|824143|824268|824318|824955|825107|825291|825476|825890|826728|826869|826884|827272|827328|827493|827641|827786|828008|828126|828522|828706|828714|829103|829143|829282|829654|829880|830060|830065|830708|831158|831980|832137|833590|834158|834184|834307|834599|834663|834786|835379|835813|836163|836408|836466|836629|836865|837417|837583|837673|838136|838544|838683|838899|838916|840158|841486|841922|843160|843432|843516|843693|844083|5007942,PIN4|AT2G01540|MYB88|AT2G16365|SYD|LUH|ABCB1|PGGT-I|MPK6|EMB2766|BRM|AT3G03940|AT3G05500|MKP2|PRMT4B|OBE1|AT3G09980|ERF4|RR1|KIN10|AT3G19100|MKK5|AHP1|RIN4|AHP2|JAZ11|AT3G49810|RTH|FER|UVI4-LIKE|FTA|BAP1|GID1B|DDB1A|SGT1B|CPR1|NUDT7|PRL1|SPK1|AT4G17720|NLM1|LSD1|EID1|UNE12|SLY1|PEP|ABI1|MKK2|VEL1|WRKY11|RAC3|MYB73|AT4G39050|SHL1|BIM1|GILP|CHR17|SPX1|YAK1|AT5G41560|CIP1|AT5G42950|GAS41|CUL4|AT5G47390|TAP46|EIR1|SIZ1|RAC10|NF-YC4|AGL31|MYBR1|NF-YC9|PP2A-2|MLO2|AT1G15670|DHAR1|ESC|CSN5A|PIN7|MYC2|ERF3|NF-YC3|AE7|PIN3|PTP1|PIN1|RFC3|FHY1,-14
hits,GO Biological Processes,19,GO:0009755,hormone-mediated signaling pathway,19_GO:0023052 signaling,-18,3,11,18982,640,793,80,10,1.1,814670|814683|816290|817375|818265|818540|818730|818982|819108|819551|820364|820752|820940|821259|821445|821575|821676|821705|822296|822593|823426|824268|824318|824570|825107|825473|825476|826601|826728|827272|827328|827463|827612|827786|828025|828522|828714|829164|829282|829480|829597|829654|829676|829880|830548|830708|830915|833590|834127|834158|834184|834663|834784|835813|836163|836408|836451|836466|836699|836865|837417|837583|838136|838144|838452|838916|840105|840158|840310|841395|841486|841922|842710|843432|843693|843791|843845|843987|844146|844276,PIN4|AT2G01540|ARAC1|SYD|ABCB1|PGGT-I|RR3|MPK6|EMB2766|AT3G03940|UBP13|ERF4|RR1|KIN10|AT3G19100|ERF7|MKK5|AHP1|AFB2|AHP2|JAZ11|RTH|FER|BSK6|FTA|TIR1|GID1B|CNX7|SGT1B|PRL1|SPK1|ERF6|IRX1|LSD1|BSK3|SLY1|ABI1|AT4G30410|WRKY11|BAK1|AGB1|RAC3|BSK1|MYB73|UBP12|BIM1|AIL6|YAK1|BSK8|AT5G41560|CIP1|CUL4|HAT2|EIR1|SIZ1|RAC10|NDPK2|NF-YC4|BAM1|MYBR1|NF-YC9|PP2A-2|AT1G15670|TPL|RCAR1|PIN7|IWS1|MYC2|AT1G34110|ABF1|ERF3|NF-YC3|RBOH F|PIN3|PIN1|BS1|BZR1|CDKB2;1|AUF1|RGLG4,-14
hits,GO Biological Processes,19,GO:0032870,cellular response to hormone stimulus,19_GO:0050896 response to stimulus,-15,2.7,9.6,18982,749,793,83,10,1.1,814670|814683|816290|817375|818265|818540|818730|818982|819108|819551|820364|820752|820940|821259|821445|821575|821676|821705|822296|822593|823426|824268|824318|824570|825107|825473|825476|826601|826728|827272|827328|827463|827612|827786|828025|828522|828714|829164|829282|829480|829597|829654|829676|829880|830548|830708|830915|830917|833590|834127|834158|834184|834663|834784|835813|836163|836408|836451|836466|836699|836865|837417|837583|838136|838144|838452|838544|838812|838916|840105|840158|840310|841395|841486|841922|842710|843432|843693|843791|843845|843987|844146|844276,PIN4|AT2G01540|ARAC1|SYD|ABCB1|PGGT-I|RR3|MPK6|EMB2766|AT3G03940|UBP13|ERF4|RR1|KIN10|AT3G19100|ERF7|MKK5|AHP1|AFB2|AHP2|JAZ11|RTH|FER|BSK6|FTA|TIR1|GID1B|CNX7|SGT1B|PRL1|SPK1|ERF6|IRX1|LSD1|BSK3|SLY1|ABI1|AT4G30410|WRKY11|BAK1|AGB1|RAC3|BSK1|MYB73|UBP12|BIM1|AIL6|RBK1|YAK1|BSK8|AT5G41560|CIP1|CUL4|HAT2|EIR1|SIZ1|RAC10|NDPK2|NF-YC4|BAM1|MYBR1|NF-YC9|PP2A-2|AT1G15670|TPL|RCAR1|DHAR1|TGA3|PIN7|IWS1|MYC2|AT1G34110|ABF1|ERF3|NF-YC3|RBOH F|PIN3|PIN1|BS1|BZR1|CDKB2;1|AUF1|RGLG4,-12
hits,GO Biological Processes,19,GO:0016192,vesicle-mediated transport,19_GO:0051179 localization,-15,3.1,9.8,18982,475,793,62,7.8,0.95,815211|817306|818086|818416|818631|819128|819551|820233|820345|820395|820572|820580|820581|821573|824451|824597|824649|824777|825830|827091|827153|827328|827494|828241|828587|828761|828972|829007|829037|829740|830702|830984|831043|831071|831112|831915|832297|832341|832808|833947|834483|834706|834730|835046|835297|836242|837378|837399|837568|837737|837791|838158|838349|838600|839749|839807|840065|840134|841472|841962|843468|844297,VPS2.1|SKD1|NPSN11|PRA1.B4|PRA1.B2|GOS12|AT3G03940|VPS60.1|ATFP8|AT3G12180|AT3G13670|PRA1.F4|PRA8|EHD1|VSR1|VAMP727|ARA6|PRA1.B1|NSF|ATBET12|KMS1|SPK1|SYP23|VPS28-1|AT4G24840|AT4G26550|CKL6|ckl4|SNF7.1|GB2|SYP132|VAMP713|AT5G11710|AT5G11980|SEC10|AT5G01430|VAMP714|AT5G22780|AT5G27490|SGR4|VPS2.2|AT5G46630|VAM3|EXO84B|GB1|SNAP33|SYP111|PRA1.E|ADL6|SEC22|KEU|GOS11|VPS46.1|AT1G20110|SYP61|ERD2|AT1G31780|AT1G32410|HIT1|PRA7|POK|SYP52,-12
hits,GO Biological Processes,19,GO:0071495,cellular response to endogenous stimulus,19_GO:0050896 response to stimulus,-15,2.6,9.3,18982,785,793,84,11,1.1,814670|814683|816290|817375|818265|818540|818730|818982|819108|819551|820364|820752|820940|821259|821445|821575|821676|821705|822296|822593|823426|824268|824318|824570|825107|825473|825476|826601|826728|827272|827328|827463|827612|827786|828025|828522|828714|829164|829282|829387|829480|829597|829654|829676|829880|830548|830708|830915|830917|833590|834127|834158|834184|834663|834784|835813|836163|836408|836451|836466|836699|836865|837417|837583|838136|838144|838452|838544|838812|838916|840105|840158|840310|841395|841486|841922|842710|843432|843693|843791|843845|843987|844146|844276,PIN4|AT2G01540|ARAC1|SYD|ABCB1|PGGT-I|RR3|MPK6|EMB2766|AT3G03940|UBP13|ERF4|RR1|KIN10|AT3G19100|ERF7|MKK5|AHP1|AFB2|AHP2|JAZ11|RTH|FER|BSK6|FTA|TIR1|GID1B|CNX7|SGT1B|PRL1|SPK1|ERF6|IRX1|LSD1|BSK3|SLY1|ABI1|AT4G30410|WRKY11|SHM3|BAK1|AGB1|RAC3|BSK1|MYB73|UBP12|BIM1|AIL6|RBK1|YAK1|BSK8|AT5G41560|CIP1|CUL4|HAT2|EIR1|SIZ1|RAC10|NDPK2|NF-YC4|BAM1|MYBR1|NF-YC9|PP2A-2|AT1G15670|TPL|RCAR1|DHAR1|TGA3|PIN7|IWS1|MYC2|AT1G34110|ABF1|ERF3|NF-YC3|RBOH F|PIN3|PIN1|BS1|BZR1|CDKB2;1|AUF1|RGLG4,-12
hits,GO Biological Processes,19,GO:0046907,intracellular transport,19_GO:0051179 localization,-14,2.7,9.3,18982,679,793,76,9.6,1,815211|816165|816386|817429|817722|818086|818760|818881|819108|819128|819857|820233|820345|820841|821573|822326|822329|824017|824451|824597|824649|825376|825488|825654|827091|827302|827472|827494|828241|828491|829037|829412|829427|830382|830702|830853|831043|831810|832171|832341|833947|834184|834483|834614|834706|834730|835297|836484|836603|836748|837205|837378|837404|837428|837448|837568|837737|837791|838158|838349|839248|839305|839517|839749|839800|839807|840134|840957|841472|841668|843468|844268|844297|844334|844406|2745966,VPS2.1|TOC132|SCY1|ALB3|SAD2|NPSN11|AT2G41620|PP5.2|EMB2766|GOS12|IMPA-1|VPS60.1|ATFP8|AT3G15970|EHD1|TOM20-3|AT3G27100|AT3G48570|VSR1|VAMP727|ARA6|ROC4|RANGAP1|RMA1|ATBET12|IMPA-2|MOS6|SYP23|VPS28-1|AT4G23910|SNF7.1|AT4G32760|AT4G32910|TOC34|SYP132|NRPB4|AT5G11710|RABC2A|XIK|AT5G22780|SGR4|CIP1|VPS2.2|RABA1c|AT5G46630|VAM3|GB1|AT5G63640|LIP1|RMR1|TIC110|SYP111|VAP27-2|SRC2|IMPA-4|ADL6|SEC22|KEU|GOS11|VPS46.1|TOC33|AT1G01910|IMPA-6|SYP61|PEX7|ERD2|AT1G32410|VIP1|HIT1|AT1G52380|POK|NUA|SYP52|ATERDJ2A|RAE1|ZR3,-11
hits,GO Biological Processes,19,GO:0051649,establishment of localization in cell,19_GO:0051179 localization,-14,2.6,9.1,18982,723,793,78,9.8,1.1,815211|816165|816386|817429|817722|818086|818760|818881|819108|819128|819857|820233|820345|820841|821573|822326|822329|824017|824451|824597|824649|825376|825488|825654|827091|827302|827472|827494|828241|828491|829037|829412|829427|830382|830702|830853|831043|831810|832171|832341|833947|834184|834483|834614|834706|834730|835297|836484|836603|836748|837205|837378|837404|837428|837448|837568|837583|837737|837791|838158|838349|839248|839305|839517|839749|839800|839807|840134|840957|841472|841668|842174|843468|844268|844297|844334|844406|2745966,VPS2.1|TOC132|SCY1|ALB3|SAD2|NPSN11|AT2G41620|PP5.2|EMB2766|GOS12|IMPA-1|VPS60.1|ATFP8|AT3G15970|EHD1|TOM20-3|AT3G27100|AT3G48570|VSR1|VAMP727|ARA6|ROC4|RANGAP1|RMA1|ATBET12|IMPA-2|MOS6|SYP23|VPS28-1|AT4G23910|SNF7.1|AT4G32760|AT4G32910|TOC34|SYP132|NRPB4|AT5G11710|RABC2A|XIK|AT5G22780|SGR4|CIP1|VPS2.2|RABA1c|AT5G46630|VAM3|GB1|AT5G63640|LIP1|RMR1|TIC110|SYP111|VAP27-2|SRC2|IMPA-4|ADL6|PP2A-2|SEC22|KEU|GOS11|VPS46.1|TOC33|AT1G01910|IMPA-6|SYP61|PEX7|ERD2|AT1G32410|VIP1|HIT1|AT1G52380|AT1G58070|POK|NUA|SYP52|ATERDJ2A|RAE1|ZR3,-11
hits,GO Biological Processes,19,GO:0050793,regulation of developmental process,19_GO:0032502 developmental process,-14,2.5,8.8,18982,794,793,82,10,1.1,814812|816133|816290|816747|816787|816815|817252|817429|817830|818213|818596|818761|818982|819174|819619|819878|819910|820408|820940|821259|821536|821676|822011|822547|825107|825890|826728|827328|828008|828706|828760|828972|829105|829143|829597|829654|829750|829826|829847|830000|830019|830065|830169|830366|830503|830915|831267|831822|831919|832053|833676|834575|834599|834663|834952|834961|835379|835421|835702|835872|835935|836163|836236|836337|836408|836466|836629|836699|837417|837886|838031|838899|839984|840310|840957|841072|841922|843432|843987|844042|844268|5007942,MYB88|AT2G16365|ARAC1|CSI1|SVP|GRF1|SE|ALB3|LUH|GRF3|ELF4|TFIIB|MPK6|AGL20|FLK|PRMT4B|FHA2|RBR1|RR1|KIN10|FYPP3|MKK5|AT3G24240|NAC3|FTA|DDB1A|SGT1B|SPK1|EID1|PEP|AT4G26540|CKL6|VIP3|VEL1|AGB1|RAC3|RAC6|GBF1|SPT|ROPGEF1|RPN10|SHL1|HB16|CPK1|ATO|AIL6|CHC1|AT5G03500|JKD|ARIA|SEF|CLPP4|GAS41|CUL4|AT5G48940|PRMT4A|TAP46|BOB1|AT5G56040|COL5|MSI1|SIZ1|VIP4|AGL42|RAC10|NF-YC4|AGL31|BAM1|NF-YC9|RAV1|BPC2|CSN5A|SUF4|AT1G34110|VIP1|ATUBC2-1|NF-YC3|PIN3|CDKB2;1|MAF1|NUA|FHY1,-11
hits,GO Biological Processes,19,GO:2000026,regulation of multicellular organismal development,19_GO:0032501 multicellular organismal process,-11,2.6,7.9,18982,571,793,61,7.7,0.95,814812|816133|816747|816787|816815|817252|817830|818213|818596|818982|819174|819619|819878|820940|821259|821536|821676|822011|822547|825890|826728|828008|828706|828760|829105|829143|829597|829847|830019|830065|830366|830503|830915|831267|831919|832053|833676|834599|834663|834952|834961|835379|835702|835872|835935|836163|836236|836337|836466|836629|837417|837886|838899|839984|840310|841072|841922|843432|844042|844268|5007942,MYB88|AT2G16365|CSI1|SVP|GRF1|SE|LUH|GRF3|ELF4|MPK6|AGL20|FLK|PRMT4B|RR1|KIN10|FYPP3|MKK5|AT3G24240|NAC3|DDB1A|SGT1B|EID1|PEP|AT4G26540|VIP3|VEL1|AGB1|SPT|RPN10|SHL1|CPK1|ATO|AIL6|CHC1|JKD|ARIA|SEF|GAS41|CUL4|AT5G48940|PRMT4A|TAP46|AT5G56040|COL5|MSI1|SIZ1|VIP4|AGL42|NF-YC4|AGL31|NF-YC9|RAV1|CSN5A|SUF4|AT1G34110|ATUBC2-1|NF-YC3|PIN3|MAF1|NUA|FHY1,-7.9
hits,GO Biological Processes,19,GO:0051239,regulation of multicellular organismal process,19_GO:0032501 multicellular organismal process,-10,2.4,7.6,18982,629,793,64,8.1,0.97,814812|816133|816747|816787|816815|817252|817830|818213|818596|818761|818982|819174|819619|819878|820408|820940|821259|821536|821676|822011|822547|825890|826728|828008|828706|828760|829105|829143|829597|829847|830000|830019|830065|830366|830503|830915|831267|831919|832053|833676|834599|834663|834952|834961|835379|835702|835872|835935|836163|836236|836337|836466|836629|837417|837886|838899|839984|840310|841072|841922|843432|844042|844268|5007942,MYB88|AT2G16365|CSI1|SVP|GRF1|SE|LUH|GRF3|ELF4|TFIIB|MPK6|AGL20|FLK|PRMT4B|RBR1|RR1|KIN10|FYPP3|MKK5|AT3G24240|NAC3|DDB1A|SGT1B|EID1|PEP|AT4G26540|VIP3|VEL1|AGB1|SPT|ROPGEF1|RPN10|SHL1|CPK1|ATO|AIL6|CHC1|JKD|ARIA|SEF|GAS41|CUL4|AT5G48940|PRMT4A|TAP46|AT5G56040|COL5|MSI1|SIZ1|VIP4|AGL42|NF-YC4|AGL31|NF-YC9|RAV1|CSN5A|SUF4|AT1G34110|ATUBC2-1|NF-YC3|PIN3|MAF1|NUA|FHY1,-7.6
