Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
822098,3.0,1,1,1
838162,3.0,1,1,1
831958,3.0,1,1,1
820364,3.0,1,1,1
828673,3.0,1,1,1
827940,3.0,1,1,1
829549,3.0,1,1,1
837821,3.0,1,1,1
838856,3.0,1,1,1
816787,3.0,1,1,1
839305,3.0,1,1,1
835598,3.0,1,1,1
821536,3.0,1,1,1
819784,3.0,1,1,1
820940,3.0,1,1,1
828491,3.0,1,1,1
842455,3.0,1,1,1
828400,3.0,1,1,1
833535,3.0,1,1,1
831809,3.0,1,1,1
841072,3.0,1,1,1
825025,3.0,1,1,1
825830,3.0,1,1,1
830294,3.0,1,1,1
821573,3.0,1,1,1
841486,3.0,1,1,1
818204,3.0,1,1,1
814812,3.0,1,1,1
820752,3.0,1,1,1
829463,3.0,1,1,1
818069,3.0,1,1,1
837797,3.0,1,1,1
841405,3.0,1,1,1
836466,3.0,1,1,1
826299,3.0,1,1,1
844288,3.0,1,1,1
837448,3.0,1,1,1
827272,3.0,1,1,1
821800,3.0,1,1,1
834778,3.0,1,1,1
825473,3.0,1,1,1
837199,3.0,1,1,1
837886,3.0,1,1,1
836699,3.0,1,1,1
835875,3.0,1,1,1
817860,3.0,1,1,1
831123,3.0,1,1,1
835689,3.0,1,1,1
841472,3.0,1,1,1
832193,3.0,1,1,1
843576,3.0,1,1,1
839481,3.0,1,1,1
840310,3.0,1,1,1
829103,3.0,1,1,1
829054,3.0,1,1,1
818409,3.0,1,1,1
841420,3.0,1,1,1
838349,3.0,1,1,1
835046,3.0,1,1,1
820814,3.0,1,1,1
825053,3.0,1,1,1
840134,3.0,1,1,1
835727,3.0,1,1,1
817292,3.0,1,1,1
841596,3.0,1,1,1
831521,3.0,1,1,1
835379,3.0,1,1,1
825335,3.0,1,1,1
830915,3.0,1,1,1
836595,3.0,1,1,1
817375,3.0,1,1,1
836451,3.0,1,1,1
828213,3.0,1,1,1
837737,3.0,1,1,1
825890,3.0,1,1,1
824589,3.0,1,1,1
834575,3.0,1,1,1
822296,3.0,1,1,1
832326,3.0,1,1,1
828587,3.0,1,1,1
819108,3.0,1,1,1
843432,3.0,1,1,1
834663,3.0,1,1,1
831935,3.0,1,1,1
830888,3.0,1,1,1
839567,3.0,1,1,1
843987,3.0,1,1,1
827086,3.0,1,1,1
826869,3.0,1,1,1
819009,3.0,1,1,1
832846,3.0,1,1,1
841301,3.0,1,1,1
844146,3.0,1,1,1
818760,3.0,1,1,1
834184,3.0,1,1,1
824017,3.0,1,1,1
835813,3.0,1,1,1
830702,3.0,1,1,1
839331,3.0,1,1,1
829387,3.0,1,1,1
844406,3.0,1,1,1
836701,3.0,1,1,1
844334,3.0,1,1,1
822326,3.0,1,1,1
828706,3.0,1,1,1
816290,3.0,1,1,1
819857,3.0,1,1,1
843934,3.0,1,1,1
835971,3.0,1,1,1
819831,3.0,1,1,1
830065,3.0,1,1,1
827714,3.0,1,1,1
815211,3.0,1,1,1
838039,3.0,1,1,1
831980,3.0,1,1,1
837417,3.0,1,1,1
833947,3.0,1,1,1
817830,3.0,1,1,1
837404,3.0,1,1,1
829740,3.0,1,1,1
836550,3.0,1,1,1
828013,3.0,1,1,1
837378,3.0,1,1,1
830366,3.0,1,1,1
824972,3.0,1,1,1
831169,3.0,1,1,1
816926,3.0,1,1,1
843160,3.0,1,1,1
832341,3.0,1,1,1
838544,3.0,1,1,1
836629,3.0,1,1,1
825835,3.0,1,1,1
830019,3.0,1,1,1
833590,3.0,1,1,1
820233,3.0,1,1,1
837299,3.0,1,1,1
828671,3.0,1,1,1
822011,3.0,1,1,1
827905,3.0,1,1,1
828241,3.0,1,1,1
837059,3.0,1,1,1
838300,3.0,1,1,1
836210,3.0,1,1,1
840630,3.0,1,1,1
819551,3.0,1,1,1
837490,3.0,1,1,1
819969,3.0,1,1,1
818371,3.0,1,1,1
822241,3.0,1,1,1
830853,3.0,1,1,1
839800,3.0,1,1,1
827612,3.0,1,1,1
825654,3.0,1,1,1
827049,3.0,1,1,1
839241,3.0,1,1,1
832206,3.0,1,1,1
829270,3.0,1,1,1
816808,3.0,1,1,1
837122,3.0,1,1,1
839984,3.0,1,1,1
829654,3.0,1,1,1
817429,3.0,1,1,1
818979,3.0,1,1,1
5007942,3.0,1,1,1
816133,3.0,1,1,1
827494,3.0,1,1,1
818982,3.0,1,1,1
838683,3.0,1,1,1
819895,3.0,1,1,1
828798,3.0,1,1,1
821708,3.0,1,1,1
821339,3.0,1,1,1
823766,3.0,1,1,1
827462,3.0,1,1,1
828020,3.0,1,1,1
819128,3.0,1,1,1
829037,3.0,1,1,1
836865,3.0,1,1,1
831126,3.0,1,1,1
821148,3.0,1,1,1
827412,3.0,1,1,1
843300,3.0,1,1,1
834730,3.0,1,1,1
838158,3.0,1,1,1
829572,3.0,1,1,1
843779,3.0,1,1,1
829034,3.0,1,1,1
831230,3.0,1,1,1
825488,3.0,1,1,1
834868,3.0,1,1,1
817987,3.0,1,1,1
829597,3.0,1,1,1
839749,3.0,1,1,1
844268,3.0,1,1,1
824451,3.0,1,1,1
836244,3.0,1,1,1
839433,3.0,1,1,1
817722,3.0,1,1,1
834952,3.0,1,1,1
819048,3.0,1,1,1
834578,3.0,1,1,1
824385,3.0,1,1,1
828534,3.0,1,1,1
2745966,3.0,1,1,1
831919,3.0,1,1,1
828760,3.0,1,1,1
832065,3.0,1,1,1
838345,3.0,1,1,1
835421,3.0,1,1,1
821676,3.0,1,1,1
843313,3.0,1,1,1
836408,3.0,1,1,1
836163,3.0,1,1,1
838899,3.0,1,1,1
830971,3.0,1,1,1
836236,3.0,1,1,1
820572,3.0,1,1,1
844042,3.0,1,1,1
824430,3.0,1,1,1
824955,3.0,1,1,1
825286,3.0,1,1,1
824268,3.0,1,1,1
844297,3.0,1,1,1
844083,3.0,1,1,1
825517,3.0,1,1,1
829609,3.0,1,1,1
834162,3.0,1,1,1
834483,3.0,1,1,1
844259,3.0,1,1,1
836242,3.0,1,1,1
817241,3.0,1,1,1
834412,3.0,1,1,1
821445,3.0,1,1,1
816747,3.0,1,1,1
816035,3.0,1,1,1
827302,3.0,1,1,1
838055,3.0,1,1,1
842377,3.0,1,1,1
844199,3.0,1,1,1
817147,3.0,1,1,1
830000,3.0,1,1,1
