Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0046907,intracellular transport,19_GO:0051179 localization,-11,1.8,7.5,18982,679,2029,132,6.5,0.55,815211|815960|816165|816289|816310|816386|816425|816623|817387|817439|817557|818086|818180|818375|818760|819108|819687|819881|819896|820088|820233|820278|820355|820841|821248|821573|821641|821868|822103|822311|822326|822329|822375|824017|824037|824071|824109|824118|824352|824405|824604|824668|824860|825071|825119|825376|825488|826193|826966|827055|827091|827302|827637|827690|827789|827864|828105|828491|828782|828812|829118|829427|829694|830005|830160|830382|830435|830452|830702|831021|831043|831565|831680|831810|832102|832171|832340|832341|832536|832786|834108|834184|834199|834483|834614|834730|835297|835429|835435|835439|836309|836318|836325|836402|836484|836603|836725|836748|837130|837378|837404|837737|837791|837958|838077|838737|839070|839210|839305|839374|839569|839629|839749|839800|840060|840134|841312|841472|842301|842497|843093|843468|843918|844334|844339|844406|844407|2745525|2745966|3768764|3770411|5008085,VPS2.1|VSR4|TOC132|VPS35A|ATSLY1|SCY1|AT2G19080|PSB29|AT2G28390|OEP16-1|AT2G30060|NPSN11|TIM44-2|AT2G37975|AT2G41620|EMB2766|AT3G05230|PDE320|ERMO2|AT3G09320|VPS60.1|AT3G11070|SYP121|AT3G15970|PEX19-1|EHD1|AT3G20920|ARFC1|AT3G25120|AT3G26935|TOM20-3|AT3G27100|GC6|AT3G48570|AT3G48760|AT3G49100|NACA2|AT3G49560|AT3G51890|SYP122|SAC3C|AT3G55020|AT3G56930|AT3G59020|AT3G59500|ROC4|RANGAP1|AT4G00840|NIG|AT4G14160|ATBET12|IMPA-2|VPS25|VPS54|GSNAP|ZAC|AT4G01810|AT4G23910|EXT-like|VPS22|AT4G29950|AT4G32910|AT4G35410|AT4G38490|RABA4B|TOC34|AT5G05520|MOS7|SYP132|AT5G11490|AT5G11710|XPO1A|AT5G02280|RABC2A|emb2734|XIK|alpha-ADR|AT5G22780|AT5G24650|AT5G27280|AT5G41060|CIP1|AT5G41940|VPS2.2|RABA1c|VAM3|GB1|AT5G53480|VPS26A|AT5G53570|AT5G61880|AT5G61970|OXA1|PEX14|AT5G63640|LIP1|AT5G65950|RMR1|AT1G06210|SYP111|VAP27-2|SEC22|KEU|GN|AT1G15130|AT1G21380|AT1G24560|AT1G26690|AT1G01910|Tic20-I|ARV1|TOM20-2|SYP61|PEX7|AT1G31730|AT1G32410|AT1G48900|HIT1|AT1G60070|AT1G62020|AT1G67680|POK|VPS35B|ATERDJ2A|AT1G79990|RAE1|SAR3|AT2G14255|ZR3|AT3G08943|SD3|AT3G54085,-7.6,hits
GO Biological Processes,19,GO:0051649,establishment of localization in cell,19_GO:0051179 localization,-11,1.8,7.3,18982,723,2029,137,6.8,0.56,815211|815960|816165|816289|816310|816386|816425|816623|817387|817439|817557|818086|818180|818375|818760|819108|819687|819881|819896|820088|820233|820278|820355|820841|821248|821573|821641|821868|822103|822311|822326|822329|822375|824017|824037|824071|824109|824118|824335|824352|824405|824604|824668|824860|825071|825119|825376|825488|826193|826966|827055|827091|827302|827512|827637|827690|827789|827864|828105|828491|828782|828812|829118|829427|829694|830005|830160|830382|830435|830452|830702|831021|831043|831565|831680|831810|832102|832171|832340|832341|832536|832786|834108|834184|834199|834483|834614|834730|835297|835429|835435|835439|836309|836318|836325|836402|836484|836603|836725|836748|837130|837378|837404|837583|837737|837791|837958|838077|838737|839062|839070|839210|839305|839374|839569|839629|839749|839800|840060|840134|841312|841472|842174|842301|842497|843093|843468|843918|844334|844339|844406|844407|2745525|2745966|3768764|3770411|5008085,VPS2.1|VSR4|TOC132|VPS35A|ATSLY1|SCY1|AT2G19080|PSB29|AT2G28390|OEP16-1|AT2G30060|NPSN11|TIM44-2|AT2G37975|AT2G41620|EMB2766|AT3G05230|PDE320|ERMO2|AT3G09320|VPS60.1|AT3G11070|SYP121|AT3G15970|PEX19-1|EHD1|AT3G20920|ARFC1|AT3G25120|AT3G26935|TOM20-3|AT3G27100|GC6|AT3G48570|AT3G48760|AT3G49100|NACA2|AT3G49560|AT3G51720|AT3G51890|SYP122|SAC3C|AT3G55020|AT3G56930|AT3G59020|AT3G59500|ROC4|RANGAP1|AT4G00840|NIG|AT4G14160|ATBET12|IMPA-2|AGD8|VPS25|VPS54|GSNAP|ZAC|AT4G01810|AT4G23910|EXT-like|VPS22|AT4G29950|AT4G32910|AT4G35410|AT4G38490|RABA4B|TOC34|AT5G05520|MOS7|SYP132|AT5G11490|AT5G11710|XPO1A|AT5G02280|RABC2A|emb2734|XIK|alpha-ADR|AT5G22780|AT5G24650|AT5G27280|AT5G41060|CIP1|AT5G41940|VPS2.2|RABA1c|VAM3|GB1|AT5G53480|VPS26A|AT5G53570|AT5G61880|AT5G61970|OXA1|PEX14|AT5G63640|LIP1|AT5G65950|RMR1|AT1G06210|SYP111|VAP27-2|PP2A-2|SEC22|KEU|GN|AT1G15130|AT1G21380|TNO1|AT1G24560|AT1G26690|AT1G01910|Tic20-I|ARV1|TOM20-2|SYP61|PEX7|AT1G31730|AT1G32410|AT1G48900|HIT1|AT1G58070|AT1G60070|AT1G62020|AT1G67680|POK|VPS35B|ATERDJ2A|AT1G79990|RAE1|SAR3|AT2G14255|ZR3|AT3G08943|SD3|AT3G54085,-7.4,hits
GO Biological Processes,19,GO:0016192,vesicle-mediated transport,19_GO:0051179 localization,-10,1.9,7.1,18982,475,2029,98,4.8,0.48,815211|815960|816289|816310|817306|817387|818086|818375|818416|818523|818567|818631|819207|819551|819896|820233|820355|820395|820572|821573|821868|822020|822375|824352|824405|824651|824777|825029|825119|825257|826890|827055|827091|827328|827512|827637|827690|828105|828587|828716|828761|828782|828812|829007|829362|829694|829740|829993|830160|830485|830702|831021|831043|831071|831112|831680|831904|832340|832341|832484|832808|833946|834200|834483|834730|835046|835297|835435|835700|835851|835956|836105|836242|836725|837035|837087|837378|837737|837791|837958|838077|839062|839070|839210|839301|839565|839749|840060|840065|840134|841472|842301|842497|843468|843918|844339|2745881|5008085,VPS2.1|VSR4|VPS35A|ATSLY1|SKD1|AT2G28390|NPSN11|AT2G37975|PRA1.B4|EXO70H2|AT2G39805|PRA1.B2|AT2G45990|AT3G03940|ERMO2|VPS60.1|SYP121|AT3G12180|AT3G13670|EHD1|ARFC1|AtSec20|GC6|AT3G51890|SYP122|ATVPS33|PRA1.B1|AT3G58600|AT3G59500|AT3G60860|AT4G12780|AT4G14160|ATBET12|SPK1|AGD8|VPS25|VPS54|AT4G01810|AT4G24840|CK1|AT4G26550|EXT-like|VPS22|ckl4|AT4G32285|AT4G35410|GB2|LAZ1|RABA4B|PRA1.A2|SYP132|AT5G11490|AT5G11710|AT5G11980|SEC10|AT5G02280|PRA1.A1|alpha-ADR|AT5G22780|AT5G24170|AT5G27490|GNL1|AT5G41950|VPS2.2|VAM3|EXO84B|GB1|VPS26A|AT5G56020|AT5G57460|EXO70B1|AT5G59840|SNAP33|AT5G65950|KMS2|AT1G05785|SYP111|SEC22|KEU|GN|AT1G15130|TNO1|AT1G24560|AT1G26690|EDA10|MPI7|SYP61|AT1G31730|AT1G31780|AT1G32410|HIT1|AT1G60070|AT1G62020|POK|VPS35B|AT1G79990|PRA1.A3|AT3G54085,-6.8,hits
GO Biological Processes,19,GO:0006886,intracellular protein transport,19_GO:0051179 localization,-10,1.9,7.1,18982,522,2029,105,5.2,0.49,815960|816165|816289|816310|816386|816425|816623|817387|817439|818086|818180|818760|819108|819687|819896|820088|820278|820355|821248|821641|821868|822103|822311|822326|822329|822375|824017|824037|824071|824109|824118|824352|824405|824604|824668|824860|825071|825376|825488|826193|827055|827302|827637|827789|827864|828105|828491|828812|829118|829427|829694|830005|830382|830435|830452|830702|831021|831043|831565|831810|832102|832340|832341|832536|832786|834108|834184|834199|834614|834730|835297|835429|835435|835439|836309|836318|836325|836402|836484|836603|836748|837130|837378|837791|838077|838737|839210|839305|839374|839629|839749|839800|840060|841312|842301|842497|843093|843918|844334|844339|844407|2745525|2745966|3768764|3770411,VSR4|TOC132|VPS35A|ATSLY1|SCY1|AT2G19080|PSB29|AT2G28390|OEP16-1|NPSN11|TIM44-2|AT2G41620|EMB2766|AT3G05230|ERMO2|AT3G09320|AT3G11070|SYP121|PEX19-1|AT3G20920|ARFC1|AT3G25120|AT3G26935|TOM20-3|AT3G27100|GC6|AT3G48570|AT3G48760|AT3G49100|NACA2|AT3G49560|AT3G51890|SYP122|SAC3C|AT3G55020|AT3G56930|AT3G59020|ROC4|RANGAP1|AT4G00840|AT4G14160|IMPA-2|VPS25|GSNAP|ZAC|AT4G01810|AT4G23910|VPS22|AT4G29950|AT4G32910|AT4G35410|AT4G38490|TOC34|AT5G05520|MOS7|SYP132|AT5G11490|AT5G11710|XPO1A|RABC2A|emb2734|alpha-ADR|AT5G22780|AT5G24650|AT5G27280|AT5G41060|CIP1|AT5G41940|RABA1c|VAM3|GB1|AT5G53480|VPS26A|AT5G53570|AT5G61880|AT5G61970|OXA1|PEX14|AT5G63640|LIP1|RMR1|AT1G06210|SYP111|KEU|AT1G15130|AT1G21380|AT1G26690|AT1G01910|Tic20-I|TOM20-2|SYP61|PEX7|AT1G31730|AT1G48900|AT1G60070|AT1G62020|AT1G67680|VPS35B|ATERDJ2A|AT1G79990|SAR3|AT2G14255|ZR3|AT3G08943|SD3,-6.8,hits
GO Biological Processes,19,GO:0015031,protein transport,19_GO:0051179 localization,-9.6,1.8,6.8,18982,579,2029,112,5.5,0.51,815211|815960|816165|816289|816310|816386|816425|816623|817387|817439|818086|818180|818760|819108|819687|819896|820088|820278|820355|821248|821641|821868|822103|822311|822326|822329|822375|824017|824037|824071|824109|824118|824352|824405|824604|824668|824860|825071|825257|825376|825488|826193|827055|827302|827637|827789|827864|828105|828491|828812|829118|829427|829694|830005|830382|830435|830452|830702|830707|831021|831043|831565|831810|832102|832340|832341|832536|832786|834108|834184|834199|834483|834614|834730|835297|835429|835435|835439|836105|836309|836318|836325|836402|836484|836603|836748|837130|837378|837791|838077|838737|839128|839210|839305|839374|839629|839749|839800|840060|840321|841312|842301|842497|843093|843918|844334|844339|844407|2745525|2745966|3768764|3770411,VPS2.1|VSR4|TOC132|VPS35A|ATSLY1|SCY1|AT2G19080|PSB29|AT2G28390|OEP16-1|NPSN11|TIM44-2|AT2G41620|EMB2766|AT3G05230|ERMO2|AT3G09320|AT3G11070|SYP121|PEX19-1|AT3G20920|ARFC1|AT3G25120|AT3G26935|TOM20-3|AT3G27100|GC6|AT3G48570|AT3G48760|AT3G49100|NACA2|AT3G49560|AT3G51890|SYP122|SAC3C|AT3G55020|AT3G56930|AT3G59020|AT3G60860|ROC4|RANGAP1|AT4G00840|AT4G14160|IMPA-2|VPS25|GSNAP|ZAC|AT4G01810|AT4G23910|VPS22|AT4G29950|AT4G32910|AT4G35410|AT4G38490|TOC34|AT5G05520|MOS7|SYP132|MPB2C|AT5G11490|AT5G11710|XPO1A|RABC2A|emb2734|alpha-ADR|AT5G22780|AT5G24650|AT5G27280|AT5G41060|CIP1|AT5G41940|VPS2.2|RABA1c|VAM3|GB1|AT5G53480|VPS26A|AT5G53570|AT5G59840|AT5G61880|AT5G61970|OXA1|PEX14|AT5G63640|LIP1|RMR1|AT1G06210|SYP111|KEU|AT1G15130|AT1G21380|AT1G25420|AT1G26690|AT1G01910|Tic20-I|TOM20-2|SYP61|PEX7|AT1G31730|AT1G34220|AT1G48900|AT1G60070|AT1G62020|AT1G67680|VPS35B|ATERDJ2A|AT1G79990|SAR3|AT2G14255|ZR3|AT3G08943|SD3,-6.5,hits
GO Biological Processes,19,GO:0045184,establishment of protein localization,19_GO:0051179 localization,-9,1.8,6.6,18982,591,2029,112,5.5,0.51,815211|815960|816165|816289|816310|816386|816425|816623|817387|817439|818086|818180|818760|819108|819687|819896|820088|820278|820355|821248|821641|821868|822103|822311|822326|822329|822375|824017|824037|824071|824109|824118|824352|824405|824604|824668|824860|825071|825257|825376|825488|826193|827055|827302|827637|827789|827864|828105|828491|828812|829118|829427|829694|830005|830382|830435|830452|830702|830707|831021|831043|831565|831810|832102|832340|832341|832536|832786|834108|834184|834199|834483|834614|834730|835297|835429|835435|835439|836105|836309|836318|836325|836402|836484|836603|836748|837130|837378|837791|838077|838737|839128|839210|839305|839374|839629|839749|839800|840060|840321|841312|842301|842497|843093|843918|844334|844339|844407|2745525|2745966|3768764|3770411,VPS2.1|VSR4|TOC132|VPS35A|ATSLY1|SCY1|AT2G19080|PSB29|AT2G28390|OEP16-1|NPSN11|TIM44-2|AT2G41620|EMB2766|AT3G05230|ERMO2|AT3G09320|AT3G11070|SYP121|PEX19-1|AT3G20920|ARFC1|AT3G25120|AT3G26935|TOM20-3|AT3G27100|GC6|AT3G48570|AT3G48760|AT3G49100|NACA2|AT3G49560|AT3G51890|SYP122|SAC3C|AT3G55020|AT3G56930|AT3G59020|AT3G60860|ROC4|RANGAP1|AT4G00840|AT4G14160|IMPA-2|VPS25|GSNAP|ZAC|AT4G01810|AT4G23910|VPS22|AT4G29950|AT4G32910|AT4G35410|AT4G38490|TOC34|AT5G05520|MOS7|SYP132|MPB2C|AT5G11490|AT5G11710|XPO1A|RABC2A|emb2734|alpha-ADR|AT5G22780|AT5G24650|AT5G27280|AT5G41060|CIP1|AT5G41940|VPS2.2|RABA1c|VAM3|GB1|AT5G53480|VPS26A|AT5G53570|AT5G59840|AT5G61880|AT5G61970|OXA1|PEX14|AT5G63640|LIP1|RMR1|AT1G06210|SYP111|KEU|AT1G15130|AT1G21380|AT1G25420|AT1G26690|AT1G01910|Tic20-I|TOM20-2|SYP61|PEX7|AT1G31730|AT1G34220|AT1G48900|AT1G60070|AT1G62020|AT1G67680|VPS35B|ATERDJ2A|AT1G79990|SAR3|AT2G14255|ZR3|AT3G08943|SD3,-6,hits
GO Biological Processes,19,GO:0008652,cellular amino acid biosynthetic process,19_GO:0008152 metabolic process,-8.5,2.3,6.7,18982,208,2029,52,2.6,0.35,815134|816232|816271|816513|816758|818566|818721|819138|819152|819608|819654|819954|820660|821812|822186|822573|824484|824825|824923|825159|825259|825376|828213|828226|829387|829510|830897|830959|831169|831255|831490|831522|832800|833841|834407|834660|835466|836210|836509|836707|836744|838352|838431|839103|840006|841308|841405|841665|842038|842175|844395|844399,AT2G05830|HSK|ATSERAT3;1|AT2G19940|AAT|P5CS1|GLU2|AT2G45300|DHDPS2|THA2|CYSD1|ADT2|AT3G14390|IGPD|HMT-1|CM1|NodGS|AT3G56580|NAGK|AT3G59890|DHDPS1|ROC4|GLB1|AT4G02610|SHM3|AGD2|HPA1|AT5G10920|AK-LYS1|CARAB-AK-LYS|VAT1|MYB43|AT5G27410|TSBtype2|ARD4|DELTA-OAT|AT5G53850|MYB34|HDH|ATBCAT-5|AT5G66120|PGDH|MAML-4|ASB1|IMD3|AT1G48860|MTK|ABA2|AT1G55880|ATP-PRT1|IMD2|WIN1,-5.5,hits
GO Biological Processes,19,GO:0070727,cellular macromolecule localization,19_GO:0051179 localization,-8.4,1.7,6.3,18982,691,2029,124,6.1,0.53,815960|816165|816289|816310|816386|816425|816623|817387|817439|818086|818180|818760|819108|819687|819896|819903|820088|820278|820355|820414|821248|821641|821868|822103|822311|822326|822329|822375|824017|824037|824071|824109|824118|824352|824405|824589|824604|824668|824860|825071|825257|825376|825452|825488|826193|826539|827055|827302|827637|827789|827864|828105|828491|828587|828812|829118|829427|829694|830005|830382|830435|830452|830702|831021|831035|831043|831565|831809|831810|831919|832102|832340|832341|832536|832786|833470|833705|834108|834184|834199|834430|834614|834730|835297|835429|835435|835439|836309|836318|836325|836402|836484|836603|836748|837130|837378|837583|837791|838077|838737|839210|839305|839323|839374|839521|839629|839749|839800|840060|840134|840336|841312|842301|842497|843093|843909|843918|844334|844339|844407|2745525|2745966|3768764|3770411,VSR4|TOC132|VPS35A|ATSLY1|SCY1|AT2G19080|PSB29|AT2G28390|OEP16-1|NPSN11|TIM44-2|AT2G41620|EMB2766|AT3G05230|ERMO2|GSL10|AT3G09320|AT3G11070|SYP121|ITN1|PEX19-1|AT3G20920|ARFC1|AT3G25120|AT3G26935|TOM20-3|AT3G27100|GC6|AT3G48570|AT3G48760|AT3G49100|NACA2|AT3G49560|AT3G51890|SYP122|SCR|SAC3C|AT3G55020|AT3G56930|AT3G59020|AT3G60860|ROC4|AtATG18a|RANGAP1|AT4G00840|GIP1|AT4G14160|IMPA-2|VPS25|GSNAP|ZAC|AT4G01810|AT4G23910|AT4G24840|VPS22|AT4G29950|AT4G32910|AT4G35410|AT4G38490|TOC34|AT5G05520|MOS7|SYP132|AT5G11490|NOXY2|AT5G11710|XPO1A|EXO70A1|RABC2A|JKD|emb2734|alpha-ADR|AT5G22780|AT5G24650|AT5G27280|AT5G35160|AT5G37310|AT5G41060|CIP1|AT5G41940|CAD1|RABA1c|VAM3|GB1|AT5G53480|VPS26A|AT5G53570|AT5G61880|AT5G61970|OXA1|PEX14|AT5G63640|LIP1|RMR1|AT1G06210|SYP111|PP2A-2|KEU|AT1G15130|AT1G21380|AT1G26690|AT1G01910|SPI|Tic20-I|RRP4|TOM20-2|SYP61|PEX7|AT1G31730|AT1G32410|AT1G34350|AT1G48900|AT1G60070|AT1G62020|AT1G67680|AT1G75760|VPS35B|ATERDJ2A|AT1G79990|SAR3|AT2G14255|ZR3|AT3G08943|SD3,-5.5,hits
GO Biological Processes,19,GO:0008104,protein localization,19_GO:0051179 localization,-8.2,1.6,6.2,18982,739,2029,130,6.4,0.54,815211|815960|816165|816289|816310|816386|816425|816623|817387|817439|818086|818180|818760|819108|819687|819896|820088|820278|820355|820414|821248|821641|821868|822103|822311|822326|822329|822375|822736|824017|824037|824071|824109|824118|824330|824352|824405|824589|824604|824668|824860|825071|825257|825376|825452|825488|826193|826497|826539|827055|827302|827637|827789|827864|828105|828491|828587|828812|829118|829427|829694|830005|830382|830435|830452|830702|830707|831021|831043|831565|831809|831810|831919|832102|832340|832341|832523|832536|832786|833470|833705|834108|834184|834199|834483|834614|834730|835046|835297|835429|835435|835439|836105|836309|836318|836325|836402|836484|836603|836748|837130|837378|837583|837791|838077|838737|839128|839210|839305|839374|839629|839749|839800|839949|840060|840134|840321|841312|842301|842497|843093|843909|843918|844334|844339|844407|2745525|2745966|3768764|3770411,VPS2.1|VSR4|TOC132|VPS35A|ATSLY1|SCY1|AT2G19080|PSB29|AT2G28390|OEP16-1|NPSN11|TIM44-2|AT2G41620|EMB2766|AT3G05230|ERMO2|AT3G09320|AT3G11070|SYP121|ITN1|PEX19-1|AT3G20920|ARFC1|AT3G25120|AT3G26935|TOM20-3|AT3G27100|GC6|RGF4|AT3G48570|AT3G48760|AT3G49100|NACA2|AT3G49560|AT3G51670|AT3G51890|SYP122|SCR|SAC3C|AT3G55020|AT3G56930|AT3G59020|AT3G60860|ROC4|AtATG18a|RANGAP1|AT4G00840|AT4G09160|GIP1|AT4G14160|IMPA-2|VPS25|GSNAP|ZAC|AT4G01810|AT4G23910|AT4G24840|VPS22|AT4G29950|AT4G32910|AT4G35410|AT4G38490|TOC34|AT5G05520|MOS7|SYP132|MPB2C|AT5G11490|AT5G11710|XPO1A|EXO70A1|RABC2A|JKD|emb2734|alpha-ADR|AT5G22780|TTG1|AT5G24650|AT5G27280|AT5G35160|AT5G37310|AT5G41060|CIP1|AT5G41940|VPS2.2|RABA1c|VAM3|EXO84B|GB1|AT5G53480|VPS26A|AT5G53570|AT5G59840|AT5G61880|AT5G61970|OXA1|PEX14|AT5G63640|LIP1|RMR1|AT1G06210|SYP111|PP2A-2|KEU|AT1G15130|AT1G21380|AT1G25420|AT1G26690|AT1G01910|Tic20-I|TOM20-2|SYP61|PEX7|AT1G30690|AT1G31730|AT1G32410|AT1G34220|AT1G48900|AT1G60070|AT1G62020|AT1G67680|AT1G75760|VPS35B|ATERDJ2A|AT1G79990|SAR3|AT2G14255|ZR3|AT3G08943|SD3,-5.4,hits
GO Biological Processes,19,GO:0034613,cellular protein localization,19_GO:0051179 localization,-8.1,1.7,6.2,18982,655,2029,118,5.8,0.52,815960|816165|816289|816310|816386|816425|816623|817387|817439|818086|818180|818760|819108|819687|819896|820088|820278|820355|820414|821248|821641|821868|822103|822311|822326|822329|822375|824017|824037|824071|824109|824118|824352|824405|824589|824604|824668|824860|825071|825257|825376|825452|825488|826193|826539|827055|827302|827637|827789|827864|828105|828491|828587|828812|829118|829427|829694|830005|830382|830435|830452|830702|831021|831043|831565|831809|831810|831919|832102|832340|832341|832536|832786|833470|833705|834108|834184|834199|834614|834730|835297|835429|835435|835439|836309|836318|836325|836402|836484|836603|836748|837130|837378|837583|837791|838077|838737|839210|839305|839374|839629|839749|839800|840060|840134|841312|842301|842497|843093|843909|843918|844334|844339|844407|2745525|2745966|3768764|3770411,VSR4|TOC132|VPS35A|ATSLY1|SCY1|AT2G19080|PSB29|AT2G28390|OEP16-1|NPSN11|TIM44-2|AT2G41620|EMB2766|AT3G05230|ERMO2|AT3G09320|AT3G11070|SYP121|ITN1|PEX19-1|AT3G20920|ARFC1|AT3G25120|AT3G26935|TOM20-3|AT3G27100|GC6|AT3G48570|AT3G48760|AT3G49100|NACA2|AT3G49560|AT3G51890|SYP122|SCR|SAC3C|AT3G55020|AT3G56930|AT3G59020|AT3G60860|ROC4|AtATG18a|RANGAP1|AT4G00840|GIP1|AT4G14160|IMPA-2|VPS25|GSNAP|ZAC|AT4G01810|AT4G23910|AT4G24840|VPS22|AT4G29950|AT4G32910|AT4G35410|AT4G38490|TOC34|AT5G05520|MOS7|SYP132|AT5G11490|AT5G11710|XPO1A|EXO70A1|RABC2A|JKD|emb2734|alpha-ADR|AT5G22780|AT5G24650|AT5G27280|AT5G35160|AT5G37310|AT5G41060|CIP1|AT5G41940|RABA1c|VAM3|GB1|AT5G53480|VPS26A|AT5G53570|AT5G61880|AT5G61970|OXA1|PEX14|AT5G63640|LIP1|RMR1|AT1G06210|SYP111|PP2A-2|KEU|AT1G15130|AT1G21380|AT1G26690|AT1G01910|Tic20-I|TOM20-2|SYP61|PEX7|AT1G31730|AT1G32410|AT1G48900|AT1G60070|AT1G62020|AT1G67680|AT1G75760|VPS35B|ATERDJ2A|AT1G79990|SAR3|AT2G14255|ZR3|AT3G08943|SD3,-5.3,hits
