_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2,GO:0043085,positive regulation of catalytic activity,M1,1,0
1,-2.1,GO:0009826,unidimensional cell growth,M1,1,0
1,-2.9,GO:0090407,organophosphate biosynthetic process,M1,1,0
1,-2.5,GO:0036293,response to decreased oxygen levels,M1,1,0
1,-2.3,GO:0015718,monocarboxylic acid transport,M1,1,0
1,-3.7,GO:0010054,trichoblast differentiation,M1,1,0
1,-2.1,GO:0016050,vesicle organization,M1,1,0
1,-2.2,GO:0071453,cellular response to oxygen levels,M1,1,0
1,-2.3,GO:0006626,protein targeting to mitochondrion,M1,1,0
1,-2.2,GO:0032101,regulation of response to external stimulus,M1,1,0
1,-2.9,GO:0018231,peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine,M1,1,0
1,-7.2,GO:0072657,protein localization to membrane,M1,1,0
1,-2.5,GO:0090698,post-embryonic plant morphogenesis,M1,1,0
1,-2.1,GO:0060918,auxin transport,M1,1,0
1,-2.3,GO:0070647,protein modification by small protein conjugation or removal,M1,1,0
1,-2.7,GO:0009926,auxin polar transport,M1,1,0
1,-2.1,GO:0006526,arginine biosynthetic process,M1,1,0
1,-3.3,GO:0048469,cell maturation,M1,1,0
1,-3.1,GO:0000338,protein deneddylation,M1,1,0
1,-5.6,GO:0006605,protein targeting,M1,1,0
1,-2.9,GO:0044282,small molecule catabolic process,M1,1,0
1,-3.2,GO:0019439,aromatic compound catabolic process,M1,1,0
1,-2.4,GO:0006997,nucleus organization,M1,1,0
1,-7.2,ko04144,Endocytosis,M1,1,0
1,-2.3,GO:0032511,late endosome to vacuole transport via multivesicular body sorting pathway,M1,1,0
1,-2.8,GO:0007033,vacuole organization,M1,1,0
1,-2.5,GO:0009799,specification of symmetry,M1,1,0
1,-2.4,GO:0006839,mitochondrial transport,M1,1,0
1,-3.1,GO:0009085,lysine biosynthetic process,M1,1,0
1,-2.1,GO:0016108,tetraterpenoid metabolic process,M1,1,0
1,-2.2,GO:0042814,monopolar cell growth,M1,1,0
1,-2.2,ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",M1,1,0
1,-2.6,GO:0008219,cell death,M1,1,0
1,-2.2,GO:0009142,nucleoside triphosphate biosynthetic process,M1,1,0
1,-2.1,GO:0009909,regulation of flower development,M1,1,0
1,-3,GO:0040007,growth,M1,1,0
1,-2,GO:0016054,organic acid catabolic process,M1,1,0
1,-3,GO:0043648,dicarboxylic acid metabolic process,M1,1,0
1,-2.7,GO:0048573,"photoperiodism, flowering",M1,1,0
1,-2.6,GO:0009626,plant-type hypersensitive response,M1,1,0
1,-2.3,GO:0042450,arginine biosynthetic process via ornithine,M1,1,0
1,-2.6,GO:0045047,protein targeting to ER,M1,1,0
1,-2.2,GO:0016572,histone phosphorylation,M1,1,0
1,-7.8,GO:0006520,cellular amino acid metabolic process,M1,1,0
1,-3,GO:1901361,organic cyclic compound catabolic process,M1,1,0
1,-2.2,GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",M1,1,0
1,-6.9,GO:1901605,alpha-amino acid metabolic process,M1,1,0
1,-2.6,GO:0006497,protein lipidation,M1,1,0
1,-8.1,GO:0090150,establishment of protein localization to membrane,M1,1,0
1,-2.5,GO:0010102,lateral root morphogenesis,M1,1,0
1,-3.3,M00527,"Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine",M1,1,0
1,-2.9,GO:0006338,chromatin remodeling,M1,1,0
1,-2.2,ath00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",M1,1,0
1,-2.1,GO:0016116,carotenoid metabolic process,M1,1,0
1,-2.9,GO:0009894,regulation of catabolic process,M1,1,0
1,-2.1,GO:0006897,endocytosis,M1,1,0
1,-2.6,GO:0018193,peptidyl-amino acid modification,M1,1,0
1,-3.4,GO:0006553,lysine metabolic process,M1,1,0
1,-3.1,GO:0009066,aspartate family amino acid metabolic process,M1,1,0
1,-3.1,ath00300,Lysine biosynthesis,M1,1,0
1,-8,GO:0042886,amide transport,M1,1,0
1,-2.3,GO:0015786,UDP-glucose transmembrane transport,M1,1,0
1,-2.2,GO:0032012,regulation of ARF protein signal transduction,M1,1,0
1,-2.5,GO:0015849,organic acid transport,M1,1,0
1,-3.3,GO:0009089,lysine biosynthetic process via diaminopimelate,M1,1,0
1,-3.1,ko00300,Lysine biosynthesis,M1,1,0
1,-2.4,GO:0032870,cellular response to hormone stimulus,M1,1,0
1,-3.3,GO:0048765,root hair cell differentiation,M1,1,0
1,-3.8,GO:0044283,small molecule biosynthetic process,M1,1,0
1,-5,ath01230,Biosynthesis of amino acids,M1,1,0
1,-2.4,GO:0009639,response to red or far red light,M1,1,0
1,-3.3,GO:0046394,carboxylic acid biosynthetic process,M1,1,0
1,-8,GO:1901607,alpha-amino acid biosynthetic process,M1,1,0
1,-3.6,GO:0090696,post-embryonic plant organ development,M1,1,0
1,-3.3,GO:0010228,vegetative to reproductive phase transition of meristem,M1,1,0
1,-3,GO:0031348,negative regulation of defense response,M1,1,0
1,-8.1,GO:0015833,peptide transport,M1,1,0
1,-2.1,GO:0048581,negative regulation of post-embryonic development,M1,1,0
1,-2.5,GO:0071108,protein K48-linked deubiquitination,M1,1,0
1,-3,GO:0048571,long-day photoperiodism,M1,1,0
1,-2.3,GO:0061640,cytoskeleton-dependent cytokinesis,M1,1,0
1,-4.1,GO:0009064,glutamine family amino acid metabolic process,M1,1,0
1,-3.5,GO:0015931,nucleobase-containing compound transport,M1,1,0
