Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,GO Biological Processes,19,GO:0009755,hormone-mediated signaling pathway,19_GO:0023052 signaling,-14,3.1,9.4,18982,640,566,59,10,1.3,814670|814686|816775|817247|818540|819108|819674|820281|820327|820355|821055|821259|821463|821575|821705|823426|824268|824405|824570|825476|827272|827328|828522|829480|829654|829676|829880|829935|830548|830556|832659|834127|834545|834747|834784|835062|835956|836163|836408|836451|837417|837583|837587|837838|838452|838470|838916|839277|839621|840105|840310|840471|841395|841922|843432|843693|843845|843987|844146,PIN4|RGA1|HB6|EIL1|PGGT-I|EMB2766|GID1A|AT3G11100|SPY|SYP121|JAZ3|KIN10|ABF4|ERF7|AHP1|JAZ11|RTH|SYP122|BSK6|GID1B|PRL1|SPK1|SLY1|BAK1|RAC3|BSK1|MYB73|HAT22|UBP12|CIPK15|GA3|BSK8|NPR3|LBA1|HAT2|AFB5|EXO70B1|SIZ1|RAC10|NDPK2|NF-YC9|PP2A-2|ARR4|AFB3|RCAR1|CDPK1|PIN7|ABCC5|HK3|IWS1|AT1G34110|CDPK2|ABF1|NF-YC3|PIN3|PIN1|BZR1|CDKB2;1|AUF1,-10
hits,GO Biological Processes,19,GO:0048583,regulation of response to stimulus,19_GO:0050789 regulation of biological process,-14,2.9,9.2,18982,762,566,65,11,1.3,814670|814686|816623|816775|816794|818540|819108|819242|819674|819814|820327|820355|820442|820557|821055|821259|821343|821705|822098|823426|823804|823916|824268|824405|824603|824955|825476|825890|827093|827272|827328|827493|828522|828706|828782|829143|829240|829654|829710|829880|829901|830060|830556|831147|831980|832293|834545|834599|834892|835379|835956|836163|836408|836582|837417|837583|838899|838916|839529|840471|841922|843432|843693|844066|844083,PIN4|RGA1|PSB29|HB6|AGL17|PGGT-I|EMB2766|SPA1|GID1A|CHR11|SPY|SYP121|AT3G12620|FUS9|JAZ3|KIN10|MOS4|AHP1|RIN4|JAZ11|PUB13|TCP14|RTH|SYP122|AT3G54360|UVI4-LIKE|GID1B|DDB1A|AHL20|PRL1|SPK1|AT4G17720|SLY1|PEP|EXT-like|VEL1|SKB1|RAC3|NTL9|MYB73|SRFR1|AT4G39050|CIPK15|WRKY75|CHR17|RIN1|NPR3|GAS41|BIR1|TAP46|EXO70B1|SIZ1|RAC10|HAM1|NF-YC9|PP2A-2|CSN5A|PIN7|CRY2|CDPK2|NF-YC3|PIN3|PIN1|EFS|RFC3,-10
hits,GO Biological Processes,19,GO:0016192,vesicle-mediated transport,19_GO:0051179 localization,-13,3.4,9.2,18982,475,566,48,8.5,1.2,815211|817306|818086|818416|818631|820233|820355|820395|820572|824405|824777|825119|826890|827055|827091|827328|827637|827690|828587|828716|828782|828812|829007|830160|830702|831043|831071|831112|831904|832808|834483|834730|835046|835297|835435|835700|835956|836242|837378|837737|837791|838077|839749|840065|840134|841472|843468|843918,VPS2.1|SKD1|NPSN11|PRA1.B4|PRA1.B2|VPS60.1|SYP121|AT3G12180|AT3G13670|SYP122|PRA1.B1|AT3G59500|AT4G12780|AT4G14160|ATBET12|SPK1|VPS25|VPS54|AT4G24840|CK1|EXT-like|VPS22|ckl4|RABA4B|SYP132|AT5G11710|AT5G11980|SEC10|PRA1.A1|AT5G27490|VPS2.2|VAM3|EXO84B|GB1|VPS26A|AT5G56020|EXO70B1|SNAP33|SYP111|SEC22|KEU|AT1G15130|SYP61|AT1G31780|AT1G32410|HIT1|POK|VPS35B,-9.5
hits,GO Biological Processes,19,GO:0032870,cellular response to hormone stimulus,19_GO:0050896 response to stimulus,-12,2.7,8.5,18982,749,566,61,11,1.3,814670|814686|816775|817247|818540|819108|819674|820281|820327|820355|821055|821259|821463|821575|821705|823426|824268|824405|824570|825476|827272|827328|828522|829480|829654|829676|829880|829935|830548|830556|830917|832659|834127|834545|834747|834784|835062|835956|836163|836408|836451|837417|837583|837587|837838|838452|838470|838812|838916|839277|839621|840105|840310|840471|841395|841922|843432|843693|843845|843987|844146,PIN4|RGA1|HB6|EIL1|PGGT-I|EMB2766|GID1A|AT3G11100|SPY|SYP121|JAZ3|KIN10|ABF4|ERF7|AHP1|JAZ11|RTH|SYP122|BSK6|GID1B|PRL1|SPK1|SLY1|BAK1|RAC3|BSK1|MYB73|HAT22|UBP12|CIPK15|RBK1|GA3|BSK8|NPR3|LBA1|HAT2|AFB5|EXO70B1|SIZ1|RAC10|NDPK2|NF-YC9|PP2A-2|ARR4|AFB3|RCAR1|CDPK1|TGA3|PIN7|ABCC5|HK3|IWS1|AT1G34110|CDPK2|ABF1|NF-YC3|PIN3|PIN1|BZR1|CDKB2;1|AUF1,-8.8
hits,GO Biological Processes,19,GO:0071495,cellular response to endogenous stimulus,19_GO:0050896 response to stimulus,-11,2.6,8.1,18982,785,566,61,11,1.3,814670|814686|816775|817247|818540|819108|819674|820281|820327|820355|821055|821259|821463|821575|821705|823426|824268|824405|824570|825476|827272|827328|828522|829480|829654|829676|829880|829935|830548|830556|830917|832659|834127|834545|834747|834784|835062|835956|836163|836408|836451|837417|837583|837587|837838|838452|838470|838812|838916|839277|839621|840105|840310|840471|841395|841922|843432|843693|843845|843987|844146,PIN4|RGA1|HB6|EIL1|PGGT-I|EMB2766|GID1A|AT3G11100|SPY|SYP121|JAZ3|KIN10|ABF4|ERF7|AHP1|JAZ11|RTH|SYP122|BSK6|GID1B|PRL1|SPK1|SLY1|BAK1|RAC3|BSK1|MYB73|HAT22|UBP12|CIPK15|RBK1|GA3|BSK8|NPR3|LBA1|HAT2|AFB5|EXO70B1|SIZ1|RAC10|NDPK2|NF-YC9|PP2A-2|ARR4|AFB3|RCAR1|CDPK1|TGA3|PIN7|ABCC5|HK3|IWS1|AT1G34110|CDPK2|ABF1|NF-YC3|PIN3|PIN1|BZR1|CDKB2;1|AUF1,-8
hits,GO Biological Processes,19,GO:0046907,intracellular transport,19_GO:0051179 localization,-11,2.7,8,18982,679,566,55,9.7,1.2,815211|816165|816623|818086|818760|819108|820088|820233|820355|822326|822329|824071|824405|825119|825376|825488|827055|827091|827302|827637|827690|827864|828491|828782|828812|829427|830160|830382|830452|830702|831043|831810|834483|834730|835297|835429|835435|836318|836603|836748|837378|837404|837737|837791|838077|839305|839749|839800|840134|841472|843468|843918|844334|844406|2745966,VPS2.1|TOC132|PSB29|NPSN11|AT2G41620|EMB2766|AT3G09320|VPS60.1|SYP121|TOM20-3|AT3G27100|AT3G49100|SYP122|AT3G59500|ROC4|RANGAP1|AT4G14160|ATBET12|IMPA-2|VPS25|VPS54|ZAC|AT4G23910|EXT-like|VPS22|AT4G32910|RABA4B|TOC34|MOS7|SYP132|AT5G11710|RABC2A|VPS2.2|VAM3|GB1|AT5G53480|VPS26A|AT5G61970|LIP1|RMR1|SYP111|VAP27-2|SEC22|KEU|AT1G15130|AT1G01910|SYP61|PEX7|AT1G32410|HIT1|POK|VPS35B|ATERDJ2A|RAE1|ZR3,-7.8
hits,GO Biological Processes,19,GO:0051649,establishment of localization in cell,19_GO:0051179 localization,-11,2.6,7.9,18982,723,566,57,10,1.3,815211|816165|816623|818086|818760|819108|820088|820233|820355|822326|822329|824071|824405|825119|825376|825488|827055|827091|827302|827637|827690|827864|828491|828782|828812|829427|830160|830382|830452|830702|831043|831810|834483|834730|835297|835429|835435|836318|836603|836748|837378|837404|837583|837737|837791|838077|839305|839749|839800|840134|841472|842174|843468|843918|844334|844406|2745966,VPS2.1|TOC132|PSB29|NPSN11|AT2G41620|EMB2766|AT3G09320|VPS60.1|SYP121|TOM20-3|AT3G27100|AT3G49100|SYP122|AT3G59500|ROC4|RANGAP1|AT4G14160|ATBET12|IMPA-2|VPS25|VPS54|ZAC|AT4G23910|EXT-like|VPS22|AT4G32910|RABA4B|TOC34|MOS7|SYP132|AT5G11710|RABC2A|VPS2.2|VAM3|GB1|AT5G53480|VPS26A|AT5G61970|LIP1|RMR1|SYP111|VAP27-2|PP2A-2|SEC22|KEU|AT1G15130|AT1G01910|SYP61|PEX7|AT1G32410|HIT1|AT1G58070|POK|VPS35B|ATERDJ2A|RAE1|ZR3,-7.8
hits,GO Biological Processes,19,GO:0016197,endosomal transport,19_GO:0051179 localization,-8.9,7.4,9.3,18982,68,566,15,2.7,0.68,815211|818086|820233|827637|827690|828782|828812|830160|834483|835435|838077|840134|841472|843468|843918,VPS2.1|NPSN11|VPS60.1|VPS25|VPS54|EXT-like|VPS22|RABA4B|VPS2.2|VPS26A|AT1G15130|AT1G32410|HIT1|POK|VPS35B,-6.5
hits,GO Biological Processes,19,GO:0050793,regulation of developmental process,19_GO:0032502 developmental process,-8.7,2.4,6.9,18982,794,566,56,9.9,1.3,814686|816787|816794|817157|817252|818055|818213|818596|818761|819242|819579|819619|819814|819903|820557|821259|821463|821536|822011|823804|823916|825890|827328|828219|828706|829105|829143|829240|829654|830366|831267|831919|833676|834599|834952|835379|835421|835935|836163|836236|836337|836408|836582|837417|838899|839529|839621|839740|840310|840471|841844|841922|843432|843987|844042|844066,RGA1|SVP|AGL17|CYP711A1|SE|IMB1|GRF3|ELF4|TFIIB|SPA1|SEC|FLK|CHR11|GSL10|FUS9|KIN10|ABF4|FYPP3|AT3G24240|PUB13|TCP14|DDB1A|SPK1|BZO2H1|PEP|VIP3|VEL1|SKB1|RAC3|CPK1|CHC1|JKD|SEF|GAS41|AT5G48940|TAP46|BOB1|MSI1|SIZ1|VIP4|AGL42|RAC10|HAM1|NF-YC9|CSN5A|CRY2|HK3|HB-1|AT1G34110|CDPK2|ASIL1|NF-YC3|PIN3|CDKB2;1|MAF1|EFS,-6.2
hits,GO Biological Processes,19,GO:0033993,response to lipid,19_GO:0050896 response to stimulus,-8.6,2.4,6.9,18982,776,566,55,9.7,1.2,814686|816775|818167|818213|818540|819674|820327|820355|821198|821259|821463|821575|823916|824484|824570|824852|825376|825476|826983|827714|827893|828522|829427|829480|829676|829935|830556|830702|830756|831765|832659|834127|835360|835379|835956|836163|836242|836408|837417|837583|837637|838452|838470|839032|839277|839323|839529|839621|840105|840471|841395|841464|841922|843197|843845,RGA1|HB6|BLH1|GRF3|PGGT-I|GID1A|SPY|SYP121|AT3G02880|KIN10|ABF4|ERF7|TCP14|NodGS|BSK6|AREB3|ROC4|GID1B|AMT1;1|RING|CRK29|SLY1|AT4G32910|BAK1|BSK1|HAT22|CIPK15|SYP132|AT5G08560|SR1|GA3|BSK8|WRKY27|TAP46|EXO70B1|SIZ1|SNAP33|RAC10|NF-YC9|PP2A-2|SNRK2.4|RCAR1|CDPK1|SNL3|ABCC5|SPI|CRY2|HK3|IWS1|CDPK2|ABF1|SCL3|NF-YC3|AT1G68670|BZR1,-6.2
