Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
832293,3.0,1,1,1
844066,3.0,1,1,1
837344,3.0,1,1,1
822329,3.0,1,1,1
820557,3.0,1,1,1
817987,3.0,1,1,1
844042,3.0,1,1,1
844083,3.0,1,1,1
831126,3.0,1,1,1
819814,3.0,1,1,1
843028,3.0,1,1,1
839749,3.0,1,1,1
820355,3.0,1,1,1
827055,3.0,1,1,1
838651,3.0,1,1,1
837838,3.0,1,1,1
829007,3.0,1,1,1
825376,3.0,1,1,1
827637,3.0,1,1,1
839305,3.0,1,1,1
816666,3.0,1,1,1
829270,3.0,1,1,1
817860,3.0,1,1,1
834599,3.0,1,1,1
822326,3.0,1,1,1
819242,3.0,1,1,1
830452,3.0,1,1,1
834730,3.0,1,1,1
825286,3.0,1,1,1
814670,3.0,1,1,1
834578,3.0,1,1,1
841405,3.0,1,1,1
830548,3.0,1,1,1
821148,3.0,1,1,1
827493,3.0,1,1,1
841941,3.0,1,1,1
839621,3.0,1,1,1
818561,3.0,1,1,1
830160,3.0,1,1,1
839433,3.0,1,1,1
825234,3.0,1,1,1
824484,3.0,1,1,1
820233,3.0,1,1,1
836797,3.0,1,1,1
840134,3.0,1,1,1
843468,3.0,1,1,1
830971,3.0,1,1,1
820088,3.0,1,1,1
834784,3.0,1,1,1
843987,3.0,1,1,1
834407,3.0,1,1,1
828671,3.0,1,1,1
843300,3.0,1,1,1
831169,3.0,1,1,1
835379,3.0,1,1,1
825488,3.0,1,1,1
821025,3.0,1,1,1
832588,3.0,1,1,1
829427,3.0,1,1,1
828716,3.0,1,1,1
835971,3.0,1,1,1
825517,3.0,1,1,1
841472,3.0,1,1,1
824890,3.0,1,1,1
832846,3.0,1,1,1
844334,3.0,1,1,1
829880,3.0,1,1,1
841922,3.0,1,1,1
843432,3.0,1,1,1
827714,3.0,1,1,1
831980,3.0,1,1,1
837404,3.0,1,1,1
837299,3.0,1,1,1
828812,3.0,1,1,1
841665,3.0,1,1,1
844146,3.0,1,1,1
835935,3.0,1,1,1
818086,3.0,1,1,1
837378,3.0,1,1,1
843918,3.0,1,1,1
819579,3.0,1,1,1
834892,3.0,1,1,1
828219,3.0,1,1,1
836210,3.0,1,1,1
831738,3.0,1,1,1
836451,3.0,1,1,1
836175,3.0,1,1,1
828213,3.0,1,1,1
837417,3.0,1,1,1
816623,3.0,1,1,1
835429,3.0,1,1,1
824972,3.0,1,1,1
828782,3.0,1,1,1
831919,3.0,1,1,1
817157,3.0,1,1,1
828706,3.0,1,1,1
836582,3.0,1,1,1
830515,3.0,1,1,1
819334,3.0,1,1,1
841301,3.0,1,1,1
2745966,3.0,1,1,1
833676,3.0,1,1,1
828193,3.0,1,1,1
818760,3.0,1,1,1
818402,3.0,1,1,1
831275,3.0,1,1,1
827462,3.0,1,1,1
831043,3.0,1,1,1
837490,3.0,1,1,1
826983,3.0,1,1,1
843983,3.0,1,1,1
831230,3.0,1,1,1
830124,3.0,1,1,1
816311,3.0,1,1,1
829143,3.0,1,1,1
827690,3.0,1,1,1
837737,3.0,1,1,1
825890,3.0,1,1,1
824955,3.0,1,1,1
823804,3.0,1,1,1
827083,3.0,1,1,1
831809,3.0,1,1,1
818116,3.0,1,1,1
820442,3.0,1,1,1
836236,3.0,1,1,1
824589,3.0,1,1,1
843693,3.0,1,1,1
824405,3.0,1,1,1
835727,3.0,1,1,1
838077,3.0,1,1,1
841420,3.0,1,1,1
829901,3.0,1,1,1
836603,3.0,1,1,1
827328,3.0,1,1,1
819895,3.0,1,1,1
834483,3.0,1,1,1
824923,3.0,1,1,1
824603,3.0,1,1,1
826890,3.0,1,1,1
828962,3.0,1,1,1
828768,3.0,1,1,1
822098,3.0,1,1,1
829105,3.0,1,1,1
829882,3.0,1,1,1
834412,3.0,1,1,1
829654,3.0,1,1,1
824071,3.0,1,1,1
837791,3.0,1,1,1
836318,3.0,1,1,1
834747,3.0,1,1,1
835435,3.0,1,1,1
816787,3.0,1,1,1
834376,3.0,1,1,1
829902,3.0,1,1,1
827412,3.0,1,1,1
835297,3.0,1,1,1
839529,3.0,1,1,1
835570,3.0,1,1,1
819124,3.0,1,1,1
821536,3.0,1,1,1
836528,3.0,1,1,1
816794,3.0,1,1,1
819654,3.0,1,1,1
843333,3.0,1,1,1
828208,3.0,1,1,1
835062,3.0,1,1,1
838899,3.0,1,1,1
827302,3.0,1,1,1
817241,3.0,1,1,1
829463,3.0,1,1,1
839323,3.0,1,1,1
839241,3.0,1,1,1
818167,3.0,1,1,1
820572,3.0,1,1,1
843141,3.0,1,1,1
825835,3.0,1,1,1
822525,3.0,1,1,1
836242,3.0,1,1,1
815211,3.0,1,1,1
822505,3.0,1,1,1
827093,3.0,1,1,1
817306,3.0,1,1,1
838916,3.0,1,1,1
836163,3.0,1,1,1
818033,3.0,1,1,1
835498,3.0,1,1,1
819108,3.0,1,1,1
825452,2.0,1,1,0
830424,2.0,1,0,1
838691,2.0,1,0,1
823551,2.0,1,0,1
816149,2.0,1,1,0
816289,2.0,1,1,0
842030,2.0,1,0,1
828570,2.0,1,0,1
834180,2.0,1,1,0
836325,2.0,1,1,0
840105,2.0,1,0,1
836196,2.0,1,0,1
820655,2.0,1,0,1
830330,2.0,1,0,1
834200,2.0,1,1,0
843966,2.0,1,1,0
839357,2.0,1,0,1
834545,2.0,1,0,1
829872,2.0,1,0,1
831092,2.0,1,0,1
834867,2.0,1,1,0
837386,2.0,1,0,1
819138,2.0,1,1,0
828522,2.0,1,0,1
820419,2.0,1,0,1
818761,2.0,1,0,1
828856,2.0,1,1,0
836770,2.0,1,1,0
832060,2.0,1,0,1
822736,2.0,1,1,0
840034,2.0,1,0,1
830484,2.0,1,1,0
832353,2.0,1,0,1
817341,2.0,1,0,1
830621,2.0,1,1,0
820505,2.0,1,0,1
817161,2.0,1,0,1
835624,2.0,1,1,0
843197,2.0,1,0,1
830702,2.0,1,0,1
838156,2.0,1,1,0
834127,2.0,1,0,1
843135,2.0,1,0,1
836289,2.0,1,1,0
816165,2.0,1,0,1
832115,2.0,1,0,1
837104,2.0,1,0,1
834952,2.0,1,0,1
828783,2.0,1,1,0
820507,2.0,1,0,1
836773,2.0,1,1,0
839714,2.0,1,0,1
828539,2.0,1,0,1
819272,2.0,1,0,1
839635,2.0,1,0,1
837918,2.0,1,0,1
832814,2.0,1,0,1
827788,2.0,1,1,0
824608,2.0,1,1,0
816986,2.0,1,1,0
814812,2.0,1,1,0
815134,2.0,1,1,0
836550,2.0,1,1,0
831112,2.0,1,0,1
839561,2.0,1,0,1
829510,2.0,1,1,0
844757,2.0,1,0,1
837685,2.0,1,0,1
844409,2.0,1,0,1
841857,2.0,1,0,1
837279,2.0,1,0,1
832068,2.0,1,0,1
3770411,2.0,1,1,0
827925,2.0,1,1,0
836707,2.0,1,1,0
836706,2.0,1,1,0
834090,2.0,1,0,1
822047,2.0,1,0,1
839124,2.0,1,1,0
833613,2.0,1,1,0
821611,2.0,1,0,1
829644,2.0,1,0,1
816425,2.0,1,1,0
840221,2.0,1,1,0
836176,2.0,1,0,1
820549,2.0,1,0,1
838568,2.0,1,0,1
824852,2.0,1,0,1
839370,2.0,1,1,0
825191,2.0,1,0,1
828639,2.0,1,0,1
824973,2.0,1,1,0
840295,2.0,1,1,0
844407,2.0,1,1,0
824223,2.0,1,1,0
