Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0016192,vesicle-mediated transport,19_GO:0051179 localization,-15,2.2,9.1,18982,475,2103,114,5.4,0.49,814689|815211|815960|816289|816310|817306|817387|818086|818264|818375|818416|818567|818631|819207|819551|819896|820233|820326|820395|820572|820580|820581|821079|821377|821573|822375|824352|824405|824478|824649|824777|825029|825119|825430|827055|827091|827328|827494|827637|827690|828105|828241|828557|828587|828761|828972|829007|829276|829362|829618|829694|829740|830160|830364|830702|830984|831021|831043|831071|831112|831680|831904|831915|832340|832359|832808|833946|834200|834350|834483|834730|835217|835297|835435|835700|835851|835956|836105|836242|836725|836733|837035|837087|837378|837399|837568|837737|837791|837958|838158|838349|838600|838765|838768|839062|839210|839301|839520|839565|839749|839973|840060|840065|840134|841472|841962|842301|842497|843468|843512|844297|844339|2745881|5008085,AT2G01600|VPS2.1|VSR4|VPS35A|ATSLY1|SKD1|AT2G28390|NPSN11|MEMB11|AT2G37975|PRA1.B4|AT2G39805|PRA1.B2|AT2G45990|AT3G03940|ERMO2|VPS60.1|AT3G11530|AT3G12180|AT3G13670|PRA1.F4|PRA8|ARFB1C|CASP|EHD1|GC6|AT3G51890|SYP122|VPS37-1|ARA6|PRA1.B1|AT3G58600|AT3G59500|AT3G62560|AT4G14160|ATBET12|SPK1|SYP23|VPS25|VPS54|AT4G01810|VPS28-1|AT4G24550|AT4G24840|AT4G26550|CKL6|ckl4|AT4G31490|AT4G32285|AT4G34660|AT4G35410|GB2|RABA4B|VPS60.2|SYP132|VAMP713|AT5G11490|AT5G11710|AT5G11980|SEC10|AT5G02280|PRA1.A1|AT5G01430|alpha-ADR|VPS24.1|AT5G27490|GNL1|AT5G41950|ckl8|VPS2.2|VAM3|EYE|GB1|VPS26A|AT5G56020|AT5G57460|EXO70B1|AT5G59840|SNAP33|AT5G65950|ATGRIP|KMS2|AT1G05785|SYP111|PRA1.E|ADL6|SEC22|KEU|GN|GOS11|VPS46.1|AT1G20110|AT1G21630|AT1G21660|TNO1|AT1G26690|EDA10|CKL13|MPI7|SYP61|AT1G30890|AT1G31730|AT1G31780|AT1G32410|HIT1|PRA7|AT1G60070|AT1G62020|POK|SEC6|SYP52|AT1G79990|PRA1.A3|AT3G54085,-11,hits
GO Biological Processes,19,GO:0046907,intracellular transport,19_GO:0051179 localization,-14,1.9,8.6,18982,679,2103,144,6.8,0.55,814930|815211|815960|816165|816289|816310|816386|816425|816623|817387|817429|817439|817557|818086|818180|818264|818375|819108|819857|819881|819896|819982|820088|820233|820278|820326|820841|821079|821248|821573|821641|822103|822311|822326|822329|822375|824017|824037|824048|824071|824109|824118|824352|824405|824478|824649|824668|825071|825119|825376|825430|825654|826966|827055|827091|827302|827494|827637|827690|827789|828105|828241|828491|828557|829139|829276|829412|829427|829694|830160|830382|830435|830452|830702|830853|831021|831041|831043|831565|831680|831810|832102|832171|832340|832359|832536|832645|834108|834184|834199|834483|834614|834730|835217|835297|835429|835435|835439|836318|836325|836402|836484|836603|836725|836748|837130|837378|837404|837568|837737|837791|837958|838158|838327|838349|838737|838765|839210|839305|839374|839569|839629|839749|839800|839973|840060|840134|840199|840957|841312|841472|842301|842497|843093|843468|844268|844297|844334|844339|844406|844407|3768764|3770411|5008085,CR88|VPS2.1|VSR4|TOC132|VPS35A|ATSLY1|SCY1|AT2G19080|PSB29|AT2G28390|ALB3|OEP16-1|AT2G30060|NPSN11|TIM44-2|MEMB11|AT2G37975|EMB2766|IMPA-1|PDE320|ERMO2|AT3G07910|AT3G09320|VPS60.1|AT3G11070|AT3G11530|AT3G15970|ARFB1C|PEX19-1|EHD1|AT3G20920|AT3G25120|AT3G26935|TOM20-3|AT3G27100|GC6|AT3G48570|AT3G48760|HSP93-III|AT3G49100|NACA2|AT3G49560|AT3G51890|SYP122|VPS37-1|ARA6|AT3G55020|AT3G59020|AT3G59500|ROC4|AT3G62560|RMA1|NIG|AT4G14160|ATBET12|IMPA-2|SYP23|VPS25|VPS54|GSNAP|AT4G01810|VPS28-1|AT4G23910|AT4G24550|VLN4|AT4G31490|AT4G32760|AT4G32910|AT4G35410|RABA4B|TOC34|AT5G05520|MOS7|SYP132|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|AT5G02280|RABC2A|emb2734|XIK|alpha-ADR|VPS24.1|AT5G24650|PEX4|AT5G41060|CIP1|AT5G41940|VPS2.2|RABA1c|VAM3|EYE|GB1|AT5G53480|VPS26A|AT5G53570|AT5G61970|OXA1|PEX14|AT5G63640|LIP1|AT5G65950|RMR1|AT1G06210|SYP111|VAP27-2|ADL6|SEC22|KEU|GN|GOS11|TIM23-1|VPS46.1|AT1G21380|AT1G21630|AT1G26690|AT1G01910|Tic20-I|ARV1|TOM20-2|SYP61|PEX7|AT1G30890|AT1G31730|AT1G32410|NACA5|VIP1|AT1G48900|HIT1|AT1G60070|AT1G62020|AT1G67680|POK|NUA|SYP52|ATERDJ2A|AT1G79990|RAE1|SAR3|AT3G08943|SD3|AT3G54085,-11,hits
GO Biological Processes,19,GO:0051649,establishment of localization in cell,19_GO:0051179 localization,-13,1.8,8.1,18982,723,2103,147,7,0.56,814930|815211|815960|816165|816289|816310|816386|816425|816623|817387|817429|817439|817557|818086|818180|818264|818375|819108|819857|819881|819896|819982|820088|820233|820278|820326|820841|821079|821248|821573|821641|822103|822311|822326|822329|822375|824017|824037|824048|824071|824109|824118|824335|824352|824405|824478|824649|824668|825071|825119|825376|825430|825654|826966|827055|827091|827302|827494|827637|827690|827789|828105|828241|828491|828557|829139|829276|829412|829427|829694|830160|830382|830435|830452|830702|830853|831021|831041|831043|831565|831680|831810|832102|832171|832340|832359|832536|832645|834108|834184|834199|834483|834614|834730|835217|835297|835429|835435|835439|836318|836325|836402|836484|836603|836725|836748|837130|837378|837404|837568|837583|837737|837791|837958|838158|838327|838349|838737|838765|839062|839210|839305|839374|839569|839629|839749|839800|839973|840060|840134|840199|840957|841312|841472|842301|842497|843093|843468|844268|844297|844334|844339|844406|844407|3768764|3770411|5008085,CR88|VPS2.1|VSR4|TOC132|VPS35A|ATSLY1|SCY1|AT2G19080|PSB29|AT2G28390|ALB3|OEP16-1|AT2G30060|NPSN11|TIM44-2|MEMB11|AT2G37975|EMB2766|IMPA-1|PDE320|ERMO2|AT3G07910|AT3G09320|VPS60.1|AT3G11070|AT3G11530|AT3G15970|ARFB1C|PEX19-1|EHD1|AT3G20920|AT3G25120|AT3G26935|TOM20-3|AT3G27100|GC6|AT3G48570|AT3G48760|HSP93-III|AT3G49100|NACA2|AT3G49560|AT3G51720|AT3G51890|SYP122|VPS37-1|ARA6|AT3G55020|AT3G59020|AT3G59500|ROC4|AT3G62560|RMA1|NIG|AT4G14160|ATBET12|IMPA-2|SYP23|VPS25|VPS54|GSNAP|AT4G01810|VPS28-1|AT4G23910|AT4G24550|VLN4|AT4G31490|AT4G32760|AT4G32910|AT4G35410|RABA4B|TOC34|AT5G05520|MOS7|SYP132|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|AT5G02280|RABC2A|emb2734|XIK|alpha-ADR|VPS24.1|AT5G24650|PEX4|AT5G41060|CIP1|AT5G41940|VPS2.2|RABA1c|VAM3|EYE|GB1|AT5G53480|VPS26A|AT5G53570|AT5G61970|OXA1|PEX14|AT5G63640|LIP1|AT5G65950|RMR1|AT1G06210|SYP111|VAP27-2|ADL6|PP2A-2|SEC22|KEU|GN|GOS11|TIM23-1|VPS46.1|AT1G21380|AT1G21630|TNO1|AT1G26690|AT1G01910|Tic20-I|ARV1|TOM20-2|SYP61|PEX7|AT1G30890|AT1G31730|AT1G32410|NACA5|VIP1|AT1G48900|HIT1|AT1G60070|AT1G62020|AT1G67680|POK|NUA|SYP52|ATERDJ2A|AT1G79990|RAE1|SAR3|AT3G08943|SD3|AT3G54085,-9.6,hits
GO Biological Processes,19,GO:0006886,intracellular protein transport,19_GO:0051179 localization,-11,1.9,7.4,18982,522,2103,110,5.2,0.49,814930|815960|816165|816289|816310|816386|816425|816623|817387|817429|817439|818086|818180|818264|819108|819857|819896|819982|820088|820278|821079|821248|821641|822103|822311|822326|822329|822375|824017|824037|824048|824071|824109|824118|824352|824405|824478|824649|824668|825071|825376|825430|825654|827055|827302|827494|827637|827789|828105|828241|828491|828557|829276|829412|829427|829694|830382|830435|830452|830702|830853|831021|831041|831043|831565|831810|832102|832340|832536|832645|834108|834184|834199|834614|834730|835217|835297|835429|835435|835439|836318|836325|836402|836484|836603|836748|837130|837378|837791|838327|838737|839210|839305|839374|839629|839749|839800|840060|840199|841312|842301|842497|843093|844268|844297|844334|844339|844407|3768764|3770411,CR88|VSR4|TOC132|VPS35A|ATSLY1|SCY1|AT2G19080|PSB29|AT2G28390|ALB3|OEP16-1|NPSN11|TIM44-2|MEMB11|EMB2766|IMPA-1|ERMO2|AT3G07910|AT3G09320|AT3G11070|ARFB1C|PEX19-1|AT3G20920|AT3G25120|AT3G26935|TOM20-3|AT3G27100|GC6|AT3G48570|AT3G48760|HSP93-III|AT3G49100|NACA2|AT3G49560|AT3G51890|SYP122|VPS37-1|ARA6|AT3G55020|AT3G59020|ROC4|AT3G62560|RMA1|AT4G14160|IMPA-2|SYP23|VPS25|GSNAP|AT4G01810|VPS28-1|AT4G23910|AT4G24550|AT4G31490|AT4G32760|AT4G32910|AT4G35410|TOC34|AT5G05520|MOS7|SYP132|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|RABC2A|emb2734|alpha-ADR|AT5G24650|PEX4|AT5G41060|CIP1|AT5G41940|RABA1c|VAM3|EYE|GB1|AT5G53480|VPS26A|AT5G53570|AT5G61970|OXA1|PEX14|AT5G63640|LIP1|RMR1|AT1G06210|SYP111|KEU|TIM23-1|AT1G21380|AT1G26690|AT1G01910|Tic20-I|TOM20-2|SYP61|PEX7|AT1G31730|NACA5|AT1G48900|AT1G60070|AT1G62020|AT1G67680|NUA|SYP52|ATERDJ2A|AT1G79990|SAR3|AT3G08943|SD3,-7.6,hits
GO Biological Processes,19,GO:0015031,protein transport,19_GO:0051179 localization,-10,1.8,7.1,18982,579,2103,117,5.6,0.5,814930|815211|815960|816165|816289|816310|816386|816425|816623|817387|817429|817439|818086|818180|818264|819108|819857|819896|819982|820088|820278|821079|821248|821641|822103|822311|822326|822329|822375|824017|824037|824048|824071|824109|824118|824352|824405|824478|824649|824668|825071|825376|825430|825654|827055|827302|827494|827637|827789|828105|828241|828491|828557|829276|829412|829427|829694|830382|830435|830452|830702|830707|830853|831021|831041|831043|831565|831810|832102|832340|832359|832536|832645|834108|834184|834199|834483|834614|834730|835217|835297|835429|835435|835439|836105|836318|836325|836402|836484|836603|836748|837130|837378|837791|838327|838349|838737|839128|839210|839305|839374|839629|839749|839800|840060|840199|841312|842301|842497|843093|844268|844297|844334|844339|844407|3768764|3770411,CR88|VPS2.1|VSR4|TOC132|VPS35A|ATSLY1|SCY1|AT2G19080|PSB29|AT2G28390|ALB3|OEP16-1|NPSN11|TIM44-2|MEMB11|EMB2766|IMPA-1|ERMO2|AT3G07910|AT3G09320|AT3G11070|ARFB1C|PEX19-1|AT3G20920|AT3G25120|AT3G26935|TOM20-3|AT3G27100|GC6|AT3G48570|AT3G48760|HSP93-III|AT3G49100|NACA2|AT3G49560|AT3G51890|SYP122|VPS37-1|ARA6|AT3G55020|AT3G59020|ROC4|AT3G62560|RMA1|AT4G14160|IMPA-2|SYP23|VPS25|GSNAP|AT4G01810|VPS28-1|AT4G23910|AT4G24550|AT4G31490|AT4G32760|AT4G32910|AT4G35410|TOC34|AT5G05520|MOS7|SYP132|MPB2C|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|RABC2A|emb2734|alpha-ADR|VPS24.1|AT5G24650|PEX4|AT5G41060|CIP1|AT5G41940|VPS2.2|RABA1c|VAM3|EYE|GB1|AT5G53480|VPS26A|AT5G53570|AT5G59840|AT5G61970|OXA1|PEX14|AT5G63640|LIP1|RMR1|AT1G06210|SYP111|KEU|TIM23-1|VPS46.1|AT1G21380|AT1G25420|AT1G26690|AT1G01910|Tic20-I|TOM20-2|SYP61|PEX7|AT1G31730|NACA5|AT1G48900|AT1G60070|AT1G62020|AT1G67680|NUA|SYP52|ATERDJ2A|AT1G79990|SAR3|AT3G08943|SD3,-7.1,hits
GO Biological Processes,19,GO:0070727,cellular macromolecule localization,19_GO:0051179 localization,-9.7,1.7,6.8,18982,691,2103,132,6.3,0.53,814930|815960|816165|816289|816310|816386|816425|816623|816747|816765|817387|817429|817439|818086|818180|818264|819056|819108|819857|819896|819903|819982|820088|820278|820326|821079|821248|821641|822103|822311|822326|822329|822375|824017|824037|824048|824071|824109|824118|824352|824405|824478|824589|824649|824668|825071|825376|825430|825654|826539|827055|827302|827494|827637|827789|828105|828241|828491|828557|828587|829276|829412|829427|829694|830382|830435|830452|830702|830853|831021|831035|831041|831043|831565|831809|831810|831919|832102|832340|832536|832645|833470|833705|834108|834184|834199|834430|834614|834730|835217|835297|835429|835435|835439|836318|836325|836402|836484|836603|836748|837130|837378|837583|837791|838327|838737|839210|839305|839374|839567|839629|839749|839800|840060|840134|840199|840336|841312|842301|842497|842615|842741|843093|843909|844268|844297|844334|844339|844407|3768764|3770411|5007942,CR88|VSR4|TOC132|VPS35A|ATSLY1|SCY1|AT2G19080|PSB29|CSI1|CYP79B3|AT2G28390|ALB3|OEP16-1|NPSN11|TIM44-2|MEMB11|PEN2|EMB2766|IMPA-1|ERMO2|GSL10|AT3G07910|AT3G09320|AT3G11070|AT3G11530|ARFB1C|PEX19-1|AT3G20920|AT3G25120|AT3G26935|TOM20-3|AT3G27100|GC6|AT3G48570|AT3G48760|HSP93-III|AT3G49100|NACA2|AT3G49560|AT3G51890|SYP122|VPS37-1|SCR|ARA6|AT3G55020|AT3G59020|ROC4|AT3G62560|RMA1|GIP1|AT4G14160|IMPA-2|SYP23|VPS25|GSNAP|AT4G01810|VPS28-1|AT4G23910|AT4G24550|AT4G24840|AT4G31490|AT4G32760|AT4G32910|AT4G35410|TOC34|AT5G05520|MOS7|SYP132|NRPB4|AT5G11490|NOXY2|TIM17-3|AT5G11710|XPO1A|EXO70A1|RABC2A|JKD|emb2734|alpha-ADR|AT5G24650|PEX4|AT5G35160|AT5G37310|AT5G41060|CIP1|AT5G41940|CAD1|RABA1c|VAM3|EYE|GB1|AT5G53480|VPS26A|AT5G53570|AT5G61970|OXA1|PEX14|AT5G63640|LIP1|RMR1|AT1G06210|SYP111|PP2A-2|KEU|TIM23-1|AT1G21380|AT1G26690|AT1G01910|Tic20-I|AT1G03140|TOM20-2|SYP61|PEX7|AT1G31730|AT1G32410|NACA5|AT1G34350|AT1G48900|AT1G60070|AT1G62020|AT1G63110|SEH1H|AT1G67680|AT1G75760|NUA|SYP52|ATERDJ2A|AT1G79990|SAR3|AT3G08943|SD3|FHY1,-6.7,hits
GO Biological Processes,19,GO:0045184,establishment of protein localization,19_GO:0051179 localization,-9.7,1.8,6.9,18982,591,2103,117,5.6,0.5,814930|815211|815960|816165|816289|816310|816386|816425|816623|817387|817429|817439|818086|818180|818264|819108|819857|819896|819982|820088|820278|821079|821248|821641|822103|822311|822326|822329|822375|824017|824037|824048|824071|824109|824118|824352|824405|824478|824649|824668|825071|825376|825430|825654|827055|827302|827494|827637|827789|828105|828241|828491|828557|829276|829412|829427|829694|830382|830435|830452|830702|830707|830853|831021|831041|831043|831565|831810|832102|832340|832359|832536|832645|834108|834184|834199|834483|834614|834730|835217|835297|835429|835435|835439|836105|836318|836325|836402|836484|836603|836748|837130|837378|837791|838327|838349|838737|839128|839210|839305|839374|839629|839749|839800|840060|840199|841312|842301|842497|843093|844268|844297|844334|844339|844407|3768764|3770411,CR88|VPS2.1|VSR4|TOC132|VPS35A|ATSLY1|SCY1|AT2G19080|PSB29|AT2G28390|ALB3|OEP16-1|NPSN11|TIM44-2|MEMB11|EMB2766|IMPA-1|ERMO2|AT3G07910|AT3G09320|AT3G11070|ARFB1C|PEX19-1|AT3G20920|AT3G25120|AT3G26935|TOM20-3|AT3G27100|GC6|AT3G48570|AT3G48760|HSP93-III|AT3G49100|NACA2|AT3G49560|AT3G51890|SYP122|VPS37-1|ARA6|AT3G55020|AT3G59020|ROC4|AT3G62560|RMA1|AT4G14160|IMPA-2|SYP23|VPS25|GSNAP|AT4G01810|VPS28-1|AT4G23910|AT4G24550|AT4G31490|AT4G32760|AT4G32910|AT4G35410|TOC34|AT5G05520|MOS7|SYP132|MPB2C|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|RABC2A|emb2734|alpha-ADR|VPS24.1|AT5G24650|PEX4|AT5G41060|CIP1|AT5G41940|VPS2.2|RABA1c|VAM3|EYE|GB1|AT5G53480|VPS26A|AT5G53570|AT5G59840|AT5G61970|OXA1|PEX14|AT5G63640|LIP1|RMR1|AT1G06210|SYP111|KEU|TIM23-1|VPS46.1|AT1G21380|AT1G25420|AT1G26690|AT1G01910|Tic20-I|TOM20-2|SYP61|PEX7|AT1G31730|NACA5|AT1G48900|AT1G60070|AT1G62020|AT1G67680|NUA|SYP52|ATERDJ2A|AT1G79990|SAR3|AT3G08943|SD3,-6.7,hits
GO Biological Processes,19,GO:0034613,cellular protein localization,19_GO:0051179 localization,-9.2,1.7,6.6,18982,655,2103,125,5.9,0.52,814930|815960|816165|816289|816310|816386|816425|816623|816747|817387|817429|817439|818086|818180|818264|819108|819857|819896|819982|820088|820278|820326|821079|821248|821641|822103|822311|822326|822329|822375|824017|824037|824048|824071|824109|824118|824352|824405|824478|824589|824649|824668|825071|825376|825430|825654|826539|827055|827302|827494|827637|827789|828105|828241|828491|828557|828587|829276|829412|829427|829694|830382|830435|830452|830702|830853|831021|831041|831043|831565|831809|831810|831919|832102|832340|832536|832645|833470|833705|834108|834184|834199|834614|834730|835217|835297|835429|835435|835439|836318|836325|836402|836484|836603|836748|837130|837378|837583|837791|838327|838737|839210|839305|839374|839629|839749|839800|840060|840134|840199|841312|842301|842497|842615|842741|843093|843909|844268|844297|844334|844339|844407|3768764|3770411|5007942,CR88|VSR4|TOC132|VPS35A|ATSLY1|SCY1|AT2G19080|PSB29|CSI1|AT2G28390|ALB3|OEP16-1|NPSN11|TIM44-2|MEMB11|EMB2766|IMPA-1|ERMO2|AT3G07910|AT3G09320|AT3G11070|AT3G11530|ARFB1C|PEX19-1|AT3G20920|AT3G25120|AT3G26935|TOM20-3|AT3G27100|GC6|AT3G48570|AT3G48760|HSP93-III|AT3G49100|NACA2|AT3G49560|AT3G51890|SYP122|VPS37-1|SCR|ARA6|AT3G55020|AT3G59020|ROC4|AT3G62560|RMA1|GIP1|AT4G14160|IMPA-2|SYP23|VPS25|GSNAP|AT4G01810|VPS28-1|AT4G23910|AT4G24550|AT4G24840|AT4G31490|AT4G32760|AT4G32910|AT4G35410|TOC34|AT5G05520|MOS7|SYP132|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|EXO70A1|RABC2A|JKD|emb2734|alpha-ADR|AT5G24650|PEX4|AT5G35160|AT5G37310|AT5G41060|CIP1|AT5G41940|RABA1c|VAM3|EYE|GB1|AT5G53480|VPS26A|AT5G53570|AT5G61970|OXA1|PEX14|AT5G63640|LIP1|RMR1|AT1G06210|SYP111|PP2A-2|KEU|TIM23-1|AT1G21380|AT1G26690|AT1G01910|Tic20-I|TOM20-2|SYP61|PEX7|AT1G31730|AT1G32410|NACA5|AT1G48900|AT1G60070|AT1G62020|AT1G63110|SEH1H|AT1G67680|AT1G75760|NUA|SYP52|ATERDJ2A|AT1G79990|SAR3|AT3G08943|SD3|FHY1,-6.3,hits
GO Biological Processes,19,GO:0042886,amide transport,19_GO:0051179 localization,-8.8,1.7,6.5,18982,630,2103,120,5.7,0.51,814930|815211|815960|816165|816289|816310|816386|816425|816623|817387|817429|817439|818086|818180|818264|819108|819857|819896|819982|820088|820278|821079|821248|821641|822103|822311|822326|822329|822375|824017|824037|824048|824071|824109|824118|824352|824405|824478|824649|824668|825071|825376|825430|825654|827055|827302|827494|827637|827789|828105|828241|828491|828557|829276|829412|829427|829694|830382|830435|830452|830702|830707|830853|831021|831041|831043|831565|831810|832102|832340|832359|832536|832645|834108|834184|834199|834483|834614|834730|835217|835297|835429|835435|835439|836105|836318|836325|836402|836484|836603|836748|836770|837130|837378|837791|838327|838349|838737|839128|839185|839210|839305|839374|839629|839749|839800|840060|840199|841312|842301|842497|843093|844192|844268|844297|844334|844339|844407|3768764|3770411,CR88|VPS2.1|VSR4|TOC132|VPS35A|ATSLY1|SCY1|AT2G19080|PSB29|AT2G28390|ALB3|OEP16-1|NPSN11|TIM44-2|MEMB11|EMB2766|IMPA-1|ERMO2|AT3G07910|AT3G09320|AT3G11070|ARFB1C|PEX19-1|AT3G20920|AT3G25120|AT3G26935|TOM20-3|AT3G27100|GC6|AT3G48570|AT3G48760|HSP93-III|AT3G49100|NACA2|AT3G49560|AT3G51890|SYP122|VPS37-1|ARA6|AT3G55020|AT3G59020|ROC4|AT3G62560|RMA1|AT4G14160|IMPA-2|SYP23|VPS25|GSNAP|AT4G01810|VPS28-1|AT4G23910|AT4G24550|AT4G31490|AT4G32760|AT4G32910|AT4G35410|TOC34|AT5G05520|MOS7|SYP132|MPB2C|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|RABC2A|emb2734|alpha-ADR|VPS24.1|AT5G24650|PEX4|AT5G41060|CIP1|AT5G41940|VPS2.2|RABA1c|VAM3|EYE|GB1|AT5G53480|VPS26A|AT5G53570|AT5G59840|AT5G61970|OXA1|PEX14|AT5G63640|LIP1|RMR1|FOLT1|AT1G06210|SYP111|KEU|TIM23-1|VPS46.1|AT1G21380|AT1G25420|UPS5|AT1G26690|AT1G01910|Tic20-I|TOM20-2|SYP61|PEX7|AT1G31730|NACA5|AT1G48900|AT1G60070|AT1G62020|AT1G67680|AT1G78560|NUA|SYP52|ATERDJ2A|AT1G79990|SAR3|AT3G08943|SD3,-6,hits
GO Biological Processes,19,GO:0015833,peptide transport,19_GO:0051179 localization,-8.7,1.7,6.4,18982,613,2103,117,5.6,0.5,814930|815211|815960|816165|816289|816310|816386|816425|816623|817387|817429|817439|818086|818180|818264|819108|819857|819896|819982|820088|820278|821079|821248|821641|822103|822311|822326|822329|822375|824017|824037|824048|824071|824109|824118|824352|824405|824478|824649|824668|825071|825376|825430|825654|827055|827302|827494|827637|827789|828105|828241|828491|828557|829276|829412|829427|829694|830382|830435|830452|830702|830707|830853|831021|831041|831043|831565|831810|832102|832340|832359|832536|832645|834108|834184|834199|834483|834614|834730|835217|835297|835429|835435|835439|836105|836318|836325|836402|836484|836603|836748|837130|837378|837791|838327|838349|838737|839128|839210|839305|839374|839629|839749|839800|840060|840199|841312|842301|842497|843093|844268|844297|844334|844339|844407|3768764|3770411,CR88|VPS2.1|VSR4|TOC132|VPS35A|ATSLY1|SCY1|AT2G19080|PSB29|AT2G28390|ALB3|OEP16-1|NPSN11|TIM44-2|MEMB11|EMB2766|IMPA-1|ERMO2|AT3G07910|AT3G09320|AT3G11070|ARFB1C|PEX19-1|AT3G20920|AT3G25120|AT3G26935|TOM20-3|AT3G27100|GC6|AT3G48570|AT3G48760|HSP93-III|AT3G49100|NACA2|AT3G49560|AT3G51890|SYP122|VPS37-1|ARA6|AT3G55020|AT3G59020|ROC4|AT3G62560|RMA1|AT4G14160|IMPA-2|SYP23|VPS25|GSNAP|AT4G01810|VPS28-1|AT4G23910|AT4G24550|AT4G31490|AT4G32760|AT4G32910|AT4G35410|TOC34|AT5G05520|MOS7|SYP132|MPB2C|NRPB4|AT5G11490|TIM17-3|AT5G11710|XPO1A|RABC2A|emb2734|alpha-ADR|VPS24.1|AT5G24650|PEX4|AT5G41060|CIP1|AT5G41940|VPS2.2|RABA1c|VAM3|EYE|GB1|AT5G53480|VPS26A|AT5G53570|AT5G59840|AT5G61970|OXA1|PEX14|AT5G63640|LIP1|RMR1|AT1G06210|SYP111|KEU|TIM23-1|VPS46.1|AT1G21380|AT1G25420|AT1G26690|AT1G01910|Tic20-I|TOM20-2|SYP61|PEX7|AT1G31730|NACA5|AT1G48900|AT1G60070|AT1G62020|AT1G67680|NUA|SYP52|ATERDJ2A|AT1G79990|SAR3|AT3G08943|SD3,-5.9,hits
