Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,GO Biological Processes,19,GO:0016192,vesicle-mediated transport,19_GO:0051179 localization,-19,3.8,12,18982,475,649,62,9.6,1.2,815211|817306|818086|818416|818631|820233|820395|820572|820580|820581|821377|821573|824405|824478|824649|824777|825119|825430|827055|827091|827328|827494|827637|827690|828241|828587|828761|828972|829007|829618|830160|830364|830702|830984|831071|831112|831904|832359|832808|834483|834730|835297|835956|836242|836733|837378|837399|837568|837737|837791|837958|838158|838349|838600|839749|840065|840134|841472|841962|843468|843512|844297,VPS2.1|SKD1|NPSN11|PRA1.B4|PRA1.B2|VPS60.1|AT3G12180|AT3G13670|PRA1.F4|PRA8|CASP|EHD1|SYP122|VPS37-1|ARA6|PRA1.B1|AT3G59500|AT3G62560|AT4G14160|ATBET12|SPK1|SYP23|VPS25|VPS54|VPS28-1|AT4G24840|AT4G26550|CKL6|ckl4|AT4G34660|RABA4B|VPS60.2|SYP132|VAMP713|AT5G11980|SEC10|PRA1.A1|VPS24.1|AT5G27490|VPS2.2|VAM3|GB1|EXO70B1|SNAP33|ATGRIP|SYP111|PRA1.E|ADL6|SEC22|KEU|GN|GOS11|VPS46.1|AT1G20110|SYP61|AT1G31780|AT1G32410|HIT1|PRA7|POK|SEC6|SYP52,-15
hits,GO Biological Processes,19,GO:0048583,regulation of response to stimulus,19_GO:0050789 regulation of biological process,-18,3,11,18982,762,649,78,12,1.3,814670|816623|816794|817016|817056|817375|818540|819108|819383|819969|820314|820388|820557|820713|820940|821055|821259|821445|822098|823426|823804|824268|824405|824603|825107|825890|826869|826884|827093|827272|827328|827493|828008|828126|828522|828706|828934|829143|829240|829654|829880|830060|830556|831147|831980|832293|832607|832618|833590|834307|834545|834599|834663|834786|834892|835379|835956|836163|836408|836466|837417|837583|837958|838544|838683|838899|838916|839529|840471|841922|842741|843160|843432|843442|843693|843834|844083|844383,PIN4|PSB29|AGL17|COL3|RR12|SYD|PGGT-I|EMB2766|RFI2|OBE1|PP2CA|AT3G12130|FUS9|AT3G14840|RR1|JAZ3|KIN10|AT3G19100|RIN4|JAZ11|PUB13|RTH|SYP122|AT3G54360|FTA|DDB1A|CPR1|NUDT7|AHL20|PRL1|SPK1|AT4G17720|EID1|UNE12|SLY1|PEP|ULT1|VEL1|SKB1|RAC3|MYB73|AT4G39050|CIPK15|WRKY75|CHR17|RIN1|EBF2|AT5G25440|YAK1|AT5G42950|NPR3|GAS41|CUL4|AT5G47390|BIR1|TAP46|EXO70B1|SIZ1|RAC10|NF-YC4|NF-YC9|PP2A-2|GN|DHAR1|ESC|CSN5A|PIN7|CRY2|CDPK2|NF-YC3|SEH1H|AE7|PIN3|AT1G71020|PIN1|TIFY10B|RFC3|AT1G80440,-14
hits,GO Biological Processes,19,GO:0009755,hormone-mediated signaling pathway,19_GO:0023052 signaling,-17,3.2,11,18982,640,649,70,11,1.2,814670|816290|817056|817240|817247|817375|817553|818540|819108|819280|820314|820364|820940|821055|821259|821445|821463|821575|823426|824268|824405|824570|825107|827272|827328|828522|829164|829480|829547|829597|829654|829676|829880|829935|830427|830548|830556|832607|833590|834127|834545|834663|834722|834784|835956|836163|836408|836451|836466|836602|837417|837583|837838|838452|838470|838916|839286|840105|840310|840471|841395|841922|843432|843442|843693|843834|843845|844146|844276|844383,PIN4|ARAC1|RR12|CIPK3|EIL1|SYD|AT2G30020|PGGT-I|EMB2766|HB-7|PP2CA|UBP13|RR1|JAZ3|KIN10|AT3G19100|ABF4|ERF7|JAZ11|RTH|SYP122|BSK6|FTA|PRL1|SPK1|SLY1|AT4G30410|BAK1|ABF3|AGB1|RAC3|BSK1|MYB73|HAT22|PYL5|UBP12|CIPK15|EBF2|YAK1|BSK8|NPR3|CUL4|PYL1|HAT2|EXO70B1|SIZ1|RAC10|NDPK2|NF-YC4|WRKY51|NF-YC9|PP2A-2|AFB3|RCAR1|CDPK1|PIN7|AXR1|IWS1|AT1G34110|CDPK2|ABF1|NF-YC3|PIN3|AT1G71020|PIN1|TIFY10B|BZR1|AUF1|RGLG4|AT1G80440,-14
hits,GO Biological Processes,19,GO:0032870,cellular response to hormone stimulus,19_GO:0050896 response to stimulus,-16,2.9,10,18982,749,649,75,12,1.3,814670|816290|816556|817056|817240|817247|817375|817553|818540|819108|819280|820314|820364|820940|821055|821259|821445|821463|821575|823426|824268|824405|824570|825107|827272|827328|828522|829164|829480|829547|829597|829654|829676|829880|829935|830427|830548|830556|830917|831826|832607|832990|833590|834127|834545|834663|834722|834784|835956|836163|836408|836451|836466|836602|837417|837583|837838|838452|838470|838544|838916|839286|840105|840310|840471|841395|841922|843432|843442|843693|843834|843845|844146|844276|844383,PIN4|ARAC1|MUR3|RR12|CIPK3|EIL1|SYD|AT2G30020|PGGT-I|EMB2766|HB-7|PP2CA|UBP13|RR1|JAZ3|KIN10|AT3G19100|ABF4|ERF7|JAZ11|RTH|SYP122|BSK6|FTA|PRL1|SPK1|SLY1|AT4G30410|BAK1|ABF3|AGB1|RAC3|BSK1|MYB73|HAT22|PYL5|UBP12|CIPK15|RBK1|WRKY62|EBF2|BZO2H3|YAK1|BSK8|NPR3|CUL4|PYL1|HAT2|EXO70B1|SIZ1|RAC10|NDPK2|NF-YC4|WRKY51|NF-YC9|PP2A-2|AFB3|RCAR1|CDPK1|DHAR1|PIN7|AXR1|IWS1|AT1G34110|CDPK2|ABF1|NF-YC3|PIN3|AT1G71020|PIN1|TIFY10B|BZR1|AUF1|RGLG4|AT1G80440,-13
hits,GO Biological Processes,19,GO:0071495,cellular response to endogenous stimulus,19_GO:0050896 response to stimulus,-16,2.8,9.9,18982,785,649,76,12,1.3,814670|816290|816556|817056|817240|817247|817375|817553|818540|819108|819280|820314|820364|820940|821055|821259|821445|821463|821575|823426|824268|824405|824570|825107|827272|827328|828522|829164|829387|829480|829547|829597|829654|829676|829880|829935|830427|830548|830556|830917|831826|832607|832990|833590|834127|834545|834663|834722|834784|835956|836163|836408|836451|836466|836602|837417|837583|837838|838452|838470|838544|838916|839286|840105|840310|840471|841395|841922|843432|843442|843693|843834|843845|844146|844276|844383,PIN4|ARAC1|MUR3|RR12|CIPK3|EIL1|SYD|AT2G30020|PGGT-I|EMB2766|HB-7|PP2CA|UBP13|RR1|JAZ3|KIN10|AT3G19100|ABF4|ERF7|JAZ11|RTH|SYP122|BSK6|FTA|PRL1|SPK1|SLY1|AT4G30410|SHM3|BAK1|ABF3|AGB1|RAC3|BSK1|MYB73|HAT22|PYL5|UBP12|CIPK15|RBK1|WRKY62|EBF2|BZO2H3|YAK1|BSK8|NPR3|CUL4|PYL1|HAT2|EXO70B1|SIZ1|RAC10|NDPK2|NF-YC4|WRKY51|NF-YC9|PP2A-2|AFB3|RCAR1|CDPK1|DHAR1|PIN7|AXR1|IWS1|AT1G34110|CDPK2|ABF1|NF-YC3|PIN3|AT1G71020|PIN1|TIFY10B|BZR1|AUF1|RGLG4|AT1G80440,-13
hits,GO Biological Processes,19,GO:0009640,photomorphogenesis,19_GO:0032501 multicellular organismal process,-13,6.9,11,18982,97,649,23,3.5,0.73,814930|817016|817241|820557|825286|825890|827049|828008|829007|829902|831275|834312|834663|835727|836466|836603|837417|838683|838899|839241|841922|843693|843983,CR88|COL3|FUS12|FUS9|FUS6|DDB1A|COP9|EID1|ckl4|KAI2|COP13|COP8|CUL4|CSN6A|NF-YC4|LIP1|NF-YC9|ESC|CSN5A|FUS5|NF-YC3|PIN1|SOB3,-9.8
hits,GO Biological Processes,19,GO:0046907,intracellular transport,19_GO:0051179 localization,-13,2.8,8.8,18982,679,649,64,9.9,1.2,814930|815211|816165|816386|816623|817429|818086|819108|819857|820233|821573|824048|824071|824405|824478|824649|825119|825376|825430|827055|827091|827302|827494|827637|827690|828241|828491|829412|829427|830160|830382|830452|830702|832171|832359|834483|834614|834730|835297|835429|836318|836484|836603|836748|837378|837404|837568|837737|837791|837958|838158|838349|839305|839749|839800|840134|840199|840957|841472|843468|844268|844297|844334|844406,CR88|VPS2.1|TOC132|SCY1|PSB29|ALB3|NPSN11|EMB2766|IMPA-1|VPS60.1|EHD1|HSP93-III|AT3G49100|SYP122|VPS37-1|ARA6|AT3G59500|ROC4|AT3G62560|AT4G14160|ATBET12|IMPA-2|SYP23|VPS25|VPS54|VPS28-1|AT4G23910|AT4G32760|AT4G32910|RABA4B|TOC34|MOS7|SYP132|XIK|VPS24.1|VPS2.2|RABA1c|VAM3|GB1|AT5G53480|AT5G61970|AT5G63640|LIP1|RMR1|SYP111|VAP27-2|ADL6|SEC22|KEU|GN|GOS11|VPS46.1|AT1G01910|SYP61|PEX7|AT1G32410|NACA5|VIP1|HIT1|POK|NUA|SYP52|ATERDJ2A|RAE1,-9.8
hits,GO Biological Processes,19,GO:0051649,establishment of localization in cell,19_GO:0051179 localization,-12,2.6,8.4,18982,723,649,65,10,1.2,814930|815211|816165|816386|816623|817429|818086|819108|819857|820233|821573|824048|824071|824405|824478|824649|825119|825376|825430|827055|827091|827302|827494|827637|827690|828241|828491|829412|829427|830160|830382|830452|830702|832171|832359|834483|834614|834730|835297|835429|836318|836484|836603|836748|837378|837404|837568|837583|837737|837791|837958|838158|838349|839305|839749|839800|840134|840199|840957|841472|843468|844268|844297|844334|844406,CR88|VPS2.1|TOC132|SCY1|PSB29|ALB3|NPSN11|EMB2766|IMPA-1|VPS60.1|EHD1|HSP93-III|AT3G49100|SYP122|VPS37-1|ARA6|AT3G59500|ROC4|AT3G62560|AT4G14160|ATBET12|IMPA-2|SYP23|VPS25|VPS54|VPS28-1|AT4G23910|AT4G32760|AT4G32910|RABA4B|TOC34|MOS7|SYP132|XIK|VPS24.1|VPS2.2|RABA1c|VAM3|GB1|AT5G53480|AT5G61970|AT5G63640|LIP1|RMR1|SYP111|VAP27-2|ADL6|PP2A-2|SEC22|KEU|GN|GOS11|VPS46.1|AT1G01910|SYP61|PEX7|AT1G32410|NACA5|VIP1|HIT1|POK|NUA|SYP52|ATERDJ2A|RAE1,-9.1
hits,GO Biological Processes,19,GO:1901701,cellular response to oxygen-containing compound,19_GO:0050896 response to stimulus,-11,2.6,7.9,18982,667,649,59,9.1,1.1,816290|816556|816623|817240|817375|817553|818540|819280|820314|820364|820956|821055|821259|821445|821463|823426|824405|824570|825107|827272|828522|829164|829387|829480|829547|829597|829676|829935|830427|830548|830556|831826|832990|833590|834127|834545|834663|834722|835956|836163|836408|836466|836602|837417|837583|837838|838300|838452|838470|838544|840105|840471|841395|841665|841922|843442|843834|843845|844276,ARAC1|MUR3|PSB29|CIPK3|SYD|AT2G30020|PGGT-I|HB-7|PP2CA|UBP13|UBC32|JAZ3|KIN10|AT3G19100|ABF4|JAZ11|SYP122|BSK6|FTA|PRL1|SLY1|AT4G30410|SHM3|BAK1|ABF3|AGB1|BSK1|HAT22|PYL5|UBP12|CIPK15|WRKY62|BZO2H3|YAK1|BSK8|NPR3|CUL4|PYL1|EXO70B1|SIZ1|RAC10|NF-YC4|WRKY51|NF-YC9|PP2A-2|AFB3|UBC34|RCAR1|CDPK1|DHAR1|IWS1|CDPK2|ABF1|ABA2|NF-YC3|AT1G71020|TIFY10B|BZR1|RGLG4,-7.8
hits,GO Biological Processes,19,GO:0033993,response to lipid,19_GO:0050896 response to stimulus,-9.8,2.4,7.4,18982,776,649,63,9.7,1.2,814962|816290|817240|817553|818213|818540|819235|819280|820314|821259|821445|821463|821575|822619|824570|824852|825107|825376|826983|827714|828522|829164|829427|829480|829547|829676|829935|830427|830556|830702|830756|832053|832703|832990|833590|834127|834307|834722|834786|835360|835379|835956|835969|836074|836163|836242|836408|836466|837417|837583|837637|838452|838470|838652|839024|839529|840105|840471|841395|841464|841922|843197|843845,XERICO|ARAC1|CIPK3|AT2G30020|GRF3|PGGT-I|GBF3|HB-7|PP2CA|KIN10|AT3G19100|ABF4|ERF7|AFP3|BSK6|AREB3|FTA|ROC4|AMT1;1|RING|SLY1|AT4G30410|AT4G32910|BAK1|ABF3|BSK1|HAT22|PYL5|CIPK15|SYP132|AT5G08560|ARIA|MSS1|BZO2H3|YAK1|BSK8|AT5G42950|PYL1|AT5G47390|WRKY27|TAP46|EXO70B1|FOLK|RDUF2|SIZ1|SNAP33|RAC10|NF-YC4|NF-YC9|PP2A-2|SNRK2.4|RCAR1|CDPK1|CAT1|ARL1|CRY2|IWS1|CDPK2|ABF1|SCL3|NF-YC3|AT1G68670|BZR1,-7
