Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
829919,3.0,1,1,1
836451,3.0,1,1,1
838667,3.0,1,1,1
827091,3.0,1,1,1
819969,3.0,1,1,1
818967,3.0,1,1,1
827272,3.0,1,1,1
832588,3.0,1,1,1
834663,3.0,1,1,1
837583,3.0,1,1,1
816556,3.0,1,1,1
828013,3.0,1,1,1
828213,3.0,1,1,1
838651,3.0,1,1,1
820364,3.0,1,1,1
832990,3.0,1,1,1
838683,3.0,1,1,1
818033,3.0,1,1,1
842833,3.0,1,1,1
828587,3.0,1,1,1
839305,3.0,1,1,1
827102,3.0,1,1,1
818086,3.0,1,1,1
816666,3.0,1,1,1
841596,3.0,1,1,1
827412,3.0,1,1,1
831980,3.0,1,1,1
822159,3.0,1,1,1
827055,3.0,1,1,1
837299,3.0,1,1,1
819895,3.0,1,1,1
827714,3.0,1,1,1
838544,3.0,1,1,1
838899,3.0,1,1,1
830124,3.0,1,1,1
817860,3.0,1,1,1
827637,3.0,1,1,1
828972,3.0,1,1,1
838916,3.0,1,1,1
820233,3.0,1,1,1
844268,3.0,1,1,1
816386,3.0,1,1,1
832065,3.0,1,1,1
829007,3.0,1,1,1
843468,3.0,1,1,1
830160,3.0,1,1,1
838710,3.0,1,1,1
830366,3.0,1,1,1
838394,3.0,1,1,1
819383,3.0,1,1,1
834312,3.0,1,1,1
837958,3.0,1,1,1
824589,3.0,1,1,1
830548,3.0,1,1,1
838600,3.0,1,1,1
837821,3.0,1,1,1
834407,3.0,1,1,1
822098,3.0,1,1,1
834892,3.0,1,1,1
838652,3.0,1,1,1
835379,3.0,1,1,1
820557,3.0,1,1,1
831720,3.0,1,1,1
824775,3.0,1,1,1
837068,3.0,1,1,1
825446,3.0,1,1,1
818879,3.0,1,1,1
830702,3.0,1,1,1
843432,3.0,1,1,1
817056,3.0,1,1,1
832846,3.0,1,1,1
836701,3.0,1,1,1
824972,3.0,1,1,1
825890,3.0,1,1,1
829270,3.0,1,1,1
837737,3.0,1,1,1
844288,3.0,1,1,1
831275,3.0,1,1,1
837417,3.0,1,1,1
837404,3.0,1,1,1
829880,3.0,1,1,1
837637,3.0,1,1,1
828706,3.0,1,1,1
840199,3.0,1,1,1
827494,3.0,1,1,1
828241,3.0,1,1,1
841301,3.0,1,1,1
831809,3.0,1,1,1
832206,3.0,1,1,1
844146,3.0,1,1,1
829387,3.0,1,1,1
814670,3.0,1,1,1
821259,3.0,1,1,1
838046,3.0,1,1,1
829549,3.0,1,1,1
815211,3.0,1,1,1
839749,3.0,1,1,1
822547,3.0,1,1,1
841941,3.0,1,1,1
836437,3.0,1,1,1
839241,3.0,1,1,1
833590,3.0,1,1,1
838470,3.0,1,1,1
817375,3.0,1,1,1
824493,3.0,1,1,1
840471,3.0,1,1,1
843160,3.0,1,1,1
822241,3.0,1,1,1
843983,3.0,1,1,1
827690,3.0,1,1,1
819857,3.0,1,1,1
835777,3.0,1,1,1
844334,3.0,1,1,1
824478,3.0,1,1,1
828008,3.0,1,1,1
831958,3.0,1,1,1
825430,3.0,1,1,1
821573,3.0,1,1,1
829654,3.0,1,1,1
843314,3.0,1,1,1
817429,3.0,1,1,1
841405,3.0,1,1,1
837797,3.0,1,1,1
832293,3.0,1,1,1
819838,3.0,1,1,1
818204,3.0,1,1,1
841665,3.0,1,1,1
827049,3.0,1,1,1
824649,3.0,1,1,1
817016,3.0,1,1,1
836603,3.0,1,1,1
819334,3.0,1,1,1
835498,3.0,1,1,1
825286,3.0,1,1,1
825517,3.0,1,1,1
837998,3.0,1,1,1
821647,3.0,1,1,1
835570,3.0,1,1,1
835429,3.0,1,1,1
836242,3.0,1,1,1
827713,3.0,1,1,1
828798,3.0,1,1,1
817306,3.0,1,1,1
827493,3.0,1,1,1
824071,3.0,1,1,1
843779,3.0,1,1,1
829902,3.0,1,1,1
836868,3.0,1,1,1
824048,3.0,1,1,1
844297,3.0,1,1,1
843141,3.0,1,1,1
824923,3.0,1,1,1
831919,3.0,1,1,1
829427,3.0,1,1,1
824405,3.0,1,1,1
843693,3.0,1,1,1
817147,3.0,1,1,1
831126,3.0,1,1,1
835727,3.0,1,1,1
841472,3.0,1,1,1
834730,3.0,1,1,1
837838,3.0,1,1,1
819108,3.0,1,1,1
834575,3.0,1,1,1
841922,3.0,1,1,1
830971,3.0,1,1,1
830294,3.0,1,1,1
836466,3.0,1,1,1
821445,3.0,1,1,1
817206,3.0,1,1,1
839433,3.0,1,1,1
821025,3.0,1,1,1
835935,3.0,1,1,1
814930,3.0,1,1,1
834483,3.0,1,1,1
821339,3.0,1,1,1
816794,3.0,1,1,1
820196,3.0,1,1,1
838158,3.0,1,1,1
825835,3.0,1,1,1
828208,3.0,1,1,1
839529,3.0,1,1,1
