Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0009451,RNA modification,19_GO:0008152 metabolic process,-12,2.7,8.4,18982,341,1263,61,4.8,0.6,814827|814867|814914|815032|816742|817307|817942|818272|818309|818667|819097|819688|819698|820319|820586|820601|821085|821115|821229|821701|821779|821840|823940|824504|824822|824910|825512|826774|827609|828630|829378|830107|830356|830748|830856|832769|833735|834796|835340|836038|837463|837671|837825|838009|838121|838561|839466|839478|840066|842125|842263|842523|843175|843226|843490|843776|3770595|3770596|3771503|6240220|10723034,OTP85|AT2G03380|REME1|AT2G04860|AT2G22070|AT2G27610|AT2G33760|AT2G36980|AT2G37320|AT2G40720|AHG11|MEF19|AT3G05340|AT3G11460|AT3G13770|AT3G13880|AT3G02010|AT3G02330|AT3G03580|AT3G21470|AT3G22150|AT3G22690|AT3G47840|AT3G53360|AT3G56550|OTP84|OTP86|AT4G11690|DOT4|OTP70|AT4G32430|AT4G39530|AT5G04780|SLG1|MEF7|AT5G27110|AT5G37570|AT5G47460|MEF1|OTP80|AT1G09410|CRR22|RPF1|AT1G14470|ECB2|AT1G19720|AT1G03540|AT1G03510|AT1G31790|AT1G56690|CRR28|MEF9|IPT1|AT1G68930|AT1G71490|AT1G74350|AT4G39363|AT4G39364|U3D|AT4G19191|AT3G49142,-8.2,hits
GO Biological Processes,19,GO:0019684,"photosynthesis, light reaction",19_GO:0008152 metabolic process,-8.6,3.5,7.4,18982,126,1263,29,2.3,0.42,814688|817606|818599|821840|822391|824246|824654|827921|827996|831799|832477|834495|836751|837178|837974|838243|839449|839869|839870|839969|841447|841919|841995|842016|842354|843222|843903|843990|2745715,CRR3|PSBW|LHCB4.3|AT3G22690|LHCB2.3|PSBO2|LHCA1|TROL|PETC|OHP|SIGE|AT5G44660|FNR1|PSBP-1|PnsL2|HCF173|PSB27|CAB3|CAB2|RSH4|FTSH1|TLP18.3|ZKT|PSAG|ABC4|PHYLLO|LQY1|AT1G76570|PAM68,-5,hits
KEGG Pathway,24,ath00195,Photosynthesis,,-7.9,4.2,7.4,18982,76,1263,21,1.7,0.36,817606|824246|826892|827996|828984|828996|836751|837178|837974|838622|839449|842016|843942|844728|844745|844753|844774|844775|844788|844789|844795,PSBW|PSBO2|PSAL|PETC|PSB28|PSAE-1|FNR1|PSBP-1|PnsL2|DRT112|PSB27|PSAG|PETE1|petD|psbE|psaI|psbZ|psbD|atpH|atpF|psbK,-4.7,hits
KEGG Pathway,24,ko00195,Photosynthesis,,-7.9,4.2,7.4,18982,76,1263,21,1.7,0.36,817606|824246|826892|827996|828984|828996|836751|837178|837974|838622|839449|842016|843942|844728|844745|844753|844774|844775|844788|844789|844795,PSBW|PSBO2|PSAL|PETC|PSB28|PSAE-1|FNR1|PSBP-1|PnsL2|DRT112|PSB27|PSAG|PETE1|petD|psbE|psaI|psbZ|psbD|atpH|atpF|psbK,-4.7,hits
GO Biological Processes,19,GO:0015979,photosynthesis,19_GO:0008152 metabolic process,-7.6,2.7,6.6,18982,197,1263,36,2.9,0.47,814688|817409|817606|818599|821840|822391|824246|824654|824832|824861|825822|826892|827921|827996|831799|832477|833828|834495|836751|837178|837974|838243|839449|839869|839870|839969|840098|841447|841919|841995|842016|842354|843222|843903|843990|2745715,CRR3|AT2G28605|PSBW|LHCB4.3|AT3G22690|LHCB2.3|PSBO2|LHCA1|PPD6|CRD1|KEA3|PSAL|TROL|PETC|OHP|SIGE|RBCS3B|AT5G44660|FNR1|PSBP-1|PnsL2|HCF173|PSB27|CAB3|CAB2|RSH4|PRK|FTSH1|TLP18.3|ZKT|PSAG|ABC4|PHYLLO|LQY1|AT1G76570|PAM68,-4.5,hits
GO Biological Processes,19,GO:0009765,"photosynthesis, light harvesting",19_GO:0008152 metabolic process,-4.7,4.5,5.6,18982,37,1263,11,0.87,0.26,818599|822391|824654|839449|839869|839870|841447|841919|841995|843903|843990,LHCB4.3|LHCB2.3|LHCA1|PSB27|CAB3|CAB2|FTSH1|TLP18.3|ZKT|LQY1|AT1G76570,-1.7,hits
GO Biological Processes,19,GO:0015994,chlorophyll metabolic process,19_GO:0008152 metabolic process,-3.9,2.8,4.5,18982,85,1263,16,1.3,0.31,821840|821855|824861|824885|826798|826942|827119|827479|828853|829413|831207|831984|834408|834633|839472|841025,AT3G22690|ELIP1|CRD1|BPG2|AT4G11910|NYC1|ELIP2|LIL3:1|PORB|VTE1|GUN5|PCB2|CLH2|CHLI2|HCAR|hemb2,-0.92,hits
GO Biological Processes,19,GO:0010207,photosystem II assembly,19_GO:0071840 cellular component organization or biogenesis,-3.7,4.6,4.9,18982,26,1263,8,0.63,0.22,821840|824246|831799|832477|838243|839449|841995|2745715,AT3G22690|PSBO2|OHP|SIGE|HCF173|PSB27|ZKT|PAM68,-0.8,hits
GO Biological Processes,19,GO:0009416,response to light stimulus,19_GO:0050896 response to stimulus,-3.4,1.5,3.6,18982,787,1263,77,6.1,0.67,816671|817165|817460|817545|817672|817696|818599|818869|819100|819359|819940|821260|821437|821508|821840|821855|822391|823925|824246|824654|824885|825822|827001|827119|827220|827996|829361|829413|829682|829767|829779|829913|829946|830693|830765|830988|831441|831501|831770|831799|831975|832370|832477|832537|832825|833972|834652|834852|835036|835301|835357|836114|837373|837576|837805|838121|838212|838622|839268|839422|839449|839508|839869|839870|841856|841995|842988|843027|843417|843812|843847|843990|844173|844412|3768781|28718318|28720179,BBX18|KCS10|GLR2.7|ELF4-L1|LSH3|STH|LHCB4.3|AT2G42690|HB4|MYB12|GLR1.4|TRXF1|HAF2|BCAT4|AT3G22690|ELIP1|LHCB2.3|BNQ3|PSBO2|LHCA1|BPG2|KEA3|PTAC5|ELIP2|UGT84A1|PETC|IAA29|VTE1|GLUR2|AT4G36105|FAH1|HLS1|AT4G37900|TT7|FLS1|GLR2.6|CO|TRXF2|AT5G03640|OHP|EMB269|CaS|SIGE|LSU4|ACBP5|HB23|APE2|THAS1|FRO6|RUP1|AT5G52800|ULI3|AT1G01880|ERD9|OZS1|ECB2|MC8|DRT112|GLR3.4|MEA|PSB27|GA2OX6|CAB3|CAB2|NF-YA5|ZKT|PXMT1|DIN9|EHB1|AT1G74730|JAC1|AT1G76570|GSTU20|ZFP1|AT3G09190|AT2G30380|MIR824,-0.53,hits
GO Biological Processes,19,GO:0000959,mitochondrial RNA metabolic process,19_GO:0008152 metabolic process,-3.3,3,4.2,18982,60,1263,12,0.95,0.27,819688|820601|821115|821779|826774|829378|830748|836592|837825|841694|843776|28719435,MEF19|AT3G13880|AT3G02330|AT3G22150|AT4G11690|AT4G32430|SLG1|AT5G64710|RPF1|AT1G52620|AT1G74350|AT4G01400,-0.49,hits
