Gene,_SCORE_GRP6_,_SCORE_GRP1_,_SCORE_GRP3_,_SCORE_GRP2_,_SCORE_GRP5_,_SCORE_GRP13_,_SCORE_GRP16_,_SCORE_GRP7_,_SCORE_GRP11_,_SCORE_GRP14_,_SCORE_GRP20_,_SCORE_GRP15_,_SCORE_GRP4_,_SCORE_GRP19_,_SCORE_GRP8_,_SCORE_GRP12_,_SCORE_GRP9_,_SCORE_GRP17_,_SCORE_GRP18_,_SCORE_GRP10_,GRP1|19_GO:0009451|-11.963|RNA modification,GRP2|19_GO:0015979|-7.572|photosynthesis,GRP2|19_GO:0006091|-2.083|generation of precursor metabolites and energy,"GRP2|19_GO:0019684|-8.551|photosynthesis, light reaction",GRP2|19_GO:0010207|-3.701|photosystem II assembly,GRP3|24_ko00195|-7.858|Photosynthesis,GRP3|24_ath00195|-7.858|Photosynthesis,"GRP4|19_GO:0009765|-4.733|photosynthesis, light harvesting",GRP4|24_ko00196|-2.596|Photosynthesis - antenna proteins,GRP4|24_ath00196|-2.596|Photosynthesis - antenna proteins,"GRP4|19_GO:0009768|-2.489|photosynthesis, light harvesting in photosystem I",GRP5|19_GO:0006778|-3.146|porphyrin-containing compound metabolic process,GRP5|19_GO:0015994|-3.873|chlorophyll metabolic process,GRP5|19_GO:0033013|-3.097|tetrapyrrole metabolic process,GRP5|19_GO:0006779|-2.204|porphyrin-containing compound biosynthetic process,GRP5|19_GO:0015995|-2.623|chlorophyll biosynthetic process,GRP5|19_GO:0033014|-2.067|tetrapyrrole biosynthetic process,GRP5|24_ko00860|-2.469|Porphyrin and chlorophyll metabolism,GRP5|24_ath00860|-2.469|Porphyrin and chlorophyll metabolism,GRP5|19_GO:1901401|-2.616|regulation of tetrapyrrole metabolic process,GRP5|19_GO:0090056|-2.121|regulation of chlorophyll metabolic process,GRP6|19_GO:0009416|-3.380|response to light stimulus,GRP7|19_GO:0000959|-3.295|mitochondrial RNA metabolic process,GRP7|19_GO:1900864|-2.933|mitochondrial RNA modification,GRP7|19_GO:0080156|-2.041|mitochondrial mRNA modification,GRP8|19_GO:0010206|-3.161|photosystem II repair,GRP9|19_GO:0046865|-2.959|terpenoid transport,GRP9|19_GO:0046864|-2.959|isoprenoid transport,GRP10|24_ko00944|-2.952|Flavone and flavonol biosynthesis,GRP10|24_ath00944|-2.952|Flavone and flavonol biosynthesis,GRP11|19_GO:1900865|-2.810|chloroplast RNA modification,GRP12|19_GO:0051026|-2.655|chiasma assembly,GRP13|19_GO:0009699|-2.013|phenylpropanoid biosynthetic process,GRP13|19_GO:0010345|-2.596|suberin biosynthetic process,GRP14|19_GO:0031425|-2.489|chloroplast RNA processing,GRP15|19_GO:0010143|-2.489|cutin biosynthetic process,"GRP16|24_ko00945|-2.235|Stilbenoid, diarylheptanoid and gingerol biosynthesis","GRP16|24_ath00945|-2.235|Stilbenoid, diarylheptanoid and gingerol biosynthesis",GRP16|24_ko00903|-2.370|Limonene and pinene degradation,GRP16|24_ath00903|-2.370|Limonene and pinene degradation,GRP17|19_GO:0010218|-2.050|response to far red light,GRP17|19_GO:0071483|-2.121|cellular response to blue light,GRP17|19_GO:0071490|-2.297|cellular response to far red light,GRP18|19_GO:0000710|-2.297|meiotic mismatch repair,GRP19|19_GO:0048017|-2.164|inositol lipid-mediated signaling,GRP20|19_GO:0015851|-2.121|nucleobase transport,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_,_SORT_GRP7_,_SORT_GRP8_,_SORT_GRP9_,_SORT_GRP10_,_SORT_GRP11_,_SORT_GRP12_,_SORT_GRP13_,_SORT_GRP14_,_SORT_GRP15_,_SORT_GRP16_,_SORT_GRP17_,_SORT_GRP18_,_SORT_GRP19_,_SORT_GRP20_
814827,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
838121,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
825822,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832589,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
821701,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
834852,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837066,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
3771503,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
