_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-11.963190459225306,GO:0009451,M1,1,0,GO Biological Processes,19,RNA modification,19_GO:0008152 metabolic process,-11.963190459225306,2.6885249708021908,8.40023991031903,18982,341,1263,61,4.829770387965162,0.6032705510105629,814827|814867|814914|815032|816742|817307|817942|818272|818309|818667|819097|819688|819698|820319|820586|820601|821085|821115|821229|821701|821779|821840|823940|824504|824822|824910|825512|826774|827609|828630|829378|830107|830356|830748|830856|832769|833735|834796|835340|836038|837463|837671|837825|838009|838121|838561|839466|839478|840066|842125|842263|842523|843175|843226|843490|843776|3770595|3770596|3771503|6240220|10723034,OTP85|AT2G03380|REME1|AT2G04860|AT2G22070|AT2G27610|AT2G33760|AT2G36980|AT2G37320|AT2G40720|AHG11|MEF19|AT3G05340|AT3G11460|AT3G13770|AT3G13880|AT3G02010|AT3G02330|AT3G03580|AT3G21470|AT3G22150|AT3G22690|AT3G47840|AT3G53360|AT3G56550|OTP84|OTP86|AT4G11690|DOT4|OTP70|AT4G32430|AT4G39530|AT5G04780|SLG1|MEF7|AT5G27110|AT5G37570|AT5G47460|MEF1|OTP80|AT1G09410|CRR22|RPF1|AT1G14470|ECB2|AT1G19720|AT1G03540|AT1G03510|AT1G31790|AT1G56690|CRR28|MEF9|IPT1|AT1G68930|AT1G71490|AT1G74350|AT4G39363|AT4G39364|U3D|AT4G19191|AT3G49142,-8.159869935646551,0,1,1,1,-11.963190459225306,2.6885249708021908,
1,-8.550784919827562,GO:0019684,M1,1,0,GO Biological Processes,19,"photosynthesis, light reaction",19_GO:0008152 metabolic process,-8.550784919827562,3.459123528007138,7.394051116282429,18982,126,1263,29,2.2961203483768804,0.42145533231476145,814688|817606|818599|821840|822391|824246|824654|827921|827996|831799|832477|834495|836751|837178|837974|838243|839449|839869|839870|839969|841447|841919|841995|842016|842354|843222|843903|843990|2745715,CRR3|PSBW|LHCB4.3|AT3G22690|LHCB2.3|PSBO2|LHCA1|TROL|PETC|OHP|SIGE|AT5G44660|FNR1|PSBP-1|PnsL2|HCF173|PSB27|CAB3|CAB2|RSH4|FTSH1|TLP18.3|ZKT|PSAG|ABC4|PHYLLO|LQY1|AT1G76570|PAM68,-5.048494391912789,0,2,1,1,-8.550784919827562,4.624398562640843,
1,-7.571866215518242,GO:0015979,M1,1,0,GO Biological Processes,19,photosynthesis,19_GO:0008152 metabolic process,-7.571866215518242,2.7464702123298412,6.578552000137261,18982,197,1263,36,2.8503562945368173,0.46823999440220815,814688|817409|817606|818599|821840|822391|824246|824654|824832|824861|825822|826892|827921|827996|831799|832477|833828|834495|836751|837178|837974|838243|839449|839869|839870|839969|840098|841447|841919|841995|842016|842354|843222|843903|843990|2745715,CRR3|AT2G28605|PSBW|LHCB4.3|AT3G22690|LHCB2.3|PSBO2|LHCA1|PPD6|CRD1|KEA3|PSAL|TROL|PETC|OHP|SIGE|RBCS3B|AT5G44660|FNR1|PSBP-1|PnsL2|HCF173|PSB27|CAB3|CAB2|RSH4|PRK|FTSH1|TLP18.3|ZKT|PSAG|ABC4|PHYLLO|LQY1|AT1G76570|PAM68,-4.467515696275507,0,2,0,0,-8.550784919827562,4.624398562640843,
1,-3.701206014248071,GO:0010207,M1,1,0,GO Biological Processes,19,photosystem II assembly,19_GO:0071840 cellular component organization or biogenesis,-3.701206014248071,4.624398562640843,4.93731560525084,18982,26,1263,8,0.6334125098970704,0.22323476556269126,821840|824246|831799|832477|838243|839449|841995|2745715,AT3G22690|PSBO2|OHP|SIGE|HCF173|PSB27|ZKT|PAM68,-0.8009754776612606,0,2,0,0,-8.550784919827562,4.624398562640843,
1,-2.0828377024358726,GO:0006091,M1,1,0,GO Biological Processes,19,generation of precursor metabolites and energy,19_GO:0008152 metabolic process,-2.0828377024358726,1.5498960807600948,2.6486107462197634,18982,320,1263,33,2.6128266033254155,0.44885337992426333,814688|816381|817606|818599|821840|822391|824246|824654|827921|827996|831799|832042|832477|834495|835945|836751|837066|837178|837974|838243|839449|839869|839870|839969|841447|841919|841995|842016|842354|843222|843903|843990|2745715,CRR3|PNP-A|PSBW|LHCB4.3|AT3G22690|LHCB2.3|PSBO2|LHCA1|TROL|PETC|OHP|APL1|SIGE|AT5G44660|AT5G58330|FNR1|APS2|PSBP-1|PnsL2|HCF173|PSB27|CAB3|CAB2|RSH4|FTSH1|TLP18.3|ZKT|PSAG|ABC4|PHYLLO|LQY1|AT1G76570|PAM68,0.0,0,2,0,0,-8.550784919827562,4.624398562640843,
1,-7.857918644056928,ath00195,M1,1,0,KEGG Pathway,24,Photosynthesis,,-7.857918644056928,4.152831603950494,7.352742560376611,18982,76,1263,21,1.66270783847981,0.3598035296684395,817606|824246|826892|827996|828984|828996|836751|837178|837974|838622|839449|842016|843942|844728|844745|844753|844774|844775|844788|844789|844795,PSBW|PSBO2|PSAL|PETC|PSB28|PSAE-1|FNR1|PSBP-1|PnsL2|DRT112|PSB27|PSAG|PETE1|petD|psbE|psaI|psbZ|psbD|atpH|atpF|psbK,-4.656658111806137,0,3,1,1,-7.857918644056928,4.152831603950494,
1,-7.857918644056928,ko00195,M1,1,0,KEGG Pathway,24,Photosynthesis,,-7.857918644056928,4.152831603950494,7.352742560376611,18982,76,1263,21,1.66270783847981,0.3598035296684395,817606|824246|826892|827996|828984|828996|836751|837178|837974|838622|839449|842016|843942|844728|844745|844753|844774|844775|844788|844789|844795,PSBW|PSBO2|PSAL|PETC|PSB28|PSAE-1|FNR1|PSBP-1|PnsL2|DRT112|PSB27|PSAG|PETE1|petD|psbE|psaI|psbZ|psbD|atpH|atpF|psbK,-4.656658111806137,0,3,0,0,-7.857918644056928,4.152831603950494,
1,-4.732752590282194,GO:0009765,M1,1,0,GO Biological Processes,19,"photosynthesis, light harvesting",19_GO:0008152 metabolic process,-4.732752590282194,4.468168881470544,5.637614950261837,18982,37,1263,11,0.8709422011084719,0.2614529107493955,818599|822391|824654|839449|839869|839870|841447|841919|841995|843903|843990,LHCB4.3|LHCB2.3|LHCA1|PSB27|CAB3|CAB2|FTSH1|TLP18.3|ZKT|LQY1|AT1G76570,-1.7075833170870838,0,4,1,1,-4.732752590282194,4.468168881470544,
1,-2.595817117257233,ath00196,M1,1,0,KEGG Pathway,24,Photosynthesis - antenna proteins,,-2.595817117257233,4.098898725977111,3.8827655989816177,18982,22,1263,6,0.4750593824228028,0.1934809620621234,818599|822391|824654|839869|839870|843990,LHCB4.3|LHCB2.3|LHCA1|CAB3|CAB2|AT1G76570,-0.19043660235051652,0,4,0,0,-4.732752590282194,4.468168881470544,
1,-2.595817117257233,ko00196,M1,1,0,KEGG Pathway,24,Photosynthesis - antenna proteins,,-2.595817117257233,4.098898725977111,3.8827655989816177,18982,22,1263,6,0.4750593824228028,0.1934809620621234,818599|822391|824654|839869|839870|843990,LHCB4.3|LHCB2.3|LHCA1|CAB3|CAB2|AT1G76570,-0.19043660235051652,0,4,0,0,-4.732752590282194,4.468168881470544,
