Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,GO Biological Processes,19,GO:0071490,cellular response to far red light,19_GO:0050896 response to stimulus,-5,63,14,18982,6,150,3,2,1.1,821855|827119|831441,ELIP1|ELIP2|CO,-3.1
hits,GO Biological Processes,19,GO:0071495,cellular response to endogenous stimulus,19_GO:0050896 response to stimulus,-4.8,3.1,5.3,18982,785,150,19,13,2.7,814707|817460|819940|823912|824193|825160|829682|831162|832149|832590|834133|834768|836596|839173|839268|839732|841271|843165|843388,RR14|GLR2.7|GLR1.4|AT3G47580|MAPKKK20|ARGOS|GLUR2|JAZ10|HHP1|ESE3|GL3|ERF2|ABR1|ERF10|GLR3.4|ERF12|JAZ4|AT1G68360|KNAT2,-2.9
hits,GO Biological Processes,19,GO:0071230,cellular response to amino acid stimulus,19_GO:0050896 response to stimulus,-4.6,23,9.2,18982,22,150,4,2.7,1.3,817460|819940|829682|839268,GLR2.7|GLR1.4|GLUR2|GLR3.4,-2.7
hits,GO Biological Processes,19,GO:0010218,response to far red light,19_GO:0050896 response to stimulus,-4.6,14,7.8,18982,45,150,5,3.3,1.5,819100|821855|827119|829361|831441,HB4|ELIP1|ELIP2|IAA29|CO,-2.6
hits,GO Biological Processes,19,GO:0104004,cellular response to environmental stimulus,19_GO:0050896 response to stimulus,-4.5,5.7,5.9,18982,201,150,9,6,1.9,816671|821420|821855|827119|831441|835840|838887|839268|843847,BBX18|AT3G18870|ELIP1|ELIP2|CO|AT5G57345|AT1G22810|GLR3.4|JAC1,-2.6
hits,GO Biological Processes,19,GO:0071214,cellular response to abiotic stimulus,19_GO:0050896 response to stimulus,-4.5,5.7,5.9,18982,201,150,9,6,1.9,816671|821420|821855|827119|831441|835840|838887|839268|843847,BBX18|AT3G18870|ELIP1|ELIP2|CO|AT5G57345|AT1G22810|GLR3.4|JAC1,-2.6
hits,GO Biological Processes,19,GO:0072511,divalent inorganic cation transport,19_GO:0051179 localization,-4.4,7.6,6.4,18982,117,150,7,4.7,1.7,817460|817490|818427|819940|829682|831339|839268,GLR2.7|MTPB1|IREG1|GLR1.4|GLUR2|CNGC18|GLR3.4,-2.5
hits,GO Biological Processes,19,GO:0006970,response to osmotic stress,19_GO:0050896 response to stimulus,-4.4,3.4,5.1,18982,566,150,15,10,2.4,816622|821420|824120|824193|824359|825362|825753|832149|832538|833746|835640|835840|836596|841571|843262,ERF53|AT3G18870|LSU1|MAPKKK20|BZIP24|HB-12|RbcX1|HHP1|LSU2|AT5G37670|NHX3|AT5G57345|ABR1|ABCG13|WRKY57,-2.4
hits,GO Biological Processes,19,GO:0006874,cellular calcium ion homeostasis,19_GO:0065007 biological regulation,-4.3,12,7.2,18982,52,150,5,3.3,1.5,817460|819940|829682|831339|839268,GLR2.7|GLR1.4|GLUR2|CNGC18|GLR3.4,-2.3
hits,GO Biological Processes,19,GO:0071483,cellular response to blue light,19_GO:0050896 response to stimulus,-4.2,19,8.2,18982,27,150,4,2.7,1.3,816671|821855|827119|843847,BBX18|ELIP1|ELIP2|JAC1,-2.3
hits,GO Biological Processes,19,GO:0009639,response to red or far red light,19_GO:0050896 response to stimulus,-4.2,5.2,5.6,18982,220,150,9,6,1.9,816671|817696|819100|821855|823925|827119|829361|831441|832370,BBX18|STH|HB4|ELIP1|BNQ3|ELIP2|IAA29|CO|CaS,-2.3
hits,GO Biological Processes,19,GO:0055074,calcium ion homeostasis,19_GO:0065007 biological regulation,-4.1,12,7,18982,55,150,5,3.3,1.5,817460|819940|829682|831339|839268,GLR2.7|GLR1.4|GLUR2|CNGC18|GLR3.4,-2.2
hits,GO Biological Processes,19,GO:0072503,cellular divalent inorganic cation homeostasis,19_GO:0065007 biological regulation,-4,11,6.7,18982,58,150,5,3.3,1.5,817460|819940|829682|831339|839268,GLR2.7|GLR1.4|GLUR2|CNGC18|GLR3.4,-2.1
