Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0009451,RNA modification,19_GO:0008152 metabolic process,-16,2.6,9.7,18982,341,1828,85,4.6,0.49,814804|814827|814867|814914|815845|816576|816742|817307|818272|818309|818667|819097|819688|819698|820319|820459|820586|820601|820653|821115|821229|821642|821701|821840|822262|822494|823940|824504|824800|824822|824910|825512|826774|827041|827142|827584|827609|827878|828375|828630|829378|829871|829892|830107|830356|830748|830856|831168|831382|831549|831647|832343|832769|833931|834796|834949|835172|835340|835362|835668|836782|837123|837671|838121|838561|838888|839121|839283|839402|839466|839478|840066|841092|841167|842125|842970|843226|843343|843490|843776|843800|844054|3770596|6240220|10723034,AT2G02750|OTP85|AT2G03380|REME1|SLO2|MEF21|AT2G22070|AT2G27610|AT2G36980|AT2G37320|AT2G40720|AHG11|MEF19|AT3G05340|AT3G11460|MEF22|AT3G13770|AT3G13880|AT3G14330|AT3G02330|AT3G03580|AT3G20930|AT3G21470|AT3G22690|AT3G26540|AT3G28640|AT3G47840|AT3G53360|AT3G56330|AT3G56550|OTP84|OTP86|AT4G11690|AT4G14050|LOI1|AT4G18520|DOT4|AT4G21300|AT4G22760|OTP70|AT4G32430|AT4G37170|AT4G37380|AT4G39530|AT5G04780|SLG1|MEF7|RARE1|AT5G15300|AT5G16860|VAR3|EMB1030|AT5G27110|AT5G39350|AT5G47460|LPA66|AT5G50990|MEF1|AT5G52850|CRR21|AT5G66500|MEF3|CRR22|ECB2|AT1G19720|AT1G22830|AT1G25360|PFC1|AT1G04840|AT1G03540|AT1G03510|AT1G31790|AT1G45231|DYW1|AT1G56690|pde194|AT1G68930|EMB25|AT1G71490|AT1G74350|OTP87|AT1G77170|AT4G39364|AT4G19191|AT3G49142,-12,hits
GO Biological Processes,19,GO:0019684,"photosynthesis, light reaction",19_GO:0008152 metabolic process,-7.2,2.7,6.3,18982,126,1828,33,1.8,0.31,814688|816078|818005|818599|820043|821840|823814|824654|825304|825866|826626|828489|829266|829678|831799|832477|834495|835515|836525|836751|836789|837040|837178|837974|838151|838243|839869|841447|842354|842446|843215|843903|2745715,CRR3|OTP51|LHB1B2|LHCB4.3|LHCB4.2|AT3G22690|AT3G46610|LHCA1|AT3G61320|PSBQ-2|LHCB5|NdhS|ACDO1|HCF244|OHP|SIGE|AT5G44660|LHCB3|PSAN|FNR1|PSBO1|LPA19|PSBP-1|PnsL2|LHCB6|HCF173|CAB3|FTSH1|ABC4|LHCA3|STN7|LQY1|PAM68,-3.7,hits
GO Biological Processes,19,GO:0015979,photosynthesis,19_GO:0008152 metabolic process,-6.6,2.3,5.8,18982,197,1828,43,2.4,0.35,814688|816078|818005|818599|820043|821840|823814|824559|824654|824699|824832|824861|825304|825822|825866|826626|826892|828096|828489|829266|829678|831799|832477|834495|835168|835515|836525|836751|836789|837040|837178|837974|838151|838243|839869|841447|842354|842446|842794|843029|843215|843903|2745715,CRR3|OTP51|LHB1B2|LHCB4.3|LHCB4.2|AT3G22690|AT3G46610|SIGC|LHCA1|PPL1|PPD6|CRD1|AT3G61320|KEA3|PSBQ-2|LHCB5|PSAL|RSH1|NdhS|ACDO1|HCF244|OHP|SIGE|AT5G44660|FUM2|LHCB3|PSAN|FNR1|PSBO1|LPA19|PSBP-1|PnsL2|LHCB6|HCF173|CAB3|FTSH1|ABC4|LHCA3|SIGA|RBCS1A|STN7|LQY1|PAM68,-3.3,hits
GO Biological Processes,19,GO:1900865,chloroplast RNA modification,19_GO:0008152 metabolic process,-6.5,5,6.8,18982,27,1828,13,0.71,0.2,814827|820601|820653|821642|824822|827584|827609|829892|831382|831647|834796|841167|844054,OTP85|AT3G13880|AT3G14330|AT3G20930|AT3G56550|AT4G18520|DOT4|AT4G37380|AT5G15300|VAR3|AT5G47460|DYW1|AT1G77170,-3.3,hits
GO Biological Processes,19,GO:0000959,mitochondrial RNA metabolic process,19_GO:0008152 metabolic process,-6.4,3.5,6.2,18982,60,1828,20,1.1,0.24,815845|816576|817349|819688|820459|820601|821115|826774|829378|830284|830748|836592|836619|837123|837784|839880|841694|843776|843800|28719435,SLO2|MEF21|AT2G28050|MEF19|MEF22|AT3G13880|AT3G02330|AT4G11690|AT4G32430|AT5G04050|SLG1|AT5G64710|AT5G64950|MEF3|AT1G12300|nMAT1|AT1G52620|AT1G74350|OTP87|AT4G01400,-3.3,hits
GO Biological Processes,19,GO:0009416,response to light stimulus,19_GO:0050896 response to stimulus,-5.5,1.5,4.8,18982,787,1828,115,6.3,0.57,816231|816312|816538|817515|817696|817800|817801|818005|818273|818341|818558|818599|819292|819359|820043|820391|820464|820793|821260|821437|821508|821840|822427|823587|823814|823893|823997|824051|824311|824559|824654|824678|824838|824885|825054|825382|825822|826626|827001|827011|827146|827319|827568|827663|828638|828645|829266|829541|829567|829578|829767|829779|829781|829913|830991|831368|831501|831648|831663|831799|831975|832145|832250|832370|832438|832477|832593|832768|832825|833768|834320|834503|834652|835256|835357|835515|836114|836618|836789|837069|837373|837376|837479|837792|837805|837989|838121|838151|838219|839300|839395|839508|839869|840410|841537|842103|842256|842288|842446|842794|842991|843215|843293|843330|843353|843417|843502|843812|843847|844173|844374|3768781|6241025|28718318|28721277,GLR2|TAF14|PIL5|PHT4;1|STH|GLR3.5|GLR5|LHB1B2|SIGF|EXP3|RCA|LHCB4.3|PRR9|MYB12|LHCB4.2|FLR1|MYB10|IAA19|TRXF1|HAF2|BCAT4|AT3G22690|UVH3|AT3G44610|AT3G46610|PHS1|AT3G48390|AT3G48900|GLR3.6|SIGC|LHCA1|TT5|SIB1|BPG2|PAR2|PIL2|KEA3|LHCB5|PTAC5|CYP83A1|FdC1|PHYD|TCP2|CYP707A1|SHB1|GA20OX1|ACDO1|OST1|SEP1|AT4G34280|AT4G36105|FAH1|GATA7|HLS1|GLR2.5|BNQ2|TRXF2|MYB56|AT5G17960|OHP|EMB269|BCB|AT5G21900|CaS|RUP2|SIGE|KNAT3|GLR2.1|ACBP5|AT5G37890|NPQ6|POLH|APE2|GA20OX2|AT5G52800|LHCB3|ULI3|ATH13|PSBO1|5PTASE13|AT1G01880|SIG2|PIF3|PHR1|OZS1|PKS2|ECB2|LHCB6|MYB58|HFR1|KCS1|GA2OX6|CAB3|AT1G35210|FBH3|AT1G56500|AT1G59660|ARR3|LHCA3|SIGA|LIG6|STN7|AT1G69570|SHW1|MMP|EHB1|PDE338|AT1G74730|JAC1|GSTU20|GA3OX2|AT3G09190|AT1G69572|AT2G30380|LSH5,-2.5,hits
KEGG Pathway,24,ko00195,Photosynthesis,,-5.2,2.9,5.3,18982,76,1828,21,1.1,0.25,816545|824699|825866|826892|827146|828984|836525|836751|836789|837178|837639|837974|838400|839918|840021|840149|843942|844745|844775|844788|844789,PSAE-2|PPL1|PSBQ-2|PSAL|FdC1|PSB28|PSAN|FNR1|PSBO1|PSBP-1|FD1|PnsL2|PSAD-2|PSAK|PSAF|FdC2|PETE1|psbE|psbD|atpH|atpF,-2.3,hits
KEGG Pathway,24,ath00195,Photosynthesis,,-5.2,2.9,5.3,18982,76,1828,21,1.1,0.25,816545|824699|825866|826892|827146|828984|836525|836751|836789|837178|837639|837974|838400|839918|840021|840149|843942|844745|844775|844788|844789,PSAE-2|PPL1|PSBQ-2|PSAL|FdC1|PSB28|PSAN|FNR1|PSBO1|PSBP-1|FD1|PnsL2|PSAD-2|PSAK|PSAF|FdC2|PETE1|psbE|psbD|atpH|atpF,-2.3,hits
GO Biological Processes,19,GO:0016556,mRNA modification,19_GO:0008152 metabolic process,-4.7,3.3,5.2,18982,47,1828,15,0.82,0.21,815845|816576|819688|820459|821115|821642|826774|830748|831647|835668|837123|837671|839283|841167|843800,SLO2|MEF21|MEF19|MEF22|AT3G02330|AT3G20930|AT4G11690|SLG1|VAR3|CRR21|MEF3|CRR22|PFC1|DYW1|OTP87,-1.8,hits
GO Biological Processes,19,GO:0010207,photosystem II assembly,19_GO:0071840 cellular component organization or biogenesis,-4.1,4,5,18982,26,1828,10,0.55,0.17,821840|823814|826626|829678|831799|832477|836789|837040|838243|2745715,AT3G22690|AT3G46610|LHCB5|HCF244|OHP|SIGE|PSBO1|LPA19|HCF173|PAM68,-1.3,hits
