_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2,GO:0016553,base conversion or substitution editing,M1,1,0
1,-2.5,GO:0033306,phytol metabolic process,M1,1,0
1,-2.3,GO:0015995,chlorophyll biosynthetic process,M1,1,0
1,-4,ath00196,Photosynthesis - antenna proteins,M1,1,0
1,-2.1,GO:0010948,negative regulation of cell cycle process,M1,1,0
1,-3.8,GO:1900864,mitochondrial RNA modification,M1,1,0
1,-5.5,GO:0009416,response to light stimulus,M1,1,0
1,-2.4,GO:0045786,negative regulation of cell cycle,M1,1,0
1,-2.1,GO:0045596,negative regulation of cell differentiation,M1,1,0
1,-3.4,GO:0090615,mitochondrial mRNA processing,M1,1,0
1,-3,GO:1902326,positive regulation of chlorophyll biosynthetic process,M1,1,0
1,-2.3,GO:0006310,DNA recombination,M1,1,0
1,-4.1,GO:0010207,photosystem II assembly,M1,1,0
1,-3,GO:0010087,phloem or xylem histogenesis,M1,1,0
1,-2.4,GO:0043200,response to amino acid,M1,1,0
1,-6.4,GO:0000959,mitochondrial RNA metabolic process,M1,1,0
1,-2.9,GO:0046149,pigment catabolic process,M1,1,0
1,-2.5,GO:0016554,cytidine to uridine editing,M1,1,0
1,-7.2,GO:0019684,"photosynthesis, light reaction",M1,1,0
1,-3.1,GO:0080156,mitochondrial mRNA modification,M1,1,0
1,-2.4,GO:1903340,positive regulation of cell wall organization or biogenesis,M1,1,0
1,-2.5,GO:0055073,cadmium ion homeostasis,M1,1,0
1,-2.9,GO:0071478,cellular response to radiation,M1,1,0
1,-2.4,GO:0010304,PSII associated light-harvesting complex II catabolic process,M1,1,0
1,-2.2,GO:2000652,regulation of secondary cell wall biogenesis,M1,1,0
1,-3,GO:0031425,chloroplast RNA processing,M1,1,0
1,-2.4,GO:0071585,detoxification of cadmium ion,M1,1,0
1,-2.2,GO:0071482,cellular response to light stimulus,M1,1,0
1,-2.5,GO:0071230,cellular response to amino acid stimulus,M1,1,0
1,-3.3,GO:0009765,"photosynthesis, light harvesting",M1,1,0
1,-5.2,ko00195,Photosynthesis,M1,1,0
1,-2,GO:0045930,negative regulation of mitotic cell cycle,M1,1,0
1,-2.6,GO:1901465,positive regulation of tetrapyrrole biosynthetic process,M1,1,0
1,-3.6,GO:0000963,mitochondrial RNA processing,M1,1,0
1,-2.1,GO:0042362,fat-soluble vitamin biosynthetic process,M1,1,0
1,-2.5,GO:0006787,porphyrin-containing compound catabolic process,M1,1,0
1,-2.2,GO:0006779,porphyrin-containing compound biosynthetic process,M1,1,0
1,-4.7,GO:0016556,mRNA modification,M1,1,0
1,-2.5,GO:0034625,"fatty acid elongation, monounsaturated fatty acid",M1,1,0
1,-2.1,GO:0016104,triterpenoid biosynthetic process,M1,1,0
1,-2.2,GO:0051784,negative regulation of nuclear division,M1,1,0
1,-2.2,GO:0015698,inorganic anion transport,M1,1,0
1,-2.5,GO:1900871,chloroplast mRNA modification,M1,1,0
1,-2.6,GO:1901348,positive regulation of secondary cell wall biogenesis,M1,1,0
1,-2.4,GO:1903338,regulation of cell wall organization or biogenesis,M1,1,0
1,-3.2,GO:0090056,regulation of chlorophyll metabolic process,M1,1,0
1,-2.1,GO:1903173,fatty alcohol metabolic process,M1,1,0
1,-2.6,GO:0009650,UV protection,M1,1,0
1,-2.4,GO:0035825,homologous recombination,M1,1,0
1,-2.4,GO:0010088,phloem development,M1,1,0
1,-2.5,GO:0019367,"fatty acid elongation, saturated fatty acid",M1,1,0
1,-4,ko00196,Photosynthesis - antenna proteins,M1,1,0
1,-2.4,GO:0006091,generation of precursor metabolites and energy,M1,1,0
1,-16,GO:0009451,RNA modification,M1,1,0
1,-2.2,GO:0071417,cellular response to organonitrogen compound,M1,1,0
1,-2.9,GO:1990066,energy quenching,M1,1,0
1,-2.6,GO:0010380,regulation of chlorophyll biosynthetic process,M1,1,0
1,-2.5,GO:0033015,tetrapyrrole catabolic process,M1,1,0
1,-3.4,GO:0006778,porphyrin-containing compound metabolic process,M1,1,0
1,-2.1,GO:0031573,intra-S DNA damage checkpoint,M1,1,0
1,-2.4,GO:0007131,reciprocal meiotic recombination,M1,1,0
1,-2.5,GO:1901463,regulation of tetrapyrrole biosynthetic process,M1,1,0
1,-3.1,GO:1901403,positive regulation of tetrapyrrole metabolic process,M1,1,0
1,-2,GO:0033014,tetrapyrrole biosynthetic process,M1,1,0
1,-2.5,GO:0034626,"fatty acid elongation, polyunsaturated fatty acid",M1,1,0
1,-3.6,GO:1901401,regulation of tetrapyrrole metabolic process,M1,1,0
1,-2,GO:0008037,cell recognition,M1,1,0
1,-2.5,GO:0019368,"fatty acid elongation, unsaturated fatty acid",M1,1,0
1,-2,GO:0009875,pollen-pistil interaction,M1,1,0
1,-2.1,GO:0030574,collagen catabolic process,M1,1,0
1,-2.1,GO:0051194,positive regulation of cofactor metabolic process,M1,1,0
1,-3.9,GO:0015994,chlorophyll metabolic process,M1,1,0
1,-3.4,GO:0033013,tetrapyrrole metabolic process,M1,1,0
1,-2.9,GO:0010196,nonphotochemical quenching,M1,1,0
1,-6.6,GO:0015979,photosynthesis,M1,1,0
1,-3,GO:0015996,chlorophyll catabolic process,M1,1,0
1,-2.1,GO:0090603,sieve element differentiation,M1,1,0
1,-3.8,GO:0009768,"photosynthesis, light harvesting in photosystem I",M1,1,0
1,-2.1,GO:0006775,fat-soluble vitamin metabolic process,M1,1,0
