_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,CHILD_GO_hits
1,-15.991643327997128,GO:0008152,metabolic process,M1,1,GO:0009451 RNA modification
1,-5.478111043742709,GO:0050896,response to stimulus,M1,1,GO:0009416 response to light stimulus
1,-4.077462384487329,GO:0071840,cellular component organization or biogenesis,M1,1,GO:0010207 photosystem II assembly
1,-3.617994952665013,GO:0050789,regulation of biological process,M1,1,GO:1901401 regulation of tetrapyrrole metabolic process
1,-3.127996081659752,GO:0048518,positive regulation of biological process,M1,1,GO:1901403 positive regulation of tetrapyrrole metabolic process
1,-3.030370232594854,GO:0032502,developmental process,M1,1,GO:0010087 phloem or xylem histogenesis
1,-2.480189567481865,GO:0065007,biological regulation,M1,1,GO:0055073 cadmium ion homeostasis
1,-2.390285374495003,GO:0022414,reproductive process,M1,1,GO:0007131 reciprocal meiotic recombination
1,-2.3871306986659744,GO:0048519,negative regulation of biological process,M1,1,GO:0045786 negative regulation of cell cycle
1,-2.359886040347089,GO:0098754,detoxification,M1,1,GO:0071585 detoxification of cadmium ion
1,-2.2412969526869646,GO:0051179,localization,M1,1,GO:0015698 inorganic anion transport
1,-2.1528667761408333,GO:0051704,multi-organism process,M1,1,GO:0048544 recognition of pollen
1,-2.0212361368355434,GO:0009987,cellular process,M1,1,GO:0008037 cell recognition
