Gene,_SCORE_GRP5_,_SCORE_GRP1_,_SCORE_GRP2_,_SCORE_GRP6_,_SCORE_GRP14_,_SCORE_GRP4_,_SCORE_GRP7_,_SCORE_GRP12_,_SCORE_GRP13_,_SCORE_GRP15_,_SCORE_GRP10_,_SCORE_GRP9_,_SCORE_GRP3_,_SCORE_GRP8_,_SCORE_GRP11_,_SCORE_GRP16_,_SCORE_GRP18_,_SCORE_GRP17_,_SCORE_GRP19_,_SCORE_GRP20_,GRP1|19_GO:0009451|-15.992|RNA modification,GRP2|19_GO:0006091|-2.415|generation of precursor metabolites and energy,GRP2|19_GO:0015979|-6.624|photosynthesis,"GRP2|19_GO:0019684|-7.166|photosynthesis, light reaction",GRP2|19_GO:0010207|-4.077|photosystem II assembly,GRP3|19_GO:1900865|-6.491|chloroplast RNA modification,GRP3|19_GO:1900871|-2.480|chloroplast mRNA modification,GRP4|19_GO:0000959|-6.393|mitochondrial RNA metabolic process,GRP4|19_GO:0016556|-4.689|mRNA modification,GRP4|19_GO:1900864|-3.776|mitochondrial RNA modification,GRP4|19_GO:0080156|-3.053|mitochondrial mRNA modification,GRP5|19_GO:0009416|-5.478|response to light stimulus,GRP6|24_ko00195|-5.191|Photosynthesis,GRP6|24_ath00195|-5.191|Photosynthesis,"GRP7|19_GO:0009765|-3.288|photosynthesis, light harvesting",GRP7|24_ko00196|-3.965|Photosynthesis - antenna proteins,GRP7|24_ath00196|-3.965|Photosynthesis - antenna proteins,"GRP7|19_GO:0009768|-3.788|photosynthesis, light harvesting in photosystem I",GRP8|19_GO:0033013|-3.385|tetrapyrrole metabolic process,GRP8|19_GO:0006778|-3.448|porphyrin-containing compound metabolic process,GRP8|19_GO:0015994|-3.888|chlorophyll metabolic process,GRP8|19_GO:0033014|-2.040|tetrapyrrole biosynthetic process,GRP8|19_GO:0006779|-2.204|porphyrin-containing compound biosynthetic process,GRP8|19_GO:0015995|-2.262|chlorophyll biosynthetic process,GRP8|19_GO:1901401|-3.618|regulation of tetrapyrrole metabolic process,GRP8|19_GO:0090056|-3.183|regulation of chlorophyll metabolic process,GRP8|19_GO:1901463|-2.452|regulation of tetrapyrrole biosynthetic process,GRP8|19_GO:0010380|-2.581|regulation of chlorophyll biosynthetic process,GRP8|19_GO:0042362|-2.105|fat-soluble vitamin biosynthetic process,GRP8|19_GO:0006775|-2.105|fat-soluble vitamin metabolic process,GRP8|19_GO:0051194|-2.105|positive regulation of cofactor metabolic process,GRP8|19_GO:1901403|-3.128|positive regulation of tetrapyrrole metabolic process,GRP8|19_GO:1901465|-2.627|positive regulation of tetrapyrrole biosynthetic process,GRP8|19_GO:1902326|-2.960|positive regulation of chlorophyll biosynthetic process,GRP8|19_GO:1903173|-2.115|fatty alcohol metabolic process,GRP8|19_GO:0033306|-2.480|phytol metabolic process,GRP9|19_GO:0006722|-3.682|triterpenoid metabolic process,GRP9|19_GO:0016104|-2.105|triterpenoid biosynthetic process,GRP10|19_GO:0000963|-3.622|mitochondrial RNA processing,GRP10|19_GO:0090615|-3.444|mitochondrial mRNA processing,GRP11|19_GO:0046149|-2.870|pigment catabolic process,GRP11|19_GO:0015996|-3.032|chlorophyll catabolic process,GRP11|19_GO:0006787|-2.452|porphyrin-containing compound catabolic process,GRP11|19_GO:0033015|-2.452|tetrapyrrole catabolic process,GRP11|19_GO:0010304|-2.360|PSII associated light-harvesting complex II catabolic process,GRP12|19_GO:0010087|-3.030|phloem or xylem histogenesis,GRP12|19_GO:0010088|-2.437|phloem development,GRP13|19_GO:0031425|-3.022|chloroplast RNA processing,GRP14|19_GO:0071478|-2.931|cellular response to radiation,GRP14|19_GO:0071482|-2.196|cellular response to light stimulus,GRP15|19_GO:1990066|-2.920|energy quenching,GRP15|19_GO:0010196|-2.920|nonphotochemical quenching,GRP16|19_GO:1903338|-2.445|regulation of cell wall organization or biogenesis,GRP16|19_GO:2000652|-2.209|regulation of secondary cell wall biogenesis,GRP16|19_GO:1903340|-2.360|positive regulation of cell wall organization or biogenesis,GRP16|19_GO:1901348|-2.627|positive regulation of secondary cell wall biogenesis,GRP17|19_GO:0009650|-2.627|UV protection,GRP18|19_GO:0110102|-2.627|chloroplast ribulose bisphosphate carboxylase complex assembly,GRP19|19_GO:0071585|-2.360|detoxification of cadmium ion,GRP19|19_GO:0055073|-2.480|cadmium ion homeostasis,"GRP20|19_GO:0019368|-2.480|fatty acid elongation, unsaturated fatty acid","GRP20|19_GO:0019367|-2.480|fatty acid elongation, saturated fatty acid","GRP20|19_GO:0034625|-2.480|fatty acid elongation, monounsaturated fatty acid","GRP20|19_GO:0034626|-2.480|fatty acid elongation, polyunsaturated fatty acid",_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_,_SORT_GRP7_,_SORT_GRP8_,_SORT_GRP9_,_SORT_GRP10_,_SORT_GRP11_,_SORT_GRP12_,_SORT_GRP13_,_SORT_GRP14_,_SORT_GRP15_,_SORT_GRP16_,_SORT_GRP17_,_SORT_GRP18_,_SORT_GRP19_,_SORT_GRP20_
839256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816359,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821260,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828489,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
834044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838561,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
821508,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832477,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,2,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
