Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,GO Biological Processes,19,GO:0071495,cellular response to endogenous stimulus,19_GO:0050896 response to stimulus,-7,2.9,6.4,18982,785,257,31,12,2,814707|816231|816538|816909|817689|818843|819150|819248|825160|829541|829836|830401|831162|831648|832590|832768|836596|837479|839300|839732|840078|840475|841047|841095|841271|842010|842288|842953|843165|843388|843407,RR14|GLR2|PIL5|LYK4|LBD14|LBD16|LBD18|WRKY46|ARGOS|OST1|HOS3-1|AT5G05190|JAZ10|MYB56|ESE3|GLR2.1|ABR1|PIF3|HFR1|ERF12|BRX|AT1G35710|AT1G44830|ABF2|JAZ4|BRL1|ARR3|RGL1|AT1G68360|KNAT2|TIFY7,-4.6
hits,GO Biological Processes,19,GO:0009416,response to light stimulus,19_GO:0050896 response to stimulus,-6.5,2.8,6.1,18982,787,257,30,12,2,816231|816312|816538|817515|817696|818273|819292|820793|825382|826626|827011|827319|827568|829541|831501|831648|831975|832145|832593|832768|833768|837479|837805|837989|839300|839395|841537|842288|842446|843215,GLR2|TAF14|PIL5|PHT4;1|STH|SIGF|PRR9|IAA19|PIL2|LHCB5|CYP83A1|PHYD|TCP2|OST1|TRXF2|MYB56|EMB269|BCB|KNAT3|GLR2.1|AT5G37890|PIF3|OZS1|PKS2|HFR1|KCS1|FBH3|ARR3|LHCA3|STN7,-4.2
hits,KEGG Pathway,24,ko04075,Plant hormone signal transduction,,-6.1,4.4,6.6,18982,267,257,16,6.2,1.5,814707|817956|818199|820793|821026|825383|829029|829541|831162|837479|838070|841095|841271|842288|842953|843407,RR14|ETT|ABI5|IAA19|IAA31|IAA30|PAP2|OST1|JAZ10|PIF3|IAA34|ABF2|JAZ4|ARR3|RGL1|TIFY7,-3.9
hits,KEGG Pathway,24,ath04075,Plant hormone signal transduction,,-6.1,4.4,6.6,18982,267,257,16,6.2,1.5,814707|817956|818199|820793|821026|825383|829029|829541|831162|837479|838070|841095|841271|842288|842953|843407,RR14|ETT|ABI5|IAA19|IAA31|IAA30|PAP2|OST1|JAZ10|PIF3|IAA34|ABF2|JAZ4|ARR3|RGL1|TIFY7,-3.9
hits,GO Biological Processes,19,GO:0032870,cellular response to hormone stimulus,19_GO:0050896 response to stimulus,-5.9,2.8,5.8,18982,749,257,28,11,1.9,814707|816538|817689|818843|819150|819248|825160|829541|829836|830401|831162|831648|832590|836596|837479|839300|839732|840078|840475|841047|841095|841271|842010|842288|842953|843165|843388|843407,RR14|PIL5|LBD14|LBD16|LBD18|WRKY46|ARGOS|OST1|HOS3-1|AT5G05190|JAZ10|MYB56|ESE3|ABR1|PIF3|HFR1|ERF12|BRX|AT1G35710|AT1G44830|ABF2|JAZ4|BRL1|ARR3|RGL1|AT1G68360|KNAT2|TIFY7,-3.8
hits,GO Biological Processes,19,GO:0015994,chlorophyll metabolic process,19_GO:0008152 metabolic process,-5.7,7.8,7.4,18982,85,257,9,3.5,1.1,816538|826942|827479|829854|830372|831225|834442|834757|839472,PIL5|NYC1|LIL3:1|ACD2|NOL|PPH|GLK2|LIL3:2|HCAR,-3.6
hits,GO Biological Processes,19,GO:0010017,red or far-red light signaling pathway,19_GO:0023052 signaling,-5.2,9.8,7.5,18982,53,257,7,2.7,1,816538|819292|825382|827319|837479|839300|842288,PIL5|PRR9|PIL2|PHYD|PIF3|HFR1|ARR3,-3.1
hits,GO Biological Processes,19,GO:0006778,porphyrin-containing compound metabolic process,19_GO:0008152 metabolic process,-5.1,6.8,6.7,18982,98,257,9,3.5,1.1,816538|826942|827479|829854|830372|831225|834442|834757|839472,PIL5|NYC1|LIL3:1|ACD2|NOL|PPH|GLK2|LIL3:2|HCAR,-3.1
hits,GO Biological Processes,19,GO:0033013,tetrapyrrole metabolic process,19_GO:0008152 metabolic process,-5.1,6.7,6.7,18982,99,257,9,3.5,1.1,816538|826942|827479|829854|830372|831225|834442|834757|839472,PIL5|NYC1|LIL3:1|ACD2|NOL|PPH|GLK2|LIL3:2|HCAR,-3.1
hits,GO Biological Processes,19,GO:0071489,cellular response to red or far red light,19_GO:0050896 response to stimulus,-5,9.4,7.3,18982,55,257,7,2.7,1,816538|819292|825382|827319|837479|839300|842288,PIL5|PRR9|PIL2|PHYD|PIF3|HFR1|ARR3,-3
