Cluster,Score,Type,Gene,Symbol,Network
2,2.0,Clustered,821026,IAA31,hits_SUB1
2,2.0,Clustered,829029,PAP2,hits_SUB1
2,2.0,Clustered,838070,IAA34,hits_SUB1
2,2.0,Seed,836166,ARF4,hits_SUB1
2,2.0,Clustered,820793,IAA19,hits_SUB1
4,1.5,Clustered,818199,ABI5,hits_SUB1
4,1.5,Clustered,831328,AO,hits_SUB1
4,1.5,Clustered,828619,AT4G25160,hits_SUB1
4,1.5,Seed,835511,MYB49,hits_SUB1
1,1.3,Clustered,831553,AT5G16900,hits_SUB1
1,1.3,Clustered,836086,AT5G59650,hits_SUB1
1,1.3,Clustered,838294,AT1G17230,hits_SUB1
1,1.3,Clustered,843550,AT1G72180,hits_SUB1
1,1.3,Clustered,828784,AT4G26770,hits_SUB1
1,1.3,Clustered,840368,AT1G34640,hits_SUB1
1,1.3,Clustered,832145,BCB,hits_SUB1
1,1.3,Clustered,829039,RHS16,hits_SUB1
1,1.3,Clustered,840475,AT1G35710,hits_SUB1
1,1.3,Clustered,834932,AT5G48740,hits_SUB1
6,1.0,Clustered,837479,PIF3,hits_SUB1
6,1.0,Clustered,839300,HFR1,hits_SUB1
6,1.0,Seed,816538,PIL5,hits_SUB1
7,1.0,Clustered,831648,MYB56,hits_SUB1
7,1.0,Seed,832590,ESE3,hits_SUB1
7,1.0,Clustered,836596,ABR1,hits_SUB1
3,1.7999999999999998,Clustered,829854,ACD2,hits_SUB2
3,1.7999999999999998,Seed,831225,PPH,hits_SUB2
3,1.7999999999999998,Clustered,830372,NOL,hits_SUB2
3,1.7999999999999998,Clustered,839472,HCAR,hits_SUB2
3,1.7999999999999998,Clustered,826942,NYC1,hits_SUB2
5,1.5,Clustered,841271,JAZ4,hits_SUB3
5,1.5,Clustered,843407,TIFY7,hits_SUB3
5,1.5,Clustered,831162,JAZ10,hits_SUB3
5,1.5,Seed,819262,AIB,hits_SUB3
