Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
819824,3.0,1,1,1
816909,3.0,1,1,1
829135,3.0,1,1,1
816875,3.0,1,1,1
840021,3.0,1,1,1
832768,3.0,1,1,1
826942,3.0,1,1,1
821226,3.0,1,1,1
839256,3.0,1,1,1
836751,3.0,1,1,1
826892,3.0,1,1,1
842446,3.0,1,1,1
839472,3.0,1,1,1
827479,3.0,1,1,1
843343,3.0,1,1,1
835511,3.0,1,1,1
821096,3.0,1,1,1
843676,3.0,1,1,1
829678,3.0,1,1,1
829836,3.0,1,1,1
841559,3.0,1,1,1
829854,3.0,1,1,1
831225,3.0,1,1,1
838400,3.0,1,1,1
842436,3.0,1,1,1
829352,3.0,1,1,1
831792,3.0,1,1,1
826626,3.0,1,1,1
816538,3.0,1,1,1
834757,3.0,1,1,1
816231,3.0,1,1,1
830372,3.0,1,1,1
841386,3.0,1,1,1
821097,3.0,1,1,1
844789,3.0,1,1,1
834442,3.0,1,1,1
838374,3.0,1,1,1
842354,3.0,1,1,1
831647,3.0,1,1,1
837325,3.0,1,1,1
825287,3.0,1,1,1
840078,3.0,1,1,1
825383,2.0,1,0,1
819646,2.0,1,0,1
839918,2.0,1,1,0
819562,2.0,1,0,1
816318,2.0,1,1,0
838863,2.0,1,0,1
834803,2.0,1,0,1
840368,2.0,1,0,1
817930,2.0,1,1,0
818199,2.0,1,0,1
835631,2.0,1,0,1
836044,2.0,1,0,1
844054,2.0,1,1,0
831648,2.0,1,0,1
842288,2.0,1,0,1
824281,2.0,1,0,1
819561,2.0,1,1,0
832376,2.0,1,0,1
828044,2.0,1,0,1
839929,2.0,1,0,1
819713,2.0,1,1,0
837252,2.0,1,0,1
830025,2.0,1,0,1
824885,2.0,1,1,0
841167,2.0,1,1,0
821164,2.0,1,0,1
818843,2.0,1,0,1
829266,2.0,1,1,0
832477,2.0,1,1,0
832593,2.0,1,0,1
817923,2.0,1,1,0
844351,2.0,1,0,1
820459,2.0,1,1,0
839665,2.0,1,0,1
817442,2.0,1,0,1
825512,2.0,1,1,0
818599,2.0,1,1,0
826807,2.0,1,0,1
838243,2.0,1,1,0
816726,2.0,1,0,1
843940,2.0,1,0,1
836313,2.0,1,0,1
836729,2.0,1,0,1
819077,2.0,1,0,1
836089,2.0,1,0,1
819914,2.0,1,0,1
825336,2.0,1,0,1
837479,2.0,1,0,1
826407,2.0,1,1,0
816312,2.0,1,0,1
834243,2.0,1,0,1
827568,2.0,1,0,1
820653,2.0,1,1,0
824519,2.0,1,0,1
836709,2.0,1,0,1
839853,2.0,1,0,1
839035,2.0,1,0,1
836745,2.0,1,1,0
843474,2.0,1,0,1
842873,2.0,1,0,1
842433,2.0,1,1,0
831162,2.0,1,0,1
824311,2.0,1,1,0
817696,2.0,1,0,1
828096,2.0,1,0,1
831984,2.0,1,1,0
843189,2.0,1,0,1
821026,2.0,1,0,1
818237,2.0,1,0,1
834796,2.0,1,1,0
829773,2.0,1,1,0
838141,2.0,1,0,1
844788,2.0,1,1,0
820506,2.0,1,1,0
28719435,2.0,1,1,0
837123,2.0,1,1,0
836086,2.0,1,0,1
818971,2.0,1,0,1
824605,2.0,1,0,1
814827,2.0,1,1,0
838855,2.0,1,0,1
827041,2.0,1,1,0
837671,2.0,1,1,0
820267,2.0,1,0,1
830038,2.0,1,0,1
831501,2.0,1,0,1
843800,2.0,1,1,0
831591,2.0,1,1,0
2745896,2.0,1,0,1
844761,2.0,1,0,1
814707,2.0,1,0,1
822385,2.0,1,1,0
822239,2.0,1,0,1
831308,2.0,1,0,1
828784,2.0,1,0,1
817689,2.0,1,0,1
830058,2.0,1,0,1
832466,2.0,1,0,1
