Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0009451,RNA modification,19_GO:0008152 metabolic process,-16,3,10,18982,341,1322,71,5.4,0.62,814804|814827|814867|814914|815032|816742|817307|817942|818272|818309|818667|819097|819688|819698|820319|820459|820586|821115|821701|821779|821840|822097|822262|823940|824504|824822|824910|825512|826774|827609|827825|827878|828630|829871|830107|830856|831168|831382|832769|833735|834796|835340|835362|835668|836038|837123|837463|837671|837825|838009|838121|838561|839402|839466|840066|842125|842263|842523|843175|843226|843490|843776|844037|3768582|3768923|3770243|3770594|3770597|3771503|6240220|10723034,AT2G02750|OTP85|AT2G03380|REME1|AT2G04860|AT2G22070|AT2G27610|AT2G33760|AT2G36980|AT2G37320|AT2G40720|AHG11|MEF19|AT3G05340|AT3G11460|MEF22|AT3G13770|AT3G02330|AT3G21470|AT3G22150|AT3G22690|AT3G25060|AT3G26540|AT3G47840|AT3G53360|AT3G56550|OTP84|OTP86|AT4G11690|DOT4|AT4G20770|AT4G21300|OTP70|AT4G37170|AT4G39530|MEF7|RARE1|AT5G15300|AT5G27110|AT5G37570|AT5G47460|MEF1|AT5G52850|CRR21|OTP80|MEF3|AT1G09410|CRR22|RPF1|AT1G14470|ECB2|AT1G19720|AT1G04840|AT1G03540|AT1G31790|AT1G56690|CRR28|MEF9|IPT1|AT1G68930|AT1G71490|AT1G74350|AT1G77010|AT2G35384|AT3G24615|SNOR37-2|AT4G39361|AT4G39366|U3D|AT4G19191|AT3G49142,-13,hits
KEGG Pathway,24,ath00195,Photosynthesis,,-5.5,3.4,5.7,18982,76,1322,18,1.4,0.32,817606|820859|824246|826892|828183|828984|837178|838622|839449|841653|843942|844728|844745|844774|844775|844788|844789|844795,PSBW|PSAH-1|PSBO2|PSAL|PSAD-1|PSB28|PSBP-1|DRT112|PSB27|PSAH2|PETE1|petD|psbE|psbZ|psbD|atpH|atpF|psbK,-2.1,hits
KEGG Pathway,24,ko00195,Photosynthesis,,-5.5,3.4,5.7,18982,76,1322,18,1.4,0.32,817606|820859|824246|826892|828183|828984|837178|838622|839449|841653|843942|844728|844745|844774|844775|844788|844789|844795,PSBW|PSAH-1|PSBO2|PSAL|PSAD-1|PSB28|PSBP-1|DRT112|PSB27|PSAH2|PETE1|petD|psbE|psbZ|psbD|atpH|atpF|psbK,-2.1,hits
GO Biological Processes,19,GO:0019684,"photosynthesis, light reaction",19_GO:0008152 metabolic process,-3.4,2.3,3.9,18982,126,1322,20,1.5,0.34,817606|818006|821840|822391|824246|827921|831799|834495|837178|838168|839449|839870|839969|841099|841919|841995|842354|843413|843903|843990,PSBW|LHB1B1|AT3G22690|LHCB2.3|PSBO2|TROL|OHP|AT5G44660|PSBP-1|PnsB1|PSB27|CAB2|RSH4|Lhca5|TLP18.3|ZKT|ABC4|NdhL|LQY1|AT1G76570,-0.31,hits
GO Biological Processes,19,GO:0071230,cellular response to amino acid stimulus,19_GO:0050896 response to stimulus,-3.3,4.6,4.6,18982,22,1322,7,0.53,0.2,817460|819566|819940|829682|830988|830991|834896,GLR2.7|GLR1.1|GLR1.4|GLUR2|GLR2.6|GLR2.5|GLR1.3,-0.31,hits
GO Biological Processes,19,GO:0061687,detoxification of inorganic compound,19_GO:0098754 detoxification,-3.3,6.5,5,18982,11,1322,5,0.38,0.17,826986|829135|831611|839354|843445,AT4G13540|HMA3|HIPP21|PCS2|HIPP20,-0.31,hits
GO Biological Processes,19,GO:0048544,recognition of pollen,19_GO:0051704 multi-organism process,-3.3,3.2,4.2,18982,50,1322,11,0.83,0.25,828837|828838|837672|837675|837677|841165|842433|842434|842438|842440|842449,AT4G27290|AT4G27300|AT1G11300|AT1G11330|SD1-13|SEC3B|AT1G61390|AT1G61400|AT1G61440|AT1G61460|AT1G61550,-0.31,hits
GO Biological Processes,19,GO:0008037,cell recognition,19_GO:0009987 cellular process,-3.1,3,4,18982,52,1322,11,0.83,0.25,828837|828838|837672|837675|837677|841165|842433|842434|842438|842440|842449,AT4G27290|AT4G27300|AT1G11300|AT1G11330|SD1-13|SEC3B|AT1G61390|AT1G61400|AT1G61440|AT1G61460|AT1G61550,-0.26,hits
GO Biological Processes,19,GO:0009765,"photosynthesis, light harvesting",19_GO:0008152 metabolic process,-3.1,3.5,4.2,18982,37,1322,9,0.68,0.23,818006|822391|839449|839870|841099|841919|841995|843903|843990,LHB1B1|LHCB2.3|PSB27|CAB2|Lhca5|TLP18.3|ZKT|LQY1|AT1G76570,-0.26,hits
GO Biological Processes,19,GO:0015979,photosynthesis,19_GO:0008152 metabolic process,-2.9,1.9,3.5,18982,197,1322,26,2,0.38,817606|818006|821840|822277|822391|824246|824832|825822|826892|827921|831799|834495|837178|838168|839449|839870|839969|840895|841099|841919|841995|842354|843413|843903|843990|7922413,PSBW|LHB1B1|AT3G22690|GAPA|LHCB2.3|PSBO2|PPD6|KEA3|PSAL|TROL|OHP|AT5G44660|PSBP-1|PnsB1|PSB27|CAB2|RSH4|GAPB|Lhca5|TLP18.3|ZKT|ABC4|NdhL|LQY1|AT1G76570|AT3G63540,-0.23,hits
