_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.1,GO:0010206,photosystem II repair,M1,1,0
1,-5.5,ath00195,Photosynthesis,M1,1,0
1,-16,GO:0009451,RNA modification,M1,1,0
1,-3.1,GO:0008037,cell recognition,M1,1,0
1,-3.4,GO:0019684,"photosynthesis, light reaction",M1,1,0
1,-2.9,GO:0016556,mRNA modification,M1,1,0
1,-2.5,GO:0045490,pectin catabolic process,M1,1,0
1,-2.2,GO:0071244,cellular response to carbon dioxide,M1,1,0
1,-3.1,GO:0009765,"photosynthesis, light harvesting",M1,1,0
1,-2.9,GO:0071585,detoxification of cadmium ion,M1,1,0
1,-2.4,GO:0010037,response to carbon dioxide,M1,1,0
1,-3.3,GO:0048544,recognition of pollen,M1,1,0
1,-2.2,GO:0000710,meiotic mismatch repair,M1,1,0
1,-2.7,GO:1900865,chloroplast RNA modification,M1,1,0
1,-2.8,GO:1900864,mitochondrial RNA modification,M1,1,0
1,-2.6,GO:0009875,pollen-pistil interaction,M1,1,0
1,-2.3,GO:1990170,stress response to cadmium ion,M1,1,0
1,-3.3,GO:0071230,cellular response to amino acid stimulus,M1,1,0
1,-2.2,GO:0009823,cytokinin catabolic process,M1,1,0
1,-2,GO:0009685,gibberellin metabolic process,M1,1,0
1,-2.1,GO:0000959,mitochondrial RNA metabolic process,M1,1,0
1,-2.2,GO:0010243,response to organonitrogen compound,M1,1,0
1,-2.9,ath00944,Flavone and flavonol biosynthesis,M1,1,0
1,-2.2,GO:0046622,positive regulation of organ growth,M1,1,0
1,-2.1,GO:0048017,inositol lipid-mediated signaling,M1,1,0
1,-2.9,GO:0015979,photosynthesis,M1,1,0
1,-2.1,GO:0009416,response to light stimulus,M1,1,0
1,-3.3,GO:0061687,detoxification of inorganic compound,M1,1,0
1,-2.4,GO:0000272,polysaccharide catabolic process,M1,1,0
1,-2.3,GO:0097501,stress response to metal ion,M1,1,0
1,-5.5,ko00195,Photosynthesis,M1,1,0
1,-2.9,ko00944,Flavone and flavonol biosynthesis,M1,1,0
1,-2.7,GO:0043200,response to amino acid,M1,1,0
1,-2.6,GO:0080156,mitochondrial mRNA modification,M1,1,0
1,-2.4,GO:0072347,response to anesthetic,M1,1,0
