Gene,_SCORE_GRP15_,_SCORE_GRP1_,_SCORE_GRP2_,_SCORE_GRP10_,_SCORE_GRP6_,_SCORE_GRP3_,_SCORE_GRP4_,_SCORE_GRP7_,_SCORE_GRP17_,_SCORE_GRP9_,_SCORE_GRP16_,_SCORE_GRP5_,_SCORE_GRP11_,_SCORE_GRP12_,_SCORE_GRP8_,_SCORE_GRP13_,_SCORE_GRP14_,GRP1|19_GO:0009451|-16.392|RNA modification,GRP2|24_ko00195|-5.465|Photosynthesis,GRP2|24_ath00195|-5.465|Photosynthesis,GRP3|19_GO:0015979|-2.905|photosynthesis,"GRP3|19_GO:0019684|-3.359|photosynthesis, light reaction","GRP3|19_GO:0009765|-3.105|photosynthesis, light harvesting",GRP3|19_GO:0010206|-2.133|photosystem II repair,GRP4|19_GO:0010243|-2.177|response to organonitrogen compound,GRP4|19_GO:0043200|-2.716|response to amino acid,GRP4|19_GO:0071230|-3.279|cellular response to amino acid stimulus,GRP5|19_GO:0097501|-2.304|stress response to metal ion,GRP5|19_GO:0061687|-3.279|detoxification of inorganic compound,GRP5|19_GO:1990170|-2.284|stress response to cadmium ion,GRP5|19_GO:0071585|-2.884|detoxification of cadmium ion,GRP6|19_GO:0008037|-3.118|cell recognition,GRP6|19_GO:0048544|-3.271|recognition of pollen,GRP6|19_GO:0009875|-2.646|pollen-pistil interaction,GRP7|19_GO:0016556|-2.903|mRNA modification,GRP7|19_GO:0000959|-2.096|mitochondrial RNA metabolic process,GRP7|19_GO:1900864|-2.806|mitochondrial RNA modification,GRP7|19_GO:0080156|-2.597|mitochondrial mRNA modification,GRP8|24_ko00944|-2.893|Flavone and flavonol biosynthesis,GRP8|24_ath00944|-2.893|Flavone and flavonol biosynthesis,GRP9|19_GO:1900865|-2.696|chloroplast RNA modification,GRP10|19_GO:0000272|-2.444|polysaccharide catabolic process,GRP10|19_GO:0045490|-2.549|pectin catabolic process,GRP11|19_GO:0072347|-2.430|response to anesthetic,GRP11|19_GO:0010037|-2.430|response to carbon dioxide,GRP11|19_GO:0071244|-2.241|cellular response to carbon dioxide,GRP12|19_GO:0000710|-2.241|meiotic mismatch repair,GRP13|19_GO:0009823|-2.241|cytokinin catabolic process,GRP14|19_GO:0046622|-2.241|positive regulation of organ growth,GRP15|19_GO:0009416|-2.136|response to light stimulus,GRP16|19_GO:0048017|-2.081|inositol lipid-mediated signaling,GRP17|19_GO:0009685|-2.028|gibberellin metabolic process,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_,_SORT_GRP7_,_SORT_GRP8_,_SORT_GRP9_,_SORT_GRP10_,_SORT_GRP11_,_SORT_GRP12_,_SORT_GRP13_,_SORT_GRP14_,_SORT_GRP15_,_SORT_GRP16_,_SORT_GRP17_
814827,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
816209,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
838121,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
831568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
825822,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,51,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0
833727,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
821701,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828645,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
827281,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
827450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,186,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
